#Resampling
#Console: python /store/home/mad/anaconda2/envs/python3/bin/transit resampling 2018_Carey_A-H/Rv_1.wig,2018_Carey_A-H/Rv_2.wig,2018_Carey_A-H/Rv_3.wig 2018_Carey_A-H/663_1.wig,2018_Carey_A-H/663_2.wig /quartz/data/TnSeq/tnseq_matrix_project/tuberculosis/H37Rv.prot_table /quartz/data/TnSeq/tnseq_matrix_project/tuberculosis/Results/result_resampling_carey_663_vs_carey_rv_LOESS_term15_2.txt -l -iN 15 -iC 15
#Control Data: b'2018_Carey_A-H/Rv_1.wig,2018_Carey_A-H/Rv_2.wig,2018_Carey_A-H/Rv_3.wig'
#Experimental Data: b'2018_Carey_A-H/663_1.wig,2018_Carey_A-H/663_2.wig'
#Annotation path: b'/quartz/data/TnSeq/tnseq_matrix_project/tuberculosis/H37Rv.prot_table' 
#Time: 2086.511485815048
#Orf	Name	Desc	Sites	Mean Ctrl	Mean Exp	log2FC	Sum Ctrl	Sum Exp	Delta Mean	p-value	Adj. p-value
Rv0055	rpsR	30S ribosomal protein S18 	3	0.0	0.0	0.00	0.0	0.00	0.0	1.00000	1.00000
Rv0056	rplI	50S ribosomal protein L9 	6	55.3	50.8	-0.12	995.8	609.07	-4.6	0.88680	1.00000
Rv0057	-	hypothetical protein Rv0057 	13	47.6	68.7	0.53	1855.6	1787.37	21.2	0.37410	0.92034
Rv0058	dnaB	replicative DNA helicase 	25	0.0	0.4	0.48	0.0	19.91	0.4	0.15940	0.75593
Rv0059	-	hypothetical protein Rv0059 	12	361.0	335.4	-0.11	12995.1	8048.73	-25.6	0.77280	1.00000
Rv0060	-	hypothetical protein Rv0060 	17	0.0	0.0	0.00	0.0	0.00	0.0	1.00000	1.00000
Rv0061	-	hypothetical protein Rv0061 	6	126.3	56.0	-1.17	2274.0	672.09	-70.3	0.05320	0.52259
Rv0062	celA1	POSSIBLE CELLULASE CELA1 (ENDOGLUCANASE) (ENDO-1,4-BETA-GLUCANASE) (FI-CMCASE) (CARBOXYMETHYL CELLULASE) 	15	156.5	237.1	0.60	7042.6	7112.30	80.6	0.19920	0.80122
Rv0063	-	POSSIBLE OXIDOREDUCTASE 	9	154.8	224.7	0.54	4180.3	4043.92	69.8	0.35220	0.92034
Rv0064	-	hypothetical protein Rv0064 	54	89.3	64.9	-0.46	14464.1	7009.24	-24.4	0.16270	0.75593
Rv0065	-	hypothetical protein Rv0065 	7	68.5	114.9	0.75	1438.6	1608.21	46.4	0.22760	0.84871
Rv0066c	icd2	PROBABLE ISOCITRATE DEHYDROGENASE 	22	5.7	106.1	4.23	373.8	4668.77	100.4	0.00000	0.00000
Rv0067c	-	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN (POSSIBLY TETR-FAMILY) 	7	41.5	39.0	-0.09	872.1	546.16	-2.5	0.89980	1.00000
Rv0068	-	short chain dehydrogenase 	9	296.2	464.3	0.65	7998.7	8358.08	168.1	0.52330	0.97308
Rv0069c	sdaA	PROBABLE L-SERINE DEHYDRATASE SDAA (L-SERINE DEAMINASE) (SDH) (L-SD) 	9	78.5	85.8	0.13	2119.6	1544.85	7.3	0.88630	1.00000
Rv0070c	glyA2	PROBABLE SERINE HYDROXYMETHYLTRANSFERASE GLYA2 (SERINE METHYLASE 2) (SHMT 2) 	12	103.8	96.2	-0.11	3737.8	2308.61	-7.6	0.85750	1.00000
Rv0071	-	POSSIBLE MATURASE 	5	241.8	166.8	-0.54	3627.7	1667.69	-75.1	0.51570	0.96512
Rv0072	-	PROBABLE GLUTAMINE-TRANSPORT TRANSMEMBRANE PROTEIN ABC TRANSPORTER 	12	368.7	521.3	0.50	13272.0	12510.63	152.6	0.31430	0.92034
Rv0073	-	PROBABLE GLUTAMINE-TRANSPORT ATP-BINDING PROTEIN ABC TRANSPORTER 	9	227.1	184.5	-0.30	6130.9	3320.50	-42.6	0.53770	0.97491
Rv0074	-	hypothetical protein Rv0074 	11	187.4	342.4	0.87	6185.2	7531.78	154.9	0.20950	0.82101
Rv0075	-	PROBABLE AMINOTRANSFERASE 	19	202.4	182.5	-0.15	11534.4	6933.21	-19.9	0.73120	1.00000
Rv0076c	-	PROBABLE MEMBRANE PROTEIN 	2	352.9	308.0	-0.20	2117.3	1232.04	-44.9	0.83860	1.00000
Rv0077c	-	PROBABLE OXIDOREDUCTASE 	8	66.3	70.3	0.08	1591.7	1125.09	4.0	0.91440	1.00000
Rv0078	-	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN 	6	109.2	42.8	-1.35	1966.4	513.52	-66.4	0.04740	0.49100
Rv0078A	-	hypothetical protein Rv0078A 	7	171.3	142.6	-0.26	3596.3	1995.83	-28.7	0.67620	1.00000
Rv0079	-	hypothetical protein Rv0079 	9	159.1	150.2	-0.08	4294.7	2704.41	-8.8	0.86430	1.00000
Rv0080	-	hypothetical protein Rv0080 	3	189.8	260.4	0.46	1707.8	1562.36	70.6	0.61910	0.99814
Rv0081	-	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN 	3	156.6	114.9	-0.45	1409.7	689.35	-41.7	0.70310	1.00000
Rv0082	-	PROBABLE OXIDOREDUCTASE 	5	105.4	85.3	-0.31	1581.3	852.92	-20.1	0.72700	1.00000
Rv0083	-	PROBABLE OXIDOREDUCTASE 	10	128.5	201.8	0.65	3853.5	4036.42	73.4	0.21430	0.82727
Rv0084	hycD	POSSIBLE FORMATE HYDROGENLYASE HYCD (FHL) 	4	70.2	156.6	1.16	842.4	1252.52	86.4	0.68120	1.00000
Rv0085	hycP	POSSIBLE HYDROGENASE HYCP 	3	148.5	63.5	-1.23	1336.5	381.05	-85.0	0.86820	1.00000
Rv0086	hycQ	POSSIBLE HYDROGENASE HYCQ 	14	81.0	56.0	-0.53	3401.9	1568.49	-25.0	0.41420	0.92034
Rv0087	hycE	POSSIBLE FORMATE HYDROGENASE HYCE (FHL) 	16	47.0	31.7	-0.57	2256.0	1015.62	-15.3	0.45430	0.94360
Rv0088	-	hypothetical protein Rv0088 	8	26.0	22.3	-0.22	624.3	357.17	-3.7	0.81100	1.00000
Rv0089	-	POSSIBLE METHYLTRANSFERASE/METHYLASE 	5	86.2	141.8	0.72	1292.6	1417.95	55.6	0.30500	0.91502
Rv0090	-	POSSIBLE MEMBRANE PROTEIN 	8	103.4	108.4	0.07	2480.6	1735.03	5.1	0.91450	1.00000
Rv0091	mtn	PROBABLE BIFUNCTIONAL MTA/SAH NUCLEOSIDASE MTN: 5'-METHYLTHIOADENOSINE NUCLEOSIDASE (METHYLTHIOADENOSINE METHYLTHIORIBOHYDROLASE) + S-ADENOSYLHOMOCYSTEINE NUCLEOSIDASE (S-ADENOSYL-L-HOMOCYSTEINE HOMOCYSTEINYLRIBOHYDROLASE) 	9	159.2	300.8	0.92	4297.5	5413.64	141.6	0.18170	0.78888
Rv0092	ctpA	PROBABLE CATION TRANSPORTER P-TYPE ATPASE A CTPA 	22	67.0	145.4	1.12	4419.6	6396.74	78.4	0.00460	0.11471
Rv0093c	-	PROBABLE CONSERVED MEMBRANE PROTEIN 	6	38.8	48.0	0.31	697.7	575.54	9.2	0.61660	0.99766
Rv0094c	-	hypothetical protein Rv0094c 	10	195.8	229.9	0.23	5873.4	4597.93	34.1	0.53820	0.97491
Rv0095c	-	hypothetical protein Rv0095c 	5	6.2	0.0	-2.85	93.1	0.00	-6.2	0.26450	0.88656
Rv0096	PPE1	PPE FAMILY PROTEIN 	24	117.3	200.2	0.77	8444.4	9610.19	82.9	0.12680	0.73644
Rv0097	-	POSSIBLE OXIDOREDUCTASE 	18	143.9	200.7	0.48	7771.2	7225.65	56.8	0.31340	0.92034
Rv0098	-	hypothetical protein Rv0098 	10	39.5	71.1	0.85	1186.2	1421.52	31.5	0.13900	0.75593
Rv0099	fadD10	acyl-CoA synthetase 	25	38.8	89.7	1.21	2907.3	4483.66	50.9	0.05660	0.52982
Rv0100	-	hypothetical protein Rv0100 	3	151.6	164.3	0.12	1364.5	985.92	12.7	0.87940	1.00000
Rv0101	nrp	PROBABLE PEPTIDE SYNTHETASE NRP (PEPTIDE SYNTHASE) 	83	83.8	108.8	0.38	20873.6	18062.61	25.0	0.11120	0.70204
Rv0102	-	PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN 	30	0.0	0.2	2.14	3.7	10.97	0.1	0.75950	1.00000
Rv0103c	ctpB	PROBABLE CATION-TRANSPORTER P-TYPE ATPASE B CTPB 	22	189.6	237.1	0.32	12516.2	10431.94	47.5	0.52000	0.96908
Rv0104	-	hypothetical protein Rv0104 	20	188.6	260.5	0.47	11317.7	10420.27	71.9	0.14780	0.75593
Rv0105c	rpmB	50S ribosomal protein L28 	5	155.9	74.1	-1.07	2338.0	740.73	-81.8	0.27360	0.88850
Rv0106	-	hypothetical protein Rv0106 	9	125.3	213.2	0.77	3382.7	3837.35	87.9	0.29800	0.91502
Rv0107c	ctpI	PROBABLE CATION-TRANSPORTER ATPASE I CTPI 	45	77.5	144.9	0.90	10460.6	13044.80	67.5	0.00660	0.14390
Rv0108c	-	hypothetical protein Rv0108c 	2	159.3	223.3	0.49	955.6	893.10	64.0	0.53740	0.97491
Rv0109	PE_PGRS1	PE-PGRS FAMILY PROTEIN 	18	36.0	121.0	1.75	1943.4	4357.26	85.0	0.06740	0.56026
Rv0110	-	PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN 	12	326.3	409.4	0.33	11746.5	9826.61	83.2	0.36540	0.92034
Rv0111	-	POSSIBLE TRANSMEMBRANE ACYLTRANSFERASE 	29	135.2	211.9	0.65	11762.4	12288.39	76.7	0.04190	0.45553
Rv0112	gca	POSSIBLE GDP-MANNOSE 4,6-DEHYDRATASE GCA (GDP-D-MANNOSE DEHYDRATASE) 	24	61.2	50.6	-0.28	4409.3	2428.91	-10.6	0.70010	1.00000
Rv0113	gmhA	PROBABLE SEDOHEPTULOSE-7-PHOSPHATE ISOMERASE GMHA (PHOSPHOHEPTOSE ISOMERASE) 	10	16.5	14.3	-0.20	495.6	286.74	-2.2	0.78150	1.00000
Rv0114	gmhB	POSSIBLE D-ALPHA,BETA-D-HEPTOSE-1,7-BIPHOSPHATE PHOSPHATASE GMHB (D-GLYCERO-D-MANNO-HEPTOSE 7-PHOSPHATE KINASE) 	6	364.2	270.7	-0.43	6556.0	3248.28	-93.5	0.55860	0.98316
Rv0115	hddA	POSSIBLE D-ALPHA-D-HEPTOSE-7-PHOSPHATE KINASE HDDA 	9	175.3	118.1	-0.57	4733.3	2125.80	-57.2	0.37500	0.92034
Rv0116c	-	POSSIBLE CONSERVED MEMBRANE PROTEIN 	11	196.2	176.1	-0.16	6475.9	3874.00	-20.1	0.82340	1.00000
Rv0117	oxyS	OXIDATIVE STRESS RESPONSE REGULATORY PROTEIN OXYS 	13	64.4	44.8	-0.52	2510.8	1164.34	-19.6	0.50310	0.96395
Rv0118c	oxcA	putative oxalyl-CoA decarboxylase 	20	45.1	39.5	-0.19	2708.6	1578.11	-5.7	0.77990	1.00000
Rv0119	fadD7	acyl-CoA synthetase 	11	5.3	11.3	1.08	175.5	247.95	6.0	0.30940	0.91717
Rv0120c	fusA2	elongation factor G 	21	35.6	65.2	0.87	2242.2	2737.50	29.6	0.23050	0.85152
Rv0121c	-	hypothetical protein Rv0121c 	8	51.7	99.2	0.94	1240.4	1586.71	47.5	0.44020	0.93675
Rv0122	-	hypothetical protein Rv0122 	9	77.0	117.0	0.60	2078.4	2106.63	40.1	0.45980	0.94616
Rv0123	-	hypothetical protein Rv0123 	5	8.3	2.9	-1.52	124.8	29.00	-5.4	0.70270	1.00000
Rv0124	PE_PGRS2	PE-PGRS FAMILY PROTEIN 	8	110.3	141.3	0.36	2648.0	2261.60	31.0	0.62590	1.00000
Rv0125	pepA	PROBABLE SERINE PROTEASE PEPA (SERINE PROTEINASE) (MTB32A) 	8	169.1	301.0	0.83	4057.3	4815.81	131.9	0.23390	0.85266
Rv0126	treS	TREHALOSE SYNTHASE TRES 	23	31.6	240.1	2.93	2177.6	11044.15	208.5	0.00000	0.00000
Rv0127	-	hypothetical protein Rv0127 	19	10.0	81.5	3.03	568.9	3096.63	71.5	0.00000	0.00000
Rv0128	-	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN 	13	357.8	415.8	0.22	13953.0	10809.99	58.0	0.59570	0.99229
Rv0129c	fbpC	SECRETED ANTIGEN 85-C FBPC (85C) (ANTIGEN 85 COMPLEX C) (AG58C) (MYCOLYL TRANSFERASE 85C) (FIBRONECTIN-BINDING PROTEIN C) 	19	193.1	161.6	-0.26	11005.2	6141.01	-31.5	0.45330	0.94250
Rv0130	-	hypothetical protein Rv0130 	3	152.0	95.4	-0.67	1367.7	572.38	-56.6	0.74470	1.00000
Rv0131c	fadE1	PROBABLE ACYL-CoA DEHYDROGENASE FADE1 	14	84.3	99.8	0.24	3538.8	2795.78	15.6	0.72570	1.00000
Rv0132c	fgd2	PUTATIVE F420-DEPENDENT GLUCOSE-6-PHOSPHATE DEHYDROGENASE FGD2 	11	268.1	336.5	0.33	8848.2	7402.61	68.4	0.51120	0.96455
Rv0133	-	PROBABLE ACETYLTRANSFERASE 	4	224.5	342.2	0.61	2694.2	2737.75	117.7	0.26240	0.88278
Rv0134	ephF	POSSIBLE EPOXIDE HYDROLASE EPHF (EPOXIDE HYDRATASE) (ARENE-OXIDE HYDRATASE) 	9	260.3	479.6	0.88	7027.6	8632.70	219.3	0.02380	0.33794
Rv0135c	-	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN 	10	72.9	22.9	-1.67	2185.6	458.48	-49.9	0.03310	0.40885
Rv0136	cyp138	PROBABLE CYTOCHROME P450 138 CYP138 	19	254.9	295.9	0.22	14530.1	11244.08	41.0	0.54390	0.97747
Rv0137c	msrA	methionine sulfoxide reductase A 	10	177.3	166.1	-0.09	5318.0	3321.52	-11.2	0.83810	1.00000
Rv0138	-	hypothetical protein Rv0138 	6	564.2	685.5	0.28	10155.2	8226.08	121.3	0.53100	0.97409
Rv0139	-	POSSIBLE OXIDOREDUCTASE 	10	320.1	644.7	1.01	9601.6	12893.83	324.6	0.09880	0.66836
Rv0140	-	hypothetical protein Rv0140 	13	149.7	233.1	0.64	5837.8	6060.47	83.4	0.16980	0.76915
Rv0141c	-	hypothetical protein Rv0141c 	5	57.7	52.7	-0.13	865.1	526.75	-5.0	0.88290	1.00000
Rv0142	-	hypothetical protein Rv0142 	4	133.5	270.2	1.02	1602.2	2161.27	136.6	0.14140	0.75593
Rv0143c	-	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN 	19	256.3	206.3	-0.31	14607.7	7840.90	-49.9	0.43360	0.93415
Rv0144	-	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN (POSSIBLY TETR-FAMILY) 	10	405.6	431.1	0.09	12169.4	8621.19	25.4	0.79830	1.00000
Rv0145	-	hypothetical protein Rv0145 	13	223.5	305.9	0.45	8714.7	7954.61	82.5	0.26810	0.88750
Rv0146	-	hypothetical protein Rv0146 	14	281.9	330.1	0.23	11838.1	9242.82	48.2	0.62720	1.00000
Rv0147	-	PROBABLE ALDEHYDE DEHYDROGENASE (NAD+) DEPENDENT 	18	326.8	314.7	-0.05	17649.0	11329.17	-12.1	0.86600	1.00000
Rv0148	-	PROBABLE SHORT-CHAIN TYPE DEHYDROGENASE/REDUCTASE 	12	318.5	338.1	0.09	11465.7	8113.98	19.6	0.82160	1.00000
Rv0149	-	POSSIBLE QUINONE OXIDOREDUCTASE (NADPH:QUINONE OXIDOREDUCTASE) (ZETA-CRYSTALLIN) 	14	222.9	222.9	0.00	9362.0	6242.29	0.0	0.99970	1.00000
Rv0150c	-	hypothetical protein Rv0150c 	3	5.5	3.7	-0.57	49.1	22.05	-1.8	0.89880	1.00000
Rv0151c	PE1	PE FAMILY PROTEIN 	31	276.5	378.9	0.45	25714.2	23494.41	102.4	0.21570	0.82994
Rv0152c	PE2	PE FAMILY PROTEIN 	28	406.2	444.2	0.13	34117.0	24873.31	38.0	0.60890	0.99229
Rv0153c	ptbB	PHOSPHOTYROSINE PROTEIN PHOSPHATASE PTPB (PROTEIN-TYROSINE-PHOSPHATASE) (PTPase) 	7	116.4	106.2	-0.13	2445.3	1487.42	-10.2	0.80090	1.00000
Rv0154c	fadE2	PROBABLE ACYL-CoA DEHYDROGENASE FADE2 	7	147.8	188.8	0.35	3104.3	2642.59	40.9	0.65040	1.00000
Rv0155	pntAa	PROBABLE NAD(P) TRANSHYDROGENASE (SUBUNIT ALPHA) PNTAA 	8	301.5	318.0	0.08	7235.2	5087.93	16.5	0.84300	1.00000
Rv0156	pntAb	PROBABLE NAD(P) TRANSHYDROGENASE (SUBUNIT ALPHA) PNTAB 	0	0.0	0.0	0.00	0.0	0.00	0.0	1.00000	1.00000
Rv0157	pntB	PROBABLE NAD(P) TRANSHYDROGENASE (SUBUNIT BETA) PNTB 	8	209.7	283.5	0.43	5033.5	4535.63	73.7	0.25680	0.87501
Rv0158	-	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN (POSSIBLY TETR-FAMILY) 	13	356.1	565.7	0.67	13886.5	14707.54	209.6	0.00980	0.18890
Rv0159c	PE3	PE FAMILY PROTEIN 	38	342.6	471.3	0.46	39059.5	35820.71	128.7	0.13440	0.75593
Rv0160c	PE4	PE FAMILY PROTEIN 	33	271.1	372.1	0.46	26837.6	24559.01	101.0	0.18300	0.78926
Rv0161	-	POSSIBLE OXIDOREDUCTASE 	11	39.3	64.8	0.72	1295.7	1425.10	25.5	0.33120	0.92034
Rv0162c	adhE1	PROBABLE ZINC-TYPE ALCOHOL DEHYDROGENASE (E SUBUNIT) ADHE 	12	90.2	107.7	0.26	3245.5	2583.64	17.5	0.63480	1.00000
Rv0163	-	hypothetical protein Rv0163 	9	183.0	298.5	0.71	4940.0	5372.99	115.5	0.12610	0.73344
Rv0164	TB18.5	hypothetical protein Rv0164 	7	0.0	1.6	1.37	0.0	22.11	1.6	0.39880	0.92034
Rv0165c	-	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY GNTR-FAMILY) 	5	352.6	273.3	-0.37	5288.8	2733.20	-79.3	0.56100	0.98419
Rv0166	fadD5	acyl-CoA synthetase 	19	194.3	266.7	0.46	11076.7	10133.25	72.3	0.19290	0.79676
