#Resampling
#Console: python /store/home/mad/anaconda2/envs/python3/bin/transit resampling 2018_Carey_A-H/Rv_1.wig,2018_Carey_A-H/Rv_2.wig,2018_Carey_A-H/Rv_3.wig 2018_Carey_A-H/663_1.wig,2018_Carey_A-H/663_2.wig /quartz/data/TnSeq/tnseq_matrix_project/tuberculosis/H37Rv.prot_table /quartz/data/TnSeq/tnseq_matrix_project/tuberculosis/Results/result_resampling_carey_663_vs_carey_rv_LOESS.txt -l
#Control Data: b'2018_Carey_A-H/Rv_1.wig,2018_Carey_A-H/Rv_2.wig,2018_Carey_A-H/Rv_3.wig'
#Experimental Data: b'2018_Carey_A-H/663_1.wig,2018_Carey_A-H/663_2.wig'
#Annotation path: b'/quartz/data/TnSeq/tnseq_matrix_project/tuberculosis/H37Rv.prot_table' 
#Time: 2109.9459793567657
#Orf	Name	Desc	Sites	Mean Ctrl	Mean Exp	log2FC	Sum Ctrl	Sum Exp	Delta Mean	p-value	Adj. p-value
Rv0011c	-	putative septation inhibitor protein 	3	2.1	1.8	-0.22	19.0	10.88	-0.3	0.86410	1.00000
Rv0012	-	PROBABLE CONSERVED MEMBRANE PROTEIN 	16	187.7	174.8	-0.10	9011.3	5594.61	-12.9	0.79010	0.99955
Rv0013	trpG	para-aminobenzoate synthase component II 	15	2.0	13.6	2.75	91.4	409.28	11.6	0.05060	0.44766
Rv0014c	pknB	TRANSMEMBRANE SERINE/THREONINE-PROTEIN KINASE B PKNB (PROTEIN KINASE B) (STPK B) 	24	0.0	0.4	0.50	0.0	19.86	0.4	0.15040	0.70459
Rv0015c	pknA	TRANSMEMBRANE SERINE/THREONINE-PROTEIN KINASE A PKNA (PROTEIN KINASE A) (STPK A) 	16	8.1	5.7	-0.49	387.3	183.38	-2.3	0.69340	0.98902
Rv0016c	pbpA	PROBABLE PENICILLIN-BINDING PROTEIN PBPA 	37	40.6	39.0	-0.06	4508.4	2883.26	-1.7	0.97430	1.00000
Rv0017c	rodA	PROBABLE CELL DIVISION PROTEIN RODA 	27	82.1	84.3	0.04	6651.2	4549.62	2.1	0.96270	1.00000
Rv0018c	ppp	POSSIBLE SERINE/THREONINE PHOSPHATASE PPP 	25	66.2	69.5	0.07	4961.3	3475.62	3.4	0.89550	1.00000
Rv0019c	-	hypothetical protein Rv0019c 	13	110.3	92.1	-0.26	4300.2	2395.88	-18.1	0.52590	0.95052
Rv0020c	TB39.8	hypothetical protein Rv0020c 	52	20.0	22.2	0.15	3120.0	2307.30	2.2	0.80180	0.99955
Rv0021c	-	hypothetical protein Rv0021c 	22	256.6	336.7	0.39	16933.5	14814.82	80.1	0.29440	0.87649
Rv0022c	whiB5	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN WHIB-LIKE WHIB5 	8	236.9	343.0	0.53	5686.5	5488.71	106.1	0.49030	0.93838
Rv0023	-	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN 	12	0.0	1.7	1.45	0.0	41.68	1.7	0.06010	0.47658
Rv0024	-	PUTATIVE SECRETED PROTEIN P60-RELATED PROTEIN 	12	191.5	177.6	-0.11	6894.4	4263.41	-13.9	0.85270	1.00000
Rv0025	-	hypothetical protein Rv0025 	7	104.6	177.1	0.76	2197.4	2480.05	72.5	0.19070	0.76013
Rv0026	-	hypothetical protein Rv0026 	14	159.0	160.5	0.01	6678.3	4493.04	1.5	0.97570	1.00000
Rv0027	-	hypothetical protein Rv0027 	5	119.7	111.5	-0.10	1795.2	1114.93	-8.2	0.89580	1.00000
Rv0028	-	hypothetical protein Rv0028 	5	183.7	286.5	0.64	2755.8	2864.94	102.8	0.34990	0.90731
Rv0029	-	hypothetical protein Rv0029 	18	145.9	156.4	0.10	7879.7	5631.09	10.5	0.86040	1.00000
Rv0030	-	hypothetical protein Rv0030 	5	53.1	31.0	-0.78	796.3	309.84	-22.1	0.30300	0.88182
Rv0031	-	POSSIBLE REMNANT OF A TRANSPOSASE 	1	5.1	31.4	2.61	15.4	62.87	26.3	0.39870	0.90731
Rv0032	bioF2	POSSIBLE 8-AMINO-7-OXONONANOATE SYNTHASE BIOF2 (AONS) (8-AMINO-7-KETOPELARGONATE SYNTHASE) (7-KETO-8-AMINO-PELARGONIC ACID SYNTHETASE) (7-KAP SYNTHETASE) (L-ALANINE--PIMELYL CoA LIGASE) 	57	131.4	164.1	0.32	22475.8	18703.80	32.6	0.31420	0.88964
Rv0033	acpA	PROBABLE ACYL CARRIER PROTEIN ACPA (ACP) 	3	361.9	483.1	0.42	3256.8	2898.44	121.2	0.40370	0.90731
Rv0034	-	hypothetical protein Rv0034 	5	130.1	363.1	1.48	1951.5	3631.12	233.0	0.16620	0.71195
Rv0035	fadD34	PROBABLE FATTY-ACID-CoA LIGASE FADD34 (FATTY-ACID-CoA SYNTHETASE) (FATTY-ACID-CoA SYNTHASE) 	25	217.6	370.2	0.77	16319.6	18509.79	152.6	0.02250	0.29148
Rv0036c	-	hypothetical protein Rv0036c 	4	346.3	540.3	0.64	4155.2	4322.16	194.0	0.30580	0.88247
Rv0037c	-	PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN 	20	259.3	430.3	0.73	15557.7	17212.86	171.0	0.18070	0.73797
Rv0038	-	hypothetical protein Rv0038 	7	213.6	172.4	-0.31	4484.7	2412.92	-41.2	0.57480	0.96212
Rv0039c	-	POSSIBLE CONSERVED TRANSMEMBRANE PROTEIN 	4	210.3	237.2	0.17	2523.4	1897.36	26.9	0.78010	0.99737
Rv0040c	mtc28	SECRETED PROLINE RICH PROTEIN MTC28 (PROLINE RICH 28 KDA ANTIGEN) 	9	240.7	149.4	-0.69	6499.1	2689.81	-91.3	0.14180	0.70459
Rv0041	leuS	leucyl-tRNA synthetase 	72	0.0	0.2	3.54	3.7	28.88	0.2	0.03820	0.38200
Rv0042c	-	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY MARR-FAMILY) 	5	39.5	83.8	1.09	591.9	838.37	44.4	0.15420	0.70459
Rv0043c	-	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY GNTR-FAMILY) 	10	159.6	179.7	0.17	4789.2	3594.06	20.1	0.79830	0.99955
Rv0044c	-	POSSIBLE OXIDOREDUCTASE 	20	142.1	200.3	0.50	8526.1	8011.11	58.2	0.22440	0.80766
Rv0045c	-	POSSIBLE HYDROLASE 	7	135.6	274.6	1.02	2848.6	3844.39	139.0	0.03860	0.38407
Rv0046c	ino1	MYO-INOSITOL-1-PHOSPHATE SYNTHASE INO1 (Inositol 1-phosphate synthetase) (D-glucose 6-phosphate cycloaldolase) (Glucose 6-phosphate cyclase) (Glucocycloaldolase) 	16	0.0	0.0	0.00	0.0	0.00	0.0	1.00000	1.00000
Rv0047c	-	hypothetical protein Rv0047c 	7	155.0	166.2	0.10	3256.0	2326.37	11.1	0.89550	1.00000
Rv0048c	-	POSSIBLE MEMBRANE PROTEIN 	16	353.9	293.0	-0.27	16988.6	9375.68	-60.9	0.54410	0.95387
Rv0049	-	hypothetical protein Rv0049 	8	107.2	142.5	0.41	2573.8	2280.14	35.3	0.37580	0.90731
Rv0050	ponA1	PROBABLE BIFUNCTIONAL PENICILLIN-BINDING PROTEIN 1A/1B PONA1 (MUREIN POLYMERASE) (PBP1): PENICILLIN-INSENSITIVE TRANSGLYCOSYLASE (PEPTIDOGLYCAN TGASE) + PENICILLIN-SENSITIVE TRANSPEPTIDASE (DD-TRANSPEPTIDASE) 	37	34.2	14.9	-1.20	3801.0	1102.71	-19.3	0.01320	0.21854
Rv0051	-	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN 	34	91.3	124.3	0.45	9309.6	8455.66	33.1	0.31740	0.89185
Rv0052	-	hypothetical protein Rv0052 	7	246.1	336.6	0.45	5168.3	4712.81	90.5	0.32640	0.89878
Rv0053	rpsF	30S ribosomal protein S6 	6	5.5	18.6	1.75	99.9	223.36	13.1	0.43590	0.91941
Rv0054	ssb	single-strand DNA-binding protein 	5	0.0	0.0	0.00	0.0	0.00	0.0	1.00000	1.00000
Rv0055	rpsR	30S ribosomal protein S18 	4	7.4	11.6	0.65	88.5	92.53	4.2	0.69380	0.98902
Rv0056	rplI	50S ribosomal protein L9 	7	52.4	69.2	0.40	1100.0	968.25	16.8	0.56830	0.96119
Rv0057	-	hypothetical protein Rv0057 	15	42.0	85.8	1.03	1889.1	2573.79	43.8	0.07320	0.53297
Rv0058	dnaB	replicative DNA helicase 	39	0.0	0.3	0.33	0.0	19.91	0.3	0.15410	0.70459
Rv0059	-	hypothetical protein Rv0059 	20	327.3	305.8	-0.10	19635.3	12231.66	-21.5	0.74520	0.99595
Rv0060	-	hypothetical protein Rv0060 	23	7.3	32.9	2.17	504.8	1512.09	25.6	0.43300	0.91738
Rv0061	-	hypothetical protein Rv0061 	6	126.3	56.0	-1.17	2274.0	672.09	-70.3	0.05100	0.44909
Rv0062	celA1	POSSIBLE CELLULASE CELA1 (ENDOGLUCANASE) (ENDO-1,4-BETA-GLUCANASE) (FI-CMCASE) (CARBOXYMETHYL CELLULASE) 	21	165.0	224.3	0.44	10394.9	9421.10	59.3	0.21560	0.79432
Rv0063	-	POSSIBLE OXIDOREDUCTASE 	23	158.4	155.4	-0.03	10928.5	7148.17	-3.0	0.93280	1.00000
Rv0064	-	hypothetical protein Rv0064 	68	89.1	79.5	-0.17	18182.6	10807.43	-9.7	0.55010	0.95472
Rv0065	-	hypothetical protein Rv0065 	8	72.3	111.6	0.63	1734.4	1785.54	39.3	0.25730	0.83527
Rv0066c	icd2	PROBABLE ISOCITRATE DEHYDROGENASE 	38	5.7	95.1	4.07	645.2	7228.26	89.4	0.00000	0.00000
Rv0067c	-	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN (POSSIBLY TETR-FAMILY) 	12	44.5	36.0	-0.31	1603.6	863.01	-8.6	0.59930	0.97355
Rv0068	-	short chain dehydrogenase 	12	232.9	352.9	0.60	8383.8	8468.66	120.0	0.54330	0.95387
Rv0069c	sdaA	PROBABLE L-SERINE DEHYDRATASE SDAA (L-SERINE DEAMINASE) (SDH) (L-SD) 	12	81.8	89.7	0.13	2945.6	2153.25	7.9	0.83630	1.00000
Rv0070c	glyA2	PROBABLE SERINE HYDROXYMETHYLTRANSFERASE GLYA2 (SERINE METHYLASE 2) (SHMT 2) 	18	103.1	105.2	0.03	5565.1	3787.38	2.1	0.95670	1.00000
Rv0071	-	POSSIBLE MATURASE 	8	175.0	110.0	-0.67	4199.8	1760.32	-65.0	0.40320	0.90731
Rv0072	-	PROBABLE GLUTAMINE-TRANSPORT TRANSMEMBRANE PROTEIN ABC TRANSPORTER 	16	316.9	427.9	0.43	15211.3	13692.43	111.0	0.35410	0.90731
Rv0073	-	PROBABLE GLUTAMINE-TRANSPORT ATP-BINDING PROTEIN ABC TRANSPORTER 	15	240.2	224.6	-0.10	10807.8	6737.02	-15.6	0.80230	0.99955
Rv0074	-	hypothetical protein Rv0074 	19	165.8	321.2	0.95	9452.9	12204.50	155.3	0.06260	0.48594
Rv0075	-	PROBABLE AMINOTRANSFERASE 	24	190.6	180.8	-0.08	13720.5	8678.06	-9.8	0.83450	1.00000
Rv0076c	-	PROBABLE MEMBRANE PROTEIN 	3	500.9	409.8	-0.29	4507.9	2458.52	-91.1	0.64560	0.98206
Rv0077c	-	PROBABLE OXIDOREDUCTASE 	14	112.0	102.8	-0.12	4704.8	2879.03	-9.2	0.76190	0.99595
Rv0078	-	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN 	8	84.2	36.8	-1.19	2020.1	589.32	-47.3	0.08080	0.56362
Rv0078A	-	hypothetical protein Rv0078A 	10	152.7	120.8	-0.34	4582.1	2416.69	-31.9	0.54450	0.95387
Rv0079	-	hypothetical protein Rv0079 	14	168.5	184.6	0.13	7076.5	5169.09	16.1	0.77310	0.99634
Rv0080	-	hypothetical protein Rv0080 	4	167.9	209.1	0.32	2015.0	1672.99	41.2	0.71280	0.99595
Rv0081	-	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN 	5	234.1	186.8	-0.33	3511.1	1868.34	-47.2	0.53970	0.95348
Rv0082	-	PROBABLE OXIDOREDUCTASE 	7	75.7	62.2	-0.28	1589.0	870.89	-13.5	0.76490	0.99595
Rv0083	-	PROBABLE OXIDOREDUCTASE 	23	125.9	176.2	0.49	8686.8	8106.07	50.3	0.10830	0.65799
Rv0084	hycD	POSSIBLE FORMATE HYDROGENLYASE HYCD (FHL) 	9	106.3	137.6	0.37	2870.7	2476.75	31.3	0.68050	0.98519
Rv0085	hycP	POSSIBLE HYDROGENASE HYCP 	4	144.4	197.8	0.45	1732.7	1582.74	53.4	0.68160	0.98568
Rv0086	hycQ	POSSIBLE HYDROGENASE HYCQ 	15	81.1	63.2	-0.36	3649.8	1897.16	-17.9	0.54390	0.95387
Rv0087	hycE	POSSIBLE FORMATE HYDROGENASE HYCE (FHL) 	25	36.7	20.8	-0.82	2755.5	1037.53	-16.0	0.25760	0.83527
Rv0088	-	hypothetical protein Rv0088 	14	26.1	26.6	0.03	1095.2	745.89	0.6	0.96260	1.00000
Rv0089	-	POSSIBLE METHYLTRANSFERASE/METHYLASE 	10	84.5	152.9	0.86	2534.5	3057.44	68.4	0.18370	0.74640
Rv0090	-	POSSIBLE MEMBRANE PROTEIN 	12	100.1	109.1	0.13	3601.8	2619.43	9.1	0.79240	0.99955
Rv0091	mtn	PROBABLE BIFUNCTIONAL MTA/SAH NUCLEOSIDASE MTN: 5'-METHYLTHIOADENOSINE NUCLEOSIDASE (METHYLTHIOADENOSINE METHYLTHIORIBOHYDROLASE) + S-ADENOSYLHOMOCYSTEINE NUCLEOSIDASE (S-ADENOSYL-L-HOMOCYSTEINE HOMOCYSTEINYLRIBOHYDROLASE) 	11	148.3	252.7	0.77	4894.1	5559.18	104.4	0.24000	0.81637
Rv0092	ctpA	PROBABLE CATION TRANSPORTER P-TYPE ATPASE A CTPA 	30	63.0	124.7	0.98	5672.0	7482.96	61.7	0.00400	0.09172
Rv0093c	-	PROBABLE CONSERVED MEMBRANE PROTEIN 	8	58.2	84.1	0.53	1396.7	1345.81	25.9	0.63310	0.97682
Rv0094c	-	hypothetical protein Rv0094c 	14	162.8	228.3	0.49	6835.9	6391.40	65.5	0.14440	0.70459
Rv0095c	-	hypothetical protein Rv0095c 	9	17.7	34.9	0.98	479.1	628.76	17.2	0.72100	0.99595
Rv0096	PPE1	PPE FAMILY PROTEIN 	34	150.8	215.1	0.51	15381.4	14628.33	64.3	0.13840	0.70459
Rv0097	-	POSSIBLE OXIDOREDUCTASE 	26	127.8	187.3	0.55	9970.2	9742.06	59.5	0.17200	0.72013
Rv0098	-	hypothetical protein Rv0098 	11	35.9	65.9	0.88	1186.2	1450.45	30.0	0.12600	0.69839
Rv0099	fadD10	acyl-CoA synthetase 	32	37.7	75.5	1.00	3618.5	4829.99	37.8	0.09280	0.61303
Rv0100	-	hypothetical protein Rv0100 	3	151.6	164.3	0.12	1364.5	985.92	12.7	0.88230	1.00000
Rv0101	nrp	PROBABLE PEPTIDE SYNTHETASE NRP (PEPTIDE SYNTHASE) 	122	85.7	99.1	0.21	31371.2	24182.71	13.4	0.29480	0.87649
Rv0102	-	PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN 	42	0.1	0.1	1.11	7.6	10.97	0.1	0.90650	1.00000
Rv0103c	ctpB	PROBABLE CATION-TRANSPORTER P-TYPE ATPASE B CTPB 	30	182.8	199.9	0.13	16455.5	11993.85	17.1	0.76940	0.99595
Rv0104	-	hypothetical protein Rv0104 	27	210.8	284.7	0.43	17072.4	15374.56	73.9	0.13740	0.70459
Rv0105c	rpmB	50S ribosomal protein L28 	5	155.9	74.1	-1.07	2338.0	740.73	-81.8	0.27790	0.86183
Rv0106	-	hypothetical protein Rv0106 	12	146.8	226.8	0.63	5285.6	5442.37	79.9	0.28450	0.86980
Rv0107c	ctpI	PROBABLE CATION-TRANSPORTER ATPASE I CTPI 	65	96.4	138.5	0.52	18802.6	18009.73	42.1	0.06400	0.49149
Rv0108c	-	hypothetical protein Rv0108c 	2	159.3	223.3	0.49	955.6	893.10	64.0	0.54460	0.95387
Rv0109	PE_PGRS1	PE-PGRS FAMILY PROTEIN 	27	47.3	125.2	1.41	3828.0	6761.94	78.0	0.03340	0.35349
Rv0110	-	PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN 	13	308.1	404.5	0.39	12017.8	10517.97	96.4	0.26400	0.84389
Rv0111	-	POSSIBLE TRANSMEMBRANE ACYLTRANSFERASE 	42	118.3	192.0	0.70	14904.2	16130.20	73.7	0.01350	0.22076
Rv0112	gca	POSSIBLE GDP-MANNOSE 4,6-DEHYDRATASE GCA (GDP-D-MANNOSE DEHYDRATASE) 	31	59.3	51.1	-0.22	5518.2	3167.22	-8.3	0.71390	0.99595
Rv0113	gmhA	PROBABLE SEDOHEPTULOSE-7-PHOSPHATE ISOMERASE GMHA (PHOSPHOHEPTOSE ISOMERASE) 	12	19.4	30.4	0.65	697.3	730.38	11.1	0.41550	0.91016
Rv0114	gmhB	POSSIBLE D-ALPHA,BETA-D-HEPTOSE-1,7-BIPHOSPHATE PHOSPHATASE GMHB (D-GLYCERO-D-MANNO-HEPTOSE 7-PHOSPHATE KINASE) 	9	321.4	229.5	-0.49	8678.9	4130.75	-92.0	0.42540	0.91583
Rv0115	hddA	POSSIBLE D-ALPHA-D-HEPTOSE-7-PHOSPHATE KINASE HDDA 	18	186.4	156.0	-0.26	10063.7	5616.79	-30.3	0.58790	0.96820
Rv0116c	-	POSSIBLE CONSERVED MEMBRANE PROTEIN 	17	189.7	179.9	-0.08	9675.7	6115.79	-9.8	0.87050	1.00000
Rv0117	oxyS	OXIDATIVE STRESS RESPONSE REGULATORY PROTEIN OXYS 	17	92.4	96.6	0.06	4712.4	3286.07	4.2	0.89730	1.00000
Rv0118c	oxcA	putative oxalyl-CoA decarboxylase 	26	46.3	51.4	0.15	3613.3	2674.80	5.1	0.76790	0.99595
Rv0119	fadD7	acyl-CoA synthetase 	13	4.6	9.5	1.05	179.4	247.95	4.9	0.32630	0.89878
Rv0120c	fusA2	elongation factor G 	27	27.9	54.3	0.96	2257.8	2933.46	26.4	0.16220	0.70807
Rv0121c	-	hypothetical protein Rv0121c 	10	41.3	79.3	0.94	1240.4	1586.71	38.0	0.45650	0.92394
Rv0122	-	hypothetical protein Rv0122 	9	77.0	117.0	0.60	2078.4	2106.63	40.1	0.46220	0.92394
Rv0123	-	hypothetical protein Rv0123 	8	35.2	3.1	-3.52	844.4	48.99	-32.1	0.20710	0.78548
Rv0124	PE_PGRS2	PE-PGRS FAMILY PROTEIN 	13	143.8	174.1	0.28	5609.4	4527.65	30.3	0.53790	0.95348
Rv0125	pepA	PROBABLE SERINE PROTEASE PEPA (SERINE PROTEINASE) (MTB32A) 	10	156.8	252.0	0.68	4705.4	5039.84	95.1	0.30300	0.88182
Rv0126	treS	TREHALOSE SYNTHASE TRES 	31	38.6	203.7	2.40	3591.9	12629.52	165.1	0.00000	0.00000
Rv0127	-	hypothetical protein Rv0127 	30	15.8	99.6	2.66	1421.7	5976.27	83.8	0.00000	0.00000
Rv0128	-	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN 	19	287.9	315.4	0.13	16412.4	11986.23	27.5	0.74050	0.99595
Rv0129c	fbpC	SECRETED ANTIGEN 85-C FBPC (85C) (ANTIGEN 85 COMPLEX C) (AG58C) (MYCOLYL TRANSFERASE 85C) (FIBRONECTIN-BINDING PROTEIN C) 	28	164.1	137.3	-0.26	13785.1	7686.94	-26.8	0.41690	0.91054
Rv0130	-	hypothetical protein Rv0130 	4	155.2	106.8	-0.54	1862.3	854.60	-48.4	0.64010	0.97878
Rv0131c	fadE1	PROBABLE ACYL-CoA DEHYDROGENASE FADE1 	18	83.0	165.0	0.99	4481.3	5940.16	82.0	0.29300	0.87636
Rv0132c	fgd2	PUTATIVE F420-DEPENDENT GLUCOSE-6-PHOSPHATE DEHYDROGENASE FGD2 	15	219.8	290.2	0.40	9891.3	8705.46	70.4	0.37900	0.90731
Rv0133	-	PROBABLE ACETYLTRANSFERASE 	7	315.4	474.5	0.59	6623.9	6642.83	159.1	0.26010	0.83681
Rv0134	ephF	POSSIBLE EPOXIDE HYDROLASE EPHF (EPOXIDE HYDRATASE) (ARENE-OXIDE HYDRATASE) 	12	226.6	388.3	0.78	8156.9	9320.31	161.8	0.03590	0.36823
Rv0135c	-	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN 	11	66.2	20.8	-1.67	2185.6	458.48	-45.4	0.03590	0.36823
Rv0136	cyp138	PROBABLE CYTOCHROME P450 138 CYP138 	23	251.7	301.9	0.26	17365.9	13888.72	50.2	0.42490	0.91583
Rv0137c	msrA	methionine sulfoxide reductase A 	11	165.4	152.3	-0.12	5456.8	3350.55	-13.1	0.80660	0.99961
Rv0138	-	hypothetical protein Rv0138 	6	564.2	685.5	0.28	10155.2	8226.08	121.3	0.53190	0.95163
Rv0139	-	POSSIBLE OXIDOREDUCTASE 	12	319.3	564.6	0.82	11496.2	13549.60	245.2	0.16160	0.70778
Rv0140	-	hypothetical protein Rv0140 	15	148.8	229.8	0.63	6696.0	6894.36	81.0	0.13240	0.70459
Rv0141c	-	hypothetical protein Rv0141c 	9	105.3	173.0	0.72	2843.2	3113.92	67.7	0.29210	0.87630
Rv0142	-	hypothetical protein Rv0142 	6	146.4	312.7	1.09	2635.1	3751.94	166.3	0.08440	0.57961
Rv0143c	-	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN 	27	218.0	212.0	-0.04	17656.9	11449.65	-6.0	0.90750	1.00000
Rv0144	-	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN (POSSIBLY TETR-FAMILY) 	14	407.4	422.4	0.05	17110.5	11828.44	15.1	0.87640	1.00000
Rv0145	-	hypothetical protein Rv0145 	15	223.3	282.4	0.34	10046.3	8471.30	59.1	0.37270	0.90731
Rv0146	-	hypothetical protein Rv0146 	16	252.7	308.3	0.29	12129.7	9864.95	55.6	0.53590	0.95348
Rv0147	-	PROBABLE ALDEHYDE DEHYDROGENASE (NAD+) DEPENDENT 	26	271.8	288.8	0.09	21203.0	15019.33	17.0	0.75000	0.99595
Rv0148	-	PROBABLE SHORT-CHAIN TYPE DEHYDROGENASE/REDUCTASE 	16	289.2	286.1	-0.02	13881.9	9154.24	-3.1	0.96330	1.00000
Rv0149	-	POSSIBLE QUINONE OXIDOREDUCTASE (NADPH:QUINONE OXIDOREDUCTASE) (ZETA-CRYSTALLIN) 	21	215.3	218.4	0.02	13561.6	9172.75	3.1	0.95300	1.00000
Rv0150c	-	hypothetical protein Rv0150c 	4	6.4	9.4	0.56	76.3	75.17	3.0	0.62580	0.97682
Rv0151c	PE1	PE FAMILY PROTEIN 	44	285.1	349.4	0.29	37637.8	30750.48	64.3	0.30460	0.88247
Rv0152c	PE2	PE FAMILY PROTEIN 	40	371.9	415.6	0.16	44625.2	33247.36	43.7	0.44620	0.92394
Rv0153c	ptbB	PHOSPHOTYROSINE PROTEIN PHOSPHATASE PTPB (PROTEIN-TYROSINE-PHOSPHATASE) (PTPase) 	11	127.1	119.0	-0.10	4195.9	2618.40	-8.1	0.80540	0.99955
Rv0154c	fadE2	PROBABLE ACYL-CoA DEHYDROGENASE FADE2 	12	206.1	175.4	-0.23	7417.8	4208.68	-30.7	0.67890	0.98519
Rv0155	pntAa	PROBABLE NAD(P) TRANSHYDROGENASE (SUBUNIT ALPHA) PNTAA 	10	263.9	280.4	0.09	7918.2	5607.49	16.4	0.81660	1.00000
Rv0156	pntAb	PROBABLE NAD(P) TRANSHYDROGENASE (SUBUNIT ALPHA) PNTAB 	1	924.3	1500.3	0.70	2772.8	3000.53	576.0	0.29550	0.87727
Rv0157	pntB	PROBABLE NAD(P) TRANSHYDROGENASE (SUBUNIT BETA) PNTB 	14	382.8	403.6	0.08	16078.9	11299.48	20.7	0.85360	1.00000
Rv0158	-	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN (POSSIBLY TETR-FAMILY) 	16	318.2	471.8	0.57	15274.5	15097.84	153.6	0.03870	0.38411
Rv0159c	PE3	PE FAMILY PROTEIN 	50	385.3	472.2	0.29	57790.1	47220.65	86.9	0.23830	0.81579
Rv0160c	PE4	PE FAMILY PROTEIN 	42	274.4	372.5	0.44	34573.1	31287.20	98.1	0.13160	0.70459
Rv0161	-	POSSIBLE OXIDOREDUCTASE 	19	69.6	159.1	1.19	3970.0	6045.07	89.4	0.09320	0.61430
Rv0162c	adhE1	PROBABLE ZINC-TYPE ALCOHOL DEHYDROGENASE (E SUBUNIT) ADHE 	16	97.4	120.3	0.30	4676.2	3850.53	22.9	0.47250	0.92989
Rv0163	-	hypothetical protein Rv0163 	10	173.3	280.6	0.70	5197.5	5611.04	107.3	0.12100	0.69213
Rv0164	TB18.5	hypothetical protein Rv0164 	8	138.0	155.6	0.17	3312.5	2489.58	17.6	0.82570	1.00000
Rv0165c	-	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY GNTR-FAMILY) 	8	269.8	207.5	-0.38	6475.9	3320.60	-62.3	0.51540	0.94790
Rv0166	fadD5	acyl-CoA synthetase 	27	190.5	305.5	0.68	15432.7	16495.53	114.9	0.04980	0.44552
