#Resampling
#Command: python transit.py normalize=TTR ignoreNTerm=0.0 doLOESS=False ignoreCodon=True annotationPath=H37Rv.prot_table ignoreCTerm=0.0 histPath= sampleSize=10000 output=<open file 'H37Rv_vs_delta_Rv3594_TTR.dat', mode 'w' at 0x2d7dc00> expList=['delta_Rv3594_TnSeq.wig'] doAdaptive=False ctrlList=['H37Rv_TnSeq.wig']
#Control Samples:  H37Rv_TnSeq.wig
#Experimental Samples:  delta_Rv3594_TnSeq.wig
#Normalized with TTR
#TTR factors:	1.0000	0.9593
#Orf	Name	Description	N	TAs Hit	Sum Rd 1	Sum Rd 2	Delta Rd	log2 FC	p-value	p-adj
Rv0019c	-	hypothetical protein Rv0019c 	13	12	869.0	1831.3	962.3	1.08	0.11160	1.00000
Rv0020c	TB39.8	hypothetical protein Rv0020c 	52	11	2034.0	3021.9	987.9	0.57	0.50710	1.00000
Rv0021c	-	hypothetical protein Rv0021c 	22	22	3659.0	2762.9	-896.1	-0.41	0.53510	1.00000
Rv0022c	whiB5	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN WHIB-LIKE WHIB5 	8	7	1008.0	1123.4	115.4	0.16	0.79890	1.00000
Rv0023	-	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN 	12	7	33.0	26.9	-6.1	-0.30	0.69420	1.00000
Rv0024	-	PUTATIVE SECRETED PROTEIN P60-RELATED PROTEIN 	12	10	1462.0	1062.0	-400.0	-0.46	0.58080	1.00000
Rv0025	-	hypothetical protein Rv0025 	7	7	986.0	683.0	-303.0	-0.53	0.66420	1.00000
Rv0026	-	hypothetical protein Rv0026 	14	10	1400.0	1473.5	73.5	0.07	0.90670	1.00000
Rv0027	-	hypothetical protein Rv0027 	5	4	65.0	247.5	182.5	1.93	0.18690	1.00000
Rv0028	-	hypothetical protein Rv0028 	5	5	877.0	886.4	9.4	0.02	0.98010	1.00000
Rv0029	-	hypothetical protein Rv0029 	18	16	2101.0	2007.9	-93.1	-0.07	0.92810	1.00000
Rv0030	-	hypothetical protein Rv0030 	5	5	670.0	83.5	-586.5	-3.00	0.02590	0.84305
Rv0031	-	POSSIBLE REMNANT OF A TRANSPOSASE 	1	0	0.0	0.0	0.0	0.00	1.00000	1.00000
Rv0032	bioF2	POSSIBLE 8-AMINO-7-OXONONANOATE SYNTHASE BIOF2 (AONS) (8-AMINO-7-KETOPELARGONATE SYNTHASE) (7-KETO-8-AMINO-PELARGONIC ACID SYNTHETASE) (7-KAP SYNTHETASE) (L-ALANINE--PIMELYL CoA LIGASE) 	57	46	4798.0	5787.6	989.6	0.27	0.62410	1.00000
Rv0033	acpA	PROBABLE ACYL CARRIER PROTEIN ACPA (ACP) 	3	3	627.0	588.1	-38.9	-0.09	1.00000	1.00000
Rv0034	-	hypothetical protein Rv0034 	5	5	422.0	529.5	107.5	0.33	0.71130	1.00000
Rv0035	fadD34	PROBABLE FATTY-ACID-CoA LIGASE FADD34 (FATTY-ACID-CoA SYNTHETASE) (FATTY-ACID-CoA SYNTHASE) 	25	22	4522.0	3146.6	-1375.4	-0.52	0.33370	1.00000
Rv0036c	-	hypothetical protein Rv0036c 	4	4	614.0	717.6	103.6	0.22	0.82650	1.00000
Rv0037c	-	PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN 	20	16	6595.0	6361.3	-233.7	-0.05	0.94690	1.00000
Rv0038	-	hypothetical protein Rv0038 	7	7	379.0	832.7	453.7	1.14	0.31120	1.00000
Rv0039c	-	POSSIBLE CONSERVED TRANSMEMBRANE PROTEIN 	4	4	530.0	311.8	-218.2	-0.77	0.66090	1.00000
Rv0040c	mtc28	SECRETED PROLINE RICH PROTEIN MTC28 (PROLINE RICH 28 KDA ANTIGEN) 	9	8	1243.0	996.7	-246.3	-0.32	0.51020	1.00000
Rv0041	leuS	leucyl-tRNA synthetase 	72	0	0.0	0.0	0.0	0.00	1.00000	1.00000
Rv0042c	-	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY MARR-FAMILY) 	5	5	196.0	589.0	393.0	1.59	0.16780	1.00000
Rv0043c	-	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY GNTR-FAMILY) 	10	9	704.0	587.1	-116.9	-0.26	0.75610	1.00000
Rv0044c	-	POSSIBLE OXIDOREDUCTASE 	20	19	1568.0	1582.9	14.9	0.01	0.98020	1.00000
Rv0045c	-	POSSIBLE HYDROLASE 	7	7	1215.0	1161.7	-53.3	-0.06	0.90920	1.00000
Rv0046c	ino1	MYO-INOSITOL-1-PHOSPHATE SYNTHASE INO1 (Inositol 1-phosphate synthetase) (D-glucose 6-phosphate cycloaldolase) (Glucose 6-phosphate cyclase) (Glucocycloaldolase) 	16	0	0.0	0.0	0.0	0.00	1.00000	1.00000
Rv0047c	-	hypothetical protein Rv0047c 	7	7	1855.0	1537.8	-317.2	-0.27	0.76760	1.00000
Rv0048c	-	POSSIBLE MEMBRANE PROTEIN 	16	13	4812.0	3755.8	-1056.2	-0.36	0.56900	1.00000
Rv0049	-	hypothetical protein Rv0049 	8	7	17.0	1104.2	1087.2	6.02	0.00040	0.04560
Rv0050	ponA1	PROBABLE BIFUNCTIONAL PENICILLIN-BINDING PROTEIN 1A/1B PONA1 (MUREIN POLYMERASE) (PBP1): PENICILLIN-INSENSITIVE TRANSGLYCOSYLASE (PEPTIDOGLYCAN TGASE) + PENICILLIN-SENSITIVE TRANSPEPTIDASE (DD-TRANSPEPTIDASE) 	37	30	1391.0	1543.6	152.6	0.15	0.77000	1.00000
Rv0051	-	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN 	34	25	2870.0	1778.6	-1091.4	-0.69	0.14740	1.00000
Rv0052	-	hypothetical protein Rv0052 	7	6	1110.0	1163.7	53.7	0.07	0.90100	1.00000
Rv0053	rpsF	30S ribosomal protein S6 	6	2	1.0	49.9	48.9	5.64	1.00000	1.00000
Rv0054	ssb	single-strand DNA-binding protein 	5	0	0.0	0.0	0.0	0.00	1.00000	1.00000
Rv0055	rpsR	30S ribosomal protein S18 	4	1	290.0	191.9	-98.1	-0.60	1.00000	1.00000
Rv0056	rplI	50S ribosomal protein L9 	7	5	39.0	233.1	194.1	2.58	0.07350	1.00000
Rv0057	-	hypothetical protein Rv0057 	15	15	491.0	614.0	123.0	0.32	0.62690	1.00000
Rv0058	dnaB	replicative DNA helicase 	39	0	0.0	0.0	0.0	0.00	1.00000	1.00000
Rv0059	-	hypothetical protein Rv0059 	20	20	5641.0	3894.9	-1746.1	-0.53	0.26080	1.00000
Rv0060	-	hypothetical protein Rv0060 	23	2	227.0	438.4	211.4	0.95	0.67660	1.00000
Rv0061	-	hypothetical protein Rv0061 	6	6	720.0	163.1	-556.9	-2.14	0.04390	1.00000
Rv0062	celA1	POSSIBLE CELLULASE CELA1 (ENDOGLUCANASE) (ENDO-1,4-BETA-GLUCANASE) (FI-CMCASE) (CARBOXYMETHYL CELLULASE) 	21	19	3760.0	2223.7	-1536.3	-0.76	0.05330	1.00000
Rv0063	-	POSSIBLE OXIDOREDUCTASE 	23	20	2122.0	1959.9	-162.1	-0.11	0.84030	1.00000
Rv0064	-	hypothetical protein Rv0064 	68	51	4460.0	3069.8	-1390.2	-0.54	0.14780	1.00000
Rv0065	-	hypothetical protein Rv0065 	8	6	424.0	309.9	-114.1	-0.45	0.79300	1.00000
Rv0066c	icd2	PROBABLE ISOCITRATE DEHYDROGENASE 	38	5	3.0	2.9	-0.1	-0.06	0.76740	1.00000
Rv0067c	-	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN (POSSIBLY TETR-FAMILY) 	12	12	601.0	872.0	271.0	0.54	0.36200	1.00000
Rv0068	-	short chain dehydrogenase 	12	10	1658.0	1411.2	-246.8	-0.23	0.71840	1.00000
Rv0069c	sdaA	PROBABLE L-SERINE DEHYDRATASE SDAA (L-SERINE DEAMINASE) (SDH) (L-SD) 	12	11	523.0	339.6	-183.4	-0.62	0.41590	1.00000
Rv0070c	glyA2	PROBABLE SERINE HYDROXYMETHYLTRANSFERASE GLYA2 (SERINE METHYLASE 2) (SHMT 2) 	18	14	2203.0	882.6	-1320.4	-1.32	0.45800	1.00000
Rv0071	-	POSSIBLE MATURASE 	8	7	760.0	710.9	-49.1	-0.10	0.88830	1.00000
Rv0072	-	PROBABLE GLUTAMINE-TRANSPORT TRANSMEMBRANE PROTEIN ABC TRANSPORTER 	16	14	4241.0	3910.2	-330.8	-0.12	0.85450	1.00000
Rv0073	-	PROBABLE GLUTAMINE-TRANSPORT ATP-BINDING PROTEIN ABC TRANSPORTER 	15	15	2362.0	2187.3	-174.7	-0.11	0.85900	1.00000
Rv0074	-	hypothetical protein Rv0074 	19	18	2353.0	1824.6	-528.4	-0.37	0.69700	1.00000
Rv0075	-	PROBABLE AMINOTRANSFERASE 	24	21	2912.0	1901.4	-1010.6	-0.61	0.26040	1.00000
Rv0076c	-	PROBABLE MEMBRANE PROTEIN 	3	3	1128.0	637.9	-490.1	-0.82	0.89740	1.00000
Rv0077c	-	PROBABLE OXIDOREDUCTASE 	14	13	1420.0	859.6	-560.4	-0.72	0.32360	1.00000
Rv0078	-	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN 	8	6	487.0	192.8	-294.2	-1.34	0.25840	1.00000
Rv0078A	-	hypothetical protein Rv0078A 	10	10	560.0	935.3	375.3	0.74	0.25700	1.00000
Rv0079	-	hypothetical protein Rv0079 	14	13	997.0	1496.5	499.5	0.59	0.32900	1.00000
Rv0080	-	hypothetical protein Rv0080 	4	3	466.0	234.1	-231.9	-0.99	0.60610	1.00000
Rv0081	-	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN 	5	4	753.0	479.7	-273.3	-0.65	0.81340	1.00000
Rv0082	-	PROBABLE OXIDOREDUCTASE 	7	5	479.0	322.3	-156.7	-0.57	0.56020	1.00000
Rv0083	-	PROBABLE OXIDOREDUCTASE 	23	20	2255.0	1961.8	-293.2	-0.20	0.62760	1.00000
Rv0084	hycD	POSSIBLE FORMATE HYDROGENLYASE HYCD (FHL) 	9	6	453.0	280.1	-172.9	-0.69	0.60440	1.00000
Rv0085	hycP	POSSIBLE HYDROGENASE HYCP 	4	3	156.0	48.9	-107.1	-1.67	0.80320	1.00000
Rv0086	hycQ	POSSIBLE HYDROGENASE HYCQ 	15	12	626.0	351.1	-274.9	-0.83	0.34240	1.00000
Rv0087	hycE	POSSIBLE FORMATE HYDROGENASE HYCE (FHL) 	25	12	312.0	407.7	95.7	0.39	0.68630	1.00000
Rv0088	-	hypothetical protein Rv0088 	14	11	470.0	336.7	-133.3	-0.48	0.52120	1.00000
Rv0089	-	POSSIBLE METHYLTRANSFERASE/METHYLASE 	10	9	467.0	472.9	5.9	0.02	0.98100	1.00000
Rv0090	-	POSSIBLE MEMBRANE PROTEIN 	12	10	888.0	1056.2	168.2	0.25	0.68290	1.00000
Rv0091	mtn	PROBABLE BIFUNCTIONAL MTA/SAH NUCLEOSIDASE MTN: 5'-METHYLTHIOADENOSINE NUCLEOSIDASE (METHYLTHIOADENOSINE METHYLTHIORIBOHYDROLASE) + S-ADENOSYLHOMOCYSTEINE NUCLEOSIDASE (S-ADENOSYL-L-HOMOCYSTEINE HOMOCYSTEINYLRIBOHYDROLASE) 	11	8	1255.0	945.9	-309.1	-0.41	0.58530	1.00000
Rv0092	ctpA	PROBABLE CATION TRANSPORTER P-TYPE ATPASE A CTPA 	30	24	1240.0	1898.5	658.5	0.61	0.19670	1.00000
Rv0093c	-	PROBABLE CONSERVED MEMBRANE PROTEIN 	8	8	449.0	518.0	69.0	0.21	0.74310	1.00000
Rv0094c	-	hypothetical protein Rv0094c 	14	14	1472.0	1528.2	56.2	0.05	0.91430	1.00000
Rv0095c	-	hypothetical protein Rv0095c 	9	3	48.0	52.8	4.8	0.14	0.90080	1.00000
Rv0096	PPE1	PPE FAMILY PROTEIN 	34	31	3251.0	3306.8	55.8	0.02	0.95450	1.00000
Rv0097	-	POSSIBLE OXIDOREDUCTASE 	26	26	2770.0	2427.1	-342.9	-0.19	0.66780	1.00000
Rv0098	-	hypothetical protein Rv0098 	11	10	284.0	480.6	196.6	0.76	0.21060	1.00000
Rv0099	fadD10	acyl-CoA synthetase 	32	25	1102.0	1146.4	44.4	0.06	0.90660	1.00000
Rv0100	-	hypothetical protein Rv0100 	3	3	657.0	304.1	-352.9	-1.11	0.39910	1.00000
Rv0101	nrp	PROBABLE PEPTIDE SYNTHETASE NRP (PEPTIDE SYNTHASE) 	122	96	6782.0	5960.3	-821.7	-0.19	0.46690	1.00000
Rv0102	-	PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN 	42	13	4.0	54.7	50.7	3.77	0.02570	0.84305
Rv0103c	ctpB	PROBABLE CATION-TRANSPORTER P-TYPE ATPASE B CTPB 	30	26	3650.0	3168.6	-481.4	-0.20	0.76030	1.00000
Rv0104	-	hypothetical protein Rv0104 	27	24	2541.0	3362.4	821.4	0.40	0.34340	1.00000
Rv0105c	rpmB	50S ribosomal protein L28 	5	3	141.0	110.3	-30.7	-0.35	0.79810	1.00000
Rv0106	-	hypothetical protein Rv0106 	12	11	968.0	821.2	-146.8	-0.24	0.74150	1.00000
Rv0107c	ctpI	PROBABLE CATION-TRANSPORTER ATPASE I CTPI 	65	50	3149.0	3201.3	52.3	0.02	0.95480	1.00000
Rv0108c	-	hypothetical protein Rv0108c 	2	2	339.0	348.2	9.2	0.04	1.00000	1.00000
Rv0109	PE_PGRS1	PE-PGRS FAMILY PROTEIN 	27	19	553.0	1036.1	483.1	0.91	0.14070	1.00000
Rv0110	-	PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN 	13	13	3054.0	2103.8	-950.2	-0.54	0.35550	1.00000
Rv0111	-	POSSIBLE TRANSMEMBRANE ACYLTRANSFERASE 	42	35	4295.0	3639.7	-655.3	-0.24	0.70920	1.00000
Rv0112	gca	POSSIBLE GDP-MANNOSE 4,6-DEHYDRATASE GCA (GDP-D-MANNOSE DEHYDRATASE) 	31	25	1248.0	1275.9	27.9	0.03	0.95640	1.00000
Rv0113	gmhA	PROBABLE SEDOHEPTULOSE-7-PHOSPHATE ISOMERASE GMHA (PHOSPHOHEPTOSE ISOMERASE) 	12	10	35.0	430.7	395.7	3.62	0.00090	0.08550
Rv0114	gmhB	POSSIBLE D-ALPHA,BETA-D-HEPTOSE-1,7-BIPHOSPHATE PHOSPHATASE GMHB (D-GLYCERO-D-MANNO-HEPTOSE 7-PHOSPHATE KINASE) 	9	9	1092.0	1183.8	91.8	0.12	0.86420	1.00000
Rv0115	hddA	POSSIBLE D-ALPHA-D-HEPTOSE-7-PHOSPHATE KINASE HDDA 	18	17	2418.0	1952.2	-465.8	-0.31	0.49500	1.00000
Rv0116c	-	POSSIBLE CONSERVED MEMBRANE PROTEIN 	17	17	2542.0	2187.3	-354.7	-0.22	0.65570	1.00000
Rv0117	oxyS	OXIDATIVE STRESS RESPONSE REGULATORY PROTEIN OXYS 	17	14	1175.0	670.6	-504.4	-0.81	0.16620	1.00000
Rv0118c	oxcA	putative oxalyl-CoA decarboxylase 	26	18	779.0	858.6	79.6	0.14	0.79950	1.00000
Rv0119	fadD7	acyl-CoA synthetase 	13	5	4.0	66.2	62.2	4.05	0.36500	1.00000
Rv0120c	fusA2	elongation factor G 	27	18	560.0	715.7	155.7	0.35	0.55870	1.00000
Rv0121c	-	hypothetical protein Rv0121c 	10	5	466.0	556.4	90.4	0.26	0.81200	1.00000
Rv0122	-	hypothetical protein Rv0122 	9	7	371.0	331.0	-40.0	-0.16	0.90670	1.00000
Rv0123	-	hypothetical protein Rv0123 	8	5	5.0	79.6	74.6	3.99	0.16880	1.00000
Rv0124	PE_PGRS2	PE-PGRS FAMILY PROTEIN 	13	9	1080.0	1344.0	264.0	0.32	0.63550	1.00000
Rv0125	pepA	PROBABLE SERINE PROTEASE PEPA (SERINE PROTEINASE) (MTB32A) 	10	9	486.0	634.1	148.1	0.38	0.59030	1.00000
Rv0126	treS	TREHALOSE SYNTHASE TRES 	31	29	67.0	154.5	87.5	1.20	0.02260	0.80869
Rv0127	-	hypothetical protein Rv0127 	30	19	165.0	168.8	3.8	0.03	0.99820	1.00000
Rv0128	-	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN 	19	19	3096.0	3006.5	-89.5	-0.04	0.93570	1.00000
Rv0129c	fbpC	SECRETED ANTIGEN 85-C FBPC (85C) (ANTIGEN 85 COMPLEX C) (AG58C) (MYCOLYL TRANSFERASE 85C) (FIBRONECTIN-BINDING PROTEIN C) 	27	24	2775.0	2946.1	171.1	0.09	0.85290	1.00000
Rv0130	-	hypothetical protein Rv0130 	4	3	456.0	179.4	-276.6	-1.35	1.00000	1.00000
Rv0131c	fadE1	PROBABLE ACYL-CoA DEHYDROGENASE FADE1 	18	15	1382.0	1027.4	-354.6	-0.43	0.49460	1.00000
Rv0132c	fgd2	PUTATIVE F420-DEPENDENT GLUCOSE-6-PHOSPHATE DEHYDROGENASE FGD2 	15	14	1572.0	1752.7	180.7	0.16	0.83250	1.00000
Rv0133	-	PROBABLE ACETYLTRANSFERASE 	7	7	1255.0	1181.9	-73.1	-0.09	0.93820	1.00000
Rv0134	ephF	POSSIBLE EPOXIDE HYDROLASE EPHF (EPOXIDE HYDRATASE) (ARENE-OXIDE HYDRATASE) 	12	12	2059.0	1875.5	-183.5	-0.13	0.84200	1.00000
Rv0135c	-	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN 	11	9	706.0	308.9	-397.1	-1.19	0.26660	1.00000
Rv0136	cyp138	PROBABLE CYTOCHROME P450 138 CYP138 	23	21	4219.0	2985.4	-1233.6	-0.50	0.28720	1.00000
Rv0137c	msrA	methionine sulfoxide reductase A 	11	9	1715.0	786.6	-928.4	-1.12	0.11660	1.00000
Rv0138	-	hypothetical protein Rv0138 	6	6	2955.0	2051.0	-904.0	-0.53	0.54810	1.00000
Rv0139	-	POSSIBLE OXIDOREDUCTASE 	12	12	1816.0	2325.4	509.4	0.36	0.49810	1.00000
Rv0140	-	hypothetical protein Rv0140 	15	14	1313.0	1283.6	-29.4	-0.03	0.95020	1.00000
Rv0141c	-	hypothetical protein Rv0141c 	9	8	812.0	700.3	-111.7	-0.21	0.80960	1.00000
Rv0142	-	hypothetical protein Rv0142 	6	5	417.0	672.5	255.5	0.69	0.19200	1.00000
Rv0143c	-	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN 	27	25	3034.0	3102.5	68.5	0.03	0.96230	1.00000
Rv0144	-	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN (POSSIBLY TETR-FAMILY) 	14	14	3894.0	2799.3	-1094.7	-0.48	0.38270	1.00000
Rv0145	-	hypothetical protein Rv0145 	15	14	3190.0	2338.8	-851.2	-0.45	0.37130	1.00000
Rv0146	-	hypothetical protein Rv0146 	16	14	3171.0	2923.1	-247.9	-0.12	0.87140	1.00000
Rv0147	-	PROBABLE ALDEHYDE DEHYDROGENASE (NAD+) DEPENDENT 	26	26	5624.0	5529.5	-94.5	-0.02	0.95550	1.00000
Rv0148	-	PROBABLE SHORT-CHAIN TYPE DEHYDROGENASE/REDUCTASE 	16	16	2992.0	3098.6	106.6	0.05	0.89560	1.00000
Rv0149	-	POSSIBLE QUINONE OXIDOREDUCTASE (NADPH:QUINONE OXIDOREDUCTASE) (ZETA-CRYSTALLIN) 	21	19	2214.0	2269.8	55.8	0.04	0.93900	1.00000
Rv0150c	-	hypothetical protein Rv0150c 	4	2	4.0	103.6	99.6	4.69	0.32990	1.00000
Rv0151c	PE1	PE FAMILY PROTEIN 	44	41	9544.0	8863.2	-680.8	-0.11	0.78800	1.00000
Rv0152c	PE2	PE FAMILY PROTEIN 	40	38	8745.0	9252.7	507.7	0.08	0.75780	1.00000
Rv0153c	ptbB	PHOSPHOTYROSINE PROTEIN PHOSPHATASE PTPB (PROTEIN-TYROSINE-PHOSPHATASE) (PTPase) 	11	10	904.0	2211.2	1307.2	1.29	0.03040	0.90144
Rv0154c	fadE2	PROBABLE ACYL-CoA DEHYDROGENASE FADE2 	12	11	1837.0	2367.6	530.6	0.37	0.62400	1.00000
Rv0155	pntAa	PROBABLE NAD(P) TRANSHYDROGENASE (SUBUNIT ALPHA) PNTAA 	10	10	467.0	224.5	-242.5	-1.06	0.10050	1.00000
Rv0156	pntAb	PROBABLE NAD(P) TRANSHYDROGENASE (SUBUNIT ALPHA) PNTAB 	1	1	131.0	108.4	-22.6	-0.27	1.00000	1.00000
Rv0157	pntB	PROBABLE NAD(P) TRANSHYDROGENASE (SUBUNIT BETA) PNTB 	14	14	886.0	548.7	-337.3	-0.69	0.34470	1.00000
Rv0158	-	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN (POSSIBLY TETR-FAMILY) 	16	16	6630.0	2919.2	-3710.8	-1.18	0.00250	0.18136
Rv0159c	PE3	PE FAMILY PROTEIN 	50	49	12803.0	12381.0	-422.0	-0.05	0.89630	1.00000
Rv0160c	PE4	PE FAMILY PROTEIN 	42	38	6222.0	5925.7	-296.3	-0.07	0.87930	1.00000
Rv0161	-	POSSIBLE OXIDOREDUCTASE 	19	13	1319.0	1129.1	-189.9	-0.22	0.75950	1.00000
Rv0162c	adhE1	PROBABLE ZINC-TYPE ALCOHOL DEHYDROGENASE (E SUBUNIT) ADHE 	16	12	971.0	1057.2	86.2	0.12	0.84480	1.00000
Rv0163	-	hypothetical protein Rv0163 	10	9	746.0	1314.3	568.3	0.82	0.21750	1.00000
Rv0164	TB18.5	hypothetical protein Rv0164 	8	1	789.0	564.1	-224.9	-0.48	1.00000	1.00000
Rv0165c	-	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY GNTR-FAMILY) 	8	7	1266.0	949.7	-316.3	-0.41	0.70970	1.00000
Rv0166	fadD5	acyl-CoA synthetase 	27	25	4140.0	3423.8	-716.2	-0.27	0.49820	1.00000
Rv0167	yrbE1A	CONSERVED HYPOTHETICAL INTEGRAL MEMBRANE PROTEIN YRBE1A 	7	7	717.0	903.7	186.7	0.33	0.69570	1.00000
Rv0168	yrbE1B	CONSERVED HYPOTHETICAL INTEGRAL MEMBRANE PROTEIN YRBE1B 	14	14	2142.0	1815.0	-327.0	-0.24	0.59960	1.00000
Rv0169	mce1A	MCE-FAMILY PROTEIN MCE1A 	39	37	5071.0	5668.6	597.6	0.16	0.72760	1.00000
Rv0170	mce1B	MCE-FAMILY PROTEIN MCE1B 	18	17	1642.0	2256.3	614.3	0.46	0.29030	1.00000
Rv0171	mce1C	MCE-FAMILY PROTEIN MCE1C 	25	25	3346.0	3208.9	-137.1	-0.06	0.89030	1.00000
Rv0172	mce1D	MCE-FAMILY PROTEIN MCE1D 	33	32	4884.0	5307.0	423.0	0.12	0.78280	1.00000
Rv0173	lprK	POSSIBLE MCE-FAMILY LIPOPROTEIN LPRK (MCE-FAMILY LIPOPROTEIN MCE1E) 	16	15	3161.0	2499.0	-662.0	-0.34	0.46620	1.00000
Rv0174	mce1F	MCE-FAMILY PROTEIN MCE1F 	31	30	3946.0	5245.6	1299.6	0.41	0.28700	1.00000
Rv0175	-	PROBABLE CONSERVED MCE ASSOCIATED MEMBRANE PROTEIN 	9	9	760.0	972.8	212.8	0.36	0.68230	1.00000
Rv0176	-	PROBABLE CONSERVED MCE ASSOCIATED TRANSMEMBRANE PROTEIN 	15	15	974.0	1608.8	634.8	0.72	0.26410	1.00000
Rv0177	-	PROBABLE CONSERVED MCE ASSOCIATED PROTEIN 	12	11	832.0	898.9	66.9	0.11	0.87710	1.00000
Rv0178	-	PROBABLE CONSERVED MCE ASSOCIATED MEMBRANE PROTEIN 	11	10	1161.0	1402.5	241.5	0.27	0.71900	1.00000
Rv0179c	lprO	POSSIBLE LIPOPROTEIN LPRO 	22	21	2096.0	3805.6	1709.6	0.86	0.06720	1.00000
Rv0180c	-	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN 	28	3	28.0	1.0	-27.0	-4.87	0.40050	1.00000
Rv0181c	-	hypothetical protein Rv0181c 	15	15	1111.0	1882.2	771.2	0.76	0.11820	1.00000
Rv0182c	sigG	RNA polymerase factor sigma-70 	21	19	3655.0	2376.2	-1278.8	-0.62	0.42280	1.00000
Rv0183	-	POSSIBLE LYSOPHOSPHOLIPASE 	15	15	3636.0	2741.7	-894.3	-0.41	0.41980	1.00000
Rv0184	-	hypothetical protein Rv0184 	11	8	1117.0	1148.3	31.3	0.04	0.96070	1.00000
Rv0185	-	hypothetical protein Rv0185 	10	6	680.0	586.1	-93.9	-0.21	0.76450	1.00000
