#Resampling
#Console: python /usr/local/bin/transit resampling H37Rv_day32_rep1.wig,H37Rv_day32_rep2.wig,H37Rv_day32_rep3.wig Rv3005c_day32_rep1.wig,Rv3005c_day32_rep2.wig,Rv3005c_day32_rep3.wig /home/mad/transit_tests/transit_tamu/src/pytransit/genomes/H37Rv.prot_table resampling_H37Rv_Rv3005c_day32_s10000_pc0.00.dat
#Control Data: H37Rv_day32_rep1.wig,H37Rv_day32_rep2.wig,H37Rv_day32_rep3.wig
#Experimental Data: Rv3005c_day32_rep1.wig,Rv3005c_day32_rep2.wig,Rv3005c_day32_rep3.wig
#Annotation path: /home/mad/transit_tests/transit_tamu/src/pytransit/genomes/H37Rv.prot_table
#Time: 600.038864851
#Orf	Name	Desc	Sites	Mean Ctrl	Mean Exp	Sum Ctrl	Sum Exp	Delta Sum	log2FC	p-value	Adj. p-value
Rv0031	-	POSSIBLE REMNANT OF A TRANSPOSASE 	1	0.0	0.0	0.0	0.0	0.00	0.00	1.00000	1.00000
Rv0032	bioF2	POSSIBLE 8-AMINO-7-OXONONANOATE SYNTHASE BIOF2 (AONS) (8-AMINO-7-KETOPELARGONATE SYNTHASE) (7-KETO-8-AMINO-PELARGONIC ACID SYNTHETASE) (7-KAP SYNTHETASE) (L-ALANINE--PIMELYL CoA LIGASE) 	57	21.6	29.5	2403.1	3270.5	867.33	0.44	0.56800	0.84596
Rv0033	acpA	PROBABLE ACYL CARRIER PROTEIN ACPA (ACP) 	3	8.9	25.7	80.0	231.1	151.11	1.53	0.21050	0.47907
Rv0034	-	hypothetical protein Rv0034 	5	1.7	2.1	10.3	12.4	2.14	0.27	0.77160	1.00000
Rv0035	fadD34	PROBABLE FATTY-ACID-CoA LIGASE FADD34 (FATTY-ACID-CoA SYNTHETASE) (FATTY-ACID-CoA SYNTHASE) 	25	24.1	30.3	1228.5	1543.7	315.21	0.33	0.80310	1.00000
Rv0036c	-	hypothetical protein Rv0036c 	4	7.5	59.2	67.4	532.6	465.20	2.98	0.18200	0.45404
Rv0037c	-	PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN 	20	77.3	194.8	2784.5	7013.3	4228.88	1.33	0.57300	0.84960
Rv0038	-	hypothetical protein Rv0038 	7	5.1	6.7	76.2	100.6	24.35	0.40	0.83740	1.00000
Rv0039c	-	POSSIBLE CONSERVED TRANSMEMBRANE PROTEIN 	4	17.7	112.3	106.0	674.0	567.97	2.67	0.14510	0.39928
Rv0040c	mtc28	SECRETED PROLINE RICH PROTEIN MTC28 (PROLINE RICH 28 KDA ANTIGEN) 	9	10.1	1.9	181.3	34.4	-146.86	-2.40	0.15950	0.42342
Rv0041	leuS	leucyl-tRNA synthetase 	72	0.0	0.0	0.0	0.0	0.00	0.00	1.00000	1.00000
Rv0042c	-	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY MARR-FAMILY) 	5	13.1	0.3	78.6	1.9	-76.75	-5.38	0.11610	0.34192
Rv0043c	-	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY GNTR-FAMILY) 	10	9.6	0.5	144.7	8.2	-136.52	-4.14	0.01140	0.08036
Rv0044c	-	POSSIBLE OXIDOREDUCTASE 	20	15.6	1.8	560.3	66.0	-494.35	-3.09	0.01190	0.08286
Rv0045c	-	POSSIBLE HYDROLASE 	7	51.9	0.4	933.8	7.7	-926.16	-6.93	0.00630	0.05326
Rv0046c	ino1	MYO-INOSITOL-1-PHOSPHATE SYNTHASE INO1 (Inositol 1-phosphate synthetase) (D-glucose 6-phosphate cycloaldolase) (Glucose 6-phosphate cyclase) (Glucocycloaldolase) 	16	0.0	0.4	0.0	1.2	1.22	0.49	1.00000	1.00000
Rv0047c	-	hypothetical protein Rv0047c 	7	78.9	2199.0	946.4	26388.2	25441.75	4.80	0.18600	0.45783
Rv0048c	-	POSSIBLE MEMBRANE PROTEIN 	16	34.2	103.4	1537.6	4652.5	3114.90	1.60	0.05100	0.20410
Rv0049	-	hypothetical protein Rv0049 	8	40.4	0.4	606.1	6.0	-600.08	-6.66	0.00530	0.04774
Rv0050	ponA1	PROBABLE BIFUNCTIONAL PENICILLIN-BINDING PROTEIN 1A/1B PONA1 (MUREIN POLYMERASE) (PBP1): PENICILLIN-INSENSITIVE TRANSGLYCOSYLASE (PEPTIDOGLYCAN TGASE) + PENICILLIN-SENSITIVE TRANSPEPTIDASE (DD-TRANSPEPTIDASE) 	37	0.7	0.4	17.5	10.1	-7.44	-0.80	0.49490	0.76641
Rv0051	-	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN 	34	47.7	0.9	2002.8	39.4	-1963.42	-5.67	0.00000	0.00000
Rv0052	-	hypothetical protein Rv0052 	7	21.2	65.0	380.7	1170.1	789.31	1.62	0.22710	0.49193
Rv0053	rpsF	30S ribosomal protein S6 	6	0.0	0.0	0.0	0.0	0.00	0.00	1.00000	1.00000
Rv0054	ssb	single-strand DNA-binding protein 	5	0.0	0.0	0.0	0.0	0.00	0.00	1.00000	1.00000
Rv0055	rpsR	30S ribosomal protein S18 	4	602.2	1.5	1806.7	4.5	-1802.16	-8.64	0.20580	0.47511
Rv0056	rplI	50S ribosomal protein L9 	7	1.2	0.1	7.5	0.5	-6.99	-4.00	0.44880	0.73052
Rv0057	-	hypothetical protein Rv0057 	15	1.9	0.1	39.6	1.7	-37.92	-4.55	0.01700	0.10185
Rv0058	dnaB	replicative DNA helicase 	39	0.0	0.0	0.0	0.0	0.00	0.00	1.00000	1.00000
Rv0059	-	hypothetical protein Rv0059 	20	38.8	41.1	1747.0	1850.3	103.31	0.08	0.94580	1.00000
Rv0060	-	hypothetical protein Rv0060 	23	91.2	0.3	273.6	1.0	-272.63	-8.15	0.19210	0.46313
Rv0061	-	hypothetical protein Rv0061 	6	15.2	0.4	136.5	3.4	-133.11	-5.35	0.19280	0.46342
Rv0062	celA1	POSSIBLE CELLULASE CELA1 (ENDOGLUCANASE) (ENDO-1,4-BETA-GLUCANASE) (FI-CMCASE) (CARBOXYMETHYL CELLULASE) 	21	29.3	18.1	1492.7	924.2	-568.47	-0.69	0.38900	0.68375
Rv0063	-	POSSIBLE OXIDOREDUCTASE 	23	11.3	3.1	510.0	141.6	-368.37	-1.85	0.02740	0.13666
Rv0064	-	hypothetical protein Rv0064 	68	4.9	4.6	498.8	468.4	-30.37	-0.09	0.90670	1.00000
Rv0065	-	hypothetical protein Rv0065 	8	18.3	0.8	328.5	14.5	-314.02	-4.50	0.02970	0.14381
Rv0066c	icd2	PROBABLE ISOCITRATE DEHYDROGENASE 	38	0.0	0.0	0.0	0.0	0.00	0.00	1.00000	1.00000
Rv0067c	-	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN (POSSIBLY TETR-FAMILY) 	12	0.0	0.3	0.0	1.9	1.92	0.40	0.45860	0.73369
Rv0068	-	short chain dehydrogenase 	12	32.3	131.4	775.9	3153.0	2377.14	2.02	0.28710	0.55907
Rv0069c	sdaA	PROBABLE L-SERINE DEHYDRATASE SDAA (L-SERINE DEAMINASE) (SDH) (L-SD) 	12	10.1	0.9	212.3	19.0	-193.30	-3.48	0.00400	0.03827
Rv0070c	glyA2	PROBABLE SERINE HYDROXYMETHYLTRANSFERASE GLYA2 (SERINE METHYLASE 2) (SHMT 2) 	18	20.1	0.5	604.1	13.7	-590.39	-5.46	0.00000	0.00000
Rv0071	-	POSSIBLE MATURASE 	8	5.1	0.6	92.1	11.6	-80.57	-2.99	0.02830	0.13923
Rv0072	-	PROBABLE GLUTAMINE-TRANSPORT TRANSMEMBRANE PROTEIN ABC TRANSPORTER 	16	46.1	31.2	1799.6	1216.3	-583.37	-0.57	0.50620	0.77952
Rv0073	-	PROBABLE GLUTAMINE-TRANSPORT ATP-BINDING PROTEIN ABC TRANSPORTER 	15	44.1	12.8	1587.4	461.1	-1126.32	-1.78	0.26560	0.53173
Rv0074	-	hypothetical protein Rv0074 	19	15.0	10.9	538.8	390.9	-147.87	-0.46	0.59640	0.87230
Rv0075	-	PROBABLE AMINOTRANSFERASE 	24	25.9	23.2	1319.2	1183.1	-136.08	-0.16	0.85500	1.00000
Rv0076c	-	PROBABLE MEMBRANE PROTEIN 	3	9.5	0.2	85.6	1.7	-83.88	-5.66	0.00250	0.02908
Rv0077c	-	PROBABLE OXIDOREDUCTASE 	14	41.0	10.0	1106.3	271.1	-835.21	-2.03	0.04180	0.17972
Rv0078	-	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN 	8	0.0	0.2	0.2	2.2	1.97	3.37	0.47850	0.75004
Rv0078A	-	hypothetical protein Rv0078A 	10	10.3	0.7	185.1	11.8	-173.32	-3.98	0.10970	0.32787
Rv0079	-	hypothetical protein Rv0079 	14	17.8	52.1	533.1	1562.3	1029.12	1.55	0.05970	0.22838
Rv0080	-	hypothetical protein Rv0080 	4	0.3	0.7	2.8	6.7	3.96	1.28	0.73390	1.00000
Rv0081	-	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN 	5	45.4	32.4	681.0	486.6	-194.35	-0.48	0.63960	0.91799
Rv0082	-	PROBABLE OXIDOREDUCTASE 	7	1.9	0.3	28.6	4.3	-24.30	-2.73	0.41910	0.70084
Rv0083	-	PROBABLE OXIDOREDUCTASE 	23	10.1	1.1	486.3	51.5	-434.82	-3.24	0.00070	0.01230
Rv0084	hycD	POSSIBLE FORMATE HYDROGENLYASE HYCD (FHL) 	9	4.6	45.2	83.4	813.5	730.09	3.29	0.22570	0.49103
Rv0085	hycP	POSSIBLE HYDROGENASE HYCP 	4	4.8	3.7	28.8	22.4	-6.45	-0.37	0.87780	1.00000
Rv0086	hycQ	POSSIBLE HYDROGENASE HYCQ 	15	29.2	0.3	612.8	6.5	-606.32	-6.56	0.01820	0.10524
Rv0087	hycE	POSSIBLE FORMATE HYDROGENASE HYCE (FHL) 	25	0.1	40.7	2.5	733.4	730.93	8.22	0.02350	0.12305
Rv0088	-	hypothetical protein Rv0088 	14	2.8	0.1	42.2	1.9	-40.31	-4.46	0.09130	0.30090
Rv0089	-	POSSIBLE METHYLTRANSFERASE/METHYLASE 	10	3.6	0.4	65.4	6.7	-58.63	-3.28	0.47320	0.74471
Rv0090	-	POSSIBLE MEMBRANE PROTEIN 	12	11.0	61.5	263.0	1475.4	1212.40	2.49	0.17630	0.44907
Rv0091	mtn	PROBABLE BIFUNCTIONAL MTA/SAH NUCLEOSIDASE MTN: 5'-METHYLTHIOADENOSINE NUCLEOSIDASE (METHYLTHIOADENOSINE METHYLTHIORIBOHYDROLASE) + S-ADENOSYLHOMOCYSTEINE NUCLEOSIDASE (S-ADENOSYL-L-HOMOCYSTEINE HOMOCYSTEINYLRIBOHYDROLASE) 	11	55.8	20.2	1171.8	423.6	-748.20	-1.47	0.31050	0.58799
Rv0092	ctpA	PROBABLE CATION TRANSPORTER P-TYPE ATPASE A CTPA 	30	3.7	13.9	179.8	666.5	486.70	1.89	0.08210	0.27737
Rv0093c	-	PROBABLE CONSERVED MEMBRANE PROTEIN 	8	1.1	0.1	13.1	1.2	-11.84	-3.42	0.14760	0.40310
Rv0094c	-	hypothetical protein Rv0094c 	14	9.4	8.7	282.4	260.7	-21.69	-0.12	0.89450	1.00000
Rv0095c	-	hypothetical protein Rv0095c 	9	3.8	0.0	22.7	0.0	-22.70	-2.26	0.18470	0.45632
Rv0096	PPE1	PPE FAMILY PROTEIN 	34	4.4	0.5	144.0	16.4	-127.58	-3.13	0.57550	0.85267
Rv0097	-	POSSIBLE OXIDOREDUCTASE 	26	0.6	0.5	26.4	22.1	-4.26	-0.25	0.76760	1.00000
Rv0098	-	hypothetical protein Rv0098 	11	0.4	0.5	6.7	9.1	2.47	0.46	0.76670	1.00000
Rv0099	fadD10	acyl-CoA synthetase 	32	0.0	1.2	0.4	20.9	20.50	5.63	0.01740	0.10285
Rv0100	-	hypothetical protein Rv0100 	3	0.3	1.2	1.8	7.5	5.63	2.03	0.44600	0.72872
Rv0101	nrp	PROBABLE PEPTIDE SYNTHETASE NRP (PEPTIDE SYNTHASE) 	122	0.3	3.3	49.5	527.1	477.62	3.41	0.00030	0.00665
Rv0102	-	PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN 	42	0.0	0.0	0.0	0.0	0.00	0.00	1.00000	1.00000
Rv0103c	ctpB	PROBABLE CATION-TRANSPORTER P-TYPE ATPASE B CTPB 	30	20.2	23.3	1572.6	1814.0	241.40	0.21	0.76030	1.00000
Rv0104	-	hypothetical protein Rv0104 	27	24.5	6.4	1397.9	366.9	-1031.07	-1.93	0.01830	0.10533
Rv0105c	rpmB	50S ribosomal protein L28 	5	2.3	2.6	20.3	23.2	2.90	0.19	0.90120	1.00000
Rv0106	-	hypothetical protein Rv0106 	12	1.3	1.1	37.7	33.3	-4.45	-0.18	0.84670	1.00000
Rv0107c	ctpI	PROBABLE CATION-TRANSPORTER ATPASE I CTPI 	65	21.9	14.7	2235.9	1498.3	-737.63	-0.58	0.46790	0.74084
Rv0108c	-	hypothetical protein Rv0108c 	2	2.1	0.3	12.3	1.9	-10.38	-2.68	0.87540	1.00000
Rv0109	PE_PGRS1	PE-PGRS FAMILY PROTEIN 	27	8.6	0.5	206.2	12.8	-193.40	-4.01	0.01650	0.10021
Rv0110	-	PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN 	13	21.9	149.8	657.7	4493.8	3836.01	2.77	0.00260	0.02990
Rv0111	-	POSSIBLE TRANSMEMBRANE ACYLTRANSFERASE 	42	9.4	12.9	652.0	887.5	235.50	0.44	0.63710	0.91572
Rv0112	gca	POSSIBLE GDP-MANNOSE 4,6-DEHYDRATASE GCA (GDP-D-MANNOSE DEHYDRATASE) 	31	19.3	0.4	578.1	11.0	-567.06	-5.71	0.00020	0.00499
Rv0113	gmhA	PROBABLE SEDOHEPTULOSE-7-PHOSPHATE ISOMERASE GMHA (PHOSPHOHEPTOSE ISOMERASE) 	12	9.6	0.1	57.5	0.5	-57.01	-6.95	0.01620	0.09944
Rv0114	gmhB	POSSIBLE D-ALPHA,BETA-D-HEPTOSE-1,7-BIPHOSPHATE PHOSPHATASE GMHB (D-GLYCERO-D-MANNO-HEPTOSE 7-PHOSPHATE KINASE) 	9	16.7	0.4	400.3	9.8	-390.43	-5.35	0.01760	0.10370
Rv0115	hddA	POSSIBLE D-ALPHA-D-HEPTOSE-7-PHOSPHATE KINASE HDDA 	18	15.8	47.3	615.0	1846.5	1231.55	1.59	0.05560	0.21686
Rv0116c	-	POSSIBLE CONSERVED MEMBRANE PROTEIN 	17	7.3	18.6	306.1	780.6	474.53	1.35	0.19880	0.47099
Rv0117	oxyS	OXIDATIVE STRESS RESPONSE REGULATORY PROTEIN OXYS 	17	3.4	17.0	121.4	611.4	490.03	2.33	0.24350	0.50283
Rv0118c	oxcA	putative oxalyl-CoA decarboxylase 	26	7.5	17.2	270.7	619.7	349.08	1.20	0.37380	0.66792
Rv0119	fadD7	acyl-CoA synthetase 	13	0.0	8.2	0.0	24.7	24.70	3.21	0.09770	0.30938
Rv0120c	fusA2	elongation factor G 	27	8.4	35.1	302.0	1262.7	960.66	2.06	0.23850	0.49797
Rv0121c	-	hypothetical protein Rv0121c 	10	1.4	0.2	20.4	2.4	-18.03	-3.10	0.24680	0.50733
Rv0122	-	hypothetical protein Rv0122 	9	10.8	0.2	130.0	1.9	-128.04	-6.08	0.05390	0.21126
Rv0123	-	hypothetical protein Rv0123 	8	0.1	0.2	0.2	0.5	0.26	1.14	1.00000	1.00000
Rv0124	PE_PGRS2	PE-PGRS FAMILY PROTEIN 	13	34.7	0.2	521.2	3.1	-518.07	-7.39	0.00020	0.00499
Rv0125	pepA	PROBABLE SERINE PROTEASE PEPA (SERINE PROTEINASE) (MTB32A) 	10	8.8	16.0	210.3	383.7	173.32	0.87	0.49920	0.77082
Rv0126	treS	TREHALOSE SYNTHASE TRES 	31	27.4	1.0	164.6	6.1	-158.47	-4.75	0.44920	0.73052
Rv0127	-	hypothetical protein Rv0127 	30	0.0	0.0	0.0	0.0	0.00	0.00	1.00000	1.00000
Rv0128	-	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN 	19	75.3	24.5	3161.7	1027.1	-2134.53	-1.62	0.06220	0.23325
Rv0129c	fbpC	SECRETED ANTIGEN 85-C FBPC (85C) (ANTIGEN 85 COMPLEX C) (AG58C) (MYCOLYL TRANSFERASE 85C) (FIBRONECTIN-BINDING PROTEIN C) 	28	1.1	3.4	32.8	101.7	68.85	1.63	0.13010	0.37052
Rv0130	-	hypothetical protein Rv0130 	4	2.2	0.0	19.7	0.0	-19.67	-1.67	0.08410	0.28246
Rv0131c	fadE1	PROBABLE ACYL-CoA DEHYDROGENASE FADE1 	18	51.6	76.6	1859.2	2756.1	896.93	0.57	0.65350	0.93257
Rv0132c	fgd2	PUTATIVE F420-DEPENDENT GLUCOSE-6-PHOSPHATE DEHYDROGENASE FGD2 	15	11.2	15.5	404.8	556.4	151.66	0.46	0.64690	0.92628
Rv0133	-	PROBABLE ACETYLTRANSFERASE 	7	28.1	23.3	422.2	349.6	-72.66	-0.27	0.96450	1.00000
Rv0134	ephF	POSSIBLE EPOXIDE HYDROLASE EPHF (EPOXIDE HYDRATASE) (ARENE-OXIDE HYDRATASE) 	12	19.7	7.0	650.1	232.0	-418.12	-1.49	0.14760	0.40310
Rv0135c	-	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN 	11	2.0	5.6	24.5	67.5	43.01	1.46	0.71100	0.98757
Rv0136	cyp138	PROBABLE CYTOCHROME P450 138 CYP138 	23	22.5	22.1	1145.9	1128.3	-17.58	-0.02	0.97600	1.00000
Rv0137c	msrA	methionine sulfoxide reductase A 	11	33.0	1.2	790.8	27.9	-762.95	-4.83	0.18710	0.45880
Rv0138	-	hypothetical protein Rv0138 	6	30.5	39.4	548.3	708.3	160.03	0.37	0.68680	0.96525
Rv0139	-	POSSIBLE OXIDOREDUCTASE 	12	34.3	99.9	1132.1	3296.9	2164.73	1.54	0.08240	0.27792
Rv0140	-	hypothetical protein Rv0140 	15	20.6	4.2	804.5	164.9	-639.60	-2.29	0.03030	0.14513
Rv0141c	-	hypothetical protein Rv0141c 	9	12.6	28.3	151.4	340.0	188.65	1.17	0.60410	0.87969
Rv0142	-	hypothetical protein Rv0142 	6	6.1	0.3	91.2	3.8	-87.37	-4.57	0.00940	0.07063
Rv0143c	-	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN 	27	20.1	7.7	1023.1	394.3	-628.83	-1.38	0.02960	0.14368
Rv0144	-	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN (POSSIBLY TETR-FAMILY) 	14	29.0	11.2	1129.3	437.6	-691.75	-1.37	0.11110	0.33081
Rv0145	-	hypothetical protein Rv0145 	15	13.3	62.2	439.6	2052.8	1613.23	2.22	0.12300	0.35641
Rv0146	-	hypothetical protein Rv0146 	16	13.8	31.1	415.1	932.3	517.26	1.17	0.34340	0.63054
Rv0147	-	PROBABLE ALDEHYDE DEHYDROGENASE (NAD+) DEPENDENT 	26	30.2	54.8	1993.3	3616.5	1623.26	0.86	0.35670	0.64516
Rv0148	-	PROBABLE SHORT-CHAIN TYPE DEHYDROGENASE/REDUCTASE 	16	23.0	1.1	1104.3	50.8	-1053.47	-4.44	0.00000	0.00000
Rv0149	-	POSSIBLE QUINONE OXIDOREDUCTASE (NADPH:QUINONE OXIDOREDUCTASE) (ZETA-CRYSTALLIN) 	21	43.2	32.7	2204.2	1669.3	-534.89	-0.40	0.63220	0.91031
Rv0150c	-	hypothetical protein Rv0150c 	4	0.0	0.0	0.0	0.0	0.00	0.00	1.00000	1.00000
Rv0151c	PE1	PE FAMILY PROTEIN 	44	21.7	74.5	2278.5	7820.0	5541.49	1.78	0.00630	0.05326
Rv0152c	PE2	PE FAMILY PROTEIN 	40	45.0	116.9	4188.1	10876.3	6688.19	1.38	0.02290	0.12150
Rv0153c	ptbB	PHOSPHOTYROSINE PROTEIN PHOSPHATASE PTPB (PROTEIN-TYROSINE-PHOSPHATASE) (PTPase) 	11	1.8	4.5	26.4	67.3	40.85	1.35	0.44550	0.72850
Rv0154c	fadE2	PROBABLE ACYL-CoA DEHYDROGENASE FADE2 	12	21.2	31.1	508.7	745.4	236.73	0.55	0.64870	0.92833
Rv0155	pntAa	PROBABLE NAD(P) TRANSHYDROGENASE (SUBUNIT ALPHA) PNTAA 	10	2.2	23.2	46.7	487.4	440.73	3.38	0.03900	0.17119
Rv0156	pntAb	PROBABLE NAD(P) TRANSHYDROGENASE (SUBUNIT ALPHA) PNTAB 	1	6.3	0.4	19.0	1.2	-17.80	-3.96	0.39670	0.68868
Rv0157	pntB	PROBABLE NAD(P) TRANSHYDROGENASE (SUBUNIT BETA) PNTB 	14	1.9	6.7	57.5	202.3	144.83	1.81	0.05060	0.20270
Rv0158	-	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN (POSSIBLY TETR-FAMILY) 	16	58.5	206.1	2457.2	8655.6	6198.41	1.82	0.04160	0.17925
Rv0159c	PE3	PE FAMILY PROTEIN 	50	51.9	48.2	6068.0	5640.9	-427.13	-0.11	0.82790	1.00000
Rv0160c	PE4	PE FAMILY PROTEIN 	42	32.4	63.3	2621.0	5129.8	2508.78	0.97	0.17090	0.44078
Rv0161	-	POSSIBLE OXIDOREDUCTASE 	19	0.8	0.4	13.9	7.2	-6.72	-0.95	0.52720	0.80104
Rv0162c	adhE1	PROBABLE ZINC-TYPE ALCOHOL DEHYDROGENASE (E SUBUNIT) ADHE 	16	15.7	210.7	470.3	6320.9	5850.56	3.75	0.11150	0.33151
Rv0163	-	hypothetical protein Rv0163 	10	35.7	0.8	749.9	16.5	-733.41	-5.51	0.00270	0.03052
Rv0164	TB18.5	hypothetical protein Rv0164 	8	13.1	4.9	39.2	14.6	-24.57	-1.42	0.96910	1.00000
Rv0165c	-	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY GNTR-FAMILY) 	8	17.5	0.9	314.1	15.8	-298.31	-4.31	0.00100	0.01553
Rv0166	fadD5	acyl-CoA synthetase 	27	18.4	30.6	1217.3	2016.9	799.65	0.73	0.32670	0.60658
Rv0167	yrbE1A	CONSERVED HYPOTHETICAL INTEGRAL MEMBRANE PROTEIN YRBE1A 	7	4.3	0.8	51.4	9.6	-41.74	-2.41	0.10070	0.31317
Rv0168	yrbE1B	CONSERVED HYPOTHETICAL INTEGRAL MEMBRANE PROTEIN YRBE1B 	14	35.8	0.4	1074.3	13.0	-1061.29	-6.37	0.00020	0.00499
