#Resampling
#Command: python transit.py normalize=TTR ignoreNTerm=0.0 doLOESS=False ignoreCodon=True annotationPath=H37Rv.prot_table ignoreCTerm=0.0 histPath= sampleSize=10000 output=<open file 'resampling_H37Rv_Rv1565c_day32_TTR.dat', mode 'w' at 0x392ac00> expList=['Rv1565c_day32_rep1.wig', 'Rv1565c_day32_rep2.wig', 'Rv1565c_day32_rep3.wig'] doAdaptive=False ctrlList=['H37Rv_day32_rep1.wig', 'H37Rv_day32_rep2.wig', 'H37Rv_day32_rep3.wig']
#Control Samples:  H37Rv_day32_rep1.wig, H37Rv_day32_rep2.wig, H37Rv_day32_rep3.wig
#Experimental Samples:  Rv1565c_day32_rep1.wig, Rv1565c_day32_rep2.wig, Rv1565c_day32_rep3.wig
#Normalized with TTR
#TTR factors:	1.0000	0.2109	0.3076	0.7218	0.4697	0.6368
#Orf	Name	Description	N	TAs Hit	Sum Rd 1	Sum Rd 2	Delta Rd	log2 FC	p-value	p-adj
Rv0141c	-	hypothetical protein Rv0141c 	9	4	151.4	456.4	305.0	1.59	0.09690	0.34148
Rv0142	-	hypothetical protein Rv0142 	6	5	91.2	1.4	-89.9	-6.07	0.00720	0.06990
Rv0143c	-	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN 	27	18	1023.1	663.9	-359.2	-0.62	0.20820	0.49773
Rv0144	-	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN (POSSIBLY TETR-FAMILY) 	14	13	1129.3	1476.2	346.9	0.39	0.55120	0.88183
Rv0145	-	hypothetical protein Rv0145 	15	9	439.6	480.0	40.4	0.13	0.83220	1.00000
Rv0146	-	hypothetical protein Rv0146 	16	9	415.1	440.4	25.3	0.09	0.88190	1.00000
Rv0147	-	PROBABLE ALDEHYDE DEHYDROGENASE (NAD+) DEPENDENT 	26	23	1993.3	1092.7	-900.6	-0.87	0.18060	0.46858
Rv0148	-	PROBABLE SHORT-CHAIN TYPE DEHYDROGENASE/REDUCTASE 	16	15	1104.3	1318.8	214.5	0.26	0.73350	1.00000
Rv0149	-	POSSIBLE QUINONE OXIDOREDUCTASE (NADPH:QUINONE OXIDOREDUCTASE) (ZETA-CRYSTALLIN) 	21	15	2204.2	349.1	-1855.1	-2.66	0.00590	0.06036
Rv0150c	-	hypothetical protein Rv0150c 	4	1	0.0	39.4	39.4	3.71	0.10410	0.34237
Rv0151c	PE1	PE FAMILY PROTEIN 	44	36	2278.5	1322.7	-955.8	-0.78	0.05660	0.26048
Rv0152c	PE2	PE FAMILY PROTEIN 	40	32	4188.1	1520.0	-2668.1	-1.46	0.00800	0.07406
Rv0153c	ptbB	PHOSPHOTYROSINE PROTEIN PHOSPHATASE PTPB (PROTEIN-TYROSINE-PHOSPHATASE) (PTPase) 	11	6	26.4	55.2	28.8	1.07	0.35980	0.69893
Rv0154c	fadE2	PROBABLE ACYL-CoA DEHYDROGENASE FADE2 	12	9	508.7	632.6	123.9	0.31	0.66920	0.99408
Rv0155	pntAa	PROBABLE NAD(P) TRANSHYDROGENASE (SUBUNIT ALPHA) PNTAA 	10	7	46.7	56.8	10.2	0.28	0.73070	1.00000
Rv0156	pntAb	PROBABLE NAD(P) TRANSHYDROGENASE (SUBUNIT ALPHA) PNTAB 	1	1	19.0	12.9	-6.1	-0.56	0.70440	1.00000
Rv0157	pntB	PROBABLE NAD(P) TRANSHYDROGENASE (SUBUNIT BETA) PNTB 	14	9	57.5	74.9	17.4	0.38	0.58180	0.90963
Rv0158	-	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN (POSSIBLY TETR-FAMILY) 	16	14	2457.2	227.4	-2229.8	-3.43	0.00310	0.03783
Rv0159c	PE3	PE FAMILY PROTEIN 	50	37	6068.0	3112.2	-2955.8	-0.96	0.03850	0.20186
Rv0160c	PE4	PE FAMILY PROTEIN 	42	29	2621.0	2853.1	232.1	0.12	0.77540	1.00000
Rv0161	-	POSSIBLE OXIDOREDUCTASE 	19	7	13.9	366.2	352.3	4.72	0.00890	0.07944
Rv0162c	adhE1	PROBABLE ZINC-TYPE ALCOHOL DEHYDROGENASE (E SUBUNIT) ADHE 	16	10	470.3	296.9	-173.4	-0.66	0.55720	0.88732
Rv0163	-	hypothetical protein Rv0163 	10	7	749.9	467.4	-282.5	-0.68	0.49480	0.82293
Rv0164	TB18.5	hypothetical protein Rv0164 	8	1	39.2	622.1	582.9	3.99	0.10300	0.34153
Rv0165c	-	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY GNTR-FAMILY) 	8	6	314.1	641.3	327.1	1.03	0.09720	0.34148
Rv0166	fadD5	acyl-CoA synthetase 	27	23	1217.3	944.2	-273.0	-0.37	0.33790	0.67196
Rv0167	yrbE1A	CONSERVED HYPOTHETICAL INTEGRAL MEMBRANE PROTEIN YRBE1A 	7	4	51.4	87.9	36.6	0.78	0.46790	0.79545
Rv0168	yrbE1B	CONSERVED HYPOTHETICAL INTEGRAL MEMBRANE PROTEIN YRBE1B 	14	10	1074.3	16.2	-1058.1	-6.05	0.00020	0.00502
Rv0169	mce1A	MCE-FAMILY PROTEIN MCE1A 	39	25	2184.1	353.3	-1830.8	-2.63	0.00060	0.01203
Rv0170	mce1B	MCE-FAMILY PROTEIN MCE1B 	18	12	1845.5	147.3	-1698.2	-3.65	0.00070	0.01336
Rv0171	mce1C	MCE-FAMILY PROTEIN MCE1C 	25	20	1024.7	146.1	-878.6	-2.81	0.00120	0.01962
Rv0172	mce1D	MCE-FAMILY PROTEIN MCE1D 	33	27	6348.9	335.2	-6013.7	-4.24	0.00000	0.00000
Rv0173	lprK	POSSIBLE MCE-FAMILY LIPOPROTEIN LPRK (MCE-FAMILY LIPOPROTEIN MCE1E) 	16	9	406.0	314.2	-91.8	-0.37	0.45120	0.78335
Rv0174	mce1F	MCE-FAMILY PROTEIN MCE1F 	31	24	3226.0	336.6	-2889.5	-3.26	0.00000	0.00000
Rv0175	-	PROBABLE CONSERVED MCE ASSOCIATED MEMBRANE PROTEIN 	9	5	111.0	108.1	-2.9	-0.04	0.98610	1.00000
Rv0176	-	PROBABLE CONSERVED MCE ASSOCIATED TRANSMEMBRANE PROTEIN 	15	10	1727.7	47.8	-1679.9	-5.18	0.00020	0.00502
Rv0177	-	PROBABLE CONSERVED MCE ASSOCIATED PROTEIN 	12	6	280.6	66.6	-214.1	-2.08	0.59720	0.92465
Rv0178	-	PROBABLE CONSERVED MCE ASSOCIATED MEMBRANE PROTEIN 	11	6	906.5	50.5	-856.0	-4.17	0.00200	0.02820
Rv0179c	lprO	POSSIBLE LIPOPROTEIN LPRO 	22	14	1959.0	988.5	-970.5	-0.99	0.18680	0.47223
Rv0180c	-	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN 	28	0	0.0	0.0	0.0	0.00	1.00000	1.00000
Rv0181c	-	hypothetical protein Rv0181c 	15	13	5352.1	254.0	-5098.2	-4.40	0.00260	0.03390
