Rv_ID,Name,Description,Final Call,Functional_Category,PE35_KO_vs_mbio_H37Rv,PPE68_KO_vs_mbio_H37Rv,Rv0950c_KO_vs_CB_WT,Rv0954_KO_vs_RJ_WT,Rv1096_KO_vs_CB_WT,Rv3005c_KO_day32_vs_dejesus_H37Rv_day32,Rv3594_KO_vs_Rubin_FLUTE_WT,Rv3684_KO_vs_CB_WT,Rv3717_KO_vs_Rubin_FLUTE_WT,Rv3811_KO_vs_Rubin_FLUTE_WT,bellerose_MB_HRZE_wk1_vs_bellerose_MB_d21_untreated,bellerose_MB_HRZE_wk1_vs_bellerose_MB_pretreatment,bellerose_MB_d21_untreated_vs_bellerose_MB_pretreatment,carey_621_vs_carey_rv,carey_630_vs_carey_rv,carey_631_vs_carey_rv,carey_632_vs_carey_rv,carey_641_vs_carey_rv,carey_662_vs_carey_rv,carey_663_vs_carey_rv,carey_667_vs_carey_rv,dejesus_H37Rv_day32_vs_dejesus_H37Rv_day0,dejesus_Rv0307c_day32_vs_dejesus_Rv0307c_day0,dejesus_Rv1432_day0_vs_dejesus_H37Rv_day0,dejesus_Rv1432_day32_vs_dejesus_H37Rv_day32,dejesus_Rv1432_day32_vs_dejesus_Rv1432_day0,dejesus_Rv1565c_day0_vs_dejesus_H37Rv_day0,dejesus_Rv1565c_day32_vs_dejesus_H37Rv_day32,dejesus_Rv1565c_day32_vs_dejesus_Rv1565c_day0,dejesus_Rv2680_day0_vs_dejesus_H37Rv_day0,dejesus_Rv2680_day32_vs_dejesus_H37Rv_day32,dejesus_Rv2680_day32_vs_dejesus_Rv2680_day0,dejesus_Rv3916c_day32_vs_dejesus_Rv3916c_day0,eccD1_KO_vs_mbio_H37Rv,espI_KO_vs_mbio_H37Rv,griffin_cholesterol_vs_griffin_glycerol,griffin_glycerol_vs_mbio_H37Rv,kieser_dPonA1_vs_mbio_H37Rv,korte_2016_otsa_trehalose_vs_korte_2016_otsa_7h9,marP_KO_vs_marP_WT,minato_minimal_plate_vs_minato_rich_plate,mishra_C3H_vs_mishra_B6,mishra_NOS2_vs_mishra_B6,mishra_NOS2_vs_mishra_C3H,nambi_2015_ctpC_vs_nambi_2015_wt,ritterhaus_hypoxia_H3_vs_ritterhaus_hypoxia_input,ritterhaus_hypoxia_H6_vs_ritterhaus_hypoxia_input,xu_emb_2.5_vs_xu_emb_0,xu_emb_3_vs_xu_emb_0,xu_inh_025_vs_xu_inh_0,xu_inh_02_vs_xu_inh_0,xu_mero_2.5_vs_xu_mero_0,xu_rif_4_vs_xu_rif_0,xu_van_16_vs_xu_van_0,zhang_AA_Rescue_vs_zhang_in_vitro_control_Rescue,zhang_DETA-NO_pH_7.0_vs_zhang_pH_7.0_no_NO_control,zhang_Fe_1.5mM_vs_zhang_Fe_450uM,zhang_Trp_Rescue_vs_zhang_in_vitro_control_Rescue,zhang_Tyloxapol_pH_6.5_vs_zhang_Tyloxapol_pH_4.5,zhang_Tyloxapol_pH_6.5_vs_zhang_pcit_pH_4.5,zhang_mhcii_mouse_d10_vs_zhang_wt_mouse_d10,zhang_mhcii_mouse_d45_vs_zhang_wt_mouse_d45,zhang_wt_mouse_d10_vs_zhang_input_library,zhang_wt_mouse_d45_vs_zhang_input_library,pca1,pca2,pca3,tsne1,tsne2,y_hc
Rv0018c,pstP,Phosphoserine/threonine phosphatase PstP,ESD,regulatory proteins,0.02,-0.43,-0.92,-3.07,-0.61,-0.6,0.03,-0.51,2.13,0.92,1.77,-0.36,-2.13,-0.37,0.85,-0.31,0.52,0.02,0.21,-0.05,0.81,-2.04,-3.1,2.26,5.37,1.07,-0.63,1.67,0.26,-0.33,4.02,2.32,-3.63,-0.55,-0.48,-0.34,-2.41,-2.0,1.73,-2.02,-0.86,-0.39,-1.14,-0.75,1.39,0.75,2.96,-0.78,-2.11,1.56,0.91,-0.18,0.33,0.26,1.13,-2.1,-0.87,0.25,0.3,2.33,-0.18,3.41,0.5,-6.1,0.8223905091158474,-1.2829430238427728,2.994886115492774,8.660956,11.275202,1
Rv0019c,fhaB,"Conserved protein with FHA domain, FhaB",NE,regulatory proteins,-0.01,-0.11,-1.24,-2.55,0.03,-5.91,1.08,0.15,3.04,1.78,-0.9,-3.7,-2.8,0.45,1.16,-0.66,-0.46,0.07,0.72,-0.38,-0.34,0.71,1.58,1.63,2.08,1.16,-4.76,-3.17,2.52,-2.28,-0.46,2.52,-1.0,0.09,-0.05,-2.28,0.85,-2.6,2.04,-4.9,-1.34,-2.85,-3.11,-0.26,-0.78,0.64,3.93,-1.45,-2.27,0.53,0.14,-0.37,0.79,1.17,-2.86,-0.65,0.38,1.86,1.46,1.18,5.84,1.36,-4.07,-3.22,4.79738739106593,-2.3557042072509646,-2.1360594342780237,-10.148798,42.088345,0
Rv0020c,fhaA,"Conserved protein with FHA domain, FhaA",ESD,regulatory proteins,-0.28,-0.46,-0.31,-2.69,-0.08,-6.06,0.57,0.67,0.73,0.45,-0.5,-1.21,-0.71,1.46,0.74,0.09,0.87,0.43,0.84,0.03,-0.05,2.45,0.65,1.95,0.03,0.54,-4.3,-7.74,-0.98,2.38,0.41,0.48,-0.68,-0.4,-0.58,0.46,-1.49,-1.95,1.38,-3.28,-0.86,-0.44,-1.86,-1.42,-0.43,0.62,1.89,-2.12,-2.92,1.29,-0.38,-0.62,-0.82,-0.81,-0.32,0.85,2.74,-6.13,-0.31,-1.92,-0.73,1.29,1.03,0.35,-1.7015214925778916,-5.778489736236089,-4.03217049488559,18.394836,29.016666,0
Rv0021c,-,hypothetical protein,NE,conserved hypotheticals,-0.2,-0.14,0.22,0.65,0.06,1.86,-0.41,0.31,-0.02,-0.08,-0.07,0.09,0.16,0.0,-0.14,-0.85,-0.31,-0.26,-0.1,0.27,-0.3,0.08,-0.87,0.05,0.38,0.41,-0.51,-0.74,-0.16,-0.68,-0.64,0.12,0.75,0.03,-0.21,0.86,0.12,0.03,0.21,0.24,-0.21,-0.3,-0.4,-0.1,-1.11,0.07,0.36,-0.0,0.66,0.41,0.27,0.17,0.04,0.07,0.24,0.18,-0.79,0.26,-0.23,0.21,-0.42,0.65,0.19,-0.95,2.1720446059506315,1.2624974111025526,1.6115998688635833,-16.91507,3.806915,0
Rv0022c,whiB5,Probable transcriptional regulatory protein WhiB-like WhiB5,NE,regulatory proteins,-0.14,0.02,0.3,-0.18,0.33,-0.46,0.16,0.26,0.45,0.19,-0.68,0.35,1.03,0.32,-0.31,-0.32,0.21,-0.05,-0.22,0.43,0.43,-0.3,1.29,2.22,3.18,0.66,-2.15,-1.78,0.07,1.49,1.11,-0.69,0.29,0.33,0.29,0.33,0.66,0.76,1.47,0.0,0.19,0.26,0.05,-0.21,-1.3,0.27,0.54,-0.23,-0.17,-0.11,0.14,0.06,-0.26,-0.16,0.93,-0.21,0.36,1.6,0.52,0.87,0.61,-0.16,-0.31,0.53,8.170324143254648,3.827324216430978,-0.1388552717985684,-33.854404,26.925652,0
Rv0023,-,Possible transcriptional regulatory protein,GD,regulatory proteins,-0.3,0.6,0.5,-2.32,0.26,0.0,-0.3,0.4,-0.58,-2.06,0.29,2.08,-0.07,1.13,0.35,0.0,0.0,0.0,0.78,1.32,3.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.04,0.0,-1.36,0.63,0.0,1.05,2.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.41,0.0,1.09,-0.41,0.0,0.0,-1.44,0.0,6.02,-0.56,-2.528400402511144,-1.939348367077261,-0.8264417087123245,21.364115,33.62785,1
Rv0024,-,Putative secreted protein P60-related protein,NE,"virulence, detoxification, adaptation",0.53,0.62,0.37,0.06,0.21,2.07,-0.46,0.1,-0.61,-0.67,0.03,0.3,0.27,-0.62,0.22,1.76,-0.36,0.01,-0.34,-0.23,0.14,0.07,-2.02,2.01,1.87,-0.08,0.77,0.58,-0.12,-0.27,-1.59,-1.26,-0.82,0.64,0.31,-0.02,0.69,0.87,-0.41,0.61,0.43,0.27,0.33,0.06,1.01,-0.01,-0.25,0.04,0.15,0.41,-0.08,0.01,0.13,-0.04,0.74,0.01,0.51,-0.48,0.39,0.77,-0.19,0.15,-1.21,0.16,0.8262005486558143,6.518172543388591,4.355223347169661,-22.112917,-0.6512374,0
Rv0025,-,hypothetical protein,NE,conserved hypotheticals,-0.22,0.04,0.59,0.0,0.63,-2.5,-0.53,0.73,-0.4,-0.32,0.92,1.26,0.34,1.08,0.62,-0.1,-0.27,0.34,0.75,0.64,0.99,-1.59,0.46,0.75,2.64,0.3,-3.36,-2.8,-1.04,-1.79,0.13,0.33,0.3,0.52,0.14,1.62,-0.74,-0.38,-3.83,0.2,-0.89,0.57,0.43,-0.14,-3.05,0.37,0.52,-0.33,-0.76,0.2,-0.07,-0.45,-0.03,0.04,1.21,-0.1,-1.16,1.09,-0.94,-0.07,0.72,-1.38,-0.5,-0.82,-0.22921755618517956,-0.713723229867361,1.4871589913515724,-0.7141355,-5.1311264,0
Rv0026,-,hypothetical protein,NE,conserved hypotheticals,0.06,0.13,0.05,-0.09,0.05,-7.08,0.07,0.22,-0.14,-0.28,0.07,0.27,0.2,-0.33,0.51,-0.7,-0.51,-0.18,-0.47,-0.1,-0.23,0.97,2.98,0.32,-0.48,0.17,-1.85,-1.77,1.05,-0.37,-1.02,0.31,-2.92,-0.12,-0.25,0.09,-0.42,-0.07,-0.54,-0.32,-0.74,0.03,0.0,-0.03,0.7,-0.18,0.06,0.18,0.06,1.28,0.45,-0.16,0.06,-0.04,1.44,-0.25,-0.45,1.24,0.42,0.58,-0.33,-0.22,0.82,-0.35,-2.159390855757594,1.0219468345974028,1.689566566695023,4.182015,-16.33682,3
Rv0027,-,hypothetical protein,NE,conserved hypotheticals,0.59,0.56,0.05,-2.28,0.06,-3.96,1.93,-0.31,2.93,2.0,0.57,0.98,0.41,0.3,0.3,-1.4,-0.71,-0.19,-1.07,-0.23,-0.01,4.47,-1.39,6.13,1.33,-0.33,3.91,-0.22,0.34,2.64,-0.37,1.46,3.09,0.81,0.54,-2.26,-0.92,-2.82,-1.19,-0.09,-1.53,-1.82,0.67,2.5,6.59,0.2,-0.9,-0.06,-0.12,-0.26,-0.05,0.42,0.24,0.08,-1.5,-0.11,-0.31,0.02,-0.22,0.32,1.66,1.56,-1.19,-1.49,-8.015752666863934,0.17876966488938134,-1.2173812528946983,28.217133,-21.586016,3
Rv0028,-,hypothetical protein,NE,conserved hypotheticals,-0.18,-0.17,0.2,1.24,0.15,-0.18,0.02,0.06,-0.2,-0.89,-0.3,-0.43,-0.13,1.22,0.55,0.96,0.0,0.19,-0.17,0.54,0.13,1.18,-1.82,-2.98,-2.76,1.4,0.34,-1.45,-0.61,-0.29,-0.55,0.93,2.47,-0.14,-0.36,0.27,-2.32,0.06,1.18,0.12,0.57,1.88,0.97,-0.91,-2.1,-0.1,-0.07,0.19,0.22,-0.02,-0.03,0.23,0.12,0.13,-1.1,-0.19,0.95,-1.8,0.92,1.62,1.37,-0.54,-2.48,0.19,-1.2216486932453183,-2.313839940885732,0.6535521363153913,6.7298007,-8.9634495,0
Rv0029,-,hypothetical protein,NE,conserved hypotheticals,0.07,-0.02,0.11,0.66,0.12,-3.08,-0.07,0.32,-0.24,-0.05,0.39,0.22,-0.17,0.26,0.56,0.22,0.1,0.06,0.63,-0.01,0.46,0.5,-0.04,-8.1,-7.94,0.65,-0.37,-1.0,-0.14,-0.9,-3.31,-1.91,-1.24,-0.36,-0.05,2.08,-0.5,0.44,-0.63,0.36,0.26,-0.48,-0.4,0.08,-0.28,0.12,0.29,0.07,-0.06,-0.46,-0.12,-0.31,-0.16,0.22,0.36,-0.13,-1.23,0.36,0.22,0.64,0.28,-0.5,-0.3,-0.25,-4.949979437415031,-1.7424641008604866,-0.24215169465076586,6.366099,-15.988888,2
Rv0030,-,hypothetical protein,NE,conserved hypotheticals,-1.02,-1.16,0.25,-1.36,0.63,-2.88,-3.0,0.35,-1.61,-2.29,-2.48,-2.41,0.07,-0.79,-0.87,-0.62,-1.25,-0.39,1.24,-0.87,0.33,-2.65,2.16,2.7,5.34,-0.01,0.65,1.78,-1.52,-5.36,-1.66,1.6,-2.51,-1.78,-1.51,-0.9,-2.89,-2.29,4.52,0.0,0.37,1.26,0.82,-0.43,1.17,-0.47,0.38,-0.02,0.05,-0.55,-0.13,0.34,-0.28,-0.22,1.78,-0.35,2.37,-0.03,0.77,1.14,-3.52,0.4,0.04,0.76,-1.4147691924965,-2.221298475424831,2.7701697815308477,6.204073,-10.698533,4
Rv0031,-,Possible remnant of a transposase,Uncertain,insertion seqs and phages,-3.62,-3.62,0.0,0.0,3.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.52,-2.52,0.58,-2.52,2.05,1.86,2.55,-2.52,-5.37,0.0,-5.37,0.0,0.0,-5.37,0.0,0.0,-5.37,0.0,0.0,0.0,-3.62,-3.62,0.0,-3.62,-3.62,0.0,1.59,-1.29,0.0,0.0,0.0,0.0,-0.46,-3.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4377536034199438,0.7312082190003001,1.5145266804563466,-28.400764,-9.990772,1
Rv0032,bioF2,Possible 8-amino-7-oxononanoate synthase BioF2 (AONS) (8-amino-7-ketopelargonate synthase) (7-keto-8-amino-pelargonic acid synthetase) (7-KAP synthetase) (L-alanine--pimelyl CoA ligase),NE,intermediary metabolism and respiration,-0.02,-0.05,0.19,-0.11,0.13,0.26,0.27,0.07,0.22,0.32,0.02,0.23,0.21,0.43,0.84,0.05,0.25,0.17,-0.23,0.21,0.55,0.45,-0.47,0.32,-0.86,-0.73,-0.35,-0.55,0.25,-0.28,-1.01,-0.28,-0.18,-0.0,-0.03,0.51,-0.38,-0.36,-0.33,0.28,-0.43,0.54,0.27,-0.27,-0.28,-0.0,-0.24,0.06,0.16,1.05,-0.12,0.1,0.13,0.04,-0.54,-0.1,0.41,-0.24,0.08,0.55,-0.46,0.54,-0.02,-0.17,5.690745538869703,4.876614048865824,8.354097836359275,-27.707129,0.60242677,0
Rv0033,acpA,Probable acyl carrier protein AcpA (ACP),NE,lipid metabolism,-0.22,-0.24,0.63,-0.67,0.8,1.35,-0.09,0.6,-0.39,0.23,-1.88,-0.76,1.12,0.18,-1.65,-0.93,-0.01,-0.67,-1.12,0.29,-0.61,-1.06,1.06,-0.18,1.11,0.24,-0.83,0.22,-0.01,-0.23,-0.74,-1.57,-0.61,-0.08,-0.53,0.4,-1.07,-1.03,1.02,0.29,-0.62,0.43,1.2,0.77,-0.19,0.39,0.57,-0.17,-0.14,-0.31,0.11,-0.08,-0.34,0.09,-3.37,-0.51,-0.92,-0.25,-0.06,0.24,0.27,0.02,0.47,-0.67,0.9816039312016308,2.448370759791262,-2.727997348086675,-4.2065883,14.779503,0
Rv0034,-,hypothetical protein,NE,conserved hypotheticals,0.05,-0.21,0.37,0.82,0.55,0.32,0.33,0.24,-0.27,0.62,0.6,0.27,-0.33,2.69,1.39,0.65,0.59,1.06,0.94,1.37,0.9,-3.85,0.13,2.7,6.33,-0.22,-0.68,3.79,0.61,-1.27,2.99,0.41,-6.9,-0.11,-0.4,0.58,-0.27,-0.17,-1.19,-0.3,-0.47,-0.15,0.31,0.46,-0.18,0.09,0.43,-0.91,-0.93,-0.27,-0.44,0.09,-0.5,-0.2,0.7,-0.61,0.43,-2.25,0.53,1.01,-0.1,-1.19,-0.28,0.5,9.91680510882523,3.0515184726388553,6.5784873589071395,-23.03122,36.84238,4
Rv0035,fadD34,Probable fatty-acid-CoA ligase FadD34 (fatty-acid-CoA synthetase) (fatty-acid-CoA synthase),NE,lipid metabolism,-0.07,-0.01,0.31,-0.06,0.16,0.48,-0.52,0.1,-0.4,-0.25,0.09,-0.09,-0.18,-0.14,-0.06,-0.25,0.33,0.04,0.26,0.65,1.05,0.75,0.28,0.27,-0.23,0.25,1.01,0.42,0.15,0.22,-0.69,-0.17,-0.03,0.02,-0.2,0.0,-0.18,-0.03,0.89,0.1,0.06,-0.04,0.07,0.11,0.41,0.07,0.04,0.03,-0.06,-0.32,-0.22,-0.09,0.0,-0.0,0.76,-0.12,-0.28,-0.01,0.29,0.51,-0.5,-0.78,0.68,0.75,4.813549540800051,0.35742643874115754,-1.372437378718494,-16.022707,28.716572,0
Rv0036c,-,hypothetical protein,NE,conserved hypotheticals,0.25,0.28,0.03,2.17,-0.06,2.91,0.22,0.09,0.73,-0.11,-0.57,-0.96,-0.38,-2.23,-0.51,-0.95,-0.08,-0.39,-0.61,0.52,0.37,-0.16,-0.42,1.85,2.3,0.3,2.5,2.97,0.31,0.86,-3.77,-4.8,-1.03,0.09,-0.3,-0.74,1.48,0.2,0.88,0.11,-0.1,-0.92,-0.71,0.21,1.35,0.12,-0.48,0.26,0.24,0.12,0.42,0.03,0.28,0.31,-1.03,0.11,1.57,-0.74,0.19,0.94,-0.35,0.35,-0.04,-0.82,3.7730997594992672,-1.559125896513687,-1.2602962314866164,-11.914181,31.764591,0
