Rv_ID,gene_name,func_tuberculist,COG,u1,u2,u3
Rv0168,yrbE1B,"virulence, detoxification, adaptation",Q,-3.2359047,-0.71914005,20.894466
Rv0169,mce1A,"virulence, detoxification, adaptation",NT,-3.3771584,-0.8215347,21.055653
Rv0170,mce1B,"virulence, detoxification, adaptation",Q,-3.5833435,-0.59171325,21.680088
Rv0171,mce1C,"virulence, detoxification, adaptation",NT,-3.3180187,-0.8008761,20.98781
Rv0172,mce1D,"virulence, detoxification, adaptation",Q,-3.1658676,-0.73781264,20.577265
Rv0174,mce1F,"virulence, detoxification, adaptation",Q,-3.344477,-0.81537867,21.030888
Rv0175,-,cell wall and cell processes,S,3.3674536,-3.4480472,10.539863
Rv0176,-,cell wall and cell processes,S,-3.3932886,-0.79418296,21.113066
Rv0177,-,conserved hypotheticals,S,8.023548,-2.38478,12.625051
Rv0179c,lprO,cell wall and cell processes,S,4.2613316,-3.3717186,11.282554
Rv0180c,-,cell wall and cell processes,S,1.8876661,-6.454474,13.716336
Rv0183,-,intermediary metabolism and respiration,I,4.2183337,-2.9053388,10.846902
Rv0189c,ilvD,intermediary metabolism and respiration,EG,9.852684,1.1112428,13.431417
Rv0190,-,conserved hypotheticals,S,8.16609,-2.7972052,12.896475
Rv0191,-,cell wall and cell processes,G,0.9221898,-6.782753,13.595321
Rv0199,-,cell wall and cell processes,S,3.5919504,-2.779265,10.658109
Rv0200,-,cell wall and cell processes,S,3.663757,-2.5965748,10.6836815
Rv0201c,-,conserved hypotheticals,K,1.0317528,-6.740815,13.637799
Rv0202c,mmpL11,cell wall and cell processes,R,1.6255107,-5.180114,13.681818
Rv0204c,-,cell wall and cell processes,S,3.4509196,-4.794286,13.559915
Rv0205,-,cell wall and cell processes,R,7.792782,-2.2302623,14.381082
Rv0206c,mmpL3,cell wall and cell processes,R,6.676088,-4.3489175,10.523637
Rv0207c,-,conserved hypotheticals,S,-2.6846793,-0.28588495,17.863995
Rv0208c,trmB,intermediary metabolism and respiration,R,6.657466,-4.332599,10.537077
Rv0211,pckA,intermediary metabolism and respiration,C,7.4324,-2.2334952,12.145589
Rv0216,-,intermediary metabolism and respiration,I,1.1465955,-5.8152256,13.637022
Rv0220,lipC,intermediary metabolism and respiration,I,3.1300151,-4.162984,7.5787325
Rv0221,-,lipid metabolism,Q,-3.746838,-4.191721,-5.3688226
Rv0222,echA1,lipid metabolism,I,-2.7845569,-0.25320423,17.992022
Rv0223c,-,intermediary metabolism and respiration,C,-3.6034455,-0.6280096,21.666447
Rv0230c,php,lipid metabolism,R,-3.032711,-0.74348354,19.996307
Rv0237,lpqI,cell wall and cell processes,G,-3.6253114,-4.241339,-5.405329
Rv0238,-,regulatory proteins,K,2.3489146,-5.2413435,12.936889
Rv0240,-,"virulence, detoxification, adaptation",R,2.5902479,2.0878172,8.594184
Rv0241c,-,intermediary metabolism and respiration,I,-3.0152836,-0.5444746,19.634157
Rv0242c,fabG,lipid metabolism,IQR,-2.791758,-0.6585535,19.375072
Rv0243,fadA2,lipid metabolism,I,2.6233623,-5.506338,14.103177
Rv0244c,fadE5,lipid metabolism,I,3.1801436,-4.9076085,13.747677
Rv0245,-,intermediary metabolism and respiration,R,-2.7504601,-0.37971145,18.326746
Rv0247c,-,intermediary metabolism and respiration,C,4.2052617,-3.038513,11.170466
Rv0248c,sdhA,intermediary metabolism and respiration,C,6.743104,-2.3434823,12.261443
Rv0249c,-,intermediary metabolism and respiration,S,6.8934464,-2.2827122,12.237765
Rv0250c,-,conserved hypotheticals,S,-3.9457173,-4.0893326,-5.4280396
Rv0254c,cobU,intermediary metabolism and respiration,H,-2.7140934,-0.20681652,17.902582
Rv0256c,PPE2,PE/PPE,S,0.90987146,-6.81777,13.627108
Rv0260c,-,regulatory proteins,TK,-2.7347531,-0.23903078,17.916086
Rv0261c,narK3,cell wall and cell processes,P,7.8545036,0.011052794,14.335483
Rv0263c,-,conserved hypotheticals,E,-3.2582145,-3.6139219,-5.0290627
Rv0265c,-,cell wall and cell processes,P,-3.499699,-0.44971204,21.49872
Rv0270,fadD2,lipid metabolism,IQ,3.0044544,-4.289261,7.487336
Rv0272c,-,conserved hypotheticals,S,-3.8146951,-4.054228,-5.4890203
Rv0273c,-,regulatory proteins,K,3.230863,-4.1743355,7.8037176
Rv0275c,-,regulatory proteins,K,-3.5600123,-4.0955215,-5.5481563
Rv0289,-,cell wall and cell processes,S,6.6590343,-4.3162956,10.519225
Rv0290,-,cell wall and cell processes,S,6.700095,-4.292991,10.5152
Rv0291,mycP3,intermediary metabolism and respiration,O,6.691966,-4.3310084,10.549775
Rv0292,-,cell wall and cell processes,S,10.212744,-4.1318183,13.16302
Rv0293c,-,conserved hypotheticals,R,-3.6593149,-4.163019,-5.57157
Rv0296c,-,intermediary metabolism and respiration,P,1.4383909,-5.28103,13.749394
Rv0306,-,intermediary metabolism and respiration,C,-3.6024399,-4.2113414,-5.405797
Rv0309,-,cell wall and cell processes,S,6.7378254,-4.330367,10.429478
Rv0310c,-,conserved hypotheticals,S,-3.5133665,-4.0851035,-5.6321793
Rv0312,-,conserved hypotheticals,O,-3.798621,-2.8163283,-4.986611
Rv0314c,-,cell wall and cell processes,S,-3.7499511,-3.9598687,-5.706201
Rv0315,-,intermediary metabolism and respiration,G,-3.4927218,-0.4643749,21.50537
Rv0321,dcd,intermediary metabolism and respiration,F,3.4498806,-6.3892365,10.472005
Rv0324,-,regulatory proteins,P,4.6777415,-3.0108151,12.351284
Rv0326,-,unknown,QR,-3.761829,-4.05862,-5.6835613
Rv0328,-,regulatory proteins,K,-3.6038468,-4.1481833,-5.541554
Rv0331,-,intermediary metabolism and respiration,R,-1.4254205,-2.1254735,13.851791
Rv0333,-,conserved hypotheticals,S,-1.2992501,-1.8923733,14.141266
Rv0337c,aspC,intermediary metabolism and respiration,E,10.506232,2.0350175,13.291043
Rv0338c,-,intermediary metabolism and respiration,C,10.590982,-4.1113386,12.767338
Rv0339c,-,regulatory proteins,TK,7.0937004,-3.8139932,11.310707
Rv0343,iniC,cell wall and cell processes,R,7.088075,-3.7806778,11.328697
Rv0344c,lpqJ,cell wall and cell processes,S,3.914437,-2.735215,10.943972
Rv0346c,ansP2,cell wall and cell processes,E,8.159784,-3.3286836,12.664161
Rv0353,hspR,"virulence, detoxification, adaptation",K,-1.1339002,-1.996719,14.043851
Rv0356c,-,conserved hypotheticals,Q,-0.20396313,4.0499353,10.725398
Rv0359,-,cell wall and cell processes,R,-0.31366268,3.965834,10.706135
Rv0361,-,cell wall and cell processes,S,3.2335935,-4.764856,13.506143
Rv0362,mgtE,cell wall and cell processes,P,7.710721,-2.2573366,12.121182
Rv0363c,fba,intermediary metabolism and respiration,G,10.632945,1.8617373,13.214963
Rv0367c,-,conserved hypotheticals,S,-3.6180224,-4.12847,-5.629266
Rv0368c,-,conserved hypotheticals,R,3.4973667,-4.318782,9.970995
Rv0380c,-,intermediary metabolism and respiration,J,-1.3104477,-1.8951732,14.173989
Rv0381c,-,conserved hypotheticals,S,1.25352,-5.3817573,13.818902
Rv0384c,clpB,"virulence, detoxification, adaptation",O,10.562523,1.7126907,13.099852
Rv0385,-,intermediary metabolism and respiration,HC,-3.4468174,-0.4211276,21.538237
Rv0390,-,conserved hypotheticals,P,-2.7251766,-0.40560403,18.263023
Rv0391,metZ,intermediary metabolism and respiration,E,-1.1841301,-2.3663285,13.872996
Rv0392c,ndhA,intermediary metabolism and respiration,C,2.541863,2.1735234,8.457337
Rv0394c,-,cell wall and cell processes,S,-3.0008302,-0.69931626,19.893448
Rv0395,-,conserved hypotheticals,S,3.4981372,-4.6471243,10.157824
Rv0398c,-,cell wall and cell processes,S,-3.3795457,-3.8759596,-5.657163
Rv0404,fadD30,lipid metabolism,IQ,10.602033,-4.1327696,12.799277
Rv0406c,-,conserved hypotheticals,R,-3.0016212,-0.59501547,19.556982
Rv0407,fgd1,intermediary metabolism and respiration,C,-2.9393058,-0.48149538,19.12443
Rv0410c,pknG,regulatory proteins,RTKL,7.379318,-2.8953862,12.333123
Rv0411c,glnH,cell wall and cell processes,ET,9.248442,-4.114321,12.63565
Rv0412c,-,cell wall and cell processes,S,3.1354299,-5.5110154,14.055883
Rv0413,mutT3,information pathways,LR,-3.5274882,-0.69657093,21.454378
Rv0418,lpqL,cell wall and cell processes,R,6.6485214,-4.3084965,10.526515
Rv0420c,-,cell wall and cell processes,S,-3.4064643,-4.073253,-5.4841833
Rv0424c,-,conserved hypotheticals,S,-1.2845305,-1.8726835,14.111515
Rv0425c,ctpH,cell wall and cell processes,P,-3.7406714,-0.6479215,21.430405
Rv0426c,-,cell wall and cell processes,S,-3.9861786,-3.744933,-5.501313
Rv0431,-,cell wall and cell processes,S,9.411184,-4.123313,12.638429
Rv0432,sodC,"virulence, detoxification, adaptation",P,-1.2361939,-1.9693795,13.597705
Rv0435c,-,cell wall and cell processes,O,-0.25147498,4.0196033,10.695534
Rv0436c,pssA,lipid metabolism,I,3.445497,-4.6476517,13.549944
Rv0437c,psd,lipid metabolism,I,3.5412514,-3.0116038,10.787721
Rv0438c,moeA2,intermediary metabolism and respiration,H,-2.8816466,-0.63833,19.50601
Rv0445c,sigK,information pathways,K,-3.7113583,-4.1369467,-5.0587273
Rv0450c,mmpL4,cell wall and cell processes,R,10.537653,2.0121725,13.285288
Rv0451c,mmpS4,cell wall and cell processes,S,-3.9636242,-3.9419246,-5.558625
Rv0452,-,regulatory proteins,K,-2.6951816,-0.2882679,17.910751
Rv0455c,-,conserved hypotheticals,S,1.9559574,-6.3168755,13.61199
Rv0456A,-,"virulence, detoxification, adaptation",T,-3.531208,-0.6570119,21.635109
Rv0459,-,conserved hypotheticals,S,-3.5219865,-4.2060165,-5.4107194
Rv0461,-,cell wall and cell processes,S,-3.8583424,-4.0474625,-5.6686697
Rv0462,lpd,intermediary metabolism and respiration,C,7.3088365,-0.39493492,14.626086
Rv0463,-,cell wall and cell processes,S,-3.7456276,-4.1422596,-5.4874644
Rv0465c,-,regulatory proteins,K,1.5596695,-5.2264595,13.70376
Rv0466,-,conserved hypotheticals,I,4.1238446,-2.8556032,10.756652
Rv0467,icl,intermediary metabolism and respiration,C,10.431728,1.6343602,13.288231
Rv0468,fadB2,lipid metabolism,I,7.0914006,-3.8021612,11.319976
Rv0469,umaA,lipid metabolism,M,10.598327,-4.128756,12.840293
Rv0470A,-,conserved hypotheticals,H,-3.8534389,-4.0018663,-5.550566
Rv0470c,pcaA,lipid metabolism,M,9.443776,2.4693203,13.563203
Rv0472c,-,regulatory proteins,K,3.5659711,-4.5396914,13.458691
Rv0473,-,cell wall and cell processes,S,-3.7359767,-3.451406,-4.7499294
Rv0476,-,cell wall and cell processes,S,3.1543777,-4.087104,7.504776
Rv0480c,-,intermediary metabolism and respiration,R,-3.7818823,-3.9993198,-5.6967916
Rv0481c,-,conserved hypotheticals,S,-0.22277166,3.959413,10.765943
Rv0483,lprQ,cell wall and cell processes,S,9.658777,-4.194446,12.68822
Rv0485,-,regulatory proteins,KG,1.4088962,-5.0529194,13.947461
Rv0486,-,intermediary metabolism and respiration,M,7.8662705,-2.1991296,12.187463
Rv0487,-,conserved hypotheticals,S,3.4411876,-5.941109,11.143148
Rv0489,gpm1,intermediary metabolism and respiration,G,3.146273,-5.259012,13.940022
Rv0490,senX3,regulatory proteins,T,-2.7601175,-0.36270213,18.278381
Rv0492A,-,conserved hypotheticals,S,-1.3124654,-1.9111323,13.803965
Rv0492c,-,intermediary metabolism and respiration,E,-1.310703,-1.9159659,13.727428
Rv0494,-,regulatory proteins,K,8.039723,-2.384231,12.598413
Rv0495c,-,conserved hypotheticals,S,7.514257,-2.1147552,12.210847
Rv0496,-,conserved hypotheticals,FP,2.6082048,2.325413,8.535475
Rv0497,-,cell wall and cell processes,S,9.624108,-4.1949496,12.684271
Rv0498,-,conserved hypotheticals,G,0.9829888,-6.722244,13.624065
Rv0499,-,conserved hypotheticals,C,-3.8704617,-3.6231022,-5.647476
Rv0501,galE2,intermediary metabolism and respiration,MG,3.401133,-6.3540807,10.408525
Rv0502,-,conserved hypotheticals,I,0.9189332,-6.75121,13.545807
Rv0503c,cmaA2,lipid metabolism,M,3.4799848,-6.3115497,10.444732
Rv0504c,-,conserved hypotheticals,S,1.3501115,-6.5895443,13.651349
Rv0505c,serB1,intermediary metabolism and respiration,E,3.1422386,-5.1973624,13.999851
Rv0507,mmpL2,cell wall and cell processes,R,2.6499062,2.29806,8.576544
Rv0513,-,cell wall and cell processes,S,-3.8067315,-3.9417648,-5.6564007
Rv0517,-,intermediary metabolism and respiration,I,7.105546,-3.7970245,11.325794
Rv0519c,-,cell wall and cell processes,R,7.7655535,-2.2549055,14.414654
Rv0521,-,intermediary metabolism and respiration,S,-3.800617,-2.8260806,-4.9883614
Rv0532,PE_PGRS6,PE/PPE,S,-3.8400416,-3.841235,-5.7077436
Rv0536,galE3,intermediary metabolism and respiration,MG,8.2196865,-3.0123947,13.103615
Rv0537c,-,cell wall and cell processes,S,6.601576,-4.3234997,10.467135
Rv0538,-,cell wall and cell processes,S,7.1799917,-3.8746939,11.828932
Rv0541c,-,cell wall and cell processes,S,0.93287677,-6.8141193,13.61633
Rv0545c,pitA,cell wall and cell processes,P,3.698604,-2.605848,10.715472
Rv0549c,-,"virulence, detoxification, adaptation",R,-3.6000483,-0.5304016,21.563532
Rv0551c,fadD8,lipid metabolism,IQ,3.4451022,-4.936122,10.233057
Rv0554,bpoC,"virulence, detoxification, adaptation",R,4.000565,-2.8596199,11.08169
Rv0557,pimB,lipid metabolism,M,-3.5894697,-3.868372,-5.071728
Rv0558,ubiE,intermediary metabolism and respiration,H,7.8676305,-1.9879947,13.694459
Rv0559c,-,cell wall and cell processes,S,-3.8022454,-2.833843,-4.983639
Rv0561c,-,intermediary metabolism and respiration,C,4.372177,-3.1263504,12.37698
Rv0563,htpX,"virulence, detoxification, adaptation",O,7.5813546,-2.761425,12.271756
Rv0566c,-,conserved hypotheticals,S,6.639031,-4.369037,10.516789
Rv0567,-,intermediary metabolism and respiration,QR,-3.4368412,-3.7915509,-5.4431925
Rv0569,-,conserved hypotheticals,S,8.233453,-3.0297163,13.120205
Rv0574c,-,conserved hypotheticals,M,3.381524,-3.6027377,10.460212
Rv0583c,lpqN,cell wall and cell processes,S,-3.5726657,-3.635839,-5.127025
Rv0586,-,regulatory proteins,K,-3.4808435,-0.4877402,21.579157
Rv0587,yrbE2A,"virulence, detoxification, adaptation",Q,3.0792832,-4.1439037,7.509853
Rv0589,mce2A,"virulence, detoxification, adaptation",Q,-2.7557518,-0.36154675,18.281614
Rv0590A,-,"virulence, detoxification, adaptation",S,-3.460854,-3.9693818,-5.253686
Rv0591,mce2C,"virulence, detoxification, adaptation",Q,-3.304204,-3.8095713,-5.1594505
Rv0593,lprL,cell wall and cell processes,Q,-3.4832797,-3.7752764,-5.354553
Rv0599c,-,"virulence, detoxification, adaptation",K,7.5756693,-1.7425625,13.638041
Rv0606,-,insertion seqs and phages,L,-3.4530346,-3.6852558,-5.1683445
Rv0610c,-,conserved hypotheticals,S,3.0706866,-4.0940046,7.476313
Rv0611c,-,conserved hypotheticals,S,-3.6207108,-0.5359583,21.610659
Rv0614,-,conserved hypotheticals,S,-0.28309527,3.9687476,10.738773
Rv0617,-,"virulence, detoxification, adaptation",R,3.4364326,-6.4110894,10.36822
Rv0619,galTb,intermediary metabolism and respiration,C,0.8784254,-6.845964,13.644346
Rv0622,-,cell wall and cell processes,S,-3.388989,-3.805788,-5.2590237
Rv0629c,recD,information pathways,L,-0.23810388,3.9993446,10.735442
Rv0631c,recC,information pathways,L,-3.6779637,-0.49611095,21.572737
Rv0632c,echA3,lipid metabolism,I,3.6898217,-2.615678,10.705039
Rv0634A,-,conserved hypotheticals,S,-2.9615195,-0.5558783,19.650465
Rv0634c,-,"virulence, detoxification, adaptation",R,3.380221,-3.419351,10.55044
Rv0642c,mmaA4,lipid metabolism,M,2.209357,-5.1495566,13.173652
Rv0643c,mmaA3,lipid metabolism,M,-3.6670537,-0.7143599,21.484303
Rv0644c,mmaA2,lipid metabolism,M,-3.6475816,-3.4705675,-4.558692
Rv0645c,mmaA1,lipid metabolism,M,-2.9329531,-0.53743696,19.262777
Rv0650,-,intermediary metabolism and respiration,KG,-0.18605518,3.9679406,10.744859
Rv0655,mkl,cell wall and cell processes,Q,3.5880954,-2.845986,10.744604
Rv0658c,-,cell wall and cell processes,R,-3.5104527,-3.80338,-5.190467
Rv0667,rpoB,information pathways,K,5.900688,-4.1417837,10.613174
Rv0668,rpoC,information pathways,K,3.4128737,-4.9928145,10.273295
Rv0670,end,information pathways,L,-3.709789,-3.6546264,-5.112542
Rv0671,lpqP,cell wall and cell processes,Q,3.40559,-6.3977513,10.400288
Rv0686,-,cell wall and cell processes,S,-1.3211347,-1.886882,13.73559
Rv0693,pqqE,intermediary metabolism and respiration,R,-1.3435305,-2.212046,13.841762
Rv0694,lldD1,intermediary metabolism and respiration,C,0.48233816,-5.936171,13.753559
Rv0695,-,conserved hypotheticals,R,-3.6587787,-3.62027,-5.121595
Rv0698,-,conserved hypotheticals,S,-3.621453,-3.674429,-5.16511
Rv0711,atsA,intermediary metabolism and respiration,P,3.4493284,-4.934693,10.22573
Rv0712,-,conserved hypotheticals,S,4.6554084,-3.0138037,12.346338
Rv0724,sppA,cell wall and cell processes,OU,6.6783504,-4.3125777,10.5630665
Rv0726c,-,lipid metabolism,Q,3.0956764,-3.9969325,7.4159875
Rv0736,-,information pathways,K,10.840066,1.594523,13.120645
Rv0740,-,conserved hypotheticals,S,3.447507,-6.42345,10.403712
Rv0741,-,insertion seqs and phages,L,3.4156096,-6.3890395,10.388374
Rv0746,PE_PGRS9,PE/PPE,S,-3.7022507,-0.44432625,21.54683
Rv0751c,mmsB,intermediary metabolism and respiration,I,-3.478162,-3.5308526,-5.0483813
Rv0753c,mmsA,intermediary metabolism and respiration,C,-3.582399,-0.5675556,21.564688
Rv0757,phoP,regulatory proteins,TK,6.670129,-2.427609,12.268074
Rv0758,phoR,regulatory proteins,T,6.8152003,-2.438829,12.240038
Rv0761c,adhB,intermediary metabolism and respiration,C,0.5061251,-5.9583035,13.7542305
Rv0766c,cyp123,intermediary metabolism and respiration,Q,10.8820095,3.4708889,8.708605
Rv0767c,-,conserved hypotheticals,S,4.5691304,-2.999218,12.283725
Rv0769,-,intermediary metabolism and respiration,IQR,3.1041014,-4.179534,7.4998345
Rv0772,purD,intermediary metabolism and respiration,F,10.625948,-4.1780167,12.832097
Rv0775,-,conserved hypotheticals,S,-3.5411558,-3.6162624,-5.056638
Rv0776c,-,conserved hypotheticals,S,3.4095442,-6.3811865,10.401097
Rv0779c,-,cell wall and cell processes,V,0.9224662,-6.8049765,13.620734
Rv0781,ptrBa,intermediary metabolism and respiration,E,2.6273246,2.0834026,8.570459
Rv0784,-,conserved hypotheticals,R,7.788101,-2.235158,14.378391
Rv0787,-,conserved hypotheticals,EF,-3.6839738,-3.926181,-5.30078
Rv0791c,-,conserved hypotheticals,C,3.4180558,-6.390713,10.393483
Rv0793,-,intermediary metabolism and respiration,S,-1.3452946,-2.053615,13.714881
Rv0796,-,insertion seqs and phages,L,10.909177,3.4983332,8.728487
Rv0799c,-,conserved hypotheticals,P,-3.5211024,-3.7871065,-5.073909
Rv0805,-,intermediary metabolism and respiration,R,7.42684,-2.3659036,12.164405
Rv0806c,cpsY,cell wall and cell processes,S,2.5680003,-5.07272,13.006582
Rv0808,purF,intermediary metabolism and respiration,F,10.630169,-4.1320295,12.80722
Rv0809,purM,intermediary metabolism and respiration,F,10.622799,-4.1915936,12.863673
Rv0812,-,intermediary metabolism and respiration,EH,9.666131,-4.1971517,12.690871
Rv0813c,-,conserved hypotheticals,S,-3.4246614,-3.8796065,-5.4846964
Rv0815c,cysA2,intermediary metabolism and respiration,P,10.605024,-4.1876383,12.858948
Rv0817c,-,cell wall and cell processes,S,3.4183118,-6.388145,10.396487
Rv0818,-,regulatory proteins,TK,7.1296763,-2.5145905,12.199532
Rv0819,-,intermediary metabolism and respiration,R,7.8684044,-2.2239478,12.210286
Rv0820,phoT,cell wall and cell processes,P,2.8086658,1.8927321,8.455031
Rv0821c,phoY2,cell wall and cell processes,P,5.1691575,-2.8200204,12.293889
Rv0822c,-,conserved hypotheticals,K,-3.559898,-0.577012,21.58651
Rv0827c,-,regulatory proteins,K,-3.7055173,-3.0714946,-4.985647
Rv0829,-,insertion seqs and phages,L,2.6389208,2.3212242,8.556561
Rv0831c,-,conserved hypotheticals,S,-3.327658,-3.1177716,-4.8954673
Rv0833,PE_PGRS13,PE/PPE,S,0.9228432,-6.797923,13.61718
Rv0839,-,conserved hypotheticals,QR,-3.7910724,-2.837217,-4.989886
Rv0842,-,cell wall and cell processes,S,3.4996562,-4.588693,10.140959
Rv0846c,-,intermediary metabolism and respiration,Q,10.529492,-4.1224465,12.852988
Rv0848,cysK2,intermediary metabolism and respiration,E,10.587985,-4.147384,12.822283
Rv0849,-,cell wall and cell processes,GEPR,10.50499,-4.1775737,12.950535
Rv0850,-,insertion seqs and phages,L,-0.2379213,3.9899068,10.697298
Rv0851c,-,intermediary metabolism and respiration,IQR,-2.735216,-0.26795784,17.927128
Rv0859,fadA,lipid metabolism,I,7.808355,-2.185122,12.153025
Rv0860,fadB,lipid metabolism,I,5.1777782,-2.872428,12.449314
Rv0861c,ercc3,information pathways,KL,-3.5201514,-3.304663,-4.5565705
Rv0862c,-,conserved hypotheticals,S,3.4451716,-6.4118066,10.370919
Rv0866,moaE2,intermediary metabolism and respiration,H,7.562042,-1.7329673,13.618655
Rv0867c,rpfA,cell wall and cell processes,S,6.652694,-4.3528843,10.542862
Rv0869c,moaA,intermediary metabolism and respiration,H,-3.6497104,-0.5345696,21.586012
Rv0874c,-,conserved hypotheticals,S,-3.5076358,-3.976173,-5.283059
Rv0875c,-,cell wall and cell processes,S,1.3516964,-6.617071,13.682242
Rv0876c,-,cell wall and cell processes,GEPR,2.684436,-5.9617677,13.709209
Rv0877,-,conserved hypotheticals,S,7.147742,-2.4832358,12.173185
Rv0878c,PPE13,PE/PPE,S,-3.5035653,-0.59230226,21.247622
Rv0881,-,intermediary metabolism and respiration,J,-3.6208577,-0.5685648,21.600895
Rv0884c,serC,intermediary metabolism and respiration,HE,7.8903356,-2.0008955,13.711535
Rv0886,fprB,intermediary metabolism and respiration,ER,-3.593217,-4.03039,-5.376003
Rv0888,-,cell wall and cell processes,S,3.4148076,-4.0877547,8.094561
Rv0889c,citA,intermediary metabolism and respiration,C,-0.25157124,3.9995463,10.726349
Rv0890c,-,regulatory proteins,K,-3.696626,-3.285533,-5.2436833
Rv0892,-,intermediary metabolism and respiration,P,10.509518,-4.1472845,12.857561
Rv0893c,-,lipid metabolism,Q,-3.6532502,-3.553052,-5.0775766
Rv0896,gltA,intermediary metabolism and respiration,C,1.465859,-6.633461,13.704325
Rv0900,-,cell wall and cell processes,S,-3.5074658,-3.90669,-5.275988
Rv0901,-,cell wall and cell processes,S,-0.2778957,3.9851563,10.716945
