Rv_ID,gene_name,func_tuberculist,COG,u1,u2,u3,u4,u5,u6,u7,u8,u9,u10
Rv0103c,ctpB,cell wall and cell processes,P,-1.5083799,2.3930545,7.8611274,-3.579498,-7.416218,11.59274,-1.9712127,-1.0724585,4.452733,1.1465056
Rv0106,-,conserved hypotheticals,R,1.025566,5.262855,8.530569,-2.2906604,-6.9277496,10.358378,1.2234421,-5.2671604,-0.35069728,-2.895369
Rv0108c,-,conserved hypotheticals,S,0.24160889,3.7293131,9.0971,-2.2593124,-6.8750577,12.291859,-1.2464064,-5.245855,2.7579348,-0.4923721
Rv0111,-,intermediary metabolism and respiration,I,0.21242732,-6.8209066,-14.297353,-3.567068,-0.16220073,-1.7628766,-0.342863,3.2049375,2.5431075,-1.5040385
Rv0112,gca,cell wall and cell processes,MG,-0.7157144,2.6579874,2.3784914,3.0633657,-4.9349084,6.6721563,-0.08266307,-5.0668015,1.5775828,-1.1712574
Rv0113,gmhA,cell wall and cell processes,G,0.23810981,-6.7889485,-14.454769,-3.2819679,-0.27923185,-1.9462268,-0.04845843,3.2284832,2.1116226,-1.6443188
Rv0116c,-,cell wall and cell processes,S,-1.14125,2.176459,7.3511333,-2.509793,-7.2991004,12.305945,-1.9585904,-2.8008304,3.7787514,0.17070532
Rv0121c,-,conserved hypotheticals,R,0.19570845,-6.754546,-14.548335,-3.3756132,-0.3811421,-1.8659784,-0.309249,3.350946,1.9928706,-1.5755955
Rv0123,-,conserved hypotheticals,S,-1.2156781,3.3329527,3.9213614,-3.4410994,-7.5830526,11.784818,-1.2698927,-3.0724409,2.1420033,-1.9293762
Rv0125,pepA,intermediary metabolism and respiration,O,0.35748005,-6.8981757,-14.557823,-3.2925472,-0.29912603,-1.9441808,-0.024093127,3.3651798,2.1721568,-1.5619903
Rv0126,treS,"virulence, detoxification, adaptation",G,-2.4623392,2.2959924,7.8395586,-4.148154,-7.538379,11.637658,-2.9450626,1.1606399,5.5475373,2.9438934
Rv0127,-,"virulence, detoxification, adaptation",G,-2.5114558,2.3484404,7.840186,-4.1509824,-7.520024,11.65714,-3.0022671,1.2254833,5.597821,3.0267096
Rv0129c,fbpC,lipid metabolism,R,0.53326845,4.839717,9.299279,-1.878877,-7.6266127,10.67686,1.1258836,-4.7852836,-0.12605123,-1.8300381
Rv0135c,-,regulatory proteins,K,0.14579895,3.672844,8.987495,-2.1979856,-6.9271483,12.388885,-1.2161101,-5.115508,2.8030348,-0.4411222
Rv0138,-,conserved hypotheticals,S,0.021148037,-6.7105427,-13.008387,-2.868172,-1.1468996,-1.094203,0.17476551,2.436342,2.2515695,-0.65112513
Rv0140,-,conserved hypotheticals,S,-0.7073959,2.628722,2.38152,3.0627036,-4.911557,6.6768885,-0.10674088,-5.085918,1.5974299,-1.1497816
Rv0153c,ptbB,regulatory proteins,T,-0.47587135,1.1697534,8.697758,-1.7245091,-6.7736783,11.894247,-1.1855133,-2.1850224,3.3706613,0.48630702
Rv0154c,fadE2,lipid metabolism,I,-0.5231881,1.1572841,8.675685,-1.6783705,-6.839234,11.831638,-1.1411619,-2.1316147,3.3922749,0.46742865
Rv0155,pntAa,intermediary metabolism and respiration,C,-0.5389121,1.2890421,8.587725,-1.630403,-6.868687,11.76112,-1.0591826,-2.2203598,3.3039482,0.3104838
Rv0157,pntB,intermediary metabolism and respiration,C,-0.5888973,1.4711506,8.435683,-1.5891255,-6.9439535,11.687994,-0.9921672,-2.3624372,3.2532578,0.12796263
Rv0158,-,regulatory proteins,K,-0.43914837,1.1761109,8.741113,-1.7540107,-6.7956986,11.876446,-1.1572673,-2.1736898,3.343193,0.49141502
Rv0161,-,intermediary metabolism and respiration,C,0.72267437,4.9464984,9.52406,-1.7407775,-7.7529254,10.532867,1.328583,-5.06304,-0.49926105,-2.1726787
Rv0168,yrbE1B,"virulence, detoxification, adaptation",Q,2.070666,6.0056696,7.9455223,-3.173049,-5.9122853,10.066755,1.4270108,-5.848159,-0.21338327,-3.9605427
Rv0169,mce1A,"virulence, detoxification, adaptation",NT,2.2544897,6.046182,7.7616386,-3.3269176,-5.7436748,10.046164,1.4605259,-6.060202,-0.19689627,-4.1057644
Rv0170,mce1B,"virulence, detoxification, adaptation",Q,2.2890258,6.1912074,7.7233114,-3.353638,-5.7943625,9.765384,1.8079787,-6.139885,-0.39581156,-4.4087853
Rv0171,mce1C,"virulence, detoxification, adaptation",NT,2.1767433,5.981422,7.820974,-3.271724,-5.8076277,10.093726,1.3937314,-5.976671,-0.16107479,-4.0041327
Rv0172,mce1D,"virulence, detoxification, adaptation",Q,2.0342865,6.008395,7.905187,-3.1351397,-5.9369707,10.027294,1.505146,-5.920816,-0.27098972,-4.0342426
Rv0174,mce1F,"virulence, detoxification, adaptation",Q,2.2006886,5.996102,7.788335,-3.2985806,-5.7765293,10.088425,1.398516,-6.001486,-0.15469584,-4.0385103
Rv0175,-,cell wall and cell processes,S,0.17907341,4.4378104,8.773482,-1.9546264,-7.4165688,11.52175,0.24296436,-4.75369,1.0273129,-1.5949064
Rv0176,-,cell wall and cell processes,S,2.2625945,6.0125065,7.7677855,-3.3255637,-5.7406874,10.072528,1.4298472,-6.0340285,-0.17758435,-4.074442
Rv0177,-,conserved hypotheticals,S,-0.9632638,2.0083392,7.591826,-2.1394625,-7.173805,12.607242,-1.9983186,-3.234347,3.7848153,0.1698362
Rv0179c,lprO,cell wall and cell processes,S,-0.28962636,3.4039807,8.424194,-2.1792548,-7.0746074,12.464899,-1.2530329,-4.715846,2.8950944,-0.47251475
Rv0180c,-,cell wall and cell processes,S,-1.2236516,2.8955913,4.572667,-3.198204,-7.465623,11.819766,-1.4660571,-3.0169675,2.5149634,-1.4718918
Rv0183,-,intermediary metabolism and respiration,I,-0.52489823,2.8376896,7.6025567,-2.3361886,-6.964635,12.515287,-1.6296583,-4.4285316,3.3608892,-0.34239027
Rv0189c,ilvD,intermediary metabolism and respiration,EG,-2.204452,2.5244327,7.8158593,-3.7732563,-7.3887296,11.852681,-2.820262,0.31360406,5.331141,2.4873347
Rv0190,-,conserved hypotheticals,S,-1.0484002,1.9906701,7.641016,-2.0298402,-7.228468,12.765639,-1.9832281,-3.4937823,3.7640798,0.17087469
Rv0191,-,cell wall and cell processes,G,-1.1929163,3.3288586,4.0029736,-3.3331304,-7.4790826,11.901408,-1.3173264,-3.0547645,2.230789,-1.8281314
Rv0199,-,cell wall and cell processes,S,0.19856331,3.791375,9.010247,-2.2079532,-6.947293,12.228705,-1.0753167,-5.1401763,2.6022468,-0.569308
Rv0200,-,cell wall and cell processes,S,0.24383885,3.7911098,9.132413,-2.2620957,-6.9316173,12.334512,-1.2206781,-5.2350473,2.777572,-0.4307176
Rv0201c,-,conserved hypotheticals,K,-1.219435,3.2800481,3.9794672,-3.4206378,-7.5671315,11.777152,-1.2562532,-3.033821,2.1366744,-1.9123687
Rv0202c,mmpL11,cell wall and cell processes,R,-0.52227575,3.4405642,6.828597,-2.295873,-7.310778,11.429838,-0.45598695,-3.8771064,1.7628828,-1.4645096
Rv0204c,-,cell wall and cell processes,S,-0.75381666,2.9245348,6.9309688,-2.1326556,-7.2407794,11.745334,-0.9058955,-3.7074997,2.479688,-0.9513252
Rv0205,-,cell wall and cell processes,R,-1.2585348,2.4891894,4.801418,-3.2823994,-7.4323173,11.805058,-1.7487963,-2.6614408,2.869698,-1.2209779
Rv0206c,mmpL3,cell wall and cell processes,R,-0.8087387,2.0391212,6.773729,-2.5176277,-6.6817384,13.058305,-2.6871643,-4.4899187,4.242575,-0.17262591
Rv0207c,-,conserved hypotheticals,S,-0.11436788,4.1225004,7.2451863,-1.8620772,-6.344975,9.778858,0.51375943,-4.3177624,-0.11529973,-2.288908
Rv0208c,trmB,intermediary metabolism and respiration,R,-0.71697205,2.0924652,6.756912,-2.615709,-6.576742,13.119723,-2.7674909,-4.5272856,4.2148523,-0.28196606
Rv0211,pckA,intermediary metabolism and respiration,C,-0.5743193,1.3318392,8.500197,-1.6195732,-6.8670177,11.809394,-1.098978,-2.3220775,3.3776298,0.2912986
Rv0216,-,intermediary metabolism and respiration,I,-0.40395105,3.501331,7.175219,-2.3396664,-7.3799706,11.579451,-0.50983053,-3.8904905,1.8201879,-1.3875172
Rv0220,lipC,intermediary metabolism and respiration,I,-0.70072097,2.639856,2.3634465,3.0772288,-4.902853,6.6765547,-0.09528755,-5.0938864,1.6050321,-1.148848
Rv0221,-,lipid metabolism,Q,0.25023177,-6.8183126,-14.4653225,-3.2519825,-0.14571273,-1.9505023,-0.028615406,3.228073,2.175938,-1.5836891
Rv0222,echA1,lipid metabolism,I,-0.08339792,4.1908326,7.1429286,-1.7687734,-6.2347007,9.667042,0.5303272,-4.3428183,-0.22474644,-2.380148
Rv0223c,-,intermediary metabolism and respiration,C,2.180335,6.1475763,7.765314,-3.2767425,-5.779294,9.92562,1.6575843,-6.0605755,-0.36786714,-4.3926353
Rv0230c,php,lipid metabolism,R,1.1038381,5.316624,8.500728,-2.3652813,-6.8660665,10.349059,1.2426127,-5.330716,-0.35500827,-2.9905996
Rv0237,lpqI,cell wall and cell processes,G,0.16005176,-6.8035398,-14.450543,-3.360725,-0.17916435,-1.9797041,0.012362708,3.3155394,2.1808553,-1.5491201
Rv0238,-,regulatory proteins,K,-0.48147905,3.485086,7.222565,-1.9922385,-6.943311,10.951049,-0.15819785,-3.8168085,1.5553085,-1.3338442
Rv0240,-,"virulence, detoxification, adaptation",R,0.10446974,-6.6519256,-13.589689,-3.2256215,-0.784992,-1.3573984,-0.1671461,2.6953526,2.1270807,-1.0734947
Rv0241c,-,intermediary metabolism and respiration,I,1.018013,5.2107434,8.408211,-2.3273926,-6.8259916,10.279598,1.1560171,-5.2381616,-0.2699778,-2.906906
Rv0242c,fabG,lipid metabolism,IQR,0.88393867,5.0707507,8.219823,-2.2823913,-6.8897038,10.404871,1.0096666,-5.132181,-0.0688134,-2.7741628
Rv0243,fadA2,lipid metabolism,I,-1.486959,1.2779975,7.036099,-0.94774944,-7.1429453,13.5897455,-2.830045,-4.540352,4.6074867,0.7989085
Rv0244c,fadE5,lipid metabolism,I,-0.6365589,3.196177,6.8895392,-2.2063475,-7.2961707,11.607815,-0.648902,-3.8243647,2.0932817,-1.246923
Rv0245,-,intermediary metabolism and respiration,R,0.081287086,4.3404417,7.3021874,-1.844347,-6.2645383,9.733934,0.58805877,-4.48593,-0.23214994,-2.4915226
Rv0247c,-,intermediary metabolism and respiration,C,0.108631454,3.7287674,8.88257,-2.2112682,-6.972469,12.1638365,-1.0493286,-4.9649005,2.6025484,-0.5563671
Rv0248c,sdhA,intermediary metabolism and respiration,C,-0.6325348,1.541885,8.353006,-1.5415134,-6.997403,11.616624,-0.94754255,-2.3913302,3.2281337,0.0401261
Rv0249c,-,intermediary metabolism and respiration,S,-0.59608394,1.3963884,8.4735985,-1.5626991,-6.9426847,11.676219,-0.99687827,-2.283176,3.275969,0.18183112
Rv0250c,-,conserved hypotheticals,S,0.37669435,-6.8891563,-14.59893,-3.3819323,-0.26589993,-1.942384,-0.21467322,3.411318,2.2371979,-1.6156536
Rv0254c,cobU,intermediary metabolism and respiration,H,-0.07924917,4.195428,7.1744413,-1.7862144,-6.289801,9.731067,0.5469625,-4.349599,-0.17758757,-2.3830123
Rv0256c,PPE2,PE/PPE,S,-1.2600852,3.3262239,3.930713,-3.463444,-7.567387,11.781213,-1.363742,-2.9792163,2.1940682,-1.9151496
Rv0260c,-,regulatory proteins,TK,-0.06443841,4.2081423,7.133203,-1.7674887,-6.231793,9.666801,0.5389548,-4.3606567,-0.23278631,-2.3932815
Rv0261c,narK3,cell wall and cell processes,P,-1.5412818,2.4200447,7.894135,-3.5981138,-7.447851,11.566377,-1.9813592,-1.0286146,4.459317,1.1842206
Rv0263c,-,conserved hypotheticals,E,0.20893747,-6.701648,-14.312725,-3.6454945,-0.016225567,-1.6296508,-0.31739464,3.2642767,2.0982976,-1.8015511
Rv0265c,-,cell wall and cell processes,P,2.2534153,6.1772075,7.75497,-3.3474345,-5.750452,9.858215,1.6723688,-6.114861,-0.30744115,-4.4745693
Rv0270,fadD2,lipid metabolism,IQ,-0.8035893,2.5741274,2.2930136,3.1470416,-4.959167,6.589458,-0.14527917,-4.964627,1.6493111,-1.1807384
Rv0272c,-,conserved hypotheticals,S,0.24124163,-6.744266,-14.424734,-3.2198749,-0.30582064,-1.9341397,-0.08283208,3.1690514,2.2029686,-1.6223164
Rv0273c,-,regulatory proteins,K,-0.58456373,2.681048,2.5775802,2.8716233,-4.943462,6.8308907,-0.041506454,-5.024759,1.5485647,-1.2209895
Rv0275c,-,regulatory proteins,K,0.16362558,-6.817234,-14.5575485,-3.5805156,-0.29858172,-2.068407,-0.26206407,3.3399706,2.183477,-1.5826893
Rv0289,-,cell wall and cell processes,S,-0.80335087,2.092453,6.7541127,-2.609527,-6.640325,13.141559,-2.6718223,-4.5426326,4.2659626,-0.15510239
Rv0290,-,cell wall and cell processes,S,-0.75658727,2.049372,6.8308225,-2.5867946,-6.6189876,13.081949,-2.7239044,-4.463637,4.169032,-0.24349602
Rv0291,mycP3,intermediary metabolism and respiration,O,-0.7856672,2.0814486,6.840136,-2.5394757,-6.6750517,13.084664,-2.6669383,-4.5062227,4.2020426,-0.20074306
Rv0292,-,cell wall and cell processes,S,-1.6289009,0.95445806,7.2470512,-0.6169436,-7.141806,13.889591,-3.2672992,-4.639351,4.961623,1.1703123
Rv0293c,-,conserved hypotheticals,R,0.30414137,-6.8731694,-14.545504,-3.3004856,-0.21950151,-1.9045668,-0.019147623,3.4288132,2.0865047,-1.483908
Rv0296c,-,intermediary metabolism and respiration,P,-0.51460737,3.4628415,6.807735,-2.3542192,-7.3501387,11.462178,-0.4696785,-3.8676794,1.7552291,-1.4810252
Rv0306,-,intermediary metabolism and respiration,C,0.31467742,-6.7259865,-14.507725,-3.3505147,-0.35441548,-1.8727775,0.004976357,3.318799,2.2290702,-1.5065591
Rv0309,-,cell wall and cell processes,S,-0.78953236,2.043713,6.8190374,-2.5588138,-6.633968,13.105051,-2.7003572,-4.4875326,4.181896,-0.22062579
Rv0310c,-,conserved hypotheticals,S,0.13874415,-6.971814,-14.602427,-3.4448187,-0.23398677,-1.8695565,-0.104946196,3.2660134,2.2286685,-1.6164488
Rv0312,-,conserved hypotheticals,O,0.17907652,-6.7041945,-13.907401,-3.3219428,-0.59314203,-1.5369447,-0.23896523,2.8677855,2.1648464,-1.2374681
Rv0314c,-,cell wall and cell processes,S,0.1897429,-6.809833,-14.476602,-3.2939804,-0.23100212,-1.9501426,-0.060282428,3.2188594,2.186964,-1.5791996
Rv0315,-,intermediary metabolism and respiration,G,2.2017925,6.2652416,7.78296,-3.2252603,-5.6686754,9.998862,1.6928082,-6.1130614,-0.39278117,-4.2583942
Rv0321,dcd,intermediary metabolism and respiration,F,-0.09977666,5.24215,8.985506,-2.927998,-6.886421,11.165013,0.29265282,-3.2528758,1.7994319,0.34218013
Rv0324,-,regulatory proteins,P,-0.44119897,3.2167504,7.487977,-2.153164,-7.223337,11.639241,-0.6396422,-3.840276,2.1702719,-1.0891583
Rv0326,-,unknown,QR,0.2343525,-6.8109913,-14.5087,-3.3105967,-0.26130787,-1.9118353,-0.03598134,3.311806,2.1291673,-1.5890318
Rv0328,-,regulatory proteins,K,0.18269093,-6.9049397,-14.645997,-3.3021023,-0.23221128,-2.0124702,-0.09555208,3.2177472,2.2787411,-1.5623382
Rv0331,-,intermediary metabolism and respiration,R,0.73117536,4.9502664,9.719406,-1.7543138,-7.7863293,10.617425,1.4332184,-5.1594214,-0.5393894,-2.137128
Rv0333,-,conserved hypotheticals,S,0.84420794,5.00657,9.41984,-1.7424812,-7.6779113,10.443707,1.4058875,-5.156235,-0.57703936,-2.346131
Rv0337c,aspC,intermediary metabolism and respiration,E,-2.5458138,2.4863641,7.819926,-4.117128,-7.4827137,11.730349,-3.0478175,1.2578077,5.6640406,3.1020164
Rv0338c,-,intermediary metabolism and respiration,C,-1.5627049,0.78487545,7.308602,-0.74129885,-6.9596143,13.874762,-3.0571754,-4.8697877,5.1139703,1.1840855
Rv0339c,-,regulatory proteins,TK,-0.90564924,2.1109476,7.424284,-2.1298103,-6.990681,13.0757265,-2.2946124,-4.3176584,3.9874146,0.051478636
Rv0343,iniC,cell wall and cell processes,R,-0.92351955,2.094842,7.4149623,-2.1105378,-7.0066705,13.075598,-2.2900167,-4.300769,3.9872832,0.05866555
Rv0344c,lpqJ,cell wall and cell processes,S,0.09945534,3.5988147,8.89285,-2.139799,-6.9383273,12.481557,-1.2340821,-5.0329804,2.868411,-0.40154788
Rv0346c,ansP2,cell wall and cell processes,E,-0.6924261,2.6063683,7.8900957,-1.8347806,-7.1370144,12.391947,-1.4061782,-3.8633368,3.214607,-0.1993892
Rv0353,hspR,"virulence, detoxification, adaptation",K,0.80423385,4.9754786,9.616225,-1.7490773,-7.699018,10.639606,1.3752792,-5.21842,-0.47069138,-2.1686323
Rv0356c,-,conserved hypotheticals,Q,1.3033837,7.0717072,9.571747,-3.1484272,-6.5285683,12.491971,0.75046664,-3.271885,2.7395427,2.0146296
Rv0359,-,cell wall and cell processes,R,1.3075012,7.0617085,9.599847,-3.2084672,-6.5154147,12.5808,0.7321301,-3.1853852,2.8308413,2.037475
Rv0361,-,cell wall and cell processes,S,-0.7526882,3.0231009,6.767183,-2.1898248,-7.228959,11.773176,-0.93704486,-3.841423,2.4020455,-1.0254148
Rv0362,mgtE,cell wall and cell processes,P,-0.45306507,1.2505262,8.731664,-1.7326015,-6.812951,11.856471,-1.119405,-2.2046387,3.3236008,0.43808702
Rv0363c,fba,intermediary metabolism and respiration,G,-2.5481129,2.6307642,7.772731,-4.0195994,-7.4175825,11.812386,-3.07428,1.1876111,5.7171693,3.1092496
Rv0367c,-,conserved hypotheticals,S,0.20403348,-6.8612733,-14.541476,-3.3477194,-0.23655294,-1.8964798,-0.026332906,3.3313801,2.1092074,-1.6289622
Rv0368c,-,conserved hypotheticals,R,-0.5549382,2.690258,2.62314,2.8279507,-4.949253,6.8682075,-0.036338497,-5.012169,1.5362673,-1.2241533
Rv0380c,-,intermediary metabolism and respiration,J,0.8440696,4.9788723,9.436897,-1.7348828,-7.7000246,10.450265,1.391451,-5.1547637,-0.5700325,-2.3485847
Rv0381c,-,conserved hypotheticals,S,-0.58172375,3.4732409,6.5130553,-2.4733222,-7.415495,11.439826,-0.49673668,-3.7739859,1.7140006,-1.5584816
Rv0384c,clpB,"virulence, detoxification, adaptation",O,-2.5701215,2.66445,7.7518272,-3.9231195,-7.3118963,11.852082,-3.1296377,1.0097156,5.6696,2.9536653
Rv0385,-,intermediary metabolism and respiration,HC,2.184148,6.1409907,7.8345017,-3.2313013,-5.8581214,9.816816,1.7727673,-6.036264,-0.41253623,-4.3902726
Rv0390,-,conserved hypotheticals,P,0.08562608,4.3499923,7.317098,-1.8151848,-6.2601323,9.70204,0.6272291,-4.4937925,-0.2911939,-2.5001779
Rv0391,metZ,intermediary metabolism and respiration,E,0.61336046,4.790849,9.2917,-1.7981576,-7.737626,10.66606,1.1234183,-4.959538,-0.31102183,-2.1218164
Rv0392c,ndhA,intermediary metabolism and respiration,C,-0.019996244,-6.668059,-12.996004,-2.8948634,-1.2150762,-1.1123221,0.10400834,2.374983,2.1817775,-0.72159374
Rv0394c,-,cell wall and cell processes,S,1.0472168,5.275319,8.493021,-2.326934,-6.8924747,10.366986,1.2068622,-5.2879853,-0.3226905,-2.9284618
Rv0395,-,conserved hypotheticals,S,0.30603552,5.5046797,9.282919,-2.7501853,-7.0112557,11.306914,0.79035354,-4.0871162,1.4297466,-0.6272904
Rv0398c,-,cell wall and cell processes,S,0.16333064,-6.882033,-14.634426,-3.3954344,-0.08839027,-1.9582883,-0.05463552,3.2654874,2.158188,-1.605501
Rv0404,fadD30,lipid metabolism,IQ,-1.5514817,0.76290935,7.3257504,-0.73669356,-6.9110327,13.888891,-2.970853,-4.964193,5.1312103,1.1314163
Rv0406c,-,conserved hypotheticals,R,1.0035193,5.177883,8.452446,-2.271824,-6.8741546,10.334738,1.1767676,-5.2445126,-0.29043564,-2.8226383
Rv0407,fgd1,intermediary metabolism and respiration,C,0.8741357,5.0417514,8.258081,-2.252101,-6.7673335,10.293247,1.0500696,-5.119173,-0.16576011,-2.8073678
Rv0410c,pknG,regulatory proteins,RTKL,-1.0699321,1.9064789,7.0527253,-1.7693114,-7.1360245,12.522439,-1.8667247,-3.7456188,3.7899067,0.0532355
Rv0411c,glnH,cell wall and cell processes,ET,-1.1658709,1.7499951,7.022059,-1.6090015,-7.0450077,13.089003,-2.401156,-4.305451,4.1978617,0.3381428
Rv0412c,-,cell wall and cell processes,S,-1.2075797,2.9212935,4.623371,-3.12083,-7.46407,11.864758,-1.4571812,-3.094227,2.5401602,-1.4131913
Rv0413,mutT3,information pathways,LR,2.275523,6.143617,7.718065,-3.3763318,-5.737577,9.907721,1.6650198,-6.212018,-0.27131316,-4.336573
Rv0418,lpqL,cell wall and cell processes,R,-0.7324936,2.0130289,6.694809,-2.6575193,-6.538503,13.181467,-2.8400345,-4.5334272,4.300099,-0.3376873
Rv0420c,-,cell wall and cell processes,S,0.40263006,-6.672326,-14.593099,-3.570763,0.04705028,-2.0377698,-0.4318326,3.3708472,2.1614957,-1.4902005
