#Orf	Name	Description	N	TAs Hit	Sum Rd 1	Sum Rd 2	Delta Rd	log2 FC	p-value	p-adj
Rv0148	-	PROBABLE SHORT-CHAIN TYPE DEHYDROGENASE/REDUCTASE 	16	16	1104.3	1940.3	836.0	0.81	0.22140	0.58853
Rv0149	-	POSSIBLE QUINONE OXIDOREDUCTASE (NADPH:QUINONE OXIDOREDUCTASE) (ZETA-CRYSTALLIN) 	21	16	2204.2	2010.0	-194.2	-0.13	0.86030	1.00000
Rv0150c	-	hypothetical protein Rv0150c 	4	1	0.0	0.2	0.2	-3.68	1.00000	1.00000
Rv0151c	PE1	PE FAMILY PROTEIN 	44	35	2278.5	5032.5	2754.0	1.14	0.00330	0.05931
Rv0152c	PE2	PE FAMILY PROTEIN 	40	34	4188.1	3590.1	-598.0	-0.22	0.66190	1.00000
Rv0153c	ptbB	PHOSPHOTYROSINE PROTEIN PHOSPHATASE PTPB (PROTEIN-TYROSINE-PHOSPHATASE) (PTPase) 	11	8	26.4	23.5	-2.9	-0.17	0.94280	1.00000
Rv0154c	fadE2	PROBABLE ACYL-CoA DEHYDROGENASE FADE2 	12	8	508.7	391.6	-117.1	-0.38	0.67190	1.00000
Rv0155	pntAa	PROBABLE NAD(P) TRANSHYDROGENASE (SUBUNIT ALPHA) PNTAA 	10	8	46.7	100.5	53.8	1.11	0.34960	0.74834
Rv0156	pntAb	PROBABLE NAD(P) TRANSHYDROGENASE (SUBUNIT ALPHA) PNTAB 	1	1	19.0	22.1	3.1	0.22	0.80580	1.00000
Rv0157	pntB	PROBABLE NAD(P) TRANSHYDROGENASE (SUBUNIT BETA) PNTB 	14	9	57.5	421.9	364.4	2.88	0.01710	0.16168
Rv0158	-	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN (POSSIBLY TETR-FAMILY) 	16	14	2457.2	376.3	-2081.0	-2.71	0.01460	0.14975
Rv0159c	PE3	PE FAMILY PROTEIN 	50	37	6068.0	5926.2	-141.8	-0.03	0.93350	1.00000
Rv0160c	PE4	PE FAMILY PROTEIN 	42	31	2621.0	2557.4	-63.6	-0.04	0.93920	1.00000
Rv0161	-	POSSIBLE OXIDOREDUCTASE 	19	6	13.9	87.7	73.8	2.66	0.13690	0.46398
Rv0162c	adhE1	PROBABLE ZINC-TYPE ALCOHOL DEHYDROGENASE (E SUBUNIT) ADHE 	16	9	470.3	45.6	-424.7	-3.37	0.08160	0.37082
Rv0163	-	hypothetical protein Rv0163 	10	7	749.9	331.6	-418.3	-1.18	0.29930	0.69189
Rv0164	TB18.5	hypothetical protein Rv0164 	8	1	39.2	178.9	139.8	2.19	0.20100	0.57000
Rv0165c	-	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY GNTR-FAMILY) 	8	7	314.1	946.2	632.0	1.59	0.36550	0.76615
Rv0166	fadD5	acyl-CoA synthetase 	27	22	1217.3	3609.2	2391.9	1.57	0.05110	0.30251
Rv0167	yrbE1A	CONSERVED HYPOTHETICAL INTEGRAL MEMBRANE PROTEIN YRBE1A 	7	5	51.4	197.8	146.4	1.94	0.04710	0.28604
Rv0168	yrbE1B	CONSERVED HYPOTHETICAL INTEGRAL MEMBRANE PROTEIN YRBE1B 	14	11	1074.3	541.3	-533.0	-0.99	0.31170	0.70566
Rv0169	mce1A	MCE-FAMILY PROTEIN MCE1A 	39	30	2184.1	1521.3	-662.8	-0.52	0.49630	0.85025
Rv0170	mce1B	MCE-FAMILY PROTEIN MCE1B 	18	12	1845.5	485.5	-1360.0	-1.93	0.03940	0.25795
Rv0171	mce1C	MCE-FAMILY PROTEIN MCE1C 	25	20	1024.7	498.0	-526.6	-1.04	0.14320	0.47456
Rv0172	mce1D	MCE-FAMILY PROTEIN MCE1D 	33	27	6348.9	1220.1	-5128.8	-2.38	0.00040	0.01663
Rv0173	lprK	POSSIBLE MCE-FAMILY LIPOPROTEIN LPRK (MCE-FAMILY LIPOPROTEIN MCE1E) 	16	11	406.0	543.5	137.5	0.42	0.47610	0.83262
Rv0174	mce1F	MCE-FAMILY PROTEIN MCE1F 	31	26	3226.0	675.8	-2550.2	-2.26	0.00110	0.03048
Rv0175	-	PROBABLE CONSERVED MCE ASSOCIATED MEMBRANE PROTEIN 	9	7	111.0	283.6	172.7	1.35	0.22120	0.58839
Rv0176	-	PROBABLE CONSERVED MCE ASSOCIATED TRANSMEMBRANE PROTEIN 	15	10	1727.7	128.4	-1599.3	-3.75	0.00120	0.03129
Rv0177	-	PROBABLE CONSERVED MCE ASSOCIATED PROTEIN 	12	6	280.6	609.4	328.8	1.12	0.46600	0.82748
Rv0178	-	PROBABLE CONSERVED MCE ASSOCIATED MEMBRANE PROTEIN 	11	6	906.5	286.5	-620.0	-1.66	0.09300	0.39393
Rv0179c	lprO	POSSIBLE LIPOPROTEIN LPRO 	22	17	1959.0	1592.8	-366.2	-0.30	0.67340	1.00000
Rv0180c	-	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN 	28	0	0.0	0.0	0.0	0.00	1.00000	1.00000
Rv0181c	-	hypothetical protein Rv0181c 	15	13	5352.1	1088.7	-4263.5	-2.30	0.07750	0.36328
Rv0182c	sigG	RNA polymerase factor sigma-70 	21	19	1172.7	5583.2	4410.4	2.25	0.17410	0.53774
Rv0183	-	POSSIBLE LYSOPHOSPHOLIPASE 	15	11	937.8	3779.2	2841.4	2.01	0.02090	0.17895
Rv0184	-	hypothetical protein Rv0184 	11	5	219.6	136.6	-82.9	-0.68	0.54560	0.89402
Rv0185	-	hypothetical protein Rv0185 	10	4	7.6	15.2	7.6	1.00	0.88780	1.00000
Rv0186	bglS	PROBABLE BETA-GLUCOSIDASE BGLS (GENTIOBIASE) (CELLOBIASE) (BETA-D-GLUCOSIDE GLUCOHYDROLASE) 	34	15	1146.1	1321.5	175.4	0.21	0.68650	1.00000
Rv0187	-	PROBABLE O-METHYLTRANSFERASE 	7	4	180.8	135.4	-45.4	-0.42	0.90460	1.00000
Rv0188	-	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN 	10	7	935.0	119.7	-815.3	-2.97	0.02540	0.20187
Rv0189c	ilvD	dihydroxy-acid dehydratase 	22	0	0.0	0.0	0.0	0.00	1.00000	1.00000
Rv0190	-	hypothetical protein Rv0190 	3	3	1.9	4.1	2.2	1.12	0.39790	0.79349
Rv0191	-	PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN 	19	15	457.4	828.5	371.1	0.86	0.18720	0.54800
Rv0192	-	hypothetical protein Rv0192 	13	12	1418.5	1533.3	114.8	0.11	0.87740	1.00000
Rv0192A	-	CONSERVED SECRETED PROTEIN 	2	2	94.4	193.7	99.2	1.04	0.25930	0.63825
Rv0193c	-	hypothetical protein Rv0193c 	34	29	1469.5	963.2	-506.3	-0.61	0.25130	0.62771
Rv0194	-	PROBABLE DRUGS-TRANSPORT TRANSMEMBRANE ATP-BINDING PROTEIN ABC TRANSPORTER 	55	45	3162.5	2578.6	-583.8	-0.29	0.40870	0.79453
