#Orf	Name	Desc	Sites	Mean Ctrl	Mean Exp	log2FC	Sum Ctrl	Sum Exp	Delta Sum	p-value	Adj. p-value
Rv0033	acpA	PROBABLE ACYL CARRIER PROTEIN ACPA (ACP) 	3	68.5	83.8	0.29	821.7	1005.46	183.7	0.38600	0.96083
Rv0034	-	hypothetical protein Rv0034 	5	61.3	49.8	-0.30	1225.6	995.41	-230.2	0.54340	1.00000
Rv0035	fadD34	PROBABLE FATTY-ACID-CoA LIGASE FADD34 (FATTY-ACID-CoA SYNTHETASE) (FATTY-ACID-CoA SYNTHASE) 	25	68.5	73.6	0.10	6849.4	7357.38	508.0	0.65970	1.00000
Rv0036c	-	hypothetical protein Rv0036c 	4	55.4	59.7	0.11	886.9	954.48	67.5	0.80770	1.00000
Rv0037c	-	PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN 	20	69.0	79.5	0.20	5247.3	6040.62	793.3	0.66130	1.00000
Rv0038	-	hypothetical protein Rv0038 	7	53.6	36.9	-0.54	1501.9	1033.86	-468.0	0.19780	0.77874
Rv0039c	-	POSSIBLE CONSERVED TRANSMEMBRANE PROTEIN 	4	59.6	43.8	-0.44	953.5	700.75	-252.8	0.52780	1.00000
Rv0040c	mtc28	SECRETED PROLINE RICH PROTEIN MTC28 (PROLINE RICH 28 KDA ANTIGEN) 	9	58.6	30.5	-0.94	2109.1	1098.63	-1010.4	0.03410	0.29010
Rv0041	leuS	leucyl-tRNA synthetase 	72	0.0	0.8	0.82	0.0	9.12	9.1	0.21830	0.79618
Rv0042c	-	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY MARR-FAMILY) 	5	42.2	20.0	-1.08	844.5	399.72	-444.8	0.03120	0.27181
Rv0043c	-	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY GNTR-FAMILY) 	10	31.4	75.2	1.26	1255.7	3007.46	1751.7	0.00530	0.06844
Rv0044c	-	POSSIBLE OXIDOREDUCTASE 	20	41.8	51.5	0.30	3341.1	4119.31	778.2	0.31450	0.90800
Rv0045c	-	POSSIBLE HYDROLASE 	7	58.7	69.7	0.25	1642.6	1951.70	309.1	0.47150	0.97462
Rv0046c	ino1	MYO-INOSITOL-1-PHOSPHATE SYNTHASE INO1 (Inositol 1-phosphate synthetase) (D-glucose 6-phosphate cycloaldolase) (Glucose 6-phosphate cyclase) (Glucocycloaldolase) 	16	0.0	0.0	0.00	0.0	0.00	0.0	1.00000	1.00000
Rv0047c	-	hypothetical protein Rv0047c 	7	50.1	15.4	-1.71	1403.0	430.16	-972.9	0.00170	0.02522
Rv0048c	-	POSSIBLE MEMBRANE PROTEIN 	16	97.1	117.8	0.28	6212.9	7541.17	1328.3	0.50170	0.99286
Rv0049	-	hypothetical protein Rv0049 	8	95.4	3.5	-4.76	3051.8	112.99	-2938.8	0.00000	0.00000
Rv0050	ponA1	PROBABLE BIFUNCTIONAL PENICILLIN-BINDING PROTEIN 1A/1B PONA1 (MUREIN POLYMERASE) (PBP1): PENICILLIN-INSENSITIVE TRANSGLYCOSYLASE (PEPTIDOGLYCAN TGASE) + PENICILLIN-SENSITIVE TRANSPEPTIDASE (DD-TRANSPEPTIDASE) 	37	23.7	0.7	-5.02	3030.6	93.15	-2937.4	0.00000	0.00000
Rv0051	-	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN 	34	35.8	17.4	-1.04	4579.9	2232.94	-2346.9	0.02830	0.25489
Rv0052	-	hypothetical protein Rv0052 	7	46.8	83.4	0.83	1310.6	2336.48	1025.9	0.10440	0.56345
Rv0053	rpsF	30S ribosomal protein S6 	6	23.9	44.4	0.90	95.4	177.73	82.3	0.19500	0.77572
Rv0054	ssb	single-strand DNA-binding protein 	5	0.0	0.0	0.00	0.0	0.00	0.0	1.00000	1.00000
Rv0055	rpsR	30S ribosomal protein S18 	4	18.1	3.4	-2.42	72.3	13.47	-58.8	0.06110	0.41745
Rv0056	rplI	50S ribosomal protein L9 	7	13.5	29.4	1.12	379.1	822.10	443.0	0.10000	0.55627
Rv0057	-	hypothetical protein Rv0057 	15	18.1	21.6	0.25	1088.9	1298.76	209.9	0.56590	1.00000
Rv0058	dnaB	replicative DNA helicase 	39	0.0	0.3	0.39	0.0	1.26	1.3	1.00000	1.00000
Rv0059	-	hypothetical protein Rv0059 	20	91.4	114.1	0.32	7310.6	9129.21	1818.6	0.15170	0.68394
Rv0060	-	hypothetical protein Rv0060 	23	16.7	25.9	0.63	200.8	310.94	110.2	0.57690	1.00000
Rv0061	-	hypothetical protein Rv0061 	6	38.4	57.3	0.58	921.4	1376.36	454.9	0.28780	0.88551
Rv0062	celA1	POSSIBLE CELLULASE CELA1 (ENDOGLUCANASE) (ENDO-1,4-BETA-GLUCANASE) (FI-CMCASE) (CARBOXYMETHYL CELLULASE) 	21	40.6	319.3	2.97	3412.1	26820.50	23408.4	0.00000	0.00000
Rv0063	-	POSSIBLE OXIDOREDUCTASE 	23	39.6	59.5	0.59	3481.1	5240.04	1758.9	0.03110	0.27153
Rv0064	-	hypothetical protein Rv0064 	68	19.9	26.9	0.44	5005.0	6773.56	1768.6	0.02410	0.22841
Rv0065	-	hypothetical protein Rv0065 	8	29.3	22.8	-0.36	939.0	729.93	-209.1	0.42090	0.97293
Rv0066c	icd2	PROBABLE ISOCITRATE DEHYDROGENASE 	38	9.7	17.9	0.88	1319.8	2430.72	1110.9	0.00020	0.00358
Rv0067c	-	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN (POSSIBLY TETR-FAMILY) 	12	20.6	29.1	0.50	990.2	1395.50	405.3	0.13230	0.63985
Rv0068	-	short chain dehydrogenase 	12	50.9	82.1	0.69	2443.9	3941.84	1497.9	0.28940	0.88551
Rv0069c	sdaA	PROBABLE L-SERINE DEHYDRATASE SDAA (L-SERINE DEAMINASE) (SDH) (L-SD) 	12	20.9	23.8	0.19	1001.4	1142.75	141.3	0.63670	1.00000
Rv0070c	glyA2	PROBABLE SERINE HYDROXYMETHYLTRANSFERASE GLYA2 (SERINE METHYLASE 2) (SHMT 2) 	18	34.5	38.0	0.14	2345.7	2586.20	240.5	0.77000	1.00000
Rv0071	-	POSSIBLE MATURASE 	8	49.2	50.9	0.05	1378.9	1424.62	45.8	0.93900	1.00000
Rv0072	-	PROBABLE GLUTAMINE-TRANSPORT TRANSMEMBRANE PROTEIN ABC TRANSPORTER 	16	108.8	139.1	0.35	6531.0	8344.34	1813.3	0.33550	0.92704
Rv0073	-	PROBABLE GLUTAMINE-TRANSPORT ATP-BINDING PROTEIN ABC TRANSPORTER 	15	65.4	65.7	0.01	3922.9	3940.81	17.9	0.97800	1.00000
Rv0074	-	hypothetical protein Rv0074 	19	41.4	49.2	0.25	3147.1	3738.86	591.7	0.46130	0.97453
Rv0075	-	PROBABLE AMINOTRANSFERASE 	24	49.2	62.4	0.34	4722.6	5987.88	1265.3	0.18670	0.75782
Rv0076c	-	PROBABLE MEMBRANE PROTEIN 	3	78.1	118.3	0.60	936.6	1420.11	483.5	0.13560	0.64589
Rv0077c	-	PROBABLE OXIDOREDUCTASE 	14	41.8	49.9	0.26	2172.9	2596.52	423.6	0.38860	0.96168
Rv0078	-	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN 	8	26.2	27.5	0.07	838.3	879.32	41.0	0.88430	1.00000
Rv0078A	-	hypothetical protein Rv0078A 	10	38.2	56.7	0.57	1528.2	2268.93	740.7	0.30880	0.90199
Rv0079	-	hypothetical protein Rv0079 	14	40.5	51.2	0.34	2267.8	2866.69	598.8	0.24860	0.84132
Rv0080	-	hypothetical protein Rv0080 	4	32.2	40.1	0.31	515.7	641.14	125.5	0.59200	1.00000
Rv0081	-	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN 	5	58.2	60.6	0.06	931.7	969.57	37.8	0.90130	1.00000
Rv0082	-	PROBABLE OXIDOREDUCTASE 	7	28.0	27.2	-0.04	559.7	543.53	-16.2	0.93810	1.00000
Rv0083	-	PROBABLE OXIDOREDUCTASE 	23	43.9	42.9	-0.03	3684.0	3602.18	-81.8	0.89190	1.00000
Rv0084	hycD	POSSIBLE FORMATE HYDROGENLYASE HYCD (FHL) 	9	20.1	24.5	0.29	722.4	881.89	159.5	0.64780	1.00000
Rv0085	hycP	POSSIBLE HYDROGENASE HYCP 	4	8.0	20.0	1.32	128.3	320.60	192.3	0.12110	0.60548
Rv0086	hycQ	POSSIBLE HYDROGENASE HYCQ 	15	18.0	24.2	0.43	1081.5	1453.06	371.6	0.87700	1.00000
Rv0087	hycE	POSSIBLE FORMATE HYDROGENASE HYCE (FHL) 	25	11.5	11.4	-0.02	1015.5	1001.51	-14.0	0.96060	1.00000
Rv0088	-	hypothetical protein Rv0088 	14	18.0	18.3	0.03	934.7	951.65	16.9	0.95390	1.00000
Rv0089	-	POSSIBLE METHYLTRANSFERASE/METHYLASE 	10	21.7	62.2	1.52	782.3	2237.71	1455.5	0.00790	0.09466
Rv0090	-	POSSIBLE MEMBRANE PROTEIN 	12	43.1	48.3	0.16	2071.1	2320.64	249.6	0.61310	1.00000
Rv0091	mtn	PROBABLE BIFUNCTIONAL MTA/SAH NUCLEOSIDASE MTN: 5'-METHYLTHIOADENOSINE NUCLEOSIDASE (METHYLTHIOADENOSINE METHYLTHIORIBOHYDROLASE) + S-ADENOSYLHOMOCYSTEINE NUCLEOSIDASE (S-ADENOSYL-L-HOMOCYSTEINE HOMOCYSTEINYLRIBOHYDROLASE) 	11	53.7	66.4	0.31	1933.3	2390.62	457.4	0.41560	0.97170
Rv0092	ctpA	PROBABLE CATION TRANSPORTER P-TYPE ATPASE A CTPA 	30	25.1	21.4	-0.23	2614.6	2224.12	-390.5	0.37020	0.94807
Rv0093c	-	PROBABLE CONSERVED MEMBRANE PROTEIN 	8	13.9	14.7	0.07	446.2	469.96	23.7	0.87740	1.00000
Rv0094c	-	hypothetical protein Rv0094c 	14	57.8	57.4	-0.01	3238.4	3211.94	-26.5	0.96350	1.00000
Rv0095c	-	hypothetical protein Rv0095c 	9	9.5	6.8	-0.47	227.3	164.37	-62.9	0.66550	1.00000
Rv0096	PPE1	PPE FAMILY PROTEIN 	34	47.9	58.5	0.29	6322.3	7723.31	1401.0	0.25430	0.84909
Rv0097	-	POSSIBLE OXIDOREDUCTASE 	26	44.2	64.3	0.54	4601.1	6683.07	2082.0	0.03350	0.28745
Rv0098	-	hypothetical protein Rv0098 	11	24.1	16.3	-0.57	1061.5	716.27	-345.2	0.20890	0.79175
Rv0099	fadD10	acyl-CoA synthetase 	32	18.1	15.9	-0.19	2097.6	1844.90	-252.8	0.56730	1.00000
Rv0100	-	hypothetical protein Rv0100 	3	53.6	51.7	-0.05	642.6	619.92	-22.7	0.96000	1.00000
Rv0101	nrp	PROBABLE PEPTIDE SYNTHETASE NRP (PEPTIDE SYNTHASE) 	122	29.0	33.2	0.19	13233.3	15134.83	1901.6	0.20690	0.79150
Rv0102	-	PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN 	42	0.6	0.7	0.18	23.4	26.49	3.0	0.87100	1.00000
Rv0103c	ctpB	PROBABLE CATION-TRANSPORTER P-TYPE ATPASE B CTPB 	30	46.2	62.5	0.44	5169.4	7001.85	1832.5	0.12820	0.63044
Rv0104	-	hypothetical protein Rv0104 	27	59.6	72.8	0.29	6439.1	7860.67	1421.6	0.25230	0.84453
Rv0105c	rpmB	50S ribosomal protein L28 	5	32.2	31.1	-0.05	515.1	498.08	-17.0	0.93800	1.00000
Rv0106	-	hypothetical protein Rv0106 	12	33.0	54.3	0.72	1320.0	2172.62	852.6	0.03760	0.30369
Rv0107c	ctpI	PROBABLE CATION-TRANSPORTER ATPASE I CTPI 	65	30.4	32.0	0.07	7055.5	7421.15	365.7	0.76170	1.00000
Rv0108c	-	hypothetical protein Rv0108c 	2	30.7	61.1	1.00	245.4	489.13	243.7	0.11700	0.59393
Rv0109	PE_PGRS1	PE-PGRS FAMILY PROTEIN 	27	23.1	19.1	-0.27	2214.9	1830.89	-384.0	0.42910	0.97293
Rv0110	-	PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN 	13	87.9	84.1	-0.06	4569.6	4372.27	-197.3	0.81490	1.00000
Rv0111	-	POSSIBLE TRANSMEMBRANE ACYLTRANSFERASE 	42	51.8	52.6	0.02	8494.9	8626.67	131.8	0.90960	1.00000
Rv0112	gca	POSSIBLE GDP-MANNOSE 4,6-DEHYDRATASE GCA (GDP-D-MANNOSE DEHYDRATASE) 	31	18.9	16.8	-0.17	2038.4	1814.41	-224.0	0.62340	1.00000
Rv0113	gmhA	PROBABLE SEDOHEPTULOSE-7-PHOSPHATE ISOMERASE GMHA (PHOSPHOHEPTOSE ISOMERASE) 	12	6.7	11.2	0.73	322.5	535.42	212.9	0.20760	0.79175
Rv0114	gmhB	POSSIBLE D-ALPHA,BETA-D-HEPTOSE-1,7-BIPHOSPHATE PHOSPHATASE GMHB (D-GLYCERO-D-MANNO-HEPTOSE 7-PHOSPHATE KINASE) 	9	66.1	68.7	0.05	2379.2	2471.49	92.3	0.86300	1.00000
Rv0115	hddA	POSSIBLE D-ALPHA-D-HEPTOSE-7-PHOSPHATE KINASE HDDA 	18	40.8	55.0	0.43	2936.1	3957.33	1021.2	0.40830	0.96386
Rv0116c	-	POSSIBLE CONSERVED MEMBRANE PROTEIN 	17	86.5	119.5	0.47	5883.7	8126.93	2243.3	0.13840	0.65137
Rv0117	oxyS	OXIDATIVE STRESS RESPONSE REGULATORY PROTEIN OXYS 	17	27.8	29.9	0.10	1670.8	1792.60	121.8	0.79970	1.00000
Rv0118c	oxcA	putative oxalyl-CoA decarboxylase 	26	18.1	22.5	0.31	1522.8	1886.89	364.1	0.36780	0.94374
Rv0119	fadD7	acyl-CoA synthetase 	13	5.7	4.8	-0.25	229.4	192.83	-36.6	0.67300	1.00000
Rv0120c	fusA2	elongation factor G 	27	13.8	17.5	0.34	1217.4	1543.97	326.6	0.33910	0.92763
Rv0121c	-	hypothetical protein Rv0121c 	10	13.8	31.3	1.18	496.7	1128.28	631.5	0.04460	0.34682
Rv0122	-	hypothetical protein Rv0122 	9	14.6	30.9	1.08	467.6	987.87	520.3	0.03460	0.29125
Rv0123	-	hypothetical protein Rv0123 	8	36.3	6.7	-2.44	580.3	106.67	-473.6	0.00510	0.06628
Rv0124	PE_PGRS2	PE-PGRS FAMILY PROTEIN 	13	34.9	32.6	-0.10	1536.9	1436.37	-100.6	0.83640	1.00000
Rv0125	pepA	PROBABLE SERINE PROTEASE PEPA (SERINE PROTEINASE) (MTB32A) 	10	30.0	24.6	-0.29	1200.0	984.13	-215.8	0.32220	0.91334
Rv0126	treS	TREHALOSE SYNTHASE TRES 	31	259.0	5.5	-5.55	32121.1	686.89	-31434.2	0.00000	0.00000
Rv0127	-	hypothetical protein Rv0127 	30	100.5	2.9	-5.09	12059.5	353.48	-11706.0	0.00000	0.00000
Rv0128	-	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN 	19	78.0	98.4	0.34	5928.7	7478.79	1550.1	0.21090	0.79175
Rv0129c	fbpC	SECRETED ANTIGEN 85-C FBPC (85C) (ANTIGEN 85 COMPLEX C) (AG58C) (MYCOLYL TRANSFERASE 85C) (FIBRONECTIN-BINDING PROTEIN C) 	28	84.5	143.8	0.77	9128.4	15528.46	6400.0	0.01470	0.15683
Rv0130	-	hypothetical protein Rv0130 	4	15.4	25.0	0.70	246.8	399.88	153.1	0.42870	0.97293
Rv0131c	fadE1	PROBABLE ACYL-CoA DEHYDROGENASE FADE1 	18	29.9	30.2	0.02	2149.5	2173.41	23.9	0.95870	1.00000
Rv0132c	fgd2	PUTATIVE F420-DEPENDENT GLUCOSE-6-PHOSPHATE DEHYDROGENASE FGD2 	15	59.7	69.3	0.21	3345.1	3882.62	537.5	0.48820	0.98400
Rv0133	-	PROBABLE ACETYLTRANSFERASE 	7	77.9	78.7	0.02	2180.8	2204.01	23.2	0.96840	1.00000
Rv0134	ephF	POSSIBLE EPOXIDE HYDROLASE EPHF (EPOXIDE HYDRATASE) (ARENE-OXIDE HYDRATASE) 	12	74.1	82.5	0.15	3556.6	3959.31	402.7	0.59670	1.00000
Rv0135c	-	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN 	11	28.8	27.3	-0.08	1151.2	1091.17	-60.0	0.84780	1.00000
Rv0136	cyp138	PROBABLE CYTOCHROME P450 138 CYP138 	23	52.0	71.1	0.45	4782.2	6538.79	1756.6	0.04770	0.35978
Rv0137c	msrA	methionine sulfoxide reductase A 	11	41.5	52.3	0.33	1828.1	2301.38	473.2	0.39160	0.96168
Rv0138	-	hypothetical protein Rv0138 	6	176.8	206.0	0.22	4243.4	4944.91	701.5	0.49130	0.98656
Rv0139	-	POSSIBLE OXIDOREDUCTASE 	12	92.3	101.7	0.14	4432.2	4883.48	451.2	0.65940	1.00000
Rv0140	-	hypothetical protein Rv0140 	15	53.2	51.3	-0.05	3194.1	3076.73	-117.3	0.86840	1.00000
Rv0141c	-	hypothetical protein Rv0141c 	9	44.1	32.0	-0.46	1586.6	1152.99	-433.6	0.40780	0.96386
Rv0142	-	hypothetical protein Rv0142 	6	40.7	57.2	0.49	977.1	1372.75	395.6	0.28830	0.88551
Rv0143c	-	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN 	27	48.2	61.9	0.36	4821.7	6185.31	1363.7	0.23310	0.81653
Rv0144	-	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN (POSSIBLY TETR-FAMILY) 	14	130.1	128.8	-0.01	7284.3	7212.91	-71.4	0.94780	1.00000
Rv0145	-	hypothetical protein Rv0145 	15	77.4	88.7	0.20	4333.9	4965.58	631.7	0.45920	0.97453
Rv0146	-	hypothetical protein Rv0146 	16	94.0	89.9	-0.06	5641.8	5395.77	-246.0	0.82720	1.00000
Rv0147	-	PROBABLE ALDEHYDE DEHYDROGENASE (NAD+) DEPENDENT 	26	93.5	100.1	0.10	9354.8	10005.68	650.8	0.62250	1.00000
Rv0148	-	PROBABLE SHORT-CHAIN TYPE DEHYDROGENASE/REDUCTASE 	16	82.1	79.0	-0.06	5257.2	5058.36	-198.8	0.81290	1.00000
Rv0149	-	POSSIBLE QUINONE OXIDOREDUCTASE (NADPH:QUINONE OXIDOREDUCTASE) (ZETA-CRYSTALLIN) 	21	50.1	68.2	0.44	4208.7	5727.28	1518.6	0.08480	0.51188
Rv0150c	-	hypothetical protein Rv0150c 	4	7.3	6.6	-0.15	88.0	79.41	-8.6	0.91130	1.00000
Rv0151c	PE1	PE FAMILY PROTEIN 	44	82.6	109.5	0.41	14544.4	19267.31	4722.9	0.03780	0.30408
Rv0152c	PE2	PE FAMILY PROTEIN 	40	105.2	111.9	0.09	16413.6	17458.89	1045.3	0.55030	1.00000
Rv0153c	ptbB	PHOSPHOTYROSINE PROTEIN PHOSPHATASE PTPB (PROTEIN-TYROSINE-PHOSPHATASE) (PTPase) 	11	43.9	40.6	-0.11	1930.4	1787.34	-143.0	0.72380	1.00000
Rv0154c	fadE2	PROBABLE ACYL-CoA DEHYDROGENASE FADE2 	12	86.0	72.0	-0.26	3783.3	3169.73	-613.5	0.46710	0.97453
Rv0155	pntAa	PROBABLE NAD(P) TRANSHYDROGENASE (SUBUNIT ALPHA) PNTAA 	10	39.8	80.8	1.02	1590.4	3232.49	1642.1	0.00500	0.06541
Rv0156	pntAb	PROBABLE NAD(P) TRANSHYDROGENASE (SUBUNIT ALPHA) PNTAB 	1	163.6	320.0	0.97	654.2	1279.95	625.7	0.08410	0.50919
Rv0157	pntB	PROBABLE NAD(P) TRANSHYDROGENASE (SUBUNIT BETA) PNTB 	14	74.9	191.0	1.35	4195.0	10696.37	6501.4	0.00040	0.00682
Rv0158	-	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN (POSSIBLY TETR-FAMILY) 	16	137.3	124.8	-0.14	8785.6	7989.88	-795.7	0.51900	0.99991
Rv0159c	PE3	PE FAMILY PROTEIN 	50	117.4	122.9	0.07	23486.3	24589.09	1102.8	0.71650	1.00000
Rv0160c	PE4	PE FAMILY PROTEIN 	42	80.5	117.5	0.55	12233.9	17862.55	5628.6	0.30630	0.89724
Rv0161	-	POSSIBLE OXIDOREDUCTASE 	19	26.6	26.5	-0.01	2024.7	2014.17	-10.5	0.98340	1.00000
Rv0162c	adhE1	PROBABLE ZINC-TYPE ALCOHOL DEHYDROGENASE (E SUBUNIT) ADHE 	16	29.5	30.4	0.05	1887.4	1948.76	61.4	0.90220	1.00000
Rv0163	-	hypothetical protein Rv0163 	10	61.5	82.8	0.43	2459.7	3311.94	852.3	0.23470	0.81678
Rv0164	TB18.5	hypothetical protein Rv0164 	8	294.3	363.0	0.30	1177.0	1451.84	274.8	0.39640	0.96168
Rv0165c	-	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY GNTR-FAMILY) 	8	52.9	66.6	0.33	1692.2	2129.75	437.6	0.42270	0.97293
Rv0166	fadD5	acyl-CoA synthetase 	27	65.1	71.3	0.13	6769.6	7412.71	643.1	0.56430	1.00000
Rv0167	yrbE1A	CONSERVED HYPOTHETICAL INTEGRAL MEMBRANE PROTEIN YRBE1A 	7	42.6	67.4	0.66	1023.6	1617.36	593.8	0.08720	0.51912
Rv0168	yrbE1B	CONSERVED HYPOTHETICAL INTEGRAL MEMBRANE PROTEIN YRBE1B 	14	78.5	105.1	0.42	4398.6	5883.78	1485.1	0.09220	0.53783
Rv0169	mce1A	MCE-FAMILY PROTEIN MCE1A 	39	77.7	98.3	0.34	12124.0	15331.51	3207.5	0.15420	0.68898
Rv0170	mce1B	MCE-FAMILY PROTEIN MCE1B 	18	70.0	86.5	0.31	5042.0	6231.29	1189.3	0.57490	1.00000
Rv0171	mce1C	MCE-FAMILY PROTEIN MCE1C 	25	54.6	71.0	0.38	5462.3	7102.33	1640.1	0.08660	0.51727
Rv0172	mce1D	MCE-FAMILY PROTEIN MCE1D 	33	74.6	96.1	0.37	9552.4	12302.50	2750.1	0.09430	0.53828
Rv0173	lprK	POSSIBLE MCE-FAMILY LIPOPROTEIN LPRK (MCE-FAMILY LIPOPROTEIN MCE1E) 	16	86.4	95.6	0.15	5532.5	6119.74	587.3	0.60450	1.00000
Rv0174	mce1F	MCE-FAMILY PROTEIN MCE1F 	31	77.7	81.5	0.07	9629.2	10108.70	479.5	0.74160	1.00000
Rv0175	-	PROBABLE CONSERVED MCE ASSOCIATED MEMBRANE PROTEIN 	9	64.0	49.7	-0.36	2303.1	1788.47	-514.7	0.33020	0.92442
Rv0176	-	PROBABLE CONSERVED MCE ASSOCIATED TRANSMEMBRANE PROTEIN 	15	52.0	82.4	0.67	2911.1	4616.89	1705.8	0.27550	0.87513
