#Orf	Name	Desc	Sites	Mean Ctrl	Mean Exp	log2FC	Sum Ctrl	Sum Exp	Delta Sum	p-value	Adj. p-value
Rv0018c	ppp	POSSIBLE SERINE/THREONINE PHOSPHATASE PPP 	25	84.4	10.1	-3.07	2364.3	282.35	-2082.0	0.00040	0.03470
Rv0019c	-	hypothetical protein Rv0019c 	13	78.0	13.3	-2.55	2028.6	347.03	-1681.6	0.00060	0.04604
Rv0020c	TB39.8	hypothetical protein Rv0020c 	52	92.1	14.2	-2.69	1658.6	256.23	-1402.4	0.00740	0.25900
Rv0021c	-	hypothetical protein Rv0021c 	22	42.2	66.1	0.65	1772.6	2777.49	1004.9	0.13000	0.95174
Rv0022c	whiB5	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN WHIB-LIKE WHIB5 	8	108.4	96.0	-0.18	1083.5	959.56	-124.0	0.78050	1.00000
Rv0023	-	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN 	12	5.3	1.1	-2.32	85.2	17.06	-68.1	0.02060	0.49218
Rv0024	-	PUTATIVE SECRETED PROTEIN P60-RELATED PROTEIN 	12	52.3	54.5	0.06	941.2	980.76	39.6	0.92760	1.00000
Rv0025	-	hypothetical protein Rv0025 	7	14.4	14.4	0.00	172.3	172.88	0.6	0.99610	1.00000
Rv0026	-	hypothetical protein Rv0026 	14	54.3	51.0	-0.09	1195.2	1122.30	-72.9	0.85300	1.00000
Rv0027	-	hypothetical protein Rv0027 	5	43.1	8.9	-2.28	431.0	88.68	-342.4	0.10710	0.89964
Rv0028	-	hypothetical protein Rv0028 	5	30.6	72.0	1.24	244.5	576.40	331.9	0.18970	1.00000
Rv0029	-	hypothetical protein Rv0029 	18	31.7	49.9	0.66	1077.0	1695.85	618.9	0.43850	1.00000
Rv0030	-	hypothetical protein Rv0030 	5	54.2	21.2	-1.36	433.3	169.29	-264.0	0.77320	1.00000
Rv0031	-	POSSIBLE REMNANT OF A TRANSPOSASE 	1	0.0	0.0	0.00	0.0	0.00	0.0	1.00000	1.00000
Rv0032	bioF2	POSSIBLE 8-AMINO-7-OXONONANOATE SYNTHASE BIOF2 (AONS) (8-AMINO-7-KETOPELARGONATE SYNTHASE) (7-KETO-8-AMINO-PELARGONIC ACID SYNTHETASE) (7-KAP SYNTHETASE) (L-ALANINE--PIMELYL CoA LIGASE) 	57	52.2	48.5	-0.11	4281.2	3979.06	-302.1	0.79870	1.00000
Rv0033	acpA	PROBABLE ACYL CARRIER PROTEIN ACPA (ACP) 	3	51.8	32.5	-0.67	310.5	194.95	-115.6	0.53940	1.00000
Rv0034	-	hypothetical protein Rv0034 	5	43.0	76.2	0.82	344.4	609.90	265.5	0.29790	1.00000
Rv0035	fadD34	PROBABLE FATTY-ACID-CoA LIGASE FADD34 (FATTY-ACID-CoA SYNTHETASE) (FATTY-ACID-CoA SYNTHASE) 	25	64.1	61.6	-0.06	2949.7	2832.78	-116.9	0.89120	1.00000
Rv0036c	-	hypothetical protein Rv0036c 	4	24.0	108.0	2.17	192.4	864.03	671.6	0.02740	0.54663
Rv0037c	-	PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN 	20	165.7	58.9	-1.49	5632.5	2001.22	-3631.2	0.04700	0.72127
Rv0038	-	hypothetical protein Rv0038 	7	68.4	62.2	-0.14	957.1	871.18	-85.9	0.87850	1.00000
Rv0039c	-	POSSIBLE CONSERVED TRANSMEMBRANE PROTEIN 	4	96.0	119.9	0.32	575.8	719.55	143.8	0.74830	1.00000
Rv0040c	mtc28	SECRETED PROLINE RICH PROTEIN MTC28 (PROLINE RICH 28 KDA ANTIGEN) 	9	81.0	49.3	-0.72	1133.8	689.57	-444.3	0.18470	1.00000
Rv0041	leuS	leucyl-tRNA synthetase 	72	0.0	0.4	0.51	0.0	0.85	0.8	1.00000	1.00000
Rv0042c	-	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY MARR-FAMILY) 	5	28.5	20.3	-0.49	285.4	202.95	-82.4	0.78430	1.00000
Rv0043c	-	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY GNTR-FAMILY) 	10	42.3	48.9	0.21	845.9	977.24	131.4	0.80200	1.00000
Rv0044c	-	POSSIBLE OXIDOREDUCTASE 	20	26.9	36.8	0.45	914.1	1251.29	337.2	0.48160	1.00000
Rv0045c	-	POSSIBLE HYDROLASE 	7	78.0	36.3	-1.10	1092.1	508.01	-584.0	0.16510	1.00000
Rv0046c	ino1	MYO-INOSITOL-1-PHOSPHATE SYNTHASE INO1 (Inositol 1-phosphate synthetase) (D-glucose 6-phosphate cycloaldolase) (Glucose 6-phosphate cyclase) (Glucocycloaldolase) 	16	0.0	0.0	0.00	0.0	0.00	0.0	1.00000	1.00000
Rv0047c	-	hypothetical protein Rv0047c 	7	114.8	69.5	-0.72	1606.8	973.69	-633.2	0.40550	1.00000
Rv0048c	-	POSSIBLE MEMBRANE PROTEIN 	16	121.9	106.6	-0.19	3657.2	3196.74	-460.5	0.73870	1.00000
Rv0049	-	hypothetical protein Rv0049 	8	131.3	26.2	-2.33	2101.6	418.86	-1682.7	0.03050	0.56867
Rv0050	ponA1	PROBABLE BIFUNCTIONAL PENICILLIN-BINDING PROTEIN 1A/1B PONA1 (MUREIN POLYMERASE) (PBP1): PENICILLIN-INSENSITIVE TRANSGLYCOSYLASE (PEPTIDOGLYCAN TGASE) + PENICILLIN-SENSITIVE TRANSPEPTIDASE (DD-TRANSPEPTIDASE) 	37	15.0	5.0	-1.60	840.5	277.29	-563.2	0.00830	0.27829
Rv0051	-	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN 	34	24.2	22.7	-0.10	1163.7	1087.91	-75.8	0.85460	1.00000
Rv0052	-	hypothetical protein Rv0052 	7	70.3	59.9	-0.23	843.3	718.44	-124.8	0.72950	1.00000
Rv0053	rpsF	30S ribosomal protein S6 	7	31.8	20.8	-0.61	127.1	83.21	-43.9	0.81180	1.00000
Rv0054	ssb	single-strand DNA-binding protein 	5	0.0	0.0	0.00	0.0	0.00	0.0	1.00000	1.00000
Rv0055	rpsR	30S ribosomal protein S18 	5	5.5	0.0	-2.70	11.0	0.00	-11.0	1.00000	1.00000
Rv0056	rplI	50S ribosomal protein L9 	8	27.7	23.5	-0.24	388.4	328.70	-59.7	0.84670	1.00000
Rv0057	-	hypothetical protein Rv0057 	16	9.3	22.0	1.25	222.7	529.09	306.4	0.18720	1.00000
Rv0058	dnaB	replicative DNA helicase 	39	0.0	0.0	0.00	0.0	0.00	0.0	1.00000	1.00000
Rv0059	-	hypothetical protein Rv0059 	21	108.4	88.9	-0.29	4120.9	3378.27	-742.7	0.49670	1.00000
Rv0060	-	hypothetical protein Rv0060 	23	109.0	34.5	-1.66	436.1	138.04	-298.1	0.45940	1.00000
Rv0061	-	hypothetical protein Rv0061 	6	15.7	42.4	1.43	157.3	423.67	266.4	0.30790	1.00000
Rv0062	celA1	POSSIBLE CELLULASE CELA1 (ENDOGLUCANASE) (ENDO-1,4-BETA-GLUCANASE) (FI-CMCASE) (CARBOXYMETHYL CELLULASE) 	22	63.9	42.7	-0.58	2426.4	1624.50	-801.9	0.22190	1.00000
Rv0063	-	POSSIBLE OXIDOREDUCTASE 	24	46.2	44.3	-0.06	1941.9	1862.25	-79.7	0.91310	1.00000
Rv0064	-	hypothetical protein Rv0064 	69	24.3	20.6	-0.24	2766.8	2348.29	-418.5	0.50720	1.00000
Rv0065	-	hypothetical protein Rv0065 	8	44.1	18.8	-1.23	529.4	226.01	-303.4	0.41450	1.00000
Rv0066c	icd2	PROBABLE ISOCITRATE DEHYDROGENASE 	38	31.3	1.5	-4.38	1818.0	87.22	-1730.8	0.00000	0.00000
Rv0067c	-	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN (POSSIBLY TETR-FAMILY) 	12	26.9	15.7	-0.77	644.5	378.00	-266.5	0.22460	1.00000
Rv0068	-	short chain dehydrogenase 	12	62.6	40.7	-0.62	1127.5	732.11	-395.3	0.51810	1.00000
Rv0069c	sdaA	PROBABLE L-SERINE DEHYDRATASE SDAA (L-SERINE DEAMINASE) (SDH) (L-SD) 	12	23.2	24.0	0.05	417.2	431.36	14.1	0.94910	1.00000
Rv0070c	glyA2	PROBABLE SERINE HYDROXYMETHYLTRANSFERASE GLYA2 (SERINE METHYLASE 2) (SHMT 2) 	18	29.1	23.9	-0.29	873.1	715.82	-157.3	0.64960	1.00000
Rv0071	-	POSSIBLE MATURASE 	8	28.1	56.1	1.00	392.8	784.82	392.0	0.28310	1.00000
Rv0072	-	PROBABLE GLUTAMINE-TRANSPORT TRANSMEMBRANE PROTEIN ABC TRANSPORTER 	17	135.1	63.7	-1.09	4053.6	1909.91	-2143.7	0.10800	0.90212
Rv0073	-	PROBABLE GLUTAMINE-TRANSPORT ATP-BINDING PROTEIN ABC TRANSPORTER 	16	37.4	44.1	0.23	1198.4	1409.99	211.6	0.59990	1.00000
Rv0074	-	hypothetical protein Rv0074 	20	34.7	32.8	-0.08	1386.5	1313.92	-72.6	0.91350	1.00000
Rv0075	-	PROBABLE AMINOTRANSFERASE 	25	47.1	44.7	-0.08	1790.7	1697.49	-93.2	0.85140	1.00000
Rv0076c	-	PROBABLE MEMBRANE PROTEIN 	4	87.3	70.3	-0.31	698.0	562.28	-135.7	0.64820	1.00000
Rv0077c	-	PROBABLE OXIDOREDUCTASE 	14	43.5	47.3	0.12	1131.5	1228.98	97.4	0.85350	1.00000
Rv0078	-	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN 	9	30.6	17.1	-0.84	428.6	239.54	-189.1	0.39050	1.00000
Rv0078A	-	hypothetical protein Rv0078A 	10	33.6	31.6	-0.09	672.1	631.55	-40.5	0.94370	1.00000
Rv0079	-	hypothetical protein Rv0079 	14	38.1	60.0	0.65	991.6	1559.39	567.8	0.25160	1.00000
Rv0080	-	hypothetical protein Rv0080 	5	45.9	34.0	-0.43	367.2	271.94	-95.3	0.68580	1.00000
Rv0081	-	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN 	6	73.1	93.0	0.35	730.9	930.03	199.2	0.62510	1.00000
Rv0082	-	PROBABLE OXIDOREDUCTASE 	7	24.1	39.6	0.72	240.9	396.24	155.3	0.46880	1.00000
Rv0083	-	PROBABLE OXIDOREDUCTASE 	23	33.4	31.4	-0.09	1334.2	1257.42	-76.8	0.81820	1.00000
Rv0084	hycD	POSSIBLE FORMATE HYDROGENLYASE HYCD (FHL) 	9	5.5	4.8	-0.22	88.8	76.24	-12.6	0.84000	1.00000
Rv0085	hycP	POSSIBLE HYDROGENASE HYCP 	4	60.4	11.9	-2.34	362.6	71.40	-291.2	0.24110	1.00000
Rv0086	hycQ	POSSIBLE HYDROGENASE HYCQ 	15	6.0	14.4	1.25	120.6	287.64	167.0	0.21520	1.00000
Rv0087	hycE	POSSIBLE FORMATE HYDROGENASE HYCE (FHL) 	26	6.5	18.4	1.49	156.8	441.43	284.6	0.20030	1.00000
Rv0088	-	hypothetical protein Rv0088 	14	14.0	7.6	-0.88	281.0	152.36	-128.6	0.47990	1.00000
Rv0089	-	POSSIBLE METHYLTRANSFERASE/METHYLASE 	11	13.8	19.7	0.51	276.4	394.34	117.9	0.49340	1.00000
Rv0090	-	POSSIBLE MEMBRANE PROTEIN 	12	30.8	36.7	0.25	678.5	806.75	128.3	0.74100	1.00000
Rv0091	mtn	PROBABLE BIFUNCTIONAL MTA/SAH NUCLEOSIDASE MTN: 5'-METHYLTHIOADENOSINE NUCLEOSIDASE (METHYLTHIOADENOSINE METHYLTHIORIBOHYDROLASE) + S-ADENOSYLHOMOCYSTEINE NUCLEOSIDASE (S-ADENOSYL-L-HOMOCYSTEINE HOMOCYSTEINYLRIBOHYDROLASE) 	11	69.1	53.3	-0.37	1105.4	852.42	-253.0	0.65090	1.00000
Rv0092	ctpA	PROBABLE CATION TRANSPORTER P-TYPE ATPASE A CTPA 	30	93.4	28.2	-1.73	4482.3	1353.51	-3128.8	0.00170	0.09292
Rv0093c	-	PROBABLE CONSERVED MEMBRANE PROTEIN 	8	22.9	13.4	-0.77	320.3	187.78	-132.5	0.35410	1.00000
Rv0094c	-	hypothetical protein Rv0094c 	14	48.0	51.9	0.11	1345.0	1453.49	108.5	0.82220	1.00000
Rv0095c	-	hypothetical protein Rv0095c 	9	33.4	6.1	-2.45	267.4	49.01	-218.3	0.46780	1.00000
Rv0096	PPE1	PPE FAMILY PROTEIN 	34	65.7	33.8	-0.96	3550.5	1824.11	-1726.4	0.06210	0.77431
Rv0097	-	POSSIBLE OXIDOREDUCTASE 	26	42.7	31.5	-0.44	1878.8	1387.19	-491.6	0.56840	1.00000
Rv0098	-	hypothetical protein Rv0098 	12	11.0	9.8	-0.16	153.8	137.67	-16.2	0.81720	1.00000
Rv0099	fadD10	acyl-CoA synthetase 	32	17.5	29.3	0.75	735.4	1232.66	497.3	0.25790	1.00000
Rv0100	-	hypothetical protein Rv0100 	4	51.8	18.3	-1.50	414.8	146.40	-268.4	0.17520	1.00000
Rv0101	nrp	PROBABLE PEPTIDE SYNTHETASE NRP (PEPTIDE SYNTHASE) 	123	33.0	26.6	-0.31	6146.0	4940.63	-1205.3	0.27360	1.00000
Rv0102	-	PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN 	42	0.5	0.7	0.40	5.2	6.89	1.7	0.83200	1.00000
Rv0103c	ctpB	PROBABLE CATION-TRANSPORTER P-TYPE ATPASE B CTPB 	30	66.1	61.3	-0.11	2777.3	2575.02	-202.3	0.82680	1.00000
Rv0104	-	hypothetical protein Rv0104 	28	61.5	55.8	-0.14	2950.2	2679.18	-271.0	0.71380	1.00000
Rv0105c	rpmB	50S ribosomal protein L28 	5	46.9	32.4	-0.53	374.8	258.98	-115.8	0.50790	1.00000
Rv0106	-	hypothetical protein Rv0106 	12	23.9	35.4	0.57	477.1	707.49	230.3	0.35540	1.00000
Rv0107c	ctpI	PROBABLE CATION-TRANSPORTER ATPASE I CTPI 	65	28.3	24.7	-0.20	2938.2	2564.79	-373.4	0.62850	1.00000
Rv0108c	-	hypothetical protein Rv0108c 	2	18.9	53.9	1.51	75.6	215.42	139.8	0.14690	0.98049
Rv0109	PE_PGRS1	PE-PGRS FAMILY PROTEIN 	28	26.8	18.9	-0.50	963.6	680.47	-283.1	0.50770	1.00000
Rv0110	-	PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN 	13	111.5	51.2	-1.12	2675.0	1228.49	-1446.5	0.03610	0.63175
Rv0111	-	POSSIBLE TRANSMEMBRANE ACYLTRANSFERASE 	43	31.8	39.5	0.31	2159.2	2683.84	524.7	0.39010	1.00000
Rv0112	gca	POSSIBLE GDP-MANNOSE 4,6-DEHYDRATASE GCA (GDP-D-MANNOSE DEHYDRATASE) 	31	19.7	14.7	-0.42	669.5	499.06	-170.4	0.50120	1.00000
Rv0113	gmhA	PROBABLE SEDOHEPTULOSE-7-PHOSPHATE ISOMERASE GMHA (PHOSPHOHEPTOSE ISOMERASE) 	13	4.9	16.1	1.73	48.6	161.12	112.6	0.37980	1.00000
Rv0114	gmhB	POSSIBLE D-ALPHA,BETA-D-HEPTOSE-1,7-BIPHOSPHATE PHOSPHATASE GMHB (D-GLYCERO-D-MANNO-HEPTOSE 7-PHOSPHATE KINASE) 	10	70.0	57.0	-0.30	1400.5	1139.12	-261.3	0.55960	1.00000
Rv0115	hddA	POSSIBLE D-ALPHA-D-HEPTOSE-7-PHOSPHATE KINASE HDDA 	18	52.2	37.1	-0.49	1776.0	1262.45	-513.5	0.31760	1.00000
Rv0116c	-	POSSIBLE CONSERVED MEMBRANE PROTEIN 	17	46.6	48.6	0.06	1584.0	1652.00	68.0	0.89420	1.00000
Rv0117	oxyS	OXIDATIVE STRESS RESPONSE REGULATORY PROTEIN OXYS 	17	20.7	21.9	0.08	704.6	743.34	38.7	0.90070	1.00000
Rv0118c	oxcA	putative oxalyl-CoA decarboxylase 	26	22.0	22.4	0.03	702.9	716.54	13.7	0.97850	1.00000
Rv0119	fadD7	acyl-CoA synthetase 	14	12.1	3.6	-1.77	194.1	56.98	-137.2	0.07970	0.84166
Rv0120c	fusA2	elongation factor G 	27	7.6	9.7	0.35	274.1	348.97	74.9	0.57080	1.00000
Rv0121c	-	hypothetical protein Rv0121c 	10	41.2	27.2	-0.60	411.5	271.72	-139.8	0.92680	1.00000
Rv0122	-	hypothetical protein Rv0122 	9	30.3	13.9	-1.13	363.7	166.47	-197.3	0.39380	1.00000
Rv0123	-	hypothetical protein Rv0123 	9	15.4	18.5	0.26	123.6	148.05	24.5	0.75710	1.00000
Rv0124	PE_PGRS2	PE-PGRS FAMILY PROTEIN 	14	29.2	36.1	0.30	583.9	721.13	137.3	0.62880	1.00000
Rv0125	pepA	PROBABLE SERINE PROTEASE PEPA (SERINE PROTEINASE) (MTB32A) 	10	30.7	28.3	-0.12	614.9	565.92	-49.0	0.87330	1.00000
Rv0126	treS	TREHALOSE SYNTHASE TRES 	31	19.3	11.6	-0.73	1155.2	694.10	-461.1	0.26070	1.00000
Rv0127	-	hypothetical protein Rv0127 	30	12.9	1.4	-3.17	594.5	66.04	-528.5	0.00000	0.00000
Rv0128	-	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN 	20	69.7	48.4	-0.52	2786.3	1937.57	-848.7	0.34170	1.00000
Rv0129c	fbpC	SECRETED ANTIGEN 85-C FBPC (85C) (ANTIGEN 85 COMPLEX C) (AG58C) (MYCOLYL TRANSFERASE 85C) (FIBRONECTIN-BINDING PROTEIN C) 	28	54.4	61.7	0.18	2609.4	2962.67	353.3	0.66250	1.00000
Rv0130	-	hypothetical protein Rv0130 	4	4.2	15.8	1.91	33.7	126.63	92.9	0.28140	1.00000
Rv0131c	fadE1	PROBABLE ACYL-CoA DEHYDROGENASE FADE1 	18	36.5	19.4	-0.91	1021.2	543.70	-477.5	0.17310	1.00000
Rv0132c	fgd2	PUTATIVE F420-DEPENDENT GLUCOSE-6-PHOSPHATE DEHYDROGENASE FGD2 	15	56.8	51.3	-0.15	1591.2	1437.00	-154.2	0.82330	1.00000
Rv0133	-	PROBABLE ACETYLTRANSFERASE 	8	55.6	82.0	0.56	779.1	1147.83	368.8	0.35790	1.00000
Rv0134	ephF	POSSIBLE EPOXIDE HYDROLASE EPHF (EPOXIDE HYDRATASE) (ARENE-OXIDE HYDRATASE) 	12	76.6	52.3	-0.55	1838.5	1256.40	-582.1	0.39080	1.00000
Rv0135c	-	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN 	11	26.5	37.1	0.49	529.4	742.38	213.0	0.40930	1.00000
Rv0136	cyp138	PROBABLE CYTOCHROME P450 138 CYP138 	23	68.2	53.5	-0.35	2864.9	2248.97	-615.9	0.40610	1.00000
Rv0137c	msrA	methionine sulfoxide reductase A 	11	17.8	38.3	1.11	355.9	766.01	410.1	0.09060	0.86371
Rv0138	-	hypothetical protein Rv0138 	7	115.1	90.0	-0.36	1612.1	1259.97	-352.1	0.41160	1.00000
Rv0139	-	POSSIBLE OXIDOREDUCTASE 	12	83.5	78.1	-0.10	1836.2	1719.15	-117.1	0.85590	1.00000
Rv0140	-	hypothetical protein Rv0140 	16	62.1	37.7	-0.72	1614.0	981.34	-632.7	0.29750	1.00000
Rv0141c	-	hypothetical protein Rv0141c 	9	38.6	49.0	0.34	463.5	587.48	124.0	0.72290	1.00000
Rv0142	-	hypothetical protein Rv0142 	7	99.7	55.7	-0.84	997.2	557.34	-439.9	0.27380	1.00000
Rv0143c	-	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN 	27	54.6	59.4	0.12	2513.2	2730.95	217.7	0.81380	1.00000
Rv0144	-	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN (POSSIBLY TETR-FAMILY) 	14	128.7	104.8	-0.30	3345.3	2725.91	-619.4	0.49870	1.00000
Rv0145	-	hypothetical protein Rv0145 	15	55.4	78.2	0.50	1439.7	2034.14	594.5	0.28040	1.00000
Rv0146	-	hypothetical protein Rv0146 	17	66.3	65.0	-0.03	1990.5	1948.88	-41.6	0.95460	1.00000
Rv0147	-	PROBABLE ALDEHYDE DEHYDROGENASE (NAD+) DEPENDENT 	26	85.4	68.7	-0.31	4098.0	3296.65	-801.4	0.42480	1.00000
Rv0148	-	PROBABLE SHORT-CHAIN TYPE DEHYDROGENASE/REDUCTASE 	17	59.4	54.6	-0.12	2018.2	1854.74	-163.5	0.79300	1.00000
Rv0149	-	POSSIBLE QUINONE OXIDOREDUCTASE (NADPH:QUINONE OXIDOREDUCTASE) (ZETA-CRYSTALLIN) 	22	52.2	47.7	-0.13	1982.1	1813.79	-168.4	0.76830	1.00000
Rv0150c	-	hypothetical protein Rv0150c 	4	1.1	50.8	5.53	4.4	203.27	198.9	0.10800	0.90212
Rv0151c	PE1	PE FAMILY PROTEIN 	44	74.9	74.2	-0.01	5543.6	5489.30	-54.3	0.96030	1.00000
Rv0152c	PE2	PE FAMILY PROTEIN 	40	89.6	75.2	-0.25	6811.4	5712.49	-1098.9	0.33460	1.00000
Rv0153c	ptbB	PHOSPHOTYROSINE PROTEIN PHOSPHATASE PTPB (PROTEIN-TYROSINE-PHOSPHATASE) (PTPase) 	11	47.0	22.2	-1.08	939.9	444.56	-495.3	0.12860	0.94689
Rv0154c	fadE2	PROBABLE ACYL-CoA DEHYDROGENASE FADE2 	12	45.5	40.8	-0.16	1001.7	896.61	-105.1	0.78800	1.00000
Rv0155	pntAa	PROBABLE NAD(P) TRANSHYDROGENASE (SUBUNIT ALPHA) PNTAA 	11	22.4	80.4	1.84	449.0	1607.87	1158.9	0.01010	0.31484
Rv0156	pntAb	PROBABLE NAD(P) TRANSHYDROGENASE (SUBUNIT ALPHA) PNTAB 	1	169.1	240.2	0.51	338.2	480.46	142.2	0.66400	1.00000
Rv0157	pntB	PROBABLE NAD(P) TRANSHYDROGENASE (SUBUNIT BETA) PNTB 	15	58.2	93.1	0.68	1630.0	2607.20	977.2	0.16240	1.00000
Rv0158	-	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN (POSSIBLY TETR-FAMILY) 	16	63.4	78.6	0.31	2027.4	2515.73	488.3	0.41290	1.00000
Rv0159c	PE3	PE FAMILY PROTEIN 	50	98.1	102.0	0.06	8830.8	9180.60	349.8	0.87970	1.00000
Rv0160c	PE4	PE FAMILY PROTEIN 	42	70.0	68.0	-0.04	5037.6	4892.89	-144.8	0.89980	1.00000
Rv0161	-	POSSIBLE OXIDOREDUCTASE 	19	16.1	28.8	0.84	514.0	921.60	407.6	0.31920	1.00000
Rv0162c	adhE1	PROBABLE ZINC-TYPE ALCOHOL DEHYDROGENASE (E SUBUNIT) ADHE 	16	13.0	15.8	0.29	389.0	474.22	85.2	0.73840	1.00000
Rv0163	-	hypothetical protein Rv0163 	11	53.8	36.3	-0.57	1184.4	798.93	-385.5	0.38990	1.00000
Rv0164	TB18.5	hypothetical protein Rv0164 	9	168.1	248.0	0.56	672.5	991.92	319.4	0.46370	1.00000
Rv0165c	-	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY GNTR-FAMILY) 	9	61.5	63.3	0.04	861.3	886.69	25.4	0.95360	1.00000
Rv0166	fadD5	acyl-CoA synthetase 	28	43.7	64.7	0.57	1922.1	2846.43	924.3	0.13560	0.96342
Rv0167	yrbE1A	CONSERVED HYPOTHETICAL INTEGRAL MEMBRANE PROTEIN YRBE1A 	7	74.3	67.4	-0.14	742.7	673.93	-68.8	0.85390	1.00000
Rv0168	yrbE1B	CONSERVED HYPOTHETICAL INTEGRAL MEMBRANE PROTEIN YRBE1B 	15	120.0	91.2	-0.40	3120.8	2371.28	-749.5	0.50930	1.00000
Rv0169	mce1A	MCE-FAMILY PROTEIN MCE1A 	39	111.3	59.7	-0.90	7568.7	4061.54	-3507.1	0.02240	0.50782
Rv0170	mce1B	MCE-FAMILY PROTEIN MCE1B 	18	100.8	31.3	-1.69	3426.0	1062.68	-2363.3	0.00170	0.09292
Rv0171	mce1C	MCE-FAMILY PROTEIN MCE1C 	25	84.5	34.4	-1.30	4227.2	1719.34	-2507.8	0.00030	0.02850
Rv0172	mce1D	MCE-FAMILY PROTEIN MCE1D 	33	89.6	56.4	-0.67	5554.9	3493.74	-2061.2	0.07470	0.83524
Rv0173	lprK	POSSIBLE MCE-FAMILY LIPOPROTEIN LPRK (MCE-FAMILY LIPOPROTEIN MCE1E) 	16	135.6	65.7	-1.05	3526.8	1707.81	-1819.0	0.02530	0.53751
Rv0174	mce1F	MCE-FAMILY PROTEIN MCE1F 	31	98.7	53.2	-0.89	5924.1	3189.80	-2734.3	0.02530	0.53751
Rv0175	-	PROBABLE CONSERVED MCE ASSOCIATED MEMBRANE PROTEIN 	9	75.6	36.3	-1.06	1209.1	580.86	-628.3	0.18620	1.00000
Rv0176	-	PROBABLE CONSERVED MCE ASSOCIATED TRANSMEMBRANE PROTEIN 	15	69.1	60.2	-0.20	1658.3	1445.09	-213.2	0.77350	1.00000
