#Orf	Name	Desc	Sites	Mean Ctrl	Mean Exp	Sum Ctrl	Sum Exp	Delta Sum	log2FC	p-value	Adj. p-value
Rv0018c	ppp	POSSIBLE SERINE/THREONINE PHOSPHATASE PPP 	25	28.3	15.0	396.0	209.5	-186.55	-0.92	0.19310	1.00000
Rv0019c	-	hypothetical protein Rv0019c 	13	25.2	10.7	303.0	128.4	-174.56	-1.24	0.01000	1.00000
Rv0020c	TB39.8	hypothetical protein Rv0020c 	52	36.4	29.3	328.0	263.8	-64.21	-0.31	0.59410	1.00000
Rv0021c	-	hypothetical protein Rv0021c 	22	54.2	63.3	1193.0	1393.1	200.07	0.22	0.66230	1.00000
Rv0022c	whiB5	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN WHIB-LIKE WHIB5 	8	50.4	62.1	403.0	497.0	93.96	0.30	0.68260	1.00000
Rv0023	-	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN 	12	1.0	1.4	7.0	9.9	2.88	0.50	0.62290	1.00000
Rv0024	-	PUTATIVE SECRETED PROTEIN P60-RELATED PROTEIN 	12	37.8	49.0	416.0	538.5	122.46	0.37	0.57880	1.00000
Rv0025	-	hypothetical protein Rv0025 	7	24.9	37.4	174.0	261.8	87.82	0.59	0.43070	1.00000
Rv0026	-	hypothetical protein Rv0026 	14	47.8	49.6	573.0	594.8	21.77	0.05	0.93100	1.00000
Rv0027	-	hypothetical protein Rv0027 	5	30.0	31.0	150.0	155.1	5.11	0.05	0.91310	1.00000
Rv0028	-	hypothetical protein Rv0028 	5	53.8	61.7	269.0	308.3	39.25	0.20	0.84420	1.00000
Rv0029	-	hypothetical protein Rv0029 	18	53.5	57.8	910.0	983.1	73.05	0.11	0.85100	1.00000
Rv0030	-	hypothetical protein Rv0030 	5	14.8	17.6	74.0	87.9	13.93	0.25	0.88410	1.00000
Rv0031	-	POSSIBLE REMNANT OF A TRANSPOSASE 	1	0.0	0.0	0.0	0.0	0.00	0.00	1.00000	1.00000
Rv0032	bioF2	POSSIBLE 8-AMINO-7-OXONONANOATE SYNTHASE BIOF2 (AONS) (8-AMINO-7-KETOPELARGONATE SYNTHASE) (7-KETO-8-AMINO-PELARGONIC ACID SYNTHETASE) (7-KAP SYNTHETASE) (L-ALANINE--PIMELYL CoA LIGASE) 	57	44.6	51.0	2275.0	2603.4	328.36	0.19	0.64760	1.00000
Rv0033	acpA	PROBABLE ACYL CARRIER PROTEIN ACPA (ACP) 	3	49.7	77.1	149.0	231.2	82.19	0.63	0.20320	1.00000
Rv0034	-	hypothetical protein Rv0034 	5	43.0	55.5	215.0	277.6	62.63	0.37	0.57460	1.00000
Rv0035	fadD34	PROBABLE FATTY-ACID-CoA LIGASE FADD34 (FATTY-ACID-CoA SYNTHETASE) (FATTY-ACID-CoA SYNTHASE) 	25	51.2	63.4	1279.0	1583.8	304.75	0.31	0.51860	1.00000
Rv0036c	-	hypothetical protein Rv0036c 	4	67.8	69.2	271.0	276.6	5.64	0.03	0.97320	1.00000
Rv0037c	-	PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN 	20	88.3	76.6	1590.0	1379.2	-210.76	-0.21	0.72760	1.00000
Rv0038	-	hypothetical protein Rv0038 	7	57.4	71.0	402.0	497.0	94.96	0.31	0.68780	1.00000
Rv0039c	-	POSSIBLE CONSERVED TRANSMEMBRANE PROTEIN 	4	38.8	42.5	155.0	169.9	14.93	0.13	0.88750	1.00000
Rv0040c	mtc28	SECRETED PROLINE RICH PROTEIN MTC28 (PROLINE RICH 28 KDA ANTIGEN) 	9	102.2	76.9	818.0	615.5	-202.48	-0.41	0.41960	1.00000
Rv0041	leuS	leucyl-tRNA synthetase 	72	0.0	0.0	0.0	0.0	0.00	0.00	1.00000	1.00000
Rv0042c	-	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY MARR-FAMILY) 	5	39.6	35.2	198.0	175.9	-22.14	-0.17	0.71710	1.00000
Rv0043c	-	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY GNTR-FAMILY) 	10	36.4	35.0	364.0	349.7	-14.25	-0.06	0.91840	1.00000
Rv0044c	-	POSSIBLE OXIDOREDUCTASE 	20	36.5	37.7	730.0	754.8	24.83	0.05	0.93620	1.00000
Rv0045c	-	POSSIBLE HYDROLASE 	7	63.4	63.2	444.0	442.6	-1.38	-0.00	0.99050	1.00000
Rv0046c	ino1	MYO-INOSITOL-1-PHOSPHATE SYNTHASE INO1 (Inositol 1-phosphate synthetase) (D-glucose 6-phosphate cycloaldolase) (Glucose 6-phosphate cyclase) (Glucocycloaldolase) 	16	0.0	0.0	0.0	0.0	0.00	0.00	1.00000	1.00000
Rv0047c	-	hypothetical protein Rv0047c 	7	60.5	51.4	363.0	308.3	-54.75	-0.24	0.77780	1.00000
Rv0048c	-	POSSIBLE MEMBRANE PROTEIN 	16	111.5	121.5	1784.0	1943.4	159.38	0.12	0.87190	1.00000
Rv0049	-	hypothetical protein Rv0049 	8	65.8	58.5	526.0	468.3	-57.69	-0.17	0.82180	1.00000
Rv0050	ponA1	PROBABLE BIFUNCTIONAL PENICILLIN-BINDING PROTEIN 1A/1B PONA1 (MUREIN POLYMERASE) (PBP1): PENICILLIN-INSENSITIVE TRANSGLYCOSYLASE (PEPTIDOGLYCAN TGASE) + PENICILLIN-SENSITIVE TRANSPEPTIDASE (DD-TRANSPEPTIDASE) 	37	16.6	15.1	581.0	528.6	-52.42	-0.14	0.70950	1.00000
Rv0051	-	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN 	34	30.3	32.8	909.0	984.0	75.04	0.11	0.78380	1.00000
Rv0052	-	hypothetical protein Rv0052 	7	58.0	65.4	348.0	392.2	44.23	0.17	0.74280	1.00000
Rv0053	rpsF	30S ribosomal protein S6 	6	9.0	7.9	9.0	7.9	-1.10	-0.19	1.00000	1.00000
Rv0054	ssb	single-strand DNA-binding protein 	5	0.0	0.0	0.0	0.0	0.00	0.00	1.00000	1.00000
Rv0055	rpsR	30S ribosomal protein S18 	4	40.0	29.6	40.0	29.6	-10.36	-0.43	1.00000	1.00000
Rv0056	rplI	50S ribosomal protein L9 	7	15.7	15.9	110.0	111.6	1.64	0.02	0.97140	1.00000
Rv0057	-	hypothetical protein Rv0057 	15	17.9	20.4	268.0	306.3	38.28	0.19	0.78070	1.00000
Rv0058	dnaB	replicative DNA helicase 	39	0.0	0.0	0.0	0.0	0.00	0.00	1.00000	1.00000
Rv0059	-	hypothetical protein Rv0059 	20	107.7	113.1	2154.0	2261.5	107.52	0.07	0.85590	1.00000
Rv0060	-	hypothetical protein Rv0060 	23	70.0	93.9	70.0	93.9	23.86	0.42	1.00000	1.00000
Rv0061	-	hypothetical protein Rv0061 	6	33.2	29.3	199.0	175.9	-23.14	-0.18	0.79710	1.00000
Rv0062	celA1	POSSIBLE CELLULASE CELA1 (ENDOGLUCANASE) (ENDO-1,4-BETA-GLUCANASE) (FI-CMCASE) (CARBOXYMETHYL CELLULASE) 	21	51.7	59.3	1034.0	1185.6	151.59	0.20	0.59820	1.00000
Rv0063	-	POSSIBLE OXIDOREDUCTASE 	23	35.5	39.3	780.0	865.5	85.48	0.15	0.64490	1.00000
Rv0064	-	hypothetical protein Rv0064 	68	28.3	27.9	1781.0	1758.6	-22.37	-0.02	0.94650	1.00000
Rv0065	-	hypothetical protein Rv0065 	8	32.3	35.1	194.0	210.4	16.44	0.12	0.77720	1.00000
Rv0066c	icd2	PROBABLE ISOCITRATE DEHYDROGENASE 	38	10.0	6.4	301.0	192.7	-108.34	-0.64	0.05180	1.00000
Rv0067c	-	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN (POSSIBLY TETR-FAMILY) 	12	22.4	24.7	269.0	296.4	27.40	0.14	0.79750	1.00000
Rv0068	-	short chain dehydrogenase 	12	58.0	65.0	696.0	779.5	83.53	0.16	0.85230	1.00000
Rv0069c	sdaA	PROBABLE L-SERINE DEHYDRATASE SDAA (L-SERINE DEAMINASE) (SDH) (L-SD) 	12	19.0	22.1	228.0	265.8	37.77	0.22	0.71700	1.00000
Rv0070c	glyA2	PROBABLE SERINE HYDROXYMETHYLTRANSFERASE GLYA2 (SERINE METHYLASE 2) (SHMT 2) 	18	29.1	33.2	494.0	564.1	70.14	0.19	0.80610	1.00000
Rv0071	-	POSSIBLE MATURASE 	8	37.9	38.5	303.0	308.3	5.25	0.02	0.97540	1.00000
Rv0072	-	PROBABLE GLUTAMINE-TRANSPORT TRANSMEMBRANE PROTEIN ABC TRANSPORTER 	16	120.1	122.1	1922.0	1954.2	32.25	0.02	0.97060	1.00000
Rv0073	-	PROBABLE GLUTAMINE-TRANSPORT ATP-BINDING PROTEIN ABC TRANSPORTER 	15	75.1	80.0	1127.0	1199.4	72.42	0.09	0.85420	1.00000
Rv0074	-	hypothetical protein Rv0074 	19	45.7	40.8	822.0	735.1	-86.93	-0.16	0.77510	1.00000
Rv0075	-	PROBABLE AMINOTRANSFERASE 	24	55.0	49.6	1210.0	1091.7	-118.27	-0.15	0.75080	1.00000
Rv0076c	-	PROBABLE MEMBRANE PROTEIN 	3	127.7	132.4	383.0	397.2	14.17	0.05	0.89830	1.00000
Rv0077c	-	PROBABLE OXIDOREDUCTASE 	14	35.7	41.9	464.0	544.4	80.38	0.23	0.63540	1.00000
Rv0078	-	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN 	8	17.2	22.4	138.0	178.8	40.83	0.37	0.64280	1.00000
Rv0078A	-	hypothetical protein Rv0078A 	10	31.4	26.8	314.0	267.7	-46.25	-0.23	0.75170	1.00000
Rv0079	-	hypothetical protein Rv0079 	14	40.0	47.6	560.0	666.9	106.90	0.25	0.70840	1.00000
Rv0080	-	hypothetical protein Rv0080 	4	34.0	36.3	136.0	145.2	9.23	0.09	0.85290	1.00000
Rv0081	-	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN 	5	45.2	53.4	181.0	213.4	32.41	0.24	0.65900	1.00000
Rv0082	-	PROBABLE OXIDOREDUCTASE 	7	21.0	22.9	126.0	137.3	11.33	0.12	0.85490	1.00000
Rv0083	-	PROBABLE OXIDOREDUCTASE 	23	28.5	34.4	598.0	723.2	125.21	0.27	0.41380	1.00000
Rv0084	hycD	POSSIBLE FORMATE HYDROGENLYASE HYCD (FHL) 	9	21.9	17.2	175.0	137.3	-37.67	-0.35	0.66220	1.00000
Rv0085	hycP	POSSIBLE HYDROGENASE HYCP 	4	15.0	14.6	60.0	58.3	-1.71	-0.04	1.00000	1.00000
Rv0086	hycQ	POSSIBLE HYDROGENASE HYCQ 	15	12.4	11.3	174.0	158.1	-15.92	-0.14	0.81760	1.00000
Rv0087	hycE	POSSIBLE FORMATE HYDROGENASE HYCE (FHL) 	25	9.8	7.7	196.0	154.1	-41.87	-0.35	0.46380	1.00000
Rv0088	-	hypothetical protein Rv0088 	14	16.2	9.4	211.0	122.5	-88.49	-0.78	0.25120	1.00000
Rv0089	-	POSSIBLE METHYLTRANSFERASE/METHYLASE 	10	24.4	23.4	220.0	210.4	-9.56	-0.06	0.91560	1.00000
Rv0090	-	POSSIBLE MEMBRANE PROTEIN 	12	41.2	34.7	495.0	416.9	-78.07	-0.25	0.56080	1.00000
Rv0091	mtn	PROBABLE BIFUNCTIONAL MTA/SAH NUCLEOSIDASE MTN: 5'-METHYLTHIOADENOSINE NUCLEOSIDASE (METHYLTHIOADENOSINE METHYLTHIORIBOHYDROLASE) + S-ADENOSYLHOMOCYSTEINE NUCLEOSIDASE (S-ADENOSYL-L-HOMOCYSTEINE HOMOCYSTEINYLRIBOHYDROLASE) 	11	49.6	50.7	496.0	506.8	10.84	0.03	0.96380	1.00000
Rv0092	ctpA	PROBABLE CATION TRANSPORTER P-TYPE ATPASE A CTPA 	30	27.2	19.8	706.0	513.8	-192.24	-0.46	0.30520	1.00000
Rv0093c	-	PROBABLE CONSERVED MEMBRANE PROTEIN 	8	20.4	17.6	143.0	123.5	-19.50	-0.21	0.75400	1.00000
Rv0094c	-	hypothetical protein Rv0094c 	14	40.0	39.0	560.0	546.4	-13.64	-0.04	0.92970	1.00000
Rv0095c	-	hypothetical protein Rv0095c 	9	7.5	6.9	45.0	41.5	-3.50	-0.12	0.88640	1.00000
Rv0096	PPE1	PPE FAMILY PROTEIN 	34	57.8	53.2	1907.0	1754.7	-152.33	-0.12	0.76420	1.00000
Rv0097	-	POSSIBLE OXIDOREDUCTASE 	26	50.6	58.3	1316.0	1514.6	198.59	0.20	0.60210	1.00000
Rv0098	-	hypothetical protein Rv0098 	11	26.5	28.7	292.0	316.2	24.16	0.11	0.79820	1.00000
Rv0099	fadD10	acyl-CoA synthetase 	32	22.5	22.9	585.0	594.8	9.77	0.02	0.96410	1.00000
Rv0100	-	hypothetical protein Rv0100 	3	61.3	85.3	184.0	255.9	71.89	0.48	0.60070	1.00000
Rv0101	nrp	PROBABLE PEPTIDE SYNTHETASE NRP (PEPTIDE SYNTHASE) 	122	29.1	28.2	3109.0	3013.4	-95.62	-0.05	0.85930	1.00000
Rv0102	-	PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN 	42	1.0	1.1	7.0	7.9	0.90	0.18	0.99970	1.00000
Rv0103c	ctpB	PROBABLE CATION-TRANSPORTER P-TYPE ATPASE B CTPB 	30	46.6	57.3	1259.0	1547.2	288.20	0.30	0.61020	1.00000
Rv0104	-	hypothetical protein Rv0104 	27	57.8	66.5	1502.0	1729.0	226.99	0.20	0.62320	1.00000
Rv0105c	rpmB	50S ribosomal protein L28 	5	39.8	44.5	159.0	177.8	18.84	0.16	0.80370	1.00000
Rv0106	-	hypothetical protein Rv0106 	12	37.5	36.2	412.0	398.2	-13.84	-0.05	0.92850	1.00000
Rv0107c	ctpI	PROBABLE CATION-TRANSPORTER ATPASE I CTPI 	65	28.0	26.4	1538.0	1449.4	-88.61	-0.09	0.80700	1.00000
Rv0108c	-	hypothetical protein Rv0108c 	2	97.5	98.3	195.0	196.6	1.61	0.01	1.00000	1.00000
Rv0109	PE_PGRS1	PE-PGRS FAMILY PROTEIN 	27	15.1	20.3	333.0	446.6	113.57	0.42	0.42560	1.00000
Rv0110	-	PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN 	13	74.8	96.5	973.0	1254.8	281.75	0.37	0.51850	1.00000
Rv0111	-	POSSIBLE TRANSMEMBRANE ACYLTRANSFERASE 	42	43.8	44.0	1838.0	1849.5	11.52	0.01	0.97720	1.00000
Rv0112	gca	POSSIBLE GDP-MANNOSE 4,6-DEHYDRATASE GCA (GDP-D-MANNOSE DEHYDRATASE) 	31	18.8	20.5	565.0	615.5	50.52	0.12	0.82270	1.00000
Rv0113	gmhA	PROBABLE SEDOHEPTULOSE-7-PHOSPHATE ISOMERASE GMHA (PHOSPHOHEPTOSE ISOMERASE) 	12	6.7	10.5	80.0	126.5	46.46	0.66	0.36430	1.00000
Rv0114	gmhB	POSSIBLE D-ALPHA,BETA-D-HEPTOSE-1,7-BIPHOSPHATE PHOSPHATASE GMHB (D-GLYCERO-D-MANNO-HEPTOSE 7-PHOSPHATE KINASE) 	9	72.3	97.6	651.0	878.3	227.33	0.43	0.54560	1.00000
Rv0115	hddA	POSSIBLE D-ALPHA-D-HEPTOSE-7-PHOSPHATE KINASE HDDA 	18	51.9	55.3	935.0	995.9	60.90	0.09	0.84460	1.00000
Rv0116c	-	POSSIBLE CONSERVED MEMBRANE PROTEIN 	17	70.4	72.1	1197.0	1225.1	28.11	0.03	0.94510	1.00000
Rv0117	oxyS	OXIDATIVE STRESS RESPONSE REGULATORY PROTEIN OXYS 	17	34.1	38.5	511.0	577.0	65.99	0.18	0.74030	1.00000
Rv0118c	oxcA	putative oxalyl-CoA decarboxylase 	26	15.8	14.3	380.0	343.8	-36.18	-0.14	0.74720	1.00000
Rv0119	fadD7	acyl-CoA synthetase 	13	5.6	4.8	45.0	38.5	-6.47	-0.22	0.69860	1.00000
Rv0120c	fusA2	elongation factor G 	27	9.0	10.3	217.0	248.0	30.99	0.19	0.72040	1.00000
Rv0121c	-	hypothetical protein Rv0121c 	10	19.1	22.0	172.0	197.6	25.60	0.20	0.82110	1.00000
Rv0122	-	hypothetical protein Rv0122 	9	14.3	18.8	100.0	131.4	31.40	0.39	0.72040	1.00000
Rv0123	-	hypothetical protein Rv0123 	8	17.0	23.2	68.0	92.9	24.87	0.45	0.48610	1.00000
Rv0124	PE_PGRS2	PE-PGRS FAMILY PROTEIN 	13	34.1	41.1	409.0	493.0	84.01	0.27	0.71220	1.00000
Rv0125	pepA	PROBABLE SERINE PROTEASE PEPA (SERINE PROTEINASE) (MTB32A) 	10	27.7	30.5	277.0	305.3	28.29	0.14	0.68960	1.00000
Rv0126	treS	TREHALOSE SYNTHASE TRES 	31	50.8	50.7	1575.0	1570.9	-4.09	-0.00	0.99220	1.00000
Rv0127	-	hypothetical protein Rv0127 	30	22.5	18.5	675.0	554.3	-120.74	-0.28	0.40870	1.00000
Rv0128	-	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN 	19	91.7	95.8	1743.0	1819.9	76.88	0.06	0.90380	1.00000
Rv0129c	fbpC	SECRETED ANTIGEN 85-C FBPC (85C) (ANTIGEN 85 COMPLEX C) (AG58C) (MYCOLYL TRANSFERASE 85C) (FIBRONECTIN-BINDING PROTEIN C) 	28	54.2	43.4	1410.0	1129.3	-280.72	-0.32	0.47980	1.00000
Rv0130	-	hypothetical protein Rv0130 	4	21.2	17.0	85.0	68.2	-16.83	-0.32	0.76850	1.00000
Rv0131c	fadE1	PROBABLE ACYL-CoA DEHYDROGENASE FADE1 	18	28.1	28.0	449.0	448.5	-0.45	-0.00	0.99600	1.00000
Rv0132c	fgd2	PUTATIVE F420-DEPENDENT GLUCOSE-6-PHOSPHATE DEHYDROGENASE FGD2 	15	54.3	56.7	760.0	794.3	34.35	0.06	0.92950	1.00000
Rv0133	-	PROBABLE ACETYLTRANSFERASE 	7	66.4	70.4	465.0	493.0	28.01	0.08	0.89150	1.00000
Rv0134	ephF	POSSIBLE EPOXIDE HYDROLASE EPHF (EPOXIDE HYDRATASE) (ARENE-OXIDE HYDRATASE) 	12	54.0	68.6	648.0	823.0	175.00	0.34	0.49960	1.00000
Rv0135c	-	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN 	11	24.6	22.5	271.0	247.0	-24.00	-0.13	0.85100	1.00000
Rv0136	cyp138	PROBABLE CYTOCHROME P450 138 CYP138 	23	56.1	60.0	1291.0	1380.2	89.23	0.10	0.83950	1.00000
Rv0137c	msrA	methionine sulfoxide reductase A 	11	47.5	41.8	523.0	459.4	-63.58	-0.19	0.77760	1.00000
Rv0138	-	hypothetical protein Rv0138 	6	175.7	174.2	1054.0	1045.3	-8.70	-0.01	0.98830	1.00000
Rv0139	-	POSSIBLE OXIDOREDUCTASE 	12	74.2	72.8	891.0	873.4	-17.61	-0.03	0.95340	1.00000
Rv0140	-	hypothetical protein Rv0140 	15	40.9	42.6	613.0	639.2	26.23	0.06	0.91970	1.00000
Rv0141c	-	hypothetical protein Rv0141c 	9	43.2	43.7	346.0	349.7	3.75	0.02	0.98070	1.00000
Rv0142	-	hypothetical protein Rv0142 	6	41.0	38.5	246.0	231.2	-14.81	-0.09	0.88040	1.00000
Rv0143c	-	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN 	27	44.1	53.2	1190.0	1436.5	246.54	0.27	0.62890	1.00000
Rv0144	-	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN (POSSIBLY TETR-FAMILY) 	14	109.2	123.2	1529.0	1725.0	196.04	0.17	0.70300	1.00000
Rv0145	-	hypothetical protein Rv0145 	15	67.0	69.2	938.0	969.2	31.22	0.05	0.89620	1.00000
Rv0146	-	hypothetical protein Rv0146 	16	79.1	85.8	1265.0	1372.3	107.32	0.12	0.86680	1.00000
Rv0147	-	PROBABLE ALDEHYDE DEHYDROGENASE (NAD+) DEPENDENT 	26	91.5	93.0	2288.0	2323.8	35.76	0.02	0.95530	1.00000
Rv0148	-	PROBABLE SHORT-CHAIN TYPE DEHYDROGENASE/REDUCTASE 	16	84.9	88.1	1358.0	1408.9	50.88	0.05	0.85820	1.00000
Rv0149	-	POSSIBLE QUINONE OXIDOREDUCTASE (NADPH:QUINONE OXIDOREDUCTASE) (ZETA-CRYSTALLIN) 	21	54.6	54.2	1146.0	1139.2	-6.84	-0.01	0.98160	1.00000
Rv0150c	-	hypothetical protein Rv0150c 	4	8.3	9.2	25.0	27.7	2.66	0.15	0.86640	1.00000
Rv0151c	PE1	PE FAMILY PROTEIN 	44	96.7	98.1	4158.0	4217.7	59.74	0.02	0.95510	1.00000
Rv0152c	PE2	PE FAMILY PROTEIN 	40	111.2	121.4	4225.0	4612.9	387.94	0.13	0.61630	1.00000
Rv0153c	ptbB	PHOSPHOTYROSINE PROTEIN PHOSPHATASE PTPB (PROTEIN-TYROSINE-PHOSPHATASE) (PTPase) 	11	63.5	36.6	698.0	402.1	-295.89	-0.80	0.16360	1.00000
Rv0154c	fadE2	PROBABLE ACYL-CoA DEHYDROGENASE FADE2 	12	77.5	68.1	853.0	748.9	-104.10	-0.19	0.77890	1.00000
Rv0155	pntAa	PROBABLE NAD(P) TRANSHYDROGENASE (SUBUNIT ALPHA) PNTAA 	10	42.7	40.4	427.0	404.1	-22.91	-0.08	0.89320	1.00000
Rv0156	pntAb	PROBABLE NAD(P) TRANSHYDROGENASE (SUBUNIT ALPHA) PNTAB 	1	166.0	224.3	166.0	224.3	58.27	0.43	1.00000	1.00000
Rv0157	pntB	PROBABLE NAD(P) TRANSHYDROGENASE (SUBUNIT BETA) PNTB 	14	79.9	72.5	1118.0	1015.7	-102.34	-0.14	0.81180	1.00000
Rv0158	-	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN (POSSIBLY TETR-FAMILY) 	16	104.4	140.0	1670.0	2240.8	570.77	0.42	0.21240	1.00000
Rv0159c	PE3	PE FAMILY PROTEIN 	50	119.7	134.1	5864.0	6572.1	708.13	0.16	0.64600	1.00000
Rv0160c	PE4	PE FAMILY PROTEIN 	42	78.0	87.8	3041.0	3422.4	381.41	0.17	0.70500	1.00000
Rv0161	-	POSSIBLE OXIDOREDUCTASE 	19	23.7	23.8	427.0	427.8	0.80	0.00	0.99760	1.00000
Rv0162c	adhE1	PROBABLE ZINC-TYPE ALCOHOL DEHYDROGENASE (E SUBUNIT) ADHE 	16	22.4	25.2	291.0	327.0	36.03	0.17	0.77590	1.00000
Rv0163	-	hypothetical protein Rv0163 	10	53.3	60.7	533.0	606.6	73.63	0.19	0.70900	1.00000
Rv0164	TB18.5	hypothetical protein Rv0164 	8	343.0	372.5	343.0	372.5	29.47	0.12	1.00000	1.00000
Rv0165c	-	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY GNTR-FAMILY) 	8	59.2	69.2	474.0	553.3	79.28	0.22	0.81550	1.00000
Rv0166	fadD5	acyl-CoA synthetase 	27	65.7	58.7	1709.0	1527.4	-181.56	-0.16	0.70430	1.00000
Rv0167	yrbE1A	CONSERVED HYPOTHETICAL INTEGRAL MEMBRANE PROTEIN YRBE1A 	7	47.9	34.0	335.0	238.1	-96.89	-0.49	0.49980	1.00000
Rv0168	yrbE1B	CONSERVED HYPOTHETICAL INTEGRAL MEMBRANE PROTEIN YRBE1B 	14	70.4	68.4	985.0	957.4	-27.64	-0.04	0.92970	1.00000
Rv0169	mce1A	MCE-FAMILY PROTEIN MCE1A 	39	73.8	83.4	2730.0	3084.5	354.51	0.18	0.68770	1.00000
Rv0170	mce1B	MCE-FAMILY PROTEIN MCE1B 	18	50.3	60.8	905.0	1093.7	188.71	0.27	0.47330	1.00000
Rv0171	mce1C	MCE-FAMILY PROTEIN MCE1C 	25	57.0	51.6	1426.0	1290.3	-135.68	-0.14	0.69360	1.00000
Rv0172	mce1D	MCE-FAMILY PROTEIN MCE1D 	33	70.8	72.7	2265.0	2327.7	62.71	0.04	0.92480	1.00000
Rv0173	lprK	POSSIBLE MCE-FAMILY LIPOPROTEIN LPRK (MCE-FAMILY LIPOPROTEIN MCE1E) 	16	77.0	87.1	1232.0	1394.1	162.06	0.18	0.69980	1.00000
Rv0174	mce1F	MCE-FAMILY PROTEIN MCE1F 	31	80.5	87.5	2416.0	2626.1	210.08	0.12	0.73650	1.00000
Rv0175	-	PROBABLE CONSERVED MCE ASSOCIATED MEMBRANE PROTEIN 	9	51.7	56.6	465.0	509.8	44.80	0.13	0.84040	1.00000
Rv0176	-	PROBABLE CONSERVED MCE ASSOCIATED TRANSMEMBRANE PROTEIN 	15	65.2	60.8	913.0	850.7	-62.34	-0.10	0.85160	1.00000
Rv0177	-	PROBABLE CONSERVED MCE ASSOCIATED PROTEIN 	12	42.1	30.7	505.0	368.5	-136.48	-0.45	0.38310	1.00000
Rv0178	-	PROBABLE CONSERVED MCE ASSOCIATED MEMBRANE PROTEIN 	11	66.0	60.8	660.0	607.6	-52.38	-0.12	0.84450	1.00000
Rv0179c	lprO	POSSIBLE LIPOPROTEIN LPRO 	22	59.9	67.6	1317.0	1487.9	170.92	0.18	0.69680	1.00000
