#Resampling
#GUI with: norm=TTR, samples=10000, pseudocounts=0.00, adaptive=False, histogram=False, includeZeros=False, output=/pacific/home/mdejesus/TRASH/Subbu/resampling_H37Rv_Rv0307c_day0_s10000_pc0.00.dat
#Control Data: /pacific/home/mdejesus/TRASH/Subbu/H37Rv_day0_rep1.wig,/pacific/home/mdejesus/TRASH/Subbu/H37Rv_day0_rep2.wig
#Experimental Data: /pacific/home/mdejesus/TRASH/Subbu/Rv0307c_day0_rep1.wig,/pacific/home/mdejesus/TRASH/Subbu/Rv0307c_day0_rep2.wig
#Annotation path: /pacific/home/mdejesus/TRASH/Subbu/H37Rv.prot_table
#Time: 1012.51782894
#Orf	Name	Desc	Sites	Mean Ctrl	Mean Exp	Sum Ctrl	Sum Exp	Delta Sum	log2FC	p-value	Adj. p-value
Rv0016c	pbpA	PROBABLE PENICILLIN-BINDING PROTEIN PBPA 	37	2.6	0.2	47.4	3.0	-44.42	-3.98	0.00030	0.00389
Rv0017c	rodA	PROBABLE CELL DIVISION PROTEIN RODA 	27	8.1	0.4	226.7	11.9	-214.82	-4.26	0.00000	0.00000
Rv0018c	ppp	POSSIBLE SERINE/THREONINE PHOSPHATASE PPP 	25	2.1	4.0	29.8	55.4	25.61	0.89	0.36670	0.68951
Rv0019c	-	hypothetical protein Rv0019c 	13	6.4	2.3	89.0	32.9	-56.12	-1.44	0.04100	0.17366
Rv0020c	TB39.8	hypothetical protein Rv0020c 	52	15.2	37.5	121.8	300.0	178.26	1.30	0.27500	0.63265
Rv0021c	-	hypothetical protein Rv0021c 	22	34.8	154.1	1323.0	5855.4	4532.37	2.15	0.48970	0.75384
Rv0022c	whiB5	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN WHIB-LIKE WHIB5 	8	19.6	17.9	235.1	214.3	-20.79	-0.13	0.88410	1.00000
Rv0023	-	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN 	12	0.0	0.0	0.0	0.0	0.00	0.00	1.00000	1.00000
Rv0024	-	PUTATIVE SECRETED PROTEIN P60-RELATED PROTEIN 	12	18.2	214.1	255.1	2997.0	2741.93	3.55	0.09890	0.32056
Rv0025	-	hypothetical protein Rv0025 	7	19.5	17.5	195.3	175.0	-20.22	-0.16	0.80550	1.00000
Rv0026	-	hypothetical protein Rv0026 	14	25.7	0.7	565.1	16.0	-549.17	-5.15	0.00000	0.00000
Rv0027	-	hypothetical protein Rv0027 	5	0.3	11.1	1.7	66.6	64.89	5.30	0.46090	0.75282
Rv0028	-	hypothetical protein Rv0028 	5	74.6	98.7	596.8	789.4	192.60	0.40	0.74190	0.97922
Rv0029	-	hypothetical protein Rv0029 	18	27.9	38.1	725.4	991.0	265.63	0.45	0.49880	0.75760
Rv0030	-	hypothetical protein Rv0030 	5	13.1	0.0	52.5	0.0	-52.51	-3.82	0.02880	0.13693
Rv0031	-	POSSIBLE REMNANT OF A TRANSPOSASE 	1	5.3	0.0	10.5	0.0	-10.53	-2.65	0.32960	0.66055
Rv0032	bioF2	POSSIBLE 8-AMINO-7-OXONONANOATE SYNTHASE BIOF2 (AONS) (8-AMINO-7-KETOPELARGONATE SYNTHASE) (7-KETO-8-AMINO-PELARGONIC ACID SYNTHETASE) (7-KAP SYNTHETASE) (L-ALANINE--PIMELYL CoA LIGASE) 	57	35.1	63.1	2317.9	4162.8	1844.95	0.84	0.21000	0.52263
Rv0033	acpA	PROBABLE ACYL CARRIER PROTEIN ACPA (ACP) 	3	36.4	27.6	218.6	165.8	-52.85	-0.40	0.62820	0.88584
Rv0034	-	hypothetical protein Rv0034 	5	19.5	46.9	194.7	469.2	274.49	1.27	0.38060	0.70547
Rv0035	fadD34	PROBABLE FATTY-ACID-CoA LIGASE FADD34 (FATTY-ACID-CoA SYNTHETASE) (FATTY-ACID-CoA SYNTHASE) 	25	24.1	55.8	962.7	2233.9	1271.15	1.21	0.05900	0.22657
Rv0036c	-	hypothetical protein Rv0036c 	4	24.7	25.7	98.7	102.7	4.05	0.06	0.94370	1.00000
Rv0037c	-	PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN 	20	46.1	236.9	1383.3	7108.3	5724.97	2.36	0.07990	0.27770
Rv0038	-	hypothetical protein Rv0038 	7	45.3	27.1	452.6	270.5	-182.01	-0.74	0.23560	0.56800
Rv0039c	-	POSSIBLE CONSERVED TRANSMEMBRANE PROTEIN 	4	42.7	0.3	256.5	1.9	-254.53	-7.06	0.01520	0.09106
Rv0040c	mtc28	SECRETED PROLINE RICH PROTEIN MTC28 (PROLINE RICH 28 KDA ANTIGEN) 	9	12.2	6.4	171.5	89.9	-81.59	-0.93	0.05730	0.22414
Rv0041	leuS	leucyl-tRNA synthetase 	72	0.0	0.0	0.0	0.0	0.00	0.00	1.00000	1.00000
Rv0042c	-	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY MARR-FAMILY) 	5	38.3	155.1	306.0	1241.1	935.11	2.02	0.09320	0.30682
Rv0043c	-	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY GNTR-FAMILY) 	10	16.9	26.9	202.9	323.1	120.22	0.67	0.58910	0.84717
Rv0044c	-	POSSIBLE OXIDOREDUCTASE 	20	34.4	32.7	894.1	849.4	-44.68	-0.07	0.91300	1.00000
Rv0045c	-	POSSIBLE HYDROLASE 	7	22.6	116.3	271.8	1395.8	1124.05	2.36	0.02710	0.13646
Rv0046c	ino1	MYO-INOSITOL-1-PHOSPHATE SYNTHASE INO1 (Inositol 1-phosphate synthetase) (D-glucose 6-phosphate cycloaldolase) (Glucose 6-phosphate cyclase) (Glucocycloaldolase) 	16	0.0	0.3	0.0	0.5	0.54	0.35	1.00000	1.00000
Rv0047c	-	hypothetical protein Rv0047c 	7	54.7	1085.5	547.3	10854.7	10307.44	4.31	0.47150	0.75282
Rv0048c	-	POSSIBLE MEMBRANE PROTEIN 	16	52.8	258.3	1373.8	6715.0	5341.28	2.29	0.05490	0.21753
Rv0049	-	hypothetical protein Rv0049 	8	77.1	0.3	925.8	3.6	-922.14	-8.00	0.00010	0.00156
Rv0050	ponA1	PROBABLE BIFUNCTIONAL PENICILLIN-BINDING PROTEIN 1A/1B PONA1 (MUREIN POLYMERASE) (PBP1): PENICILLIN-INSENSITIVE TRANSGLYCOSYLASE (PEPTIDOGLYCAN TGASE) + PENICILLIN-SENSITIVE TRANSPEPTIDASE (DD-TRANSPEPTIDASE) 	37	6.4	2.0	258.0	78.8	-179.17	-1.71	0.00130	0.01313
Rv0051	-	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN 	34	35.8	24.0	1361.2	912.6	-448.62	-0.58	0.26710	0.62033
Rv0052	-	hypothetical protein Rv0052 	7	57.1	1.3	685.6	16.0	-669.58	-5.42	0.00000	0.00000
Rv0053	rpsF	30S ribosomal protein S6 	6	0.0	0.0	0.0	0.0	0.00	0.00	1.00000	1.00000
Rv0054	ssb	single-strand DNA-binding protein 	5	0.0	0.0	0.0	0.0	0.00	0.00	1.00000	1.00000
Rv0055	rpsR	30S ribosomal protein S18 	4	129.0	8.3	258.1	16.5	-241.55	-3.97	0.33410	0.66055
Rv0056	rplI	50S ribosomal protein L9 	7	19.5	0.0	77.9	0.0	-77.86	-4.36	0.02890	0.13693
Rv0057	-	hypothetical protein Rv0057 	15	23.1	0.0	276.9	0.5	-276.34	-8.99	0.00000	0.00000
Rv0058	dnaB	replicative DNA helicase 	39	1.0	0.0	2.0	0.0	-2.00	-1.00	1.00000	1.00000
Rv0059	-	hypothetical protein Rv0059 	20	45.5	43.2	1457.0	1382.9	-74.10	-0.08	0.91780	1.00000
Rv0060	-	hypothetical protein Rv0060 	23	147.0	8.7	294.1	17.4	-276.65	-4.08	0.32820	0.66055
Rv0061	-	hypothetical protein Rv0061 	6	16.4	5.6	131.1	44.7	-86.41	-1.55	0.10460	0.33335
Rv0062	celA1	POSSIBLE CELLULASE CELA1 (ENDOGLUCANASE) (ENDO-1,4-BETA-GLUCANASE) (FI-CMCASE) (CARBOXYMETHYL CELLULASE) 	21	32.2	17.3	1030.0	554.2	-475.80	-0.89	0.17130	0.45956
Rv0063	-	POSSIBLE OXIDOREDUCTASE 	23	27.4	19.0	877.4	607.7	-269.67	-0.53	0.36520	0.68798
Rv0064	-	hypothetical protein Rv0064 	68	18.9	21.7	1286.7	1476.1	189.42	0.20	0.71960	0.96285
Rv0065	-	hypothetical protein Rv0065 	8	6.7	0.5	67.1	4.7	-62.40	-3.84	0.06550	0.24154
Rv0066c	icd2	PROBABLE ISOCITRATE DEHYDROGENASE 	38	1.5	0.0	30.4	0.0	-30.36	-1.33	0.00000	0.00000
Rv0067c	-	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN (POSSIBLY TETR-FAMILY) 	12	3.0	3.2	29.9	31.6	1.74	0.08	0.91040	1.00000
Rv0068	-	short chain dehydrogenase 	12	65.3	92.9	784.2	1114.3	330.15	0.51	0.55450	0.81309
Rv0069c	sdaA	PROBABLE L-SERINE DEHYDRATASE SDAA (L-SERINE DEAMINASE) (SDH) (L-SD) 	12	18.8	0.2	263.8	2.2	-261.58	-6.89	0.00000	0.00000
Rv0070c	glyA2	PROBABLE SERINE HYDROXYMETHYLTRANSFERASE GLYA2 (SERINE METHYLASE 2) (SHMT 2) 	18	29.6	10.1	711.4	241.9	-469.51	-1.56	0.03030	0.13880
Rv0071	-	POSSIBLE MATURASE 	8	34.3	32.0	342.9	319.6	-23.29	-0.10	0.90450	1.00000
Rv0072	-	PROBABLE GLUTAMINE-TRANSPORT TRANSMEMBRANE PROTEIN ABC TRANSPORTER 	16	56.0	164.5	1456.7	4275.8	2819.11	1.55	0.08640	0.29150
Rv0073	-	PROBABLE GLUTAMINE-TRANSPORT ATP-BINDING PROTEIN ABC TRANSPORTER 	15	29.4	5.8	646.3	128.5	-517.87	-2.33	0.02850	0.13693
Rv0074	-	hypothetical protein Rv0074 	19	11.1	9.0	356.5	289.4	-67.07	-0.30	0.64170	0.89719
Rv0075	-	PROBABLE AMINOTRANSFERASE 	24	26.4	39.2	1001.8	1489.5	487.66	0.57	0.42560	0.74036
Rv0076c	-	PROBABLE MEMBRANE PROTEIN 	3	60.5	87.4	363.1	524.3	161.10	0.53	0.70530	0.94976
Rv0077c	-	PROBABLE OXIDOREDUCTASE 	14	15.7	13.0	314.2	259.6	-54.67	-0.28	0.65360	0.90771
Rv0078	-	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN 	8	0.4	37.9	4.1	379.3	375.23	6.54	0.00370	0.02953
Rv0078A	-	hypothetical protein Rv0078A 	10	12.8	12.0	153.8	144.4	-9.45	-0.09	0.82620	1.00000
Rv0079	-	hypothetical protein Rv0079 	14	17.0	12.3	442.6	319.8	-122.79	-0.47	0.41900	0.74036
Rv0080	-	hypothetical protein Rv0080 	4	10.3	0.0	41.0	0.0	-41.05	-3.49	0.02770	0.13662
Rv0081	-	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN 	5	32.5	13.5	325.3	134.8	-190.47	-1.27	0.08630	0.29150
Rv0082	-	PROBABLE OXIDOREDUCTASE 	7	1.9	10.9	11.5	65.6	54.08	2.51	0.15510	0.42675
Rv0083	-	PROBABLE OXIDOREDUCTASE 	23	24.7	17.9	790.0	571.7	-218.32	-0.47	0.47020	0.75282
Rv0084	hycD	POSSIBLE FORMATE HYDROGENLYASE HYCD (FHL) 	9	16.6	8.6	199.4	102.8	-96.56	-0.96	0.21580	0.53315
Rv0085	hycP	POSSIBLE HYDROGENASE HYCP 	4	1.4	0.2	8.1	1.4	-6.76	-2.56	0.11470	0.35402
Rv0086	hycQ	POSSIBLE HYDROGENASE HYCQ 	15	15.9	0.0	223.2	0.5	-222.62	-8.68	0.00000	0.00000
Rv0087	hycE	POSSIBLE FORMATE HYDROGENASE HYCE (FHL) 	25	14.9	3.2	298.3	63.3	-235.03	-2.24	0.03340	0.14807
Rv0088	-	hypothetical protein Rv0088 	14	11.1	14.7	200.4	264.0	63.62	0.40	0.67930	0.92569
Rv0089	-	POSSIBLE METHYLTRANSFERASE/METHYLASE 	10	18.7	32.2	187.3	322.3	134.97	0.78	0.49820	0.75755
Rv0090	-	POSSIBLE MEMBRANE PROTEIN 	12	23.8	17.1	427.7	307.7	-119.98	-0.47	0.51750	0.77392
Rv0091	mtn	PROBABLE BIFUNCTIONAL MTA/SAH NUCLEOSIDASE MTN: 5'-METHYLTHIOADENOSINE NUCLEOSIDASE (METHYLTHIOADENOSINE METHYLTHIORIBOHYDROLASE) + S-ADENOSYLHOMOCYSTEINE NUCLEOSIDASE (S-ADENOSYL-L-HOMOCYSTEINE HOMOCYSTEINYLRIBOHYDROLASE) 	11	55.0	26.2	990.4	471.8	-518.58	-1.07	0.33210	0.66055
Rv0092	ctpA	PROBABLE CATION TRANSPORTER P-TYPE ATPASE A CTPA 	30	14.3	29.2	456.5	933.5	477.02	1.03	0.16670	0.45124
Rv0093c	-	PROBABLE CONSERVED MEMBRANE PROTEIN 	8	18.7	3.5	149.3	28.0	-121.33	-2.42	0.03890	0.16618
Rv0094c	-	hypothetical protein Rv0094c 	14	16.1	13.2	417.5	342.7	-74.76	-0.28	0.44300	0.74707
Rv0095c	-	hypothetical protein Rv0095c 	9	7.4	0.0	29.5	0.0	-29.52	-3.07	0.00960	0.06395
Rv0096	PPE1	PPE FAMILY PROTEIN 	34	45.4	13.6	1814.0	543.3	-1270.72	-1.74	0.00150	0.01446
Rv0097	-	POSSIBLE OXIDOREDUCTASE 	26	23.7	74.7	854.2	2689.2	1835.00	1.65	0.04940	0.20154
Rv0098	-	hypothetical protein Rv0098 	11	28.3	4.6	339.7	54.8	-284.85	-2.63	0.02080	0.11416
Rv0099	fadD10	acyl-CoA synthetase 	32	7.7	10.7	185.9	257.4	71.56	0.47	0.59380	0.85133
Rv0100	-	hypothetical protein Rv0100 	3	12.4	9.2	49.7	36.8	-12.93	-0.43	0.65410	0.90774
Rv0101	nrp	PROBABLE PEPTIDE SYNTHETASE NRP (PEPTIDE SYNTHASE) 	122	16.8	26.2	2049.2	3193.7	1144.52	0.64	0.07310	0.26206
Rv0102	-	PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN 	42	2.0	0.0	4.1	0.0	-4.07	-1.60	0.33210	0.66055
Rv0103c	ctpB	PROBABLE CATION-TRANSPORTER P-TYPE ATPASE B CTPB 	30	39.9	29.5	1755.4	1299.7	-455.72	-0.43	0.42620	0.74036
Rv0104	-	hypothetical protein Rv0104 	27	35.0	26.0	1469.5	1091.3	-378.23	-0.43	0.30010	0.66055
Rv0105c	rpmB	50S ribosomal protein L28 	5	44.5	0.3	178.1	1.1	-177.03	-7.36	0.03120	0.14157
Rv0106	-	hypothetical protein Rv0106 	12	14.4	9.8	258.5	176.2	-82.27	-0.55	0.35420	0.67491
Rv0107c	ctpI	PROBABLE CATION-TRANSPORTER ATPASE I CTPI 	65	31.9	11.2	2104.7	738.8	-1365.83	-1.51	0.00160	0.01513
Rv0108c	-	hypothetical protein Rv0108c 	2	9.4	0.2	37.7	0.8	-36.90	-5.48	0.02770	0.13662
Rv0109	PE_PGRS1	PE-PGRS FAMILY PROTEIN 	27	22.6	6.1	587.8	157.4	-430.41	-1.90	0.00520	0.03944
Rv0110	-	PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN 	13	36.6	52.7	879.6	1264.6	385.07	0.52	0.55060	0.80828
Rv0111	-	POSSIBLE TRANSMEMBRANE ACYLTRANSFERASE 	42	28.5	58.6	1708.2	3515.7	1807.54	1.04	0.30310	0.66055
Rv0112	gca	POSSIBLE GDP-MANNOSE 4,6-DEHYDRATASE GCA (GDP-D-MANNOSE DEHYDRATASE) 	31	12.0	19.2	337.3	538.0	200.68	0.67	0.50060	0.75849
Rv0113	gmhA	PROBABLE SEDOHEPTULOSE-7-PHOSPHATE ISOMERASE GMHA (PHOSPHOHEPTOSE ISOMERASE) 	12	23.1	7.2	138.5	43.1	-95.38	-1.68	0.07170	0.25843
Rv0114	gmhB	POSSIBLE D-ALPHA,BETA-D-HEPTOSE-1,7-BIPHOSPHATE PHOSPHATASE GMHB (D-GLYCERO-D-MANNO-HEPTOSE 7-PHOSPHATE KINASE) 	9	51.8	55.2	725.2	773.2	48.04	0.09	0.88970	1.00000
Rv0115	hddA	POSSIBLE D-ALPHA-D-HEPTOSE-7-PHOSPHATE KINASE HDDA 	18	27.8	122.0	666.4	2927.2	2260.81	2.14	0.47820	0.75282
Rv0116c	-	POSSIBLE CONSERVED MEMBRANE PROTEIN 	17	40.7	7.0	976.3	168.2	-808.11	-2.54	0.00090	0.00976
Rv0117	oxyS	OXIDATIVE STRESS RESPONSE REGULATORY PROTEIN OXYS 	17	10.5	189.2	209.0	3784.4	3575.42	4.18	0.05860	0.22634
Rv0118c	oxcA	putative oxalyl-CoA decarboxylase 	26	15.2	0.2	454.5	5.2	-449.28	-6.44	0.00000	0.00000
Rv0119	fadD7	acyl-CoA synthetase 	13	7.1	0.0	28.4	0.0	-28.44	-3.02	0.14310	0.40638
Rv0120c	fusA2	elongation factor G 	27	18.4	0.4	405.0	9.6	-395.31	-5.39	0.00000	0.00000
Rv0121c	-	hypothetical protein Rv0121c 	10	14.6	0.0	87.8	0.0	-87.79	-3.97	0.00100	0.01070
Rv0122	-	hypothetical protein Rv0122 	9	23.7	0.8	142.1	4.7	-137.35	-4.92	0.00230	0.01974
Rv0123	-	hypothetical protein Rv0123 	8	0.0	0.0	0.0	0.0	0.00	0.00	1.00000	1.00000
Rv0124	PE_PGRS2	PE-PGRS FAMILY PROTEIN 	13	25.0	19.5	250.0	194.6	-55.33	-0.36	0.65530	0.90849
Rv0125	pepA	PROBABLE SERINE PROTEASE PEPA (SERINE PROTEINASE) (MTB32A) 	10	12.4	1.8	222.8	32.3	-190.54	-2.79	0.00000	0.00000
Rv0126	treS	TREHALOSE SYNTHASE TRES 	31	11.5	0.3	115.5	3.3	-112.14	-5.12	0.12910	0.38298
Rv0127	-	hypothetical protein Rv0127 	30	0.0	0.0	0.0	0.0	0.00	0.00	1.00000	1.00000
Rv0128	-	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN 	19	42.6	38.1	1364.2	1219.4	-144.82	-0.16	0.71800	0.96135
Rv0129c	fbpC	SECRETED ANTIGEN 85-C FBPC (85C) (ANTIGEN 85 COMPLEX C) (AG58C) (MYCOLYL TRANSFERASE 85C) (FIBRONECTIN-BINDING PROTEIN C) 	28	13.0	2.5	494.7	94.7	-400.00	-2.38	0.00010	0.00156
Rv0130	-	hypothetical protein Rv0130 	4	6.8	104.7	41.0	628.4	587.47	3.94	0.05880	0.22646
Rv0131c	fadE1	PROBABLE ACYL-CoA DEHYDROGENASE FADE1 	18	19.6	18.2	547.5	509.6	-37.90	-0.10	0.90000	1.00000
Rv0132c	fgd2	PUTATIVE F420-DEPENDENT GLUCOSE-6-PHOSPHATE DEHYDROGENASE FGD2 	15	45.0	34.2	810.4	615.3	-195.10	-0.40	0.62450	0.88235
Rv0133	-	PROBABLE ACETYLTRANSFERASE 	7	8.8	64.4	123.2	901.4	778.19	2.87	0.09960	0.32205
Rv0134	ephF	POSSIBLE EPOXIDE HYDROLASE EPHF (EPOXIDE HYDRATASE) (ARENE-OXIDE HYDRATASE) 	12	44.6	30.4	802.2	546.8	-255.33	-0.55	0.50750	0.76444
Rv0135c	-	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN 	11	10.5	2.9	147.1	41.2	-105.93	-1.84	0.04670	0.19329
Rv0136	cyp138	PROBABLE CYTOCHROME P450 138 CYP138 	23	32.2	43.8	1161.0	1576.6	415.58	0.44	0.44360	0.74777
Rv0137c	msrA	methionine sulfoxide reductase A 	11	30.4	33.1	425.5	463.9	38.44	0.12	0.85050	1.00000
Rv0138	-	hypothetical protein Rv0138 	6	61.3	149.9	736.1	1798.6	1062.49	1.29	0.07450	0.26517
Rv0139	-	POSSIBLE OXIDOREDUCTASE 	12	39.4	119.9	787.5	2398.1	1610.58	1.61	0.48870	0.75384
Rv0140	-	hypothetical protein Rv0140 	15	27.2	140.2	599.4	3083.6	2484.18	2.36	0.45290	0.75107
Rv0141c	-	hypothetical protein Rv0141c 	9	59.8	0.1	239.2	0.5	-238.67	-8.78	0.02750	0.13646
Rv0142	-	hypothetical protein Rv0142 	6	12.1	0.0	72.7	0.0	-72.72	-3.71	0.00270	0.02263
Rv0143c	-	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN 	27	37.9	57.0	1137.5	1709.6	572.16	0.59	0.40810	0.73117
Rv0144	-	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN (POSSIBLY TETR-FAMILY) 	14	35.3	27.1	776.3	597.0	-179.32	-0.38	0.60730	0.86324
Rv0145	-	hypothetical protein Rv0145 	15	31.5	54.7	629.6	1094.8	465.11	0.80	0.48960	0.75384
Rv0146	-	hypothetical protein Rv0146 	16	27.0	27.8	702.2	722.5	20.38	0.04	0.93750	1.00000
Rv0147	-	PROBABLE ALDEHYDE DEHYDROGENASE (NAD+) DEPENDENT 	26	34.3	37.9	1578.1	1741.3	163.16	0.14	0.77220	1.00000
Rv0148	-	PROBABLE SHORT-CHAIN TYPE DEHYDROGENASE/REDUCTASE 	16	19.4	35.3	619.7	1129.2	509.51	0.87	0.12340	0.37132
Rv0149	-	POSSIBLE QUINONE OXIDOREDUCTASE (NADPH:QUINONE OXIDOREDUCTASE) (ZETA-CRYSTALLIN) 	21	39.0	30.8	1247.4	986.6	-260.73	-0.34	0.52550	0.78193
Rv0150c	-	hypothetical protein Rv0150c 	4	0.0	0.0	0.0	0.0	0.00	0.00	1.00000	1.00000
Rv0151c	PE1	PE FAMILY PROTEIN 	44	36.8	108.4	2577.2	7587.9	5010.67	1.56	0.25200	0.59743
Rv0152c	PE2	PE FAMILY PROTEIN 	40	48.5	62.9	3197.7	4153.2	955.47	0.38	0.39680	0.72162
Rv0153c	ptbB	PHOSPHOTYROSINE PROTEIN PHOSPHATASE PTPB (PROTEIN-TYROSINE-PHOSPHATASE) (PTPase) 	11	30.4	2.0	425.1	28.2	-396.89	-3.91	0.00150	0.01446
Rv0154c	fadE2	PROBABLE ACYL-CoA DEHYDROGENASE FADE2 	12	48.0	5.6	959.5	111.1	-848.45	-3.11	0.00000	0.00000
Rv0155	pntAa	PROBABLE NAD(P) TRANSHYDROGENASE (SUBUNIT ALPHA) PNTAA 	10	4.3	3.0	68.5	48.1	-20.41	-0.51	0.45290	0.75107
Rv0156	pntAb	PROBABLE NAD(P) TRANSHYDROGENASE (SUBUNIT ALPHA) PNTAB 	1	10.6	17.0	21.3	33.9	12.63	0.67	0.32840	0.66055
Rv0157	pntB	PROBABLE NAD(P) TRANSHYDROGENASE (SUBUNIT BETA) PNTB 	14	11.1	5.6	244.2	122.8	-121.37	-0.99	0.03000	0.13774
Rv0158	-	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN (POSSIBLY TETR-FAMILY) 	16	25.3	109.8	709.0	3073.6	2364.59	2.12	0.06270	0.23396
Rv0159c	PE3	PE FAMILY PROTEIN 	50	78.8	128.0	6143.0	9987.3	3844.30	0.70	0.13140	0.38693
Rv0160c	PE4	PE FAMILY PROTEIN 	42	37.6	28.5	2178.1	1654.5	-523.66	-0.40	0.30270	0.66055
Rv0161	-	POSSIBLE OXIDOREDUCTASE 	19	13.9	0.8	304.8	18.5	-286.27	-4.04	0.00000	0.00000
Rv0162c	adhE1	PROBABLE ZINC-TYPE ALCOHOL DEHYDROGENASE (E SUBUNIT) ADHE 	16	11.9	20.8	238.4	415.7	177.38	0.80	0.22260	0.54556
Rv0163	-	hypothetical protein Rv0163 	10	35.4	68.9	424.3	826.8	402.58	0.96	0.48640	0.75384
Rv0164	TB18.5	hypothetical protein Rv0164 	8	34.6	0.9	138.3	3.8	-134.49	-5.19	0.25910	0.60777
Rv0165c	-	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY GNTR-FAMILY) 	8	22.1	38.9	309.9	544.5	234.56	0.81	0.46880	0.75282
Rv0166	fadD5	acyl-CoA synthetase 	27	32.5	85.0	1430.9	3739.5	2308.60	1.39	0.21320	0.52828
Rv0167	yrbE1A	CONSERVED HYPOTHETICAL INTEGRAL MEMBRANE PROTEIN YRBE1A 	7	20.3	29.3	162.3	234.1	71.82	0.53	0.58670	0.84449
Rv0168	yrbE1B	CONSERVED HYPOTHETICAL INTEGRAL MEMBRANE PROTEIN YRBE1B 	14	25.7	43.3	564.4	951.5	387.13	0.75	0.22510	0.55034
Rv0169	mce1A	MCE-FAMILY PROTEIN MCE1A 	39	25.1	74.0	1603.8	4733.1	3129.28	1.56	0.00870	0.05914
