"","Orf","Name","Desc","Sites","Sites_Hit","B6","B6_pval","B6_Qval","DBA","DBA_pval","DBA_Qval","BXD9","BXD9_pval","BXD9_Qval","BXD29","BXD29_pval","BXD29_Qval","BXD39","BXD39_pval","BXD39_Qval","BXD40","BXD40_pval","BXD40_Qval","BXD48a","BXD48a_pval","BXD48a_Qval","BXD51","BXD51_pval","BXD51_Qval","BXD54","BXD54_pval","BXD54_Qval","BXD56","BXD56_pval","BXD56_Qval","BXD60","BXD60_pval","BXD60_Qval","BXD62","BXD62_pval","BXD62_Qval","BXD67","BXD67_pval","BXD67_Qval","BXD69","BXD69_pval","BXD69_Qval","BXD73","BXD73_pval","BXD73_Qval","BXD73b","BXD73b_pval","BXD73b_Qval","BXD77","BXD77_pval","BXD77_Qval","BXD79","BXD79_pval","BXD79_Qval","BXD90","BXD90_pval","BXD90_Qval","BXD93","BXD93_pval","BXD93_Qval","BXD102","BXD102_pval","BXD102_Qval"
"11","Rv0011c","-","putative septation inhibitor protein ",3,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1
"12","Rv0012","-","PROBABLE CONSERVED MEMBRANE PROTEIN ",16,12,0.69,0.2307,1,-0.68,0.2849,0.83601,-0.14,0.8323,1,-0.71,0.2341,1,-3.41,0.003,0.09208,-1.26,0.0569,0.65281,-0.41,0.5858,1,0.66,0.2744,1,0.52,0.2745,1,-0.15,0.7817,1,-0.42,0.4557,1,0.52,0.2683,0.8269,-0.44,0.4579,1,-1.03,0.1076,0.86012,-1.53,0.0326,0.50222,-0.45,0.5258,1,-0.95,0.1266,1,-1.06,0.0948,0.92482,-0.29,0.592,1,-2.17,0.0111,0.2352,-1.96,0.0147,0.28893
"13","Rv0013","trpG","para-aminobenzoate synthase component II ",15,3,0.06,0.9639,1,-0.13,0.9129,1,-2.04,0.2063,0.99131,0.03,0.9799,1,1.38,0.2092,0.85217,-0.99,0.4186,1,-0.47,0.7773,1,-2.71,0.2324,1,-2.74,0.0918,0.76718,-0.65,0.5571,1,-0.25,0.817,1,-2.73,0.164,0.70221,0.82,0.6009,1,0.29,0.7696,1,-0.67,0.5426,1,-1.65,0.2913,0.97173,0.7,0.4701,1,0.29,0.788,1,1,0.2877,1,-0.84,0.4825,1,0.12,0.9211,1
"14","Rv0014c","pknB","TRANSMEMBRANE SERINE/THREONINE-PROTEIN KINASE B PKNB (PROTEIN KINASE B) (STPK B) ",24,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0.3,0.2883,0.99933
"15","Rv0015c","pknA","TRANSMEMBRANE SERINE/THREONINE-PROTEIN KINASE A PKNA (PROTEIN KINASE A) (STPK A) ",16,1,1.12,0.2457,1,0.25,0.7697,1,-0.62,0.6049,1,-0.74,0.5386,1,0.95,0.3725,0.96889,-1.57,0.3324,1,1.2,0.1988,1,0.2,0.8943,1,1.27,0.2371,1,-0.73,0.5625,1,2.39,0.0728,0.73724,-1.57,0.3281,0.85444,1.02,0.5163,1,-1.27,0.347,1,1.95,0.2155,1,-1.2,0.3509,0.99935,-0.03,0.9638,1,-0.7,0.5981,1,0.43,0.6503,1,0.1,0.9447,1,-0.63,0.5856,1
"16","Rv0016c","pbpA","PROBABLE PENICILLIN-BINDING PROTEIN PBPA ",37,18,-0.48,0.6112,1,0.36,0.6005,0.99958,0.33,0.7174,1,0.06,0.9461,1,-1.14,0.2846,0.91725,0.2,0.8177,1,-0.3,0.7937,1,1.1,0.2041,1,-0.86,0.3809,1,0.44,0.5528,1,-1.16,0.2822,1,0.02,0.9752,1,-1.28,0.2556,1,-0.39,0.6994,1,-0.17,0.8421,1,-0.35,0.7214,1,0.61,0.3988,1,-0.67,0.4719,1,-0.99,0.3308,1,-0.09,0.9229,1,0.22,0.7804,1
"17","Rv0017c","rodA","PROBABLE CELL DIVISION PROTEIN RODA ",27,19,-0.16,0.7423,1,0.75,0.058,0.44232,0.14,0.784,1,0.48,0.2767,1,-0.41,0.4302,0.99362,0.41,0.3491,1,0.05,0.9375,1,0.22,0.7647,1,0.05,0.9125,1,0.53,0.1699,0.91116,-0.15,0.7729,1,-1.21,0.0351,0.35455,-1.16,0.0409,0.44345,-0.63,0.2404,1,-0.43,0.3749,1,-1.29,0.0441,0.494,0.5,0.2252,1,-0.72,0.1515,1,-0.61,0.2108,1,-0.7,0.2412,0.92183,-0.04,0.9326,1
"18","Rv0018c","ppp","POSSIBLE SERINE/THREONINE PHOSPHATASE PPP ",25,12,-1.77,0.0064,0.20107,-2.02,0.0037,0.08112,0.13,0.8204,1,-2.22,0.0032,0.11503,-3.51,3e-04,0.0164,-1.08,0.0483,0.58877,-1.71,0.0544,1,-1.45,0.0924,1,-0.98,0.0807,0.72034,-1.44,0.015,0.27708,0.03,0.9555,1,-0.58,0.2591,0.81789,-2.3,0.0025,0.07733,-1.83,0.0063,0.14874,-2.71,0.0013,0.05347,-1.71,0.008,0.18776,-1.07,0.0502,0.63385,-1.77,0.0074,0.16872,-1.93,0.0051,0.14963,-1.03,0.1126,0.68696,-1.39,0.0319,0.44303
"19","Rv0019c","-","hypothetical protein Rv0019c ",13,12,-1.77,0.0028,0.12277,0.15,0.7219,1,-0.22,0.6061,1,-1.28,0.0192,0.3648,-1.91,0.0026,0.08366,-0.26,0.5468,1,-0.54,0.3778,1,-0.85,0.2208,1,-0.05,0.9058,1,-0.58,0.1884,0.94413,-0.12,0.8169,1,0.57,0.3349,0.85988,-1.92,0.0024,0.07481,-0.64,0.1989,1,-0.64,0.1635,1,-0.06,0.914,1,-0.02,0.9692,1,-0.34,0.4367,1,-0.71,0.1536,1,-0.32,0.5593,1,-0.94,0.0612,0.61755
"20","Rv0020c","TB39.8","hypothetical protein Rv0020c ",52,8,0.39,0.469,1,-0.01,0.9919,1,0.57,0.3241,1,0.49,0.3808,1,0.7,0.1704,0.78921,0.47,0.3858,1,0.09,0.9043,1,0.19,0.7956,1,-0.42,0.4925,1,0.5,0.3474,1,0.73,0.1487,0.92361,0.71,0.1783,0.72446,0.94,0.105,0.74556,-0.3,0.6124,1,-0.08,0.8895,1,0.67,0.2711,0.95725,0.7,0.1773,1,0.25,0.6333,1,0.7,0.1667,1,-0.15,0.8079,1,0.07,0.9112,1
"21","Rv0021c","-","hypothetical protein Rv0021c ",22,21,0.09,0.7347,1,0.39,0.1331,0.65309,0.22,0.4516,1,-0.02,0.9469,1,0.1,0.734,1,0.22,0.4054,1,0.07,0.8522,1,-0.21,0.6177,1,0.01,0.9691,1,0.27,0.294,1,-0.03,0.9021,1,0.57,0.0565,0.44534,0.34,0.2108,0.99279,0.08,0.7693,1,0.19,0.4755,1,0.09,0.764,1,0.16,0.5437,1,0.17,0.5421,1,-0.09,0.7374,1,0.57,0.0545,0.5126,0.38,0.1602,0.90167
"22","Rv0022c","whiB5","PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN WHIB-LIKE WHIB5 ",8,7,-0.19,0.5754,1,-0.14,0.7102,1,0.27,0.4251,1,-0.48,0.157,1,0.02,0.9605,1,-0.3,0.4041,1,-0.05,0.9137,1,0.63,0.1181,1,0.03,0.9377,1,-0.32,0.3923,1,-0.07,0.8353,1,0.13,0.6985,1,-0.27,0.4482,1,0.12,0.6809,1,-0.52,0.1348,0.99678,-0.13,0.7353,1,-0.16,0.6227,1,-0.17,0.5854,1,-0.15,0.6131,1,-0.42,0.3306,0.95977,-0.28,0.4621,1
"23","Rv0023","-","POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN ",12,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1
"24","Rv0024","-","PUTATIVE SECRETED PROTEIN P60-RELATED PROTEIN ",12,11,-0.38,0.3938,1,-1,0.045,0.38948,-0.45,0.3314,1,-0.07,0.8604,1,-0.2,0.6499,1,-0.59,0.1975,1,-0.75,0.2252,1,-0.24,0.6538,1,-0.72,0.13,0.85736,-0.66,0.1378,0.84588,-0.58,0.2143,1,-0.41,0.3402,0.86458,-0.46,0.2943,1,-0.63,0.1643,1,-0.36,0.3955,1,-0.51,0.2821,0.96533,-0.43,0.3157,1,-0.62,0.1741,1,-0.31,0.4417,1,-0.42,0.3799,0.97794,-0.49,0.2756,0.99933
"25","Rv0025","-","hypothetical protein Rv0025 ",7,6,-0.22,0.7566,1,0.35,0.5136,0.9791,0.06,0.9393,1,-0.89,0.244,1,0.42,0.5038,1,-0.07,0.9124,1,-0.12,0.8906,1,-0.34,0.715,1,-0.17,0.796,1,-0.2,0.7698,1,-0.17,0.7964,1,0.3,0.6327,1,-0.13,0.8436,1,-0.07,0.913,1,0.3,0.6005,1,-1.22,0.1411,0.79187,0.17,0.7789,1,0.14,0.824,1,-0.36,0.6169,1,-0.29,0.6846,1,-0.6,0.4275,1
"26","Rv0026","-","hypothetical protein Rv0026 ",14,12,0.07,0.8357,1,-0.35,0.2931,0.84192,0.3,0.3644,1,0.09,0.7662,1,0.51,0.0727,0.58919,-0.08,0.8085,1,0.11,0.7976,1,0.47,0.2166,1,0.1,0.7722,1,-0.13,0.6912,1,0.2,0.5323,1,-0.13,0.7428,1,-0.15,0.6426,1,0.16,0.6189,1,-0.1,0.7437,1,-0.77,0.0592,0.57709,-0.04,0.8978,1,0.15,0.6184,1,0,0.9949,1,-0.4,0.2652,0.93733,-0.27,0.4383,1
"27","Rv0027","-","hypothetical protein Rv0027 ",5,4,0.96,0.1973,1,-0.58,0.3799,0.89852,-1.09,0.1961,0.99131,0.58,0.4305,1,0.7,0.3963,0.98202,-0.34,0.6325,1,0.41,0.6775,1,-1.22,0.2913,1,0.34,0.5272,1,-0.48,0.4815,1,0.55,0.5519,1,-0.03,0.9619,1,-0.5,0.52,1,-0.61,0.3971,1,0.28,0.6397,1,-3.37,0.0151,0.28419,-0.25,0.711,1,-0.74,0.3344,1,-0.15,0.8074,1,-0.93,0.2477,0.93222,-0.92,0.2838,0.99933
"28","Rv0028","-","hypothetical protein Rv0028 ",5,4,-0.48,0.4654,1,-0.13,0.8228,1,-0.27,0.68,1,0.18,0.7412,1,0.01,0.9778,1,-0.55,0.4141,1,-0.16,0.8158,1,0.06,0.9296,1,-0.38,0.5544,1,-0.42,0.5071,1,-0.43,0.4847,1,-0.03,0.9645,1,-0.28,0.6773,1,-0.18,0.7602,1,-0.14,0.8124,1,-0.04,0.9576,1,-0.2,0.7349,1,-0.29,0.6421,1,-0.15,0.8133,1,-0.11,0.8572,1,0.03,0.9521,1
"29","Rv0029","-","hypothetical protein Rv0029 ",18,15,-0.06,0.8682,1,0.09,0.8003,1,-0.06,0.8681,1,-0.24,0.5198,1,0.18,0.643,1,0.1,0.78,1,-0.03,0.9486,1,0.58,0.2266,1,0,0.9992,1,0.08,0.8189,1,0,0.9913,1,0.56,0.1407,0.67072,0.33,0.3684,1,-0.15,0.6785,1,-0.48,0.2297,1,0.12,0.7629,1,0.05,0.8971,1,-0.06,0.8584,1,-0.05,0.8855,1,0.57,0.1358,0.75106,-0.16,0.6647,1
"30","Rv0030","-","hypothetical protein Rv0030 ",5,3,0.26,0.7624,1,-0.28,0.7371,1,0.67,0.4603,1,-0.39,0.7127,1,0.81,0.3407,0.94257,0.13,0.8704,1,0.17,0.8714,1,0.71,0.4762,1,0.75,0.3011,1,-0.1,0.9084,1,-0.47,0.6187,1,-0.22,0.7968,1,-0.48,0.6461,1,0.11,0.8933,1,0.59,0.4387,1,0.14,0.884,1,0.11,0.8761,1,0.2,0.7935,1,0.67,0.3387,1,0.25,0.7782,1,0.08,0.932,1
"31","Rv0031","-","POSSIBLE REMNANT OF A TRANSPOSASE ",1,1,-1.28,0.2146,1,-0.21,0.7273,1,-2.99,0.0253,0.39279,-0.7,0.3497,1,-3.67,0.0442,0.46761,0.95,0.2062,1,-2.63,0.172,1,-5.65,0.1623,1,-2.59,0.0464,0.58714,-0.62,0.4738,1,-1.46,0.1912,1,-5.66,0.0492,0.40978,0.07,1,1,-1.35,0.1438,0.97286,0.99,0.2987,1,-3.21,0.016,0.29151,0.71,0.0819,0.819,1.73,0.0505,0.66064,-1,0.1388,1,-5.66,0.0461,0.48661,-5.66,0.038,0.49068
"32","Rv0032","bioF2","POSSIBLE 8-AMINO-7-OXONONANOATE SYNTHASE BIOF2 (AONS) (8-AMINO-7-KETOPELARGONATE SYNTHASE) (7-KETO-8-AMINO-PELARGONIC ACID SYNTHETASE) (7-KAP SYNTHETASE) (L-ALANINE--PIMELYL CoA LIGASE) ",57,39,0.04,0.8672,1,0.04,0.8377,1,0.04,0.8639,1,0.03,0.8845,1,0.22,0.2896,0.92145,-0.04,0.8463,1,-0.17,0.5692,1,-0.12,0.69,1,-0.07,0.7454,1,-0.13,0.5516,1,-0.18,0.4428,1,0.13,0.545,0.969,-0.07,0.7636,1,0.03,0.8861,1,0.02,0.9195,1,0.05,0.8174,1,0.05,0.809,1,0.05,0.8256,1,-0.06,0.7968,1,0.03,0.8911,1,-0.07,0.7517,1
"33","Rv0033","acpA","PROBABLE ACYL CARRIER PROTEIN ACPA (ACP) ",3,3,-0.53,0.22,1,-0.12,0.7756,1,-1.45,0.0075,0.1894,0.3,0.5198,1,-0.16,0.6851,1,-0.26,0.5353,1,-0.37,0.5027,1,-0.59,0.3244,1,-0.11,0.7849,1,-0.44,0.2938,1,-0.24,0.5879,1,0.61,0.1427,0.67461,-0.77,0.1159,0.7878,-0.1,0.7938,1,0,0.9988,1,0.27,0.6039,1,-0.59,0.2009,1,-0.22,0.5843,1,0.28,0.3618,1,0.03,0.9561,1,0.02,0.9568,1
"34","Rv0034","-","hypothetical protein Rv0034 ",5,5,-0.62,0.3082,1,-1.2,0.0793,0.51785,-0.57,0.3747,1,-0.29,0.633,1,-1.4,0.0628,0.55158,-0.22,0.7,1,-1.32,0.1687,1,0.12,0.8688,1,0.06,0.9148,1,-0.67,0.268,1,-0.01,0.9933,1,-0.27,0.6092,0.99253,-0.48,0.4235,1,-0.6,0.3035,1,-0.25,0.6608,1,0.36,0.573,1,-0.55,0.3503,1,-0.2,0.7219,1,-0.2,0.7032,1,-0.24,0.6513,1,-0.5,0.4176,1
"35","Rv0035","fadD34","PROBABLE FATTY-ACID-CoA LIGASE FADD34 (FATTY-ACID-CoA SYNTHETASE) (FATTY-ACID-CoA SYNTHASE) ",25,21,0.17,0.4806,1,-0.07,0.784,1,-0.08,0.7529,1,0.02,0.9264,1,0.22,0.3473,0.9481,-0.02,0.928,1,0.06,0.8371,1,-0.58,0.1217,1,-0.17,0.4931,1,-0.08,0.7225,1,0.14,0.5606,1,0.02,0.9333,1,-0.19,0.4631,1,0.11,0.628,1,-0.25,0.3152,1,0.1,0.7052,1,-0.05,0.8308,1,0.16,0.5055,1,-0.04,0.8686,1,0.16,0.4982,1,-0.03,0.9096,1
"36","Rv0036c","-","hypothetical protein Rv0036c ",4,3,0.1,0.8534,1,-0.53,0.3999,0.91619,0.07,0.915,1,-0.09,0.8697,1,-0.61,0.3496,0.94827,0.07,0.8916,1,-0.11,0.9062,1,0.1,0.9026,1,0.61,0.2207,0.99033,-0.14,0.8141,1,-0.15,0.8051,1,0.33,0.5534,0.97075,0.92,0.2724,1,0.1,0.8651,1,0.2,0.7151,1,-0.64,0.3576,1,-0.14,0.8029,1,-0.12,0.8262,1,0.15,0.7733,1,0.03,0.9573,1,-0.23,0.7327,1
"37","Rv0037c","-","PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN ",20,19,-0.28,0.4058,1,0.01,0.9799,1,-0.41,0.2839,1,-0.2,0.5514,1,-0.36,0.3262,0.933,-0.24,0.4835,1,0.1,0.8035,1,-0.28,0.5557,1,-0.12,0.7194,1,0.04,0.8927,1,0.33,0.2836,1,0.17,0.6202,0.99614,0.42,0.2122,0.99283,-0.24,0.4816,1,-0.08,0.8047,1,0.54,0.0669,0.59452,0.17,0.5716,1,0.05,0.882,1,-0.07,0.8375,1,-0.47,0.2164,0.8921,0.33,0.2826,0.99933
"38","Rv0038","-","hypothetical protein Rv0038 ",7,6,0.19,0.7178,1,-0.24,0.608,1,-0.44,0.4345,1,-0.72,0.1806,1,-0.92,0.0903,0.62013,-0.82,0.1418,0.95079,-0.85,0.2536,1,-0.37,0.5894,1,-0.87,0.1098,0.8235,-0.73,0.1587,0.88741,-0.48,0.3376,1,-0.36,0.4923,0.94872,-0.61,0.2227,1,-0.18,0.6883,1,-0.82,0.1243,0.9593,-0.03,0.9559,1,-0.51,0.2927,1,-0.4,0.4003,1,-0.63,0.2119,1,-1.37,0.0275,0.37449,-0.67,0.2039,0.96279
"39","Rv0039c","-","POSSIBLE CONSERVED TRANSMEMBRANE PROTEIN ",4,4,-0.28,0.5863,1,-0.78,0.1861,0.73884,0.16,0.7395,1,-0.4,0.4355,1,-0.5,0.3831,0.97251,-0.38,0.4957,1,-0.83,0.3137,1,-0.48,0.5263,1,-1.01,0.1154,0.83664,-0.41,0.458,1,-0.51,0.3527,1,-0.59,0.2993,0.83687,-0.52,0.3465,1,-0.53,0.3404,1,-0.02,0.9695,1,-0.5,0.3839,1,-0.48,0.3751,1,-0.16,0.7508,1,-0.25,0.6067,1,-0.41,0.4702,1,-0.5,0.3785,1
"40","Rv0040c","mtc28","SECRETED PROLINE RICH PROTEIN MTC28 (PROLINE RICH 28 KDA ANTIGEN) ",9,7,0,0.9939,1,-0.8,0.0716,0.49598,-1.06,0.0362,0.48632,-0.33,0.4572,1,-0.87,0.0854,0.60631,-0.7,0.1282,0.91343,-0.73,0.2358,1,1.08,0.0413,0.84435,-1,0.0447,0.57907,-0.66,0.1223,0.80257,-0.59,0.2086,1,-0.67,0.17,0.714,-0.57,0.1899,0.9756,-1.3,0.0133,0.25582,-0.48,0.2804,1,-0.74,0.1645,0.83079,-1.01,0.0368,0.53539,-1.28,0.0126,0.2417,-0.39,0.3307,1,0.23,0.7731,1,-1.56,0.0046,0.12835
"41","Rv0041","leuS","leucyl-tRNA synthetase ",72,3,-0.17,0.3979,1,-0.17,0.3987,0.91619,-0.15,0.4368,1,-0.17,0.3787,1,-0.17,0.3808,0.97251,-0.17,0.2097,1,-0.17,0.6179,1,-0.17,0.6871,1,-0.17,0.4001,1,-0.17,0.226,0.99618,-0.16,0.4274,1,-0.17,0.4007,0.89364,-0.17,0.3877,1,-0.17,0.3977,1,-0.17,0.4419,1,-0.17,0.4024,1,-0.17,0.3943,1,-0.07,0.6952,1,-0.16,0.4025,1,-0.16,0.449,1,-0.09,0.6604,1
"42","Rv0042c","-","POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY MARR-FAMILY) ",5,4,-0.29,0.6387,1,0.34,0.661,1,-0.5,0.4303,1,0.82,0.1829,1,0.74,0.3883,0.97934,-0.15,0.8106,1,-0.13,0.875,1,-0.92,0.3292,1,-0.58,0.3477,1,0.26,0.6941,1,-0.41,0.5505,1,-0.64,0.3562,0.87048,-0.28,0.6571,1,-0.31,0.6509,1,-0.24,0.7307,1,-0.03,0.9799,1,0.07,0.9089,1,0.25,0.6673,1,0.47,0.3842,1,0.44,0.4926,1,0.02,0.9704,1
"43","Rv0043c","-","PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY GNTR-FAMILY) ",10,9,-0.15,0.7884,1,-1.41,0.0496,0.40469,-0.21,0.7609,1,-0.97,0.1394,1,0.37,0.4577,0.99957,-1.29,0.0705,0.73288,-0.32,0.6801,1,-0.01,0.9889,1,-0.77,0.207,0.97054,-1.05,0.1089,0.77591,-0.81,0.1955,1,-0.66,0.2641,0.82132,-1.15,0.0905,0.69709,-0.5,0.4281,1,-0.76,0.2362,1,-0.25,0.7078,1,-0.55,0.3581,1,-0.54,0.3537,1,-0.23,0.7132,1,-0.32,0.5699,1,-0.56,0.3689,1
"44","Rv0044c","-","POSSIBLE OXIDOREDUCTASE ",20,16,-0.18,0.593,1,-0.12,0.6998,1,0.08,0.8098,1,-0.06,0.8401,1,-0.1,0.7534,1,-0.13,0.7027,1,0.21,0.5847,1,-0.62,0.205,1,-0.45,0.2035,0.9646,-0.05,0.878,1,0,0.9996,1,-0.43,0.1973,0.75261,-0.2,0.5334,1,-0.12,0.7113,1,-0.17,0.6135,1,-0.01,0.9826,1,0.04,0.8895,1,-0.1,0.7604,1,-0.21,0.5408,1,0,0.9946,1,-0.1,0.7783,1
"45","Rv0045c","-","POSSIBLE HYDROLASE ",7,7,-0.29,0.4968,1,-0.17,0.692,1,0.39,0.33,1,-0.22,0.5912,1,0.12,0.7634,1,0.09,0.8262,1,0.37,0.4546,1,0.14,0.7745,1,-0.01,0.9865,1,-0.08,0.856,1,-0.13,0.7532,1,0.27,0.5206,0.959,0.12,0.7585,1,0.1,0.8117,1,0.04,0.9285,1,0.57,0.122,0.76387,-0.03,0.9336,1,-0.09,0.822,1,0.02,0.9532,1,0.18,0.6705,1,-0.34,0.4522,1
