#Orf	Name	Desc	Sites	Mean Ctrl	Mean Exp	Sum Ctrl	Sum Exp	Delta Sum	log2FC	p-value	Adj. p-value
Rv0036c	-	hypothetical protein Rv0036c 	4	7.5	0.5	67.4	4.9	-62.44	-3.77	0.08700	0.39491
Rv0037c	-	PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN 	20	66.3	53.3	2784.5	2237.2	-547.27	-0.32	0.65250	1.00000
Rv0038	-	hypothetical protein Rv0038 	7	5.1	2.0	76.2	29.7	-46.53	-1.36	0.11500	0.43247
Rv0039c	-	POSSIBLE CONSERVED TRANSMEMBRANE PROTEIN 	4	11.8	36.5	106.0	328.5	222.54	1.63	0.31340	0.70573
Rv0040c	mtc28	SECRETED PROLINE RICH PROTEIN MTC28 (PROLINE RICH 28 KDA ANTIGEN) 	9	10.1	15.5	181.3	279.1	97.77	0.62	0.59510	0.95937
Rv0041	leuS	leucyl-tRNA synthetase 	72	0.0	0.0	0.0	0.0	0.00	0.00	1.00000	1.00000
Rv0042c	-	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY MARR-FAMILY) 	5	13.1	0.5	78.6	2.8	-75.89	-4.83	0.18710	0.55492
Rv0043c	-	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY GNTR-FAMILY) 	10	8.0	5.2	144.7	93.7	-50.98	-0.63	0.56150	0.92425
Rv0044c	-	POSSIBLE OXIDOREDUCTASE 	20	14.4	9.0	560.3	352.8	-207.51	-0.67	0.49250	0.85587
Rv0045c	-	POSSIBLE HYDROLASE 	7	51.9	7.2	933.8	128.9	-804.93	-2.86	0.04010	0.26578
Rv0046c	ino1	MYO-INOSITOL-1-PHOSPHATE SYNTHASE INO1 (Inositol 1-phosphate synthetase) (D-glucose 6-phosphate cycloaldolase) (Glucose 6-phosphate cyclase) (Glucocycloaldolase) 	16	0.0	0.0	0.0	0.0	0.00	0.00	1.00000	1.00000
Rv0047c	-	hypothetical protein Rv0047c 	7	78.9	1.8	946.4	21.2	-925.28	-5.48	0.24710	0.63120
Rv0048c	-	POSSIBLE MEMBRANE PROTEIN 	16	34.2	41.7	1537.6	1876.6	338.97	0.29	0.67440	1.00000
Rv0049	-	hypothetical protein Rv0049 	8	40.4	0.0	606.1	0.0	-606.08	-5.37	0.00000	0.00000
Rv0050	ponA1	PROBABLE BIFUNCTIONAL PENICILLIN-BINDING PROTEIN 1A/1B PONA1 (MUREIN POLYMERASE) (PBP1): PENICILLIN-INSENSITIVE TRANSGLYCOSYLASE (PEPTIDOGLYCAN TGASE) + PENICILLIN-SENSITIVE TRANSPEPTIDASE (DD-TRANSPEPTIDASE) 	37	0.6	10.6	17.5	285.0	267.46	4.02	0.00140	0.04655
Rv0051	-	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN 	34	41.7	9.5	2002.8	455.2	-1547.57	-2.14	0.00810	0.11838
Rv0052	-	hypothetical protein Rv0052 	7	21.2	10.7	380.7	192.0	-188.77	-0.99	0.37940	0.77911
Rv0053	rpsF	30S ribosomal protein S6 	6	0.0	0.0	0.0	0.0	0.00	0.00	1.00000	1.00000
Rv0054	ssb	single-strand DNA-binding protein 	5	0.0	0.0	0.0	0.0	0.00	0.00	1.00000	1.00000
Rv0055	rpsR	30S ribosomal protein S18 	4	602.2	0.9	1806.7	2.7	-1804.04	-9.40	0.09660	0.41132
Rv0056	rplI	50S ribosomal protein L9 	7	0.8	0.1	7.5	0.8	-6.64	-3.18	0.47900	0.84492
Rv0057	-	hypothetical protein Rv0057 	15	2.2	2.0	39.6	35.1	-4.51	-0.17	0.84410	1.00000
Rv0058	dnaB	replicative DNA helicase 	39	0.0	0.0	0.0	0.0	0.00	0.00	1.00000	1.00000
Rv0059	-	hypothetical protein Rv0059 	20	38.8	43.0	1747.0	1935.5	188.48	0.15	0.95480	1.00000
Rv0060	-	hypothetical protein Rv0060 	23	91.2	0.3	273.6	0.8	-272.81	-8.45	0.19780	0.56711
Rv0061	-	hypothetical protein Rv0061 	6	11.4	11.2	136.5	134.7	-1.73	-0.02	0.98230	1.00000
Rv0062	celA1	POSSIBLE CELLULASE CELA1 (ENDOGLUCANASE) (ENDO-1,4-BETA-GLUCANASE) (FI-CMCASE) (CARBOXYMETHYL CELLULASE) 	21	31.1	9.7	1492.7	463.6	-1029.13	-1.69	0.02000	0.18865
Rv0063	-	POSSIBLE OXIDOREDUCTASE 	23	10.0	1.7	510.0	88.0	-421.96	-2.53	0.00200	0.05542
Rv0064	-	hypothetical protein Rv0064 	68	5.0	10.9	498.8	1078.1	579.37	1.11	0.09520	0.41132
Rv0065	-	hypothetical protein Rv0065 	8	18.3	9.8	328.5	176.4	-152.09	-0.90	0.43610	0.81558
Rv0066c	icd2	PROBABLE ISOCITRATE DEHYDROGENASE 	38	0.0	0.1	0.0	0.3	0.28	0.13	1.00000	1.00000
Rv0067c	-	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN (POSSIBLY TETR-FAMILY) 	12	0.0	7.2	0.0	43.4	43.36	3.04	0.05230	0.31522
Rv0068	-	short chain dehydrogenase 	12	36.9	18.8	775.9	394.0	-381.80	-0.98	0.32570	0.72157
Rv0069c	sdaA	PROBABLE L-SERINE DEHYDRATASE SDAA (L-SERINE DEAMINASE) (SDH) (L-SD) 	12	10.1	12.4	212.3	259.8	47.51	0.29	0.69840	1.00000
Rv0070c	glyA2	PROBABLE SERINE HYDROXYMETHYLTRANSFERASE GLYA2 (SERINE METHYLASE 2) (SHMT 2) 	18	18.3	1.7	604.1	57.4	-546.69	-3.40	0.00250	0.06435
Rv0071	-	POSSIBLE MATURASE 	8	5.1	26.5	92.1	476.4	384.28	2.37	0.08240	0.38543
Rv0072	-	PROBABLE GLUTAMINE-TRANSPORT TRANSMEMBRANE PROTEIN ABC TRANSPORTER 	16	50.0	12.8	1799.6	461.0	-1338.66	-1.96	0.05700	0.32677
Rv0073	-	PROBABLE GLUTAMINE-TRANSPORT ATP-BINDING PROTEIN ABC TRANSPORTER 	15	48.1	10.3	1587.4	338.5	-1248.92	-2.23	0.28420	0.67457
Rv0074	-	hypothetical protein Rv0074 	19	13.8	14.9	538.8	581.5	42.73	0.11	0.87200	1.00000
Rv0075	-	PROBABLE AMINOTRANSFERASE 	24	25.9	16.9	1319.2	863.1	-456.11	-0.61	0.31330	0.70573
Rv0076c	-	PROBABLE MEMBRANE PROTEIN 	3	9.5	3.9	85.6	35.5	-50.07	-1.27	0.27910	0.66924
Rv0077c	-	PROBABLE OXIDOREDUCTASE 	14	41.0	11.8	1106.3	317.8	-788.51	-1.80	0.04160	0.27077
Rv0078	-	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN 	8	0.0	1.0	0.2	15.2	14.97	6.17	0.00410	0.08702
Rv0078A	-	hypothetical protein Rv0078A 	10	6.9	6.1	185.1	164.0	-21.12	-0.17	0.88090	1.00000
Rv0079	-	hypothetical protein Rv0079 	14	19.7	3.7	533.1	99.3	-433.88	-2.43	0.00740	0.11489
Rv0080	-	hypothetical protein Rv0080 	4	0.2	11.5	2.8	137.7	134.91	5.64	0.02440	0.21210
Rv0081	-	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN 	5	45.4	0.3	681.0	3.9	-677.04	-7.44	0.00320	0.07467
Rv0082	-	PROBABLE OXIDOREDUCTASE 	7	2.4	18.6	28.6	223.2	194.57	2.96	0.03400	0.24427
Rv0083	-	PROBABLE OXIDOREDUCTASE 	23	10.1	13.2	486.3	631.6	145.28	0.38	0.58250	0.94710
Rv0084	hycD	POSSIBLE FORMATE HYDROGENLYASE HYCD (FHL) 	9	4.6	0.2	83.4	2.7	-80.69	-4.93	0.02130	0.19582
Rv0085	hycP	POSSIBLE HYDROGENASE HYCP 	4	4.8	139.2	28.8	835.3	806.51	4.86	0.18420	0.55053
Rv0086	hycQ	POSSIBLE HYDROGENASE HYCQ 	15	34.0	33.8	612.8	609.1	-3.73	-0.01	0.99590	1.00000
Rv0087	hycE	POSSIBLE FORMATE HYDROGENASE HYCE (FHL) 	25	0.1	31.3	2.5	563.1	560.63	7.84	0.05290	0.31692
Rv0088	-	hypothetical protein Rv0088 	14	1.8	5.2	42.2	125.1	82.83	1.57	0.29290	0.68705
Rv0089	-	POSSIBLE METHYLTRANSFERASE/METHYLASE 	10	4.4	30.2	65.4	452.5	387.14	2.79	0.07100	0.36134
Rv0090	-	POSSIBLE MEMBRANE PROTEIN 	12	9.7	12.6	263.0	341.3	78.34	0.38	0.67810	1.00000
Rv0091	mtn	PROBABLE BIFUNCTIONAL MTA/SAH NUCLEOSIDASE MTN: 5'-METHYLTHIOADENOSINE NUCLEOSIDASE (METHYLTHIOADENOSINE METHYLTHIORIBOHYDROLASE) + S-ADENOSYLHOMOCYSTEINE NUCLEOSIDASE (S-ADENOSYL-L-HOMOCYSTEINE HOMOCYSTEINYLRIBOHYDROLASE) 	11	48.8	32.7	1171.8	785.9	-385.81	-0.58	0.61070	0.97196
Rv0092	ctpA	PROBABLE CATION TRANSPORTER P-TYPE ATPASE A CTPA 	30	3.3	14.7	179.8	792.4	612.57	2.14	0.00770	0.11682
Rv0093c	-	PROBABLE CONSERVED MEMBRANE PROTEIN 	8	1.5	6.7	13.1	60.7	47.66	2.22	0.09100	0.40523
Rv0094c	-	hypothetical protein Rv0094c 	14	6.7	5.6	282.4	234.6	-47.82	-0.27	0.77490	1.00000
Rv0095c	-	hypothetical protein Rv0095c 	9	3.8	0.0	22.7	0.0	-22.70	-2.26	0.17910	0.54472
Rv0096	PPE1	PPE FAMILY PROTEIN 	34	2.8	1.0	144.0	50.2	-93.79	-1.52	0.93990	1.00000
Rv0097	-	POSSIBLE OXIDOREDUCTASE 	26	0.6	0.8	26.4	37.3	10.95	0.50	0.67000	1.00000
Rv0098	-	hypothetical protein Rv0098 	11	0.4	2.6	6.7	39.3	32.61	2.56	0.15700	0.51054
Rv0099	fadD10	acyl-CoA synthetase 	32	0.0	0.3	0.4	5.5	5.06	3.70	0.01750	0.17722
Rv0100	-	hypothetical protein Rv0100 	3	0.2	0.7	1.8	6.1	4.25	1.74	0.19840	0.56711
Rv0101	nrp	PROBABLE PEPTIDE SYNTHETASE NRP (PEPTIDE SYNTHASE) 	122	0.3	2.2	49.5	364.7	315.16	2.88	0.00010	0.00665
Rv0102	-	PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN 	42	0.0	0.0	0.0	0.0	0.00	0.00	1.00000	1.00000
Rv0103c	ctpB	PROBABLE CATION-TRANSPORTER P-TYPE ATPASE B CTPB 	30	20.2	13.2	1572.6	1033.2	-539.43	-0.61	0.28220	0.67340
Rv0104	-	hypothetical protein Rv0104 	27	23.3	12.1	1397.9	728.5	-669.40	-0.94	0.14210	0.48254
Rv0105c	rpmB	50S ribosomal protein L28 	5	2.3	37.3	20.3	335.7	315.37	4.05	0.00930	0.12536
Rv0106	-	hypothetical protein Rv0106 	12	1.3	12.4	37.7	370.6	332.81	3.30	0.00020	0.01078
Rv0107c	ctpI	PROBABLE CATION-TRANSPORTER ATPASE I CTPI 	65	21.3	12.6	2235.9	1318.1	-917.77	-0.76	0.16310	0.51762
Rv0108c	-	hypothetical protein Rv0108c 	2	2.1	5.4	12.3	32.5	20.22	1.40	0.44360	0.82419
Rv0109	PE_PGRS1	PE-PGRS FAMILY PROTEIN 	27	5.7	6.0	206.2	217.2	10.96	0.07	0.96090	1.00000
Rv0110	-	PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN 	13	19.9	21.9	657.7	722.4	64.70	0.14	0.85810	1.00000
Rv0111	-	POSSIBLE TRANSMEMBRANE ACYLTRANSFERASE 	42	7.5	10.6	652.0	925.5	273.45	0.51	0.48830	0.85079
Rv0112	gca	POSSIBLE GDP-MANNOSE 4,6-DEHYDRATASE GCA (GDP-D-MANNOSE DEHYDRATASE) 	31	19.3	11.4	578.1	341.6	-236.51	-0.76	0.33430	0.72888
Rv0113	gmhA	PROBABLE SEDOHEPTULOSE-7-PHOSPHATE ISOMERASE GMHA (PHOSPHOHEPTOSE ISOMERASE) 	12	9.6	0.3	57.5	1.6	-55.91	-5.20	0.01380	0.15554
Rv0114	gmhB	POSSIBLE D-ALPHA,BETA-D-HEPTOSE-1,7-BIPHOSPHATE PHOSPHATASE GMHB (D-GLYCERO-D-MANNO-HEPTOSE 7-PHOSPHATE KINASE) 	9	16.7	13.0	400.3	312.8	-87.43	-0.36	0.72770	1.00000
Rv0115	hddA	POSSIBLE D-ALPHA-D-HEPTOSE-7-PHOSPHATE KINASE HDDA 	18	14.6	9.7	615.0	407.3	-207.73	-0.59	0.30260	0.69538
Rv0116c	-	POSSIBLE CONSERVED MEMBRANE PROTEIN 	17	7.3	9.3	306.1	389.6	83.53	0.35	0.60240	0.96529
Rv0117	oxyS	OXIDATIVE STRESS RESPONSE REGULATORY PROTEIN OXYS 	17	3.4	1.4	121.4	48.9	-72.51	-1.31	0.04090	0.26841
Rv0118c	oxcA	putative oxalyl-CoA decarboxylase 	26	6.0	30.6	270.7	1374.9	1104.20	2.34	0.00050	0.02267
Rv0119	fadD7	acyl-CoA synthetase 	13	0.0	2.1	0.0	6.4	6.40	1.65	1.00000	1.00000
Rv0120c	fusA2	elongation factor G 	27	8.4	10.5	302.0	377.2	75.23	0.32	0.74810	1.00000
Rv0121c	-	hypothetical protein Rv0121c 	10	1.4	20.2	20.4	302.5	282.10	3.89	0.00760	0.11663
Rv0122	-	hypothetical protein Rv0122 	9	14.4	0.0	130.0	0.3	-129.69	-8.87	0.00550	0.09885
Rv0123	-	hypothetical protein Rv0123 	8	0.1	0.3	0.2	0.8	0.61	1.96	1.00000	1.00000
Rv0124	PE_PGRS2	PE-PGRS FAMILY PROTEIN 	13	24.8	2.3	521.2	48.8	-472.39	-3.42	0.02060	0.19115
Rv0125	pepA	PROBABLE SERINE PROTEASE PEPA (SERINE PROTEINASE) (MTB32A) 	10	7.8	10.3	210.3	278.4	68.01	0.40	0.63380	0.99327
Rv0126	treS	TREHALOSE SYNTHASE TRES 	31	27.4	0.6	164.6	3.8	-160.82	-5.45	0.46050	0.82945
Rv0127	-	hypothetical protein Rv0127 	30	0.0	0.0	0.0	0.0	0.00	0.00	1.00000	1.00000
Rv0128	-	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN 	19	65.9	41.3	3161.7	1983.1	-1178.60	-0.67	0.36650	0.76724
Rv0129c	fbpC	SECRETED ANTIGEN 85-C FBPC (85C) (ANTIGEN 85 COMPLEX C) (AG58C) (MYCOLYL TRANSFERASE 85C) (FIBRONECTIN-BINDING PROTEIN C) 	28	1.0	12.8	32.8	421.1	388.32	3.68	0.00070	0.02879
Rv0130	-	hypothetical protein Rv0130 	4	2.2	0.0	19.7	0.0	-19.67	-1.67	0.08220	0.38540
Rv0131c	fadE1	PROBABLE ACYL-CoA DEHYDROGENASE FADE1 	18	47.7	60.7	1859.2	2365.8	506.66	0.35	0.66140	1.00000
Rv0132c	fgd2	PUTATIVE F420-DEPENDENT GLUCOSE-6-PHOSPHATE DEHYDROGENASE FGD2 	15	11.2	13.3	404.8	478.9	74.17	0.24	0.74970	1.00000
Rv0133	-	PROBABLE ACETYLTRANSFERASE 	7	23.5	3.2	422.2	56.9	-365.38	-2.89	0.36670	0.76724
Rv0134	ephF	POSSIBLE EPOXIDE HYDROLASE EPHF (EPOXIDE HYDRATASE) (ARENE-OXIDE HYDRATASE) 	12	24.1	10.9	650.1	293.3	-356.84	-1.15	0.16070	0.51575
Rv0135c	-	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN 	11	1.6	22.6	24.5	339.4	314.85	3.79	0.00890	0.12245
Rv0136	cyp138	PROBABLE CYTOCHROME P450 138 CYP138 	23	20.1	22.1	1145.9	1257.2	111.31	0.13	0.80230	1.00000
Rv0137c	msrA	methionine sulfoxide reductase A 	11	37.7	12.8	790.8	268.2	-522.63	-1.56	0.45480	0.82826
Rv0138	-	hypothetical protein Rv0138 	6	30.5	31.6	548.3	569.4	21.12	0.05	0.91730	1.00000
Rv0139	-	POSSIBLE OXIDOREDUCTASE 	12	37.7	128.5	1132.1	3854.4	2722.28	1.77	0.03870	0.26261
Rv0140	-	hypothetical protein Rv0140 	15	22.3	5.5	804.5	198.7	-605.87	-2.02	0.04070	0.26841
Rv0141c	-	hypothetical protein Rv0141c 	9	12.6	31.5	151.4	378.1	226.74	1.32	0.22010	0.59378
Rv0142	-	hypothetical protein Rv0142 	6	6.1	3.9	91.2	57.8	-33.43	-0.66	0.50140	0.86418
Rv0143c	-	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN 	27	18.9	23.2	1023.1	1253.1	229.95	0.29	0.55010	0.91492
Rv0144	-	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN (POSSIBLY TETR-FAMILY) 	14	29.0	30.1	1129.3	1175.4	46.06	0.06	0.91660	1.00000
Rv0145	-	hypothetical protein Rv0145 	15	12.2	5.1	439.6	182.4	-257.16	-1.27	0.10290	0.41132
Rv0146	-	hypothetical protein Rv0146 	16	13.8	28.7	415.1	861.0	445.91	1.05	0.16730	0.52634
Rv0147	-	PROBABLE ALDEHYDE DEHYDROGENASE (NAD+) DEPENDENT 	26	27.7	28.6	1993.3	2056.0	62.69	0.04	0.93580	1.00000
Rv0148	-	PROBABLE SHORT-CHAIN TYPE DEHYDROGENASE/REDUCTASE 	16	23.0	38.7	1104.3	1857.1	752.80	0.75	0.28320	0.67340
Rv0149	-	POSSIBLE QUINONE OXIDOREDUCTASE (NADPH:QUINONE OXIDOREDUCTASE) (ZETA-CRYSTALLIN) 	21	40.8	27.5	2204.2	1485.3	-718.94	-0.57	0.43080	0.81173
Rv0150c	-	hypothetical protein Rv0150c 	4	0.0	0.1	0.0	0.4	0.41	0.18	1.00000	1.00000
Rv0151c	PE1	PE FAMILY PROTEIN 	44	21.1	34.9	2278.5	3763.9	1485.41	0.72	0.09850	0.41132
Rv0152c	PE2	PE FAMILY PROTEIN 	40	43.6	37.4	4188.1	3595.1	-592.96	-0.22	0.68860	1.00000
Rv0153c	ptbB	PHOSPHOTYROSINE PROTEIN PHOSPHATASE PTPB (PROTEIN-TYROSINE-PHOSPHATASE) (PTPase) 	11	1.3	10.5	26.4	220.0	193.61	3.06	0.04370	0.28033
Rv0154c	fadE2	PROBABLE ACYL-CoA DEHYDROGENASE FADE2 	12	18.8	10.0	508.7	269.8	-238.92	-0.92	0.33930	0.73616
Rv0155	pntAa	PROBABLE NAD(P) TRANSHYDROGENASE (SUBUNIT ALPHA) PNTAA 	10	2.2	4.9	46.7	102.3	55.65	1.13	0.20020	0.56733
Rv0156	pntAb	PROBABLE NAD(P) TRANSHYDROGENASE (SUBUNIT ALPHA) PNTAB 	1	6.3	6.8	19.0	20.5	1.47	0.11	1.00000	1.00000
Rv0157	pntB	PROBABLE NAD(P) TRANSHYDROGENASE (SUBUNIT BETA) PNTB 	14	1.7	9.1	57.5	301.3	243.83	2.39	0.00060	0.02574
Rv0158	-	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN (POSSIBLY TETR-FAMILY) 	16	58.5	10.6	2457.2	443.4	-2013.83	-2.47	0.01840	0.18127
Rv0159c	PE3	PE FAMILY PROTEIN 	50	49.3	46.8	6068.0	5756.5	-311.49	-0.08	0.84840	1.00000
Rv0160c	PE4	PE FAMILY PROTEIN 	42	31.2	24.3	2621.0	2042.0	-579.06	-0.36	0.37800	0.77743
Rv0161	-	POSSIBLE OXIDOREDUCTASE 	19	0.8	26.9	13.9	484.6	470.72	5.12	0.02740	0.22302
Rv0162c	adhE1	PROBABLE ZINC-TYPE ALCOHOL DEHYDROGENASE (E SUBUNIT) ADHE 	16	15.7	13.2	470.3	395.4	-74.91	-0.25	0.82840	1.00000
Rv0163	-	hypothetical protein Rv0163 	10	35.7	15.4	749.9	323.5	-426.40	-1.21	0.28710	0.67847
Rv0164	TB18.5	hypothetical protein Rv0164 	8	13.1	218.2	39.2	654.7	615.58	4.06	0.03170	0.23925
Rv0165c	-	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY GNTR-FAMILY) 	8	15.0	20.8	314.1	437.4	123.23	0.48	0.55950	0.92324
Rv0166	fadD5	acyl-CoA synthetase 	27	17.6	18.4	1217.3	1272.0	54.73	0.06	0.88690	1.00000
Rv0167	yrbE1A	CONSERVED HYPOTHETICAL INTEGRAL MEMBRANE PROTEIN YRBE1A 	7	4.3	24.5	51.4	294.6	243.21	2.52	0.01900	0.18267
Rv0168	yrbE1B	CONSERVED HYPOTHETICAL INTEGRAL MEMBRANE PROTEIN YRBE1B 	14	35.8	30.1	1074.3	901.8	-172.48	-0.25	0.72070	1.00000
Rv0169	mce1A	MCE-FAMILY PROTEIN MCE1A 	39	25.1	23.2	2184.1	2015.3	-168.79	-0.12	0.85480	1.00000
Rv0170	mce1B	MCE-FAMILY PROTEIN MCE1B 	18	51.3	45.4	1845.5	1635.8	-209.71	-0.17	0.83850	1.00000
Rv0171	mce1C	MCE-FAMILY PROTEIN MCE1C 	25	16.3	8.2	1024.7	517.8	-506.84	-0.98	0.14130	0.48146
Rv0172	mce1D	MCE-FAMILY PROTEIN MCE1D 	33	75.6	8.3	6348.9	697.6	-5651.26	-3.19	0.00000	0.00000
Rv0173	lprK	POSSIBLE MCE-FAMILY LIPOPROTEIN LPRK (MCE-FAMILY LIPOPROTEIN MCE1E) 	16	13.5	18.0	406.0	539.0	133.06	0.41	0.48730	0.85079
Rv0174	mce1F	MCE-FAMILY PROTEIN MCE1F 	31	44.8	11.7	3226.0	840.0	-2386.06	-1.94	0.00430	0.08798
Rv0175	-	PROBABLE CONSERVED MCE ASSOCIATED MEMBRANE PROTEIN 	9	7.4	0.7	111.0	10.2	-100.78	-3.45	0.01140	0.13910
Rv0176	-	PROBABLE CONSERVED MCE ASSOCIATED TRANSMEMBRANE PROTEIN 	15	64.0	9.2	1727.7	249.5	-1478.12	-2.79	0.00630	0.10882
Rv0177	-	PROBABLE CONSERVED MCE ASSOCIATED PROTEIN 	12	13.4	53.0	280.6	1112.7	832.12	1.99	0.11390	0.43071
Rv0178	-	PROBABLE CONSERVED MCE ASSOCIATED MEMBRANE PROTEIN 	11	50.4	4.8	906.5	87.2	-819.32	-3.38	0.00660	0.10973
