Rv_ID,gene_name,Annotation,func_tuberculist,COG,u1,u2,cluster_labels
Rv0183,-,5.0,intermediary metabolism and respiration,I,-17.182482,28.93626,18
Rv0189c,ilvD,3.0,intermediary metabolism and respiration,EG,-13.886258,37.625896,0
Rv0190,-,5.0,conserved hypotheticals,S,-15.154454,30.991957,13
Rv0191,-,3.0,cell wall and cell processes,G,-9.58138,32.00833,11
Rv0198c,-,1.0,intermediary metabolism and respiration,O,-27.625648,27.762682,10
Rv0199,-,1.0,cell wall and cell processes,S,-12.753117,30.274057,16
Rv0200,-,1.0,cell wall and cell processes,S,-17.484928,29.009941,18
Rv0201c,-,1.0,conserved hypotheticals,K,-9.570018,32.010567,11
Rv0202c,mmpL11,3.0,cell wall and cell processes,R,-9.230204,18.407402,6
Rv0203,-,4.0,cell wall and cell processes,S,-27.555092,27.831022,10
Rv0204c,-,1.0,cell wall and cell processes,S,-24.387968,27.69497,4
Rv0205,-,1.0,cell wall and cell processes,R,-14.147178,32.467945,7
Rv0206c,mmpL3,5.0,cell wall and cell processes,R,-14.190463,28.926065,14
Rv0207c,-,1.0,conserved hypotheticals,S,-8.85849,44.42319,19
Rv0208c,trmB,3.0,intermediary metabolism and respiration,R,-26.161795,27.485891,4
Rv0211,pckA,5.0,intermediary metabolism and respiration,C,-16.134142,30.936014,13
Rv0216,-,1.0,intermediary metabolism and respiration,I,-9.877295,31.931284,11
Rv0220,lipC,1.0,intermediary metabolism and respiration,I,-13.619935,25.14277,9
Rv0221,-,3.0,lipid metabolism,Q,-8.780287,46.03728,5
Rv0222,echA1,1.0,lipid metabolism,I,-9.283668,44.315556,19
Rv0223c,-,1.0,intermediary metabolism and respiration,C,-18.075697,12.630797,3
Rv0228,-,1.0,intermediary metabolism and respiration,I,-27.67311,27.724293,10
Rv0230c,php,3.0,lipid metabolism,R,-18.352112,13.7738,3
Rv0237,lpqI,4.0,cell wall and cell processes,G,-8.769096,46.004856,5
Rv0238,-,1.0,regulatory proteins,K,-24.671741,27.502909,4
Rv0240,-,2.0,"virulence, detoxification, adaptation",R,-16.944979,15.184411,15
Rv0241c,-,2.0,intermediary metabolism and respiration,I,-18.315243,13.59244,3
Rv0242c,fabG,1.0,lipid metabolism,IQR,-18.479294,14.054754,3
Rv0243,fadA2,2.0,lipid metabolism,I,-9.92062,32.005344,11
Rv0244c,fadE5,2.0,lipid metabolism,I,-10.297533,32.143303,11
Rv0245,-,1.0,intermediary metabolism and respiration,R,-18.485895,14.396272,15
Rv0247c,-,1.0,intermediary metabolism and respiration,C,-17.119331,28.922781,18
Rv0248c,sdhA,1.0,intermediary metabolism and respiration,C,-8.80335,18.396471,6
Rv0249c,-,1.0,intermediary metabolism and respiration,S,-8.792302,18.384808,6
Rv0250c,-,1.0,conserved hypotheticals,S,-8.779837,46.03905,5
Rv0254c,cobU,2.0,intermediary metabolism and respiration,H,-9.272631,44.308544,19
Rv0256c,PPE2,1.0,PE/PPE,S,-13.5667305,31.867783,7
Rv0260c,-,1.0,regulatory proteins,TK,-9.419732,44.40438,19
Rv0261c,narK3,1.0,cell wall and cell processes,P,-14.364193,33.898544,7
Rv0263c,-,1.0,conserved hypotheticals,E,-22.135014,25.796108,17
Rv0265c,-,1.0,cell wall and cell processes,P,-18.082016,12.613536,3
Rv0270,fadD2,1.0,lipid metabolism,IQ,-10.07552,18.74138,6
Rv0272c,-,1.0,conserved hypotheticals,S,-8.705358,46.021248,5
Rv0273c,-,1.0,regulatory proteins,K,-13.588891,25.770243,9
Rv0275c,-,1.0,regulatory proteins,K,-8.745813,46.03479,5
Rv0280,PPE3,1.0,PE/PPE,S,-13.218942,31.684303,16
Rv0289,-,2.0,cell wall and cell processes,S,-14.165396,28.912683,14
Rv0290,-,3.0,cell wall and cell processes,S,-14.172683,28.913649,14
Rv0291,mycP3,3.0,intermediary metabolism and respiration,O,-14.163002,28.915722,14
Rv0292,-,3.0,cell wall and cell processes,S,-14.649671,35.685265,0
Rv0293c,-,1.0,conserved hypotheticals,R,-8.781087,45.961754,5
Rv0296c,-,2.0,intermediary metabolism and respiration,P,-9.994726,18.690529,6
Rv0306,-,1.0,intermediary metabolism and respiration,C,-8.777316,46.006916,5
Rv0309,-,1.0,cell wall and cell processes,S,-14.18022,28.933985,14
Rv0310c,-,1.0,conserved hypotheticals,S,-8.777333,45.992176,5
Rv0312,-,1.0,conserved hypotheticals,O,-8.536831,44.853916,19
Rv0314c,-,1.0,cell wall and cell processes,S,-8.76844,45.98579,5
Rv0315,-,1.0,intermediary metabolism and respiration,G,-18.031183,12.563866,3
Rv0321,dcd,5.0,intermediary metabolism and respiration,F,-9.482692,26.346315,12
Rv0324,-,1.0,regulatory proteins,P,-16.31171,30.367855,13
Rv0326,-,1.0,unknown,QR,-8.745075,45.96583,5
Rv0328,-,1.0,regulatory proteins,K,-8.786758,45.966156,5
Rv0331,-,1.0,intermediary metabolism and respiration,R,-14.087521,26.504375,9
Rv0333,-,1.0,conserved hypotheticals,S,-13.877002,26.228422,9
Rv0335c,PE6,1.0,PE/PPE,S,-27.706047,27.635275,10
Rv0337c,aspC,3.0,intermediary metabolism and respiration,E,-9.612263,-1.4158,2
Rv0338c,-,2.0,intermediary metabolism and respiration,C,-13.777503,38.19774,0
Rv0339c,-,1.0,regulatory proteins,TK,-14.899332,30.600754,13
Rv0343,iniC,1.0,cell wall and cell processes,R,-14.888905,30.585062,13
Rv0344c,lpqJ,1.0,cell wall and cell processes,S,-17.509329,28.904585,18
Rv0346c,ansP2,2.0,cell wall and cell processes,E,-22.202372,25.707937,17
Rv0353,hspR,1.0,"virulence, detoxification, adaptation",K,-14.132415,26.80012,9
Rv0356c,-,1.0,conserved hypotheticals,Q,-22.106398,25.805668,17
Rv0359,-,2.0,cell wall and cell processes,R,-22.10364,25.80371,17
Rv0361,-,1.0,cell wall and cell processes,S,-24.311024,27.549046,4
Rv0362,mgtE,2.0,cell wall and cell processes,P,-15.5334,31.027494,13
Rv0363c,fba,4.0,intermediary metabolism and respiration,G,-9.683531,-1.3453137,2
Rv0367c,-,1.0,conserved hypotheticals,S,-8.844891,45.94256,5
Rv0368c,-,1.0,conserved hypotheticals,R,-12.77121,26.31207,9
Rv0380c,-,1.0,intermediary metabolism and respiration,J,-13.791205,26.140774,9
Rv0381c,-,1.0,conserved hypotheticals,S,-9.994223,18.696125,6
Rv0384c,clpB,3.0,"virulence, detoxification, adaptation",O,-9.984136,-1.5032082,2
Rv0385,-,1.0,intermediary metabolism and respiration,HC,-18.118484,12.650586,3
Rv0388c,PPE9,1.0,PE/PPE,S,-13.401902,32.47595,7
Rv0390,-,1.0,conserved hypotheticals,P,-9.314177,44.143276,19
Rv0391,metZ,3.0,intermediary metabolism and respiration,E,-27.280216,27.275904,10
Rv0392c,ndhA,2.0,intermediary metabolism and respiration,C,-17.046585,15.005234,15
Rv0394c,-,1.0,cell wall and cell processes,S,-18.365278,13.681895,3
Rv0395,-,1.0,conserved hypotheticals,S,-12.193214,26.35069,20
Rv0396,-,1.0,conserved hypotheticals,S,-27.679388,27.72006,10
Rv0398c,-,1.0,cell wall and cell processes,S,-8.847794,45.78921,5
Rv0404,fadD30,3.0,lipid metabolism,IQ,-13.816871,38.274006,0
Rv0406c,-,1.0,conserved hypotheticals,R,-18.300013,13.558045,3
Rv0407,fgd1,5.0,intermediary metabolism and respiration,C,-18.47581,13.832178,3
Rv0409,ackA,4.0,intermediary metabolism and respiration,C,-12.6238785,30.503443,16
Rv0410c,pknG,5.0,regulatory proteins,RTKL,-24.666056,27.788345,4
Rv0411c,glnH,1.0,cell wall and cell processes,ET,-25.311989,27.77341,4
Rv0412c,-,1.0,cell wall and cell processes,S,-25.115622,27.409632,4
Rv0413,mutT3,3.0,information pathways,LR,-18.04919,12.613822,3
Rv0418,lpqL,4.0,cell wall and cell processes,R,-14.1524935,28.899897,14
Rv0420c,-,1.0,cell wall and cell processes,S,-8.780833,46.00895,5
Rv0424c,-,1.0,conserved hypotheticals,S,-13.789909,26.094542,9
Rv0425c,ctpH,2.0,cell wall and cell processes,P,-18.047853,12.634162,3
Rv0426c,-,1.0,cell wall and cell processes,S,-8.937125,46.020027,5
Rv0431,-,1.0,cell wall and cell processes,S,-25.512815,27.754137,4
Rv0432,sodC,5.0,"virulence, detoxification, adaptation",P,-13.801016,38.20641,0
Rv0433,-,2.0,conserved hypotheticals,S,-27.590784,27.825302,10
Rv0435c,-,1.0,cell wall and cell processes,O,-10.6273985,27.35087,20
Rv0436c,pssA,2.0,lipid metabolism,I,-24.27583,27.629091,4
Rv0437c,psd,3.0,lipid metabolism,I,-25.369442,27.133278,4
Rv0438c,moeA2,3.0,intermediary metabolism and respiration,H,-18.447945,14.040407,3
Rv0445c,sigK,4.0,information pathways,K,-8.6289015,46.003,5
Rv0450c,mmpL4,4.0,cell wall and cell processes,R,-9.136646,18.365505,6
Rv0451c,mmpS4,4.0,cell wall and cell processes,S,-9.063996,45.23769,19
Rv0452,-,1.0,regulatory proteins,K,-9.295792,44.31081,19
Rv0455c,-,1.0,conserved hypotheticals,S,-24.823765,27.376225,4
Rv0456A,-,2.0,"virulence, detoxification, adaptation",T,-18.063124,12.623091,3
Rv0459,-,1.0,conserved hypotheticals,S,-8.569637,46.069904,5
Rv0461,-,1.0,cell wall and cell processes,S,-8.634462,45.98972,5
Rv0462,lpd,5.0,intermediary metabolism and respiration,C,-26.004961,27.511726,4
Rv0463,-,1.0,cell wall and cell processes,S,-8.448004,45.987198,5
Rv0464c,-,1.0,conserved hypotheticals,S,-14.528747,31.372295,13
Rv0465c,-,4.0,regulatory proteins,K,-10.036724,18.727253,6
Rv0466,-,1.0,conserved hypotheticals,I,-17.42237,28.959684,18
Rv0467,icl,5.0,intermediary metabolism and respiration,C,-9.998051,-1.4235954,2
Rv0468,fadB2,5.0,lipid metabolism,I,-14.901158,30.598303,13
Rv0469,umaA,3.0,lipid metabolism,M,-13.777043,38.23157,0
Rv0470A,-,1.0,conserved hypotheticals,H,-8.48643,46.02618,5
Rv0470c,pcaA,5.0,lipid metabolism,M,-24.469603,26.974424,4
Rv0472c,-,2.0,regulatory proteins,K,-15.486017,30.838194,13
Rv0473,-,1.0,cell wall and cell processes,S,-9.083515,45.47726,5
Rv0475,hbhA,4.0,cell wall and cell processes,S,-13.726191,32.71442,7
Rv0476,-,1.0,cell wall and cell processes,S,-13.604565,25.159307,9
Rv0480c,-,2.0,intermediary metabolism and respiration,R,-8.570714,45.948208,5
Rv0481c,-,1.0,conserved hypotheticals,S,-10.625704,27.346394,20
Rv0483,lprQ,4.0,cell wall and cell processes,S,-14.163084,37.7775,0
Rv0485,-,3.0,regulatory proteins,KG,-9.159494,18.379587,6
Rv0486,-,4.0,intermediary metabolism and respiration,M,-15.836818,31.06882,13
Rv0487,-,1.0,conserved hypotheticals,S,-13.471684,32.382233,7
Rv0489,gpm1,5.0,intermediary metabolism and respiration,G,-25.426678,27.485558,4
Rv0490,senX3,3.0,regulatory proteins,T,-9.339415,44.149967,19
Rv0492A,-,1.0,conserved hypotheticals,S,-14.061914,26.478148,9
Rv0492c,-,2.0,intermediary metabolism and respiration,E,-14.047804,26.481632,9
Rv0494,-,1.0,regulatory proteins,K,-15.3433895,31.047537,13
Rv0495c,-,1.0,conserved hypotheticals,S,-16.088284,30.947613,13
Rv0496,-,4.0,conserved hypotheticals,FP,-17.032928,15.037366,15
Rv0497,-,2.0,cell wall and cell processes,S,-25.77548,27.621967,4
Rv0498,-,1.0,conserved hypotheticals,G,-9.572961,32.022404,11
Rv0499,-,1.0,conserved hypotheticals,C,-8.663594,46.071457,5
Rv0501,galE2,2.0,intermediary metabolism and respiration,MG,-9.479488,26.381516,12
Rv0502,-,1.0,conserved hypotheticals,I,-10.269108,18.931438,6
Rv0503c,cmaA2,5.0,lipid metabolism,M,-13.161054,30.236984,16
Rv0504c,-,2.0,conserved hypotheticals,S,-9.914264,32.414276,11
Rv0505c,serB1,4.0,intermediary metabolism and respiration,E,-25.306866,27.470985,4
Rv0507,mmpL2,2.0,cell wall and cell processes,R,-17.017435,15.043842,15
Rv0513,-,1.0,cell wall and cell processes,S,-8.770381,46.011684,5
Rv0517,-,1.0,intermediary metabolism and respiration,I,-14.908104,30.562872,13
Rv0519c,-,1.0,cell wall and cell processes,R,-14.159061,32.469772,7
Rv0521,-,1.0,intermediary metabolism and respiration,S,-8.51745,44.870865,19
Rv0532,PE_PGRS6,1.0,PE/PPE,S,-8.941253,45.870785,5
Rv0536,galE3,1.0,intermediary metabolism and respiration,MG,-27.527063,27.89149,10
Rv0537c,-,1.0,cell wall and cell processes,S,-14.134454,28.81183,14
Rv0538,-,1.0,cell wall and cell processes,S,-14.451611,29.207298,14
Rv0541c,-,1.0,cell wall and cell processes,S,-25.56726,27.179598,4
Rv0545c,pitA,2.0,cell wall and cell processes,P,-17.509739,29.044815,18
Rv0549c,-,3.0,"virulence, detoxification, adaptation",R,-18.076832,12.609007,3
Rv0551c,fadD8,1.0,lipid metabolism,IQ,-12.009114,26.349062,20
Rv0553,menC,3.0,intermediary metabolism and respiration,MR,-27.631874,27.772617,10
Rv0554,bpoC,3.0,"virulence, detoxification, adaptation",R,-9.084746,18.233614,6
Rv0557,pimB,3.0,lipid metabolism,M,-9.026192,45.806847,5
Rv0558,ubiE,3.0,intermediary metabolism and respiration,H,-15.568092,33.682545,7
Rv0559c,-,1.0,cell wall and cell processes,S,-8.527255,44.840218,19
Rv0561c,-,4.0,intermediary metabolism and respiration,C,-14.04774,27.983057,14
Rv0563,htpX,2.0,"virulence, detoxification, adaptation",O,-15.922302,30.98281,13
Rv0566c,-,1.0,conserved hypotheticals,S,-14.169123,28.908627,14
Rv0567,-,1.0,intermediary metabolism and respiration,QR,-9.021188,45.763855,5
Rv0569,-,2.0,conserved hypotheticals,S,-27.56027,27.882359,10
Rv0574c,-,2.0,conserved hypotheticals,M,-15.80548,27.690344,1
Rv0583c,lpqN,1.0,cell wall and cell processes,S,-8.977253,45.826855,5
Rv0586,-,3.0,regulatory proteins,K,-17.95023,12.68495,3
Rv0587,yrbE2A,1.0,"virulence, detoxification, adaptation",Q,-13.630805,25.157534,9
Rv0589,mce2A,1.0,"virulence, detoxification, adaptation",Q,-9.30003,44.23707,19
Rv0590A,-,1.0,"virulence, detoxification, adaptation",S,-9.187843,45.508305,5
Rv0591,mce2C,1.0,"virulence, detoxification, adaptation",Q,-9.213818,45.50062,5
Rv0593,lprL,1.0,cell wall and cell processes,Q,-9.159339,45.561237,5
Rv0599c,-,2.0,"virulence, detoxification, adaptation",K,-15.11202,33.214428,7
Rv0606,-,1.0,insertion seqs and phages,L,-9.011504,45.744907,5
Rv0610c,-,1.0,conserved hypotheticals,S,-13.570607,25.096334,9
Rv0611c,-,1.0,conserved hypotheticals,S,-18.124128,12.695023,3
Rv0614,-,1.0,conserved hypotheticals,S,-22.102638,25.807497,17
Rv0615,-,1.0,cell wall and cell processes,S,-27.698267,27.729399,10
Rv0617,-,3.0,"virulence, detoxification, adaptation",R,-9.490592,26.319519,12
Rv0619,galTb,1.0,intermediary metabolism and respiration,C,-9.584775,32.00329,11
Rv0622,-,1.0,cell wall and cell processes,S,-8.874069,45.906574,5
Rv0629c,recD,4.0,information pathways,L,-10.624939,27.34814,20
Rv0631c,recC,3.0,information pathways,L,-18.132002,12.660881,3
Rv0632c,echA3,1.0,lipid metabolism,I,-17.48648,29.008095,18
Rv0634A,-,1.0,conserved hypotheticals,S,-18.343262,13.63627,3
Rv0634c,-,1.0,"virulence, detoxification, adaptation",R,-15.886365,27.74351,1
Rv0642c,mmaA4,5.0,lipid metabolism,M,-24.648666,27.56826,4
Rv0643c,mmaA3,3.0,lipid metabolism,M,-17.345425,14.850961,15
Rv0644c,mmaA2,5.0,lipid metabolism,M,-8.998852,45.36111,5
Rv0645c,mmaA1,4.0,lipid metabolism,M,-14.094001,28.121319,14
Rv0650,-,1.0,intermediary metabolism and respiration,KG,-9.637515,26.493774,12
Rv0655,mkl,3.0,cell wall and cell processes,Q,-16.05127,27.91125,1
Rv0658c,-,1.0,cell wall and cell processes,R,-8.940405,46.008503,5
Rv0661c,-,2.0,"virulence, detoxification, adaptation",S,-15.91253,26.958958,1
Rv0664,-,1.0,"virulence, detoxification, adaptation",S,-27.586634,27.677431,10
Rv0667,rpoB,5.0,information pathways,K,-13.824165,29.107761,14
Rv0668,rpoC,4.0,information pathways,K,-12.023188,26.339083,20
Rv0670,end,3.0,information pathways,L,-8.851897,45.928707,5
Rv0671,lpqP,1.0,cell wall and cell processes,Q,-9.4983015,26.353928,12
Rv0686,-,1.0,cell wall and cell processes,S,-14.115475,26.524626,9
Rv0693,pqqE,2.0,intermediary metabolism and respiration,R,-27.354132,27.340477,10
Rv0694,lldD1,3.0,intermediary metabolism and respiration,C,-12.531557,28.455923,14
Rv0695,-,2.0,conserved hypotheticals,R,-8.877978,45.914883,5
Rv0696,-,2.0,intermediary metabolism and respiration,M,-13.646618,31.986294,7
Rv0698,-,1.0,conserved hypotheticals,S,-8.853978,45.994907,5
Rv0711,atsA,1.0,intermediary metabolism and respiration,P,-12.020106,26.345373,20
Rv0712,-,4.0,conserved hypotheticals,S,-16.741552,28.974627,18
Rv0724,sppA,2.0,cell wall and cell processes,OU,-14.162225,28.905481,14
Rv0726c,-,2.0,lipid metabolism,Q,-13.577039,25.113363,9
Rv0727c,fucA,1.0,intermediary metabolism and respiration,G,-13.918372,32.495544,7
Rv0736,-,5.0,information pathways,K,-9.659051,-1.1304274,2
Rv0740,-,1.0,conserved hypotheticals,S,-9.502105,26.361717,12
Rv0741,-,1.0,insertion seqs and phages,L,-9.461546,26.328718,12
Rv0746,PE_PGRS9,1.0,PE/PPE,S,-18.067879,12.607164,3
Rv0747,PE_PGRS10,1.0,PE/PPE,S,-14.050279,32.969154,7
Rv0751c,mmsB,3.0,intermediary metabolism and respiration,I,-8.788189,45.956005,5
Rv0753c,mmsA,2.0,intermediary metabolism and respiration,C,-18.149235,12.692037,3
Rv0757,phoP,4.0,regulatory proteins,TK,-16.531322,28.613428,18
Rv0758,phoR,2.0,regulatory proteins,T,-8.973392,18.401627,6
Rv0759c,-,1.0,conserved hypotheticals,FGR,-27.646479,27.689358,10
Rv0761c,adhB,3.0,intermediary metabolism and respiration,C,-12.572397,28.408545,14
Rv0763c,-,1.0,intermediary metabolism and respiration,C,-13.550392,32.49126,7
Rv0766c,cyp123,2.0,intermediary metabolism and respiration,Q,-13.981621,31.945316,7
Rv0767c,-,1.0,conserved hypotheticals,S,-22.27006,25.655054,17
Rv0769,-,2.0,intermediary metabolism and respiration,IQR,-13.619559,25.143074,9
Rv0770,-,2.0,intermediary metabolism and respiration,I,-11.637793,30.082865,16
Rv0772,purD,3.0,intermediary metabolism and respiration,F,-13.775305,38.230724,0
Rv0775,-,1.0,conserved hypotheticals,S,-8.825277,46.019062,5
Rv0776c,-,1.0,conserved hypotheticals,S,-9.486722,26.356043,12
Rv0779c,-,1.0,cell wall and cell processes,V,-9.56312,32.0273,11
Rv0781,ptrBa,1.0,intermediary metabolism and respiration,E,-16.913553,15.197935,15
Rv0784,-,1.0,conserved hypotheticals,R,-14.157934,32.471516,7
Rv0787,-,1.0,conserved hypotheticals,EF,-8.770361,46.03488,5
Rv0791c,-,1.0,conserved hypotheticals,C,-9.497811,26.351097,12
Rv0793,-,2.0,intermediary metabolism and respiration,S,-14.087914,26.511353,9
Rv0795,-,1.0,insertion seqs and phages,L,-13.678901,32.210262,7
Rv0796,-,2.0,insertion seqs and phages,L,7.5153904,7.4590287,8
Rv0799c,-,1.0,conserved hypotheticals,P,-8.827858,45.96393,5
Rv0805,-,5.0,intermediary metabolism and respiration,R,-9.862128,18.441208,6
Rv0806c,cpsY,2.0,cell wall and cell processes,S,-9.222371,18.39026,6
Rv0808,purF,3.0,intermediary metabolism and respiration,F,-13.790283,38.23146,0
Rv0809,purM,3.0,intermediary metabolism and respiration,F,-13.7968,38.244316,0
Rv0812,-,1.0,intermediary metabolism and respiration,EH,-14.159987,37.78359,0
Rv0813c,-,3.0,conserved hypotheticals,S,-8.633392,45.759563,5
Rv0815c,cysA2,,intermediary metabolism and respiration,P,-13.791583,38.239372,0
Rv0817c,-,1.0,cell wall and cell processes,S,-9.4844475,26.349382,12
Rv0818,-,2.0,regulatory proteins,TK,-10.03638,18.676039,6
Rv0819,-,5.0,intermediary metabolism and respiration,R,-15.854953,31.070969,13
Rv0820,phoT,4.0,cell wall and cell processes,P,-10.009753,18.654158,6
Rv0821c,phoY2,4.0,cell wall and cell processes,P,-15.590655,30.933542,13
Rv0822c,-,1.0,conserved hypotheticals,K,-18.054636,12.631498,3
Rv0827c,-,4.0,regulatory proteins,K,-8.386492,45.98998,5
Rv0829,-,1.0,insertion seqs and phages,L,-17.031292,15.02552,15
Rv0831c,-,1.0,conserved hypotheticals,S,-8.807574,45.49819,5
Rv0833,PE_PGRS13,1.0,PE/PPE,S,-9.5901,32.031998,11
Rv0839,-,1.0,conserved hypotheticals,QR,-8.544729,44.845795,19
Rv0842,-,1.0,cell wall and cell processes,S,-12.067952,26.338314,20
Rv0846c,-,4.0,intermediary metabolism and respiration,Q,-13.8189125,38.216988,0
Rv0848,cysK2,5.0,intermediary metabolism and respiration,E,-13.81317,38.239864,0
Rv0849,-,1.0,cell wall and cell processes,GEPR,-13.849387,38.187355,0
Rv0850,-,1.0,insertion seqs and phages,L,-22.106335,25.805275,17
Rv0851c,-,1.0,intermediary metabolism and respiration,IQR,-9.2665205,44.319515,19
Rv0859,fadA,3.0,lipid metabolism,I,-15.544085,31.085192,13
Rv0860,fadB,2.0,lipid metabolism,I,-16.013594,30.708649,13
