Rv_ID	gene_name	Description	Final Call	tuberculist_category	NN_joined
Rv0014c	pknB	Transmembrane serine/threonine-protein kinase B PknB (protein kinase B) (STPK B)	Essential	regulatory proteins	Rv1449c, Rv0642c, Rv1345, Rv2786c, Rv2221c, Rv1336, Rv1962c, Rv1602, Rv1285, Rv3441c
Rv0015c	pknA	Transmembrane serine/threonine-protein kinase A PknA (protein kinase A) (STPK A)	Essential	regulatory proteins	Rv3469c, Rv1843c, Rv1760, Rv1747, Rv2029c, Rv0676c, Rv0351, Rv0159c, Rv1915, Rv0447c
Rv0016c	pbpA	Probable penicillin-binding protein PbpA	Non essential	cell wall and cell processes	Rv2882c, Rv1631, Rv2981c, Rv0824c, Rv3443c, Rv3914, Rv0733, Rv3032, Rv3465, Rv2773c
Rv0017c	rodA	Probable cell division protein RodA	Non essential	cell wall and cell processes	Rv3443c, Rv2882c, Rv3914, Rv0824c, Rv0016c, Rv3032, Rv0733, Rv1631, Rv2773c, Rv3465
Rv0018c	pstP	Phosphoserine/threonine phosphatase PstP	Essential domain	regulatory proteins	Rv1477, Rv2419c, Rv1314c, Rv1183, Rv1539, Rv1493, Rv2476c, Rv3535c, Rv2359, Rv2613c
Rv0019c	fhaB	Conserved protein with FHA domain, FhaB	Non essential	regulatory proteins	Rv3433c, Rv1819c, Rv3823c, Rv0009, Rv3036c, Rv0627, Rv3838c, Rv2977c, Rv2710, Rv1701
Rv0020c	fhaA	Conserved protein with FHA domain, FhaA	Essential domain	regulatory proteins	Rv0948c, Rv0130, Rv3270, Rv0678, Rv1884c, Rv3417c, Rv3223c, Rv2466c, Rv0949, Rv3024c
Rv0021c	-	hypothetical protein	Non essential	conserved hypotheticals	Rv2349c, Rv1690, Rv1297, Rv3065, Rv1552, Rv2136c, Rv3825c, Rv0194, Rv2501c, Rv2631
Rv0022c	whiB5	Probable transcriptional regulatory protein WhiB-like WhiB5	Non essential	regulatory proteins	Rv2066, Rv1665, Rv2741, Rv2868c, Rv3085, Rv2208, Rv3653, Rv3780, Rv2200c, Rv3809c
Rv0023	-	Possible transcriptional regulatory protein	Growth defect	regulatory proteins	Rv0284, Rv2178c, Rv3713, Rv2122c, Rv3028c, Rv0639, Rv1110, Rv2139, Rv3721c, Rv1295
Rv0024	-	Putative secreted protein P60-related protein	Non essential	virulence, detoxification, adaptation	Rv2841c, Rv0549c, Rv3791, Rv1699, Rv1605, Rv3384c, Rv0558, Rv1475c, Rv2145c, Rv0382c
Rv0025	-	hypothetical protein	Non essential	conserved hypotheticals	Rv0654, Rv1885c, Rv3780, Rv0008c, Rv3765c, Rv1917c, Rv2793c, Rv3903c, Rv2584c, Rv3328c
Rv0026	-	hypothetical protein	Non essential	conserved hypotheticals	Rv1737c, Rv2848c, Rv3853, Rv2031c, Rv1596, Rv1258c, Rv3855, Rv1448c, Rv0533c, Rv1088
Rv0027	-	hypothetical protein	Non essential	conserved hypotheticals	Rv0987, Rv0969, Rv2549c, Rv1872c, Rv0277c, Rv0986, Rv0586, Rv2866, Rv3229c, Rv1553
Rv0028	-	hypothetical protein	Non essential	conserved hypotheticals	Rv1981c, Rv1103c, Rv1242, Rv2196, Rv0512, Rv2748c, Rv3886c, Rv1372, Rv1558, Rv3660c
Rv0029	-	hypothetical protein	Non essential	conserved hypotheticals	Rv2870c, Rv3518c, Rv0902c, Rv0005, Rv1938, Rv1169c, Rv3565, Rv1187, Rv1218c, Rv2816c
Rv0030	-	hypothetical protein	Non essential	conserved hypotheticals	Rv1857, Rv2103c, Rv2010, Rv3405c, Rv1253, Rv0734, Rv2234, Rv1207, Rv2602, Rv3416
Rv0031	-	Possible remnant of a transposase	Uncertain	insertion seqs and phages	Rv1699, Rv3791, Rv0153c, Rv1330c, Rv2841c, Rv1605, Rv0886, Rv0382c, Rv0079, Rv0549c
Rv0032	bioF2	Possible 8-amino-7-oxononanoate synthase BioF2 (AONS) (8-amino-7-ketopelargonate synthase) (7-keto-8-amino-pelargonic acid synthetase) (7-KAP synthetase) (L-alanine--pimelyl CoA ligase)	Non essential	intermediary metabolism and respiration	Rv2482c, Rv2801A, Rv1650, Rv1077, Rv3379c, Rv0468, Rv1329c, Rv0853c, Rv1288, Rv1601
Rv0033	acpA	Probable acyl carrier protein AcpA (ACP)	Non essential	lipid metabolism	Rv2484c, Rv3487c, Rv0838, Rv3056, Rv0518, Rv0194, Rv0844c, Rv2820c, Rv1384, Rv3080c
Rv0034	-	hypothetical protein	Non essential	conserved hypotheticals	Rv0438c, Rv3318, Rv2922c, Rv2112c, Rv1909c, Rv2579, Rv1675c, Rv0206c, NONE, NONE
Rv0035	fadD34	Probable fatty-acid-CoA ligase FadD34 (fatty-acid-CoA synthetase) (fatty-acid-CoA synthase)	Non essential	lipid metabolism	Rv1997, Rv1392, Rv2824c, Rv1311, Rv2440c, Rv2121c, Rv1484, Rv2095c, Rv0417, Rv2742c
Rv0036c	-	hypothetical protein	Non essential	conserved hypotheticals	Rv0079, Rv0153c, Rv1202, Rv2150c, Rv1131, Rv2453c, Rv3389c, Rv1330c, Rv0503c, Rv1699
Rv0037c	-	Probable conserved integral membrane protein	Non essential	cell wall and cell processes	Rv1602, Rv1345, Rv3420c, Rv2421c, Rv1449c, Rv2614c, Rv2221c, Rv2746c, Rv1640c, Rv0491
Rv0038	-	hypothetical protein	Non essential	conserved hypotheticals	Rv0079, Rv1474c, Rv0153c, Rv1475c, Rv2181, Rv2453c, Rv1699, Rv3791, Rv2150c, Rv2841c
Rv0039c	-	Possible conserved transmembrane protein	Non essential	cell wall and cell processes	Rv3913, Rv1027c, Rv3378c, Rv3561, Rv3793, Rv1400c, Rv1558, Rv1931c, Rv0512, Rv2332
Rv0040c	mtc28	Secreted proline rich protein Mtc28 (proline rich 28 kDa antigen)	Non essential	cell wall and cell processes	Rv1819c, Rv0019c, Rv3433c, Rv3036c, Rv0627, Rv3823c, Rv3838c, Rv0009, Rv2977c, Rv2710
Rv0041	leuS	Probable leucyl-tRNA synthetase LeuS (leucine--tRNA ligase) (LEURS)	Essential	information pathways	Rv2610c, Rv2460c, Rv0429c, Rv1606, Rv1389, Rv3834c, Rv3800c, Rv2845c, Rv2357c, Rv2703
Rv0042c	-	Possible transcriptional regulatory protein (probably MarR-family)	Non essential	regulatory proteins	Rv0982, Rv0496, Rv1537, Rv1259, Rv3240c, Rv2919c, Rv2865, Rv3149, Rv3358, Rv0596c
Rv0043c	-	Probable transcriptional regulatory protein (probably GntR-family)	Non essential	regulatory proteins	Rv3570c, Rv3881c, Rv3545c, Rv3537, Rv3534c, Rv3571, Rv1963c, Rv3910, Rv2710, Rv2034
Rv0044c	-	Possible oxidoreductase	Non essential	intermediary metabolism and respiration	Rv1088, Rv3911, Rv0749, Rv0418, Rv3062, Rv0500, Rv0070c, Rv1258c, Rv1562c, Rv2530c
Rv0045c	-	Possible hydrolase	Non essential	lipid metabolism	Rv0203, Rv2118c, Rv0137c, Rv2232, Rv1302, Rv0933, Rv2702, Rv0486, Rv0668, Rv2928
Rv0046c	ino1	myo-inositol-1-phosphate synthase Ino1 (inositol 1-phosphate synthetase) (D-glucose 6-phosphate cycloaldolase) (glucose 6-phosphate cyclase) (glucocycloaldolase)	Essential	intermediary metabolism and respiration	Rv0639, Rv2139, Rv3915, Rv0562, Rv0423c, Rv3713, Rv2178c, Rv2122c, Rv0284, Rv0706
Rv0047c	-	hypothetical protein	Non essential	conserved hypotheticals	Rv1335, Rv1962c, Rv0379, Rv2743c, Rv1379, Rv1336, Rv3441c, Rv2786c, Rv0642c, Rv2946c
Rv0048c	-	Possible membrane protein	Non essential	cell wall and cell processes	Rv1983, Rv1876, Rv2296, Rv0845, Rv0643c, Rv1980c, Rv3377c, Rv1028c, Rv3573c, Rv3825c
Rv0049	-	hypothetical protein	Non essential	conserved hypotheticals	Rv1259, Rv0982, Rv3240c, Rv2919c, Rv2865, Rv0496, Rv3358, Rv0596c, Rv1537, Rv0211
Rv0050	ponA1	Probable bifunctional penicillin-binding protein 1A/1B PonA1 (murein polymerase) (PBP1): penicillin-insensitive transglycosylase (peptidoglycan TGASE) + penicillin-sensitive transpeptidase (DD-transpeptidase)	Non essential	cell wall and cell processes	Rv1284, Rv1897c, Rv1108c, Rv2179c, Rv3383c, Rv0469, Rv1102c, Rv0409, Rv0732, Rv3214
Rv0051	-	Probable conserved transmembrane protein	Non essential	cell wall and cell processes	Rv2702, Rv0933, Rv0486, Rv0137c, Rv2928, Rv0045c, Rv2596, Rv2530c, Rv3754, Rv0203
Rv0052	-	hypothetical protein	Non essential	conserved hypotheticals	Rv2631, Rv3409c, Rv3065, Rv2349c, Rv2136c, Rv0221, Rv1690, Rv3619c, Rv1297, Rv0458
Rv0053	rpsF	30S ribosomal protein S6 RpsF	Essential	information pathways	Rv2392, Rv2110c, Rv0462, Rv1248c, Rv3764c, Rv0489, Rv1956, Rv3588c, Rv2445c, Rv2165c
Rv0054	ssb	Single-strand binding protein Ssb (helix-destabilizing protein)	Essential	information pathways	Rv3808c, Rv3225c, Rv2701c, Rv1771, Rv2725c, Rv1189, Rv1075c, Rv2823c, Rv1399c, Rv2539c
Rv0055	rpsR1	30S ribosomal protein S18-1 RpsR1	Essential	information pathways	Rv0805, Rv2933, Rv2939, Rv2941, Rv2934, Rv2930, Rv2932, Rv2931, Rv2935, Rv3518c
Rv0056	rplI	50S ribosomal protein L9 RplI	Non essential	information pathways	Rv1701, Rv1391, Rv2151c, Rv1280c, Rv0009, Rv1492, Rv3823c, Rv2977c, Rv3433c, Rv0256c
Rv0057	-	Hypothetical protein	Non essential	conserved hypotheticals	Rv2817c, Rv2819c, Rv2818c, Rv0192, Rv0694, Rv1021, Rv1495, Rv0065, Rv2822c, Rv2217
Rv0058	dnaB	Probable replicative DNA helicase DnaB	Essential	information pathways	Rv3232c, Rv1032c, Rv0535, Rv3406, Rv0103c, Rv1213, Rv2924c, Rv1151c, Rv1010, Rv0183
Rv0059	-	Hypothetical protein	Growth advantage	conserved hypotheticals	Rv2063A, Rv1850, Rv3744, Rv2573, Rv0132c, Rv1155, Rv3547, Rv0602c, Rv1469, Rv2973c
Rv0060	-	hypothetical protein	Essential	conserved hypotheticals	Rv0900, Rv0126, Rv2829c, Rv3835, Rv1114, Rv3168, Rv0626, Rv0211, Rv0596c, Rv2586c
Rv0061	-	-	Missing	conserved hypotheticals	Rv3203, Rv0187, Rv1223, Rv2959c, Rv2688c, Rv1076, Rv0577, Rv1219c, Rv1425, Rv3470c
Rv0062	celA1	Possible cellulase CelA1 (endoglucanase) (endo-1,4-beta-glucanase) (FI-cmcase) (carboxymethyl cellulase)	Non essential	intermediary metabolism and respiration	Rv3608c, Rv1295, Rv3051c, Rv1613, Rv1110, Rv3048c, Rv2343c, Rv3028c, Rv1327c, Rv2612c
Rv0063	-	Possible oxidoreductase	Non essential	intermediary metabolism and respiration	Rv3765c, Rv3903c, Rv1026, Rv1917c, Rv0008c, Rv2793c, Rv0654, Rv1206, Rv3667, Rv2266
Rv0064	-	Probable conserved transmembrane protein	Non essential	cell wall and cell processes	Rv2914c, Rv1651c, Rv2351c, Rv0669c, Rv3382c, Rv2158c, Rv0252, Rv0901, Rv3585, Rv1143
Rv0065	vapC1	Possible toxin VapC1	Non essential	virulence, detoxification, adaptation	Rv1495, Rv0694, Rv2819c, Rv2818c, Rv3855, Rv3702c, Rv1448c, Rv2817c, Rv1996, Rv1737c
Rv0066c	icd2	Probable isocitrate dehydrogenase [NADP] Icd2 (oxalosuccinate decarboxylase) (IDH) (NADP+-specific ICDH) (IDP)	Non essential	intermediary metabolism and respiration	Rv3627c, Rv0384c, Rv3646c, Rv2202c, Rv2754c, Rv2794c, Rv0127, Rv2201, Rv2839c, Rv3455c
Rv0067c	-	Possible transcriptional regulatory protein (possibly TetR-family)	Non essential	regulatory proteins	Rv2389c, Rv1818c, Rv2902c, Rv2727c, Rv2285, Rv0985c, Rv1911c, Rv0230c, Rv3674c, Rv1160
Rv0068	-	Probable oxidoreductase	Non essential	intermediary metabolism and respiration	Rv3148, Rv3145, Rv3392c, Rv2962c, Rv2852c, Rv3146, Rv0848, Rv2855, Rv2416c, Rv3151
Rv0069c	sdaA	Probable L-serine dehydratase SdaA (L-serine deaminase) (SDH) (L-SD)	Non essential	intermediary metabolism and respiration	Rv1317c, Rv2407, Rv1344, Rv2911, Rv2958c, Rv0233, Rv2436, Rv1746, Rv0182c, Rv2429
Rv0070c	glyA2	Serine hydroxymethyltransferase GlyA2 (serine methylase 2) (SHMT 2)	Non essential	intermediary metabolism and respiration	Rv0749, Rv0208c, Rv1088, Rv3911, Rv3610c, Rv0418, Rv1258c, Rv3272, Rv3062, Rv2031c
Rv0071	-	Possible maturase	Non essential	information pathways	Rv3309c, Rv1368, Rv3480c, Rv3826, Rv0802c, Rv0620, Rv3452, NONE, NONE, NONE
Rv0072	-	Probable glutamine-transport transmembrane protein ABC transporter	Non essential	cell wall and cell processes	Rv0073, Rv3097c, Rv1694, Rv0869c, Rv2673, Rv1410c, Rv1270c, Rv2861c, Rv2301, Rv0292
Rv0073	-	Probable glutamine-transport ATP-binding protein ABC transporter	Non essential	cell wall and cell processes	Rv3097c, Rv1694, Rv2673, Rv0869c, Rv0292, Rv1270c, Rv1410c, Rv2861c, Rv3509c, Rv2301
Rv0074	-	hypothetical protein	Non essential	conserved hypotheticals	Rv3803c, Rv0300, Rv0483, Rv2916c, Rv2495c, Rv1334, Rv2173, Rv2464c, Rv2593c, NONE
Rv0075	-	Probable aminotransferase	Non essential	intermediary metabolism and respiration	Rv2953, Rv1653, Rv2950c, Rv3045, Rv2332, Rv0956, Rv0564c, Rv2228c, Rv3449, Rv1270c
Rv0076c	-	Probable membrane protein	Non essential	cell wall and cell processes	Rv2819c, Rv1596, Rv0065, Rv0694, Rv1495, Rv2817c, Rv2818c, Rv1737c, Rv3855, Rv2848c
Rv0077c	-	Probable oxidoreductase	Non essential	intermediary metabolism and respiration	Rv1206, Rv2266, Rv2793c, Rv2584c, Rv3903c, Rv3765c, Rv1026, Rv2673, Rv1033c, Rv0073
Rv0078	-	Probable transcriptional regulatory protein	Non essential	regulatory proteins	Rv2922c, Rv3318, Rv2112c, Rv0438c, Rv2579, Rv1909c, Rv1160, Rv1675c, Rv0230c, NONE
Rv0078A	-	Hypothetical protein	Non essential	conserved hypotheticals	Rv1267c, Rv3086, Rv1731, Rv3480c, Rv1563c, Rv3704c, Rv3506, Rv3734c, Rv0754, Rv1777
Rv0079	-	hypothetical protein	Non essential	conserved hypotheticals	Rv0153c, Rv1202, Rv2150c, Rv1131, Rv2453c, Rv1699, Rv1330c, Rv3389c, Rv0503c, Rv3791
Rv0080	-	hypothetical protein	Non essential	conserved hypotheticals	Rv1857, Rv2103c, Rv0734, Rv1253, Rv2010, Rv3405c, Rv2602, Rv2234, Rv1207, Rv2002
Rv0081	-	Probable transcriptional regulatory protein	Non essential	regulatory proteins	Rv2801c, Rv3149, Rv1537, Rv0496, Rv2919c, Rv1259, Rv2466c, Rv3240c, Rv0982, Rv1884c
Rv0082	-	Probable oxidoreductase	Non essential	intermediary metabolism and respiration	Rv0668, Rv2928, Rv0486, Rv0475, Rv2625c, Rv0045c, Rv2118c, Rv3724B, Rv3842c, Rv0827c
Rv0083	-	Probable oxidoreductase	Non essential	intermediary metabolism and respiration	Rv2289, Rv2376c, Rv2436, Rv2006, Rv0577, Rv2688c, Rv0889c, Rv2429, Rv0262c, Rv0114
Rv0084	hycD	Possible formate hydrogenlyase HycD (FHL)	Non essential	intermediary metabolism and respiration	Rv1601, Rv0458, Rv0468, Rv2631, Rv3619c, Rv1650, Rv2136c, Rv2878c, Rv3566c, Rv0032
Rv0085	hycP	Possible hydrogenase HycP	Non essential	intermediary metabolism and respiration	Rv0866, Rv1009, Rv0385, Rv0091, Rv3234c, Rv0937c, Rv2346c, Rv1033c, Rv1198, Rv3371
Rv0086	hycQ	Possible hydrogenase HycQ	Non essential	intermediary metabolism and respiration	Rv2596, Rv3589, Rv1121, Rv3272, Rv2530c, Rv0827c, Rv3724B, Rv0418, Rv2702, Rv2252
Rv0087	hycE	Possible formate hydrogenase HycE (FHL)	Non essential	intermediary metabolism and respiration	Rv0438c, Rv2112c, Rv3318, Rv2922c, Rv2579, Rv1909c, Rv1675c, NONE, NONE, NONE
Rv0088	-	Possible polyketide cyclase/dehydrase	Non essential	lipid metabolism	Rv1218c, Rv3130c, Rv3155, Rv0220, Rv3565, Rv1264, Rv0601c, Rv2428, Rv1848, Rv1169c
Rv0089	-	Possible methyltransferase/methylase	Non essential	intermediary metabolism and respiration	Rv2866, Rv1553, Rv3229c, Rv0986, Rv2549c, Rv0969, Rv0277c, Rv3600c, Rv0586, Rv0908
Rv0090	-	Possible membrane protein	Non essential	cell wall and cell processes	Rv0977, Rv2918c, Rv3862c, Rv3106, Rv0286, Rv3743c, Rv3366, Rv0518, Rv3056, Rv2299c
Rv0091	mtn	Probable bifunctional MTA/SAH nucleosidase Mtn: 5'-methylthioadenosine nucleosidase (methylthioadenosine methylthioribohydrolase) + S-adenosylhomocysteine nucleosidase (S-adenosyl-L-homocysteine homocysteinylribohydrolase)	Non essential	intermediary metabolism and respiration	Rv0385, Rv3234c, Rv1009, Rv0937c, Rv1033c, Rv0866, Rv2346c, Rv1026, Rv1198, Rv3371
Rv0092	ctpA	Cation transporter P-type ATPase a CtpA	Non essential	cell wall and cell processes	Rv1820, Rv2589, Rv1640c, Rv2258c, Rv2614c, Rv0491, Rv2537c, Rv2241, Rv2221c, Rv2746c
Rv0093c	-	Probable conserved membrane protein	Non essential	cell wall and cell processes	Rv3809c, Rv0321, Rv1849, Rv2741, Rv0732, Rv0761c, Rv2179c, Rv3214, Rv2200c, Rv0022c
Rv0094c	-	hypothetical protein	Non essential	insertion seqs and phages	Rv2187, Rv2450c, Rv2191, Rv0183, Rv3158, Rv1151c, Rv0931c, Rv1386, Rv1032c, Rv0103c
Rv0095c	-	hypothetical protein	Non essential	insertion seqs and phages	Rv0005, Rv1187, Rv1169c, Rv2816c, Rv1608c, Rv3565, Rv0220, Rv3518c, Rv3155, Rv1264
Rv0096	PPE1	PPE family protein PPE1	Non essential	PE/PPE	Rv3868, Rv3569c, Rv0098, Rv2583c, Rv2249c, Rv3849, Rv3543c, Rv2069, Rv0485, Rv3872
Rv0097	-	Possible oxidoreductase	Non essential	intermediary metabolism and respiration	Rv3723, Rv3876, Rv3872, Rv0655, Rv2224c, Rv0099, Rv2249c, Rv0101, Rv2583c, Rv1086
Rv0098	fcoT	Probable fatty acyl CoA thioesterase type III FcoT	Non essential	lipid metabolism	Rv3569c, Rv2583c, Rv2249c, Rv3868, Rv3872, Rv2224c, Rv3876, Rv3543c, Rv2069, Rv3849
Rv0099	fadD10	Possible fatty-acid-CoA ligase FadD10 (fatty-acid-CoA synthetase) (fatty-acid-CoA synthase)	Non essential	lipid metabolism	Rv0101, Rv1086, Rv3546, Rv0994, Rv1411c, Rv1798, Rv1238, Rv3723, Rv0998, Rv1348
Rv0100	-	hypothetical protein	Non essential	conserved hypotheticals	Rv3723, Rv3872, Rv3876, Rv2224c, Rv0655, Rv2249c, Rv0099, Rv2583c, Rv0098, Rv3569c
Rv0101	nrp	Probable peptide synthetase Nrp (peptide synthase)	Non essential	lipid metabolism	Rv1086, Rv0099, Rv3546, Rv0994, Rv1798, Rv1411c, Rv1238, Rv0998, Rv3723, Rv1348
Rv0102	-	Probable conserved integral membrane protein	Essential	cell wall and cell processes	Rv0736, Rv1483, Rv1594, Rv3042c, Rv2753c, Rv2194, Rv3014c, Rv2438c, Rv2201, Rv2093c
Rv0103c	ctpB	Probable cation-transporter P-type ATPase B CtpB	Non essential	cell wall and cell processes	Rv3406, Rv1213, Rv1032c, Rv3232c, Rv1151c, Rv0535, Rv0183, Rv3158, Rv0058, Rv2191
Rv0104	-	hypothetical protein	Non essential	conserved hypotheticals	Rv3328c, Rv2822c, Rv3812, Rv0192, Rv2976c, Rv3655c, Rv3567c, Rv1885c, Rv2817c, Rv1021
Rv0105c	rpmB1	50S ribosomal protein L28-1 RpmB1	Non essential	information pathways	Rv3809c, Rv2741, Rv3653, Rv0732, Rv2179c, Rv0022c, Rv1849, Rv0321, Rv3214, Rv1665
Rv0106	-	hypothetical protein	Non essential	conserved hypotheticals	Rv0241c, Rv3586, Rv0129c, Rv0600c, Rv0206c, Rv2985, Rv3919c, Rv1909c, Rv0438c, NONE
Rv0107c	ctpI	Probable cation-transporter ATPase I CtpI	Non essential	cell wall and cell processes	Rv0867c, Rv3152, Rv2973c, Rv1743, Rv2573, Rv1364c, Rv3547, Rv3150, Rv0602c, Rv3151
Rv0108c	-	Hypothetical protein	Non essential	conserved hypotheticals	Rv0858c, Rv3364c, Rv0254c, Rv2002, Rv2602, Rv3841, Rv3082c, Rv1739c, NONE, NONE
Rv0109	PE_PGRS1	PE-PGRS family protein PE_PGRS1	Non essential	PE/PPE	Rv1267c, Rv3704c, Rv1563c, Rv0754, Rv1731, Rv3086, Rv1996, Rv3480c, Rv2964, Rv1341
Rv0110	-	Probable conserved integral membrane protein	Non essential	cell wall and cell processes	Rv2763c, Rv1143, Rv0386, Rv0301, Rv2914c, Rv0901, Rv2820c, Rv1399c, Rv0844c, Rv3382c
Rv0111	-	Possible transmembrane acyltransferase	Non essential	intermediary metabolism and respiration	Rv2525c, Rv1496, Rv3908, Rv3273, Rv2418c, Rv0490, Rv3822, Rv1420, Rv3722c, Rv3838c
Rv0112	gca	Possible GDP-mannose 4,6-dehydratase Gca (GDP-D-mannose dehydratase)	Non essential	cell wall and cell processes	Rv2007c, Rv2757c, Rv3414c, Rv0282, Rv1541c, Rv2043c, Rv0601c, Rv3130c, Rv1218c, Rv3444c
Rv0113	gmhA	Probable sedoheptulose-7-phosphate isomerase GmhA (phosphoheptose isomerase)	Non essential	cell wall and cell processes	Rv0478, Rv0557, Rv3592, Rv1604, Rv1316c, Rv1629, Rv3610c, Rv2623, Rv0582, Rv3589
Rv0114	gmhB	Possible D-alpha,beta-D-heptose-1,7-biphosphate phosphatase GmhB (D-glycero-D-manno-heptose 7-phosphate kinase)	Non essential	cell wall and cell processes	Rv0889c, Rv1180, Rv2006, Rv0187, Rv2821c, Rv2688c, Rv1425, Rv2289, Rv0577, Rv2429
Rv0115	hddA	Possible D-alpha-D-heptose-7-phosphate kinase HddA	Non essential	cell wall and cell processes	Rv1162, Rv3744, Rv1469, Rv1994c, Rv1013, Rv2063A, Rv0735, Rv1020, Rv1850, Rv1155
Rv0116c	ldtA	Probable L,D-transpeptidase LdtA	Non essential	cell wall and cell processes	Rv0583c, Rv3043c, Rv2713, Rv1364c, Rv3547, Rv2174, Rv1560, Rv0132c, Rv0414c, Rv1155
Rv0117	oxyS	Oxidative stress response regulatory protein OxyS	Non essential	regulatory proteins	Rv3084, Rv2221c, Rv0407, Rv2589, Rv2614c, Rv1449c, Rv0014c, Rv1285, Rv0092, Rv1820
Rv0118c	oxcA	Probable oxalyl-CoA decarboxylase OxcA	Non essential	intermediary metabolism and respiration	Rv0669c, Rv3382c, Rv2158c, Rv2914c, Rv1651c, Rv2351c, Rv0252, Rv3585, Rv0901, Rv2824c
Rv0119	fadD7	Probable fatty-acid-CoA ligase FadD7 (fatty-acid-CoA synthetase) (fatty-acid-CoA synthase)	Non essential	lipid metabolism	Rv1942c, Rv0391, Rv1235, Rv1349, Rv0202c, Rv3717, Rv0450c, Rv2048c, Rv1348, Rv2358
Rv0120c	fusA2	Probable elongation factor G FusA2 (EF-G)	Non essential	information pathways	Rv0844c, Rv2763c, Rv0386, Rv1143, Rv1552, Rv2820c, Rv0838, Rv0194, Rv2914c, Rv1651c
Rv0121c	-	hypothetical protein	Non essential	conserved hypotheticals	Rv3565, Rv1169c, Rv1938, Rv1218c, Rv0005, Rv3155, Rv0220, Rv3130c, Rv1187, Rv1264
Rv0122	-	Hypothetical protein	Non essential	conserved hypotheticals	Rv3610c, Rv3272, Rv0749, Rv0208c, Rv0418, Rv0070c, Rv3589, Rv3911, Rv0478, Rv1088
Rv0123	-	hypothetical protein	Non essential	conserved hypotheticals	Rv3709c, Rv0287, Rv2764c, Rv2130c, Rv2364c, Rv0524, Rv2697c, Rv1390, Rv1002c, Rv2883c
Rv0124	PE_PGRS2	PE-PGRS family protein PE_PGRS2	Non essential	PE/PPE	Rv3357, Rv1561, Rv3488, Rv2232, Rv1001, Rv2744c, Rv0137c, Rv1185c, Rv3157, Rv2213
Rv0125	pepA	Probable serine protease PepA (serine proteinase) (MTB32A)	Non essential	intermediary metabolism and respiration	Rv3045, Rv2950c, Rv1653, Rv2953, Rv1931c, Rv2332, Rv2780, Rv0956, Rv1400c, Rv0237
